frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6669,1.0000,352.3680,1.2500,0.3849,16.6684,16.6545,15.1841,0.0009,-1.0000
16.6655,1.0000,352.3846,1.4973,0.4142,16.6637,16.6539,15.2557,0.0010,-1.0000
16.6693,1.0000,352.4014,1.9347,0.3711,16.6722,16.7027,15.3041,0.0012,-1.0000
16.6652,1.0000,352.4179,1.3925,0.5863,16.6678,16.6149,15.1373,0.0012,-1.0000
16.6665,1.0000,352.4346,1.4693,0.3325,16.6634,16.6580,15.2866,0.0011,-1.0000
16.6692,1.0000,352.4513,1.3974,0.3524,16.6619,16.6643,15.1643,0.0013,-1.0000
16.6646,1.0000,352.4679,1.3973,0.4306,16.7128,16.6485,15.0009,0.0015,-1.0000
16.6662,1.0000,352.4846,1.4764,0.3364,16.6244,16.6545,15.3302,0.0013,-1.0000
16.6684,1.0000,352.5014,1.3701,0.4081,16.6672,16.6666,15.2237,0.0012,-1.0000
16.6656,1.0000,352.5180,1.4988,0.4340,16.6744,16.6505,14.9817,0.0012,-1.0000
16.6666,1.0000,352.5346,1.6462,0.3331,16.6586,16.6563,15.1332,0.0011,-1.0000
16.6697,1.0000,352.5513,1.3231,0.3148,16.6621,16.6690,15.3584,0.0012,-1.0000
16.6649,1.0000,352.5679,1.4416,0.3969,16.6764,16.6469,15.0888,0.0014,-1.0000
16.6652,1.0000,352.5846,1.6672,0.3856,16.6609,16.6538,15.2957,0.0013,-1.0000
16.6775,1.0000,352.6016,1.5218,0.3331,16.6647,16.7094,15.3378,0.0011,-1.0000
16.6659,1.0000,352.6180,1.3091,0.4088,16.6793,16.6152,14.6200,0.0016,-1.0000
16.6665,1.0000,352.6346,1.5567,0.3316,16.6578,16.6579,15.2438,0.0012,-1.0000
16.6679,1.0000,352.6512,1.3569,0.3181,16.6615,16.6604,15.2350,0.0012,-1.0000
16.6653,1.0000,352.6679,1.3706,0.4890,16.7207,16.6538,15.1307,0.0013,-1.0000
