frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6637,1.0000,113.6640,1.0290,0.2530,16.6601,16.6479,15.1603,0.0014,-1.0000
16.6693,1.0000,113.6805,1.1584,0.2628,16.6523,16.6679,15.4840,0.0013,-1.0000
16.6672,1.0000,113.6974,1.0292,0.3046,16.6758,16.6587,15.4349,0.0013,-1.0000
16.6648,1.0000,113.7140,1.2352,0.2777,16.6705,16.6494,15.1447,0.0013,-1.0000
16.6669,1.0000,113.7307,1.4864,0.3031,16.6566,16.6590,15.4200,0.0011,-1.0000
16.6680,1.0000,113.7473,1.1830,0.2848,16.6761,16.6692,15.3411,0.0012,-1.0000
16.6659,1.0000,113.7640,1.2226,0.3812,16.6676,16.6517,15.4644,0.0011,-1.0000
16.6677,1.0000,113.7806,1.5034,0.2613,16.6573,16.6670,15.4802,0.0012,-1.0000
16.6669,1.0000,113.7974,1.2380,0.3144,16.6664,16.6545,15.5067,0.0012,-1.0000
16.6649,1.0000,113.8140,1.3266,0.2670,16.6771,16.6527,15.3599,0.0012,-1.0000
16.6687,1.0000,113.8311,1.1862,0.2869,16.6589,16.6676,15.4544,0.0013,-1.0000
16.6656,1.0000,113.8473,1.1857,0.2515,16.6756,16.6523,14.5875,0.0014,-1.0000
16.6661,1.0000,113.8640,1.1464,0.2640,16.6630,16.6558,15.4294,0.0010,-1.0000
16.6693,1.0000,113.8806,1.2915,0.2652,16.6604,16.6683,15.4986,0.0011,-1.0000
16.6650,1.0000,113.8974,1.2118,0.2981,16.6775,16.6529,15.3401,0.0026,-1.0000
16.6671,1.0000,113.9140,2.0630,0.2820,16.6606,16.6585,15.3491,0.0012,-1.0000
16.6682,1.0000,113.9307,1.2254,0.2523,16.6631,16.6615,15.4629,0.0012,-1.0000
16.6645,1.0000,113.9475,1.1682,0.2855,16.6764,16.6525,15.3251,0.0012,-1.0000
16.6657,1.0000,113.9640,1.3104,0.2748,16.6630,16.6526,15.3337,0.0013,-1.0000
16.6707,1.0000,113.9807,1.3082,0.2830,16.6664,16.6747,15.4826,0.0010,-1.0000
16.6622,1.0000,113.9973,1.1970,0.3183,16.6699,16.6382,15.2426,0.0015,-1.0000
16.6698,1.0000,114.0140,1.3261,0.2640,16.6613,16.6716,15.6407,0.0009,-1.0000
16.6671,1.0000,114.0307,1.3174,0.2449,16.6599,16.6588,15.2544,0.0010,-1.0000
16.6636,1.0000,114.0473,1.1912,0.3011,16.6853,16.6457,15.4428,0.0011,-1.0000
16.6689,1.0000,114.0641,1.3941,0.2256,16.6470,16.6717,15.5523,0.0012,-1.0000
16.6677,1.0000,114.0805,1.0298,0.3521,16.6797,16.6553,15.0516,0.0013,-1.0000
16.6644,1.0000,114.0973,1.4031,0.2591,16.6675,16.6524,15.5656,0.0013,-1.0000
16.6683,1.0000,114.1140,1.2019,0.2652,16.6533,16.6655,15.5419,0.0011,-1.0000
16.6677,1.0000,114.1307,1.1180,0.2866,16.6811,16.6602,15.4317,0.0009,-1.0000
16.6649,1.0000,114.1473,1.6023,0.2648,16.6636,16.6497,15.3906,0.0013,-1.0000
16.6686,1.0000,114.1641,1.0853,0.2558,16.6594,16.6675,15.4763,0.0011,-1.0000
16.6663,1.0000,114.1805,1.1223,0.2822,16.6733,16.6543,15.2363,0.0012,-1.0000
16.6652,1.0000,114.1973,1.2271,0.2731,16.6686,16.6550,15.4447,0.0010,-1.0000
16.6686,1.0000,114.2141,1.2580,0.2565,16.6578,16.6647,15.4519,0.0015,-1.0000
16.6666,1.0000,114.2307,1.1902,0.4806,16.6773,16.6548,15.2103,0.0012,-1.0000
16.6665,1.0000,114.2474,1.4170,0.2495,16.6632,16.6555,15.4025,0.0012,-1.0000
16.6698,1.0000,114.2641,1.2093,0.2333,16.6633,16.6668,15.4431,0.0012,-1.0000
16.6642,1.0000,114.2806,1.2114,0.2858,16.6746,16.6486,14.8432,0.0016,-1.0000
16.6639,1.0000,114.2974,1.4429,0.2652,16.6632,16.6493,15.4268,0.0012,-1.0000
16.6692,1.0000,114.3142,1.2518,0.2893,16.6640,16.6724,15.4157,0.0010,-1.0000
16.6665,1.0000,114.3307,1.2223,0.3284,16.6767,16.6571,14.9002,0.0014,-1.0000
16.6667,1.0000,114.3473,1.8037,0.2719,16.6583,16.6571,15.3323,0.0013,-1.0000
16.6682,1.0000,114.3640,1.2212,0.2663,16.6556,16.6905,15.5201,0.0013,-1.0000
16.6661,1.0000,114.3806,1.2556,0.3635,16.6799,16.6264,15.2896,0.0012,-1.0000
16.6632,1.0000,114.3973,1.7555,0.2833,16.6662,16.6446,15.5547,0.0014,-1.0000
16.6702,1.0000,114.4140,1.3236,0.2685,16.6654,16.6743,15.4902,0.0011,-1.0000
16.6663,1.0000,114.4307,1.1689,0.3591,16.6992,16.6561,14.6948,0.0015,-1.0000
16.6639,1.0000,114.4473,1.3354,0.2856,16.6357,16.6499,15.5063,0.0011,-1.0000
16.6711,1.0000,114.4641,1.0887,0.2520,16.6516,16.6725,15.6053,0.0011,-1.0000
16.6649,1.0000,114.4806,1.1831,0.2519,16.6823,16.6497,15.2891,0.0011,-1.0000
16.6677,1.0000,114.4974,1.9598,0.3267,16.6658,16.6610,15.4944,0.0012,-1.0000
16.6678,1.0000,114.5141,1.1428,0.2417,16.6580,16.6636,15.0516,0.0013,-1.0000
16.6634,1.0000,114.5306,1.0658,0.2883,16.6812,16.6400,15.2856,0.0009,-1.0000
16.6686,1.0000,114.5476,1.3592,0.2782,16.6588,16.6665,15.5591,0.0010,-1.0000
16.6682,1.0000,114.5641,1.1655,0.3413,16.6707,16.6632,14.9833,0.0012,-1.0000
16.6650,1.0000,114.5805,1.6106,0.3092,16.6753,16.6490,15.0754,0.0012,-1.0000
16.6656,1.0000,114.5973,1.3534,0.2691,16.6495,16.6625,15.6151,0.0010,-1.0000
16.6697,1.0000,114.6140,1.1061,0.2806,16.6737,16.6616,15.4247,0.0012,-1.0000
16.6648,1.0000,114.6307,1.6784,0.2709,16.6725,16.6528,15.3957,0.0010,-1.0000
16.6674,1.0000,114.6475,1.5723,0.2648,16.6579,16.6645,15.3749,0.0014,-1.0000
16.6674,1.0000,114.6640,1.0465,0.3214,16.6707,16.6543,14.8805,0.0012,-1.0000
