frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6638,1.0000,206.3911,1.1966,0.2867,16.6709,16.6451,15.2738,0.0010,-1.0000
16.6644,1.0000,206.4077,1.5632,0.3228,16.6769,16.6483,15.3056,0.0012,-1.0000
16.6680,1.0000,206.4246,1.6622,0.2803,16.6535,16.6610,15.4742,0.0013,-1.0000
16.6690,1.0000,206.4410,1.2597,0.3463,16.6855,16.6671,15.2073,0.0011,-1.0000
16.6640,1.0000,206.4577,1.3702,0.2736,16.6560,16.6434,15.4374,0.0013,-1.0000
16.6678,1.0000,206.4744,1.3414,0.2658,16.6576,16.6623,15.4142,0.0015,-1.0000
16.6686,1.0000,206.4910,1.1854,0.3019,16.6696,16.6668,15.2996,0.0013,-1.0000
16.6637,1.0000,206.5076,1.4587,0.2746,16.6769,16.6411,15.2350,0.0014,-1.0000
16.6682,1.0000,206.5244,1.2048,0.2802,16.6534,16.6637,15.4384,0.0012,-1.0000
16.6667,1.0000,206.5410,1.2467,0.3387,16.6715,16.6583,15.2399,0.0016,-1.0000
16.6665,1.0000,206.5577,1.3657,0.3141,16.6780,16.6534,15.3437,0.0013,-1.0000
16.6671,1.0000,206.5744,1.4046,0.2664,16.6505,16.6601,15.4315,0.0011,-1.0000
16.6662,1.0000,206.5909,1.2244,0.2862,16.6736,16.6542,15.0348,0.0013,-1.0000
16.6665,1.0000,206.6077,1.4166,0.2834,16.6678,16.6589,15.6276,0.0010,-1.0000
16.6673,1.0000,206.6244,1.3083,0.2881,16.6629,16.6606,15.3046,0.0012,-1.0000
16.6674,1.0000,206.6410,1.2270,0.3771,16.6693,16.6549,15.0501,0.0012,-1.0000
16.6669,1.0000,206.6578,1.6180,0.2793,16.6625,16.6578,15.4581,0.0014,-1.0000
16.6664,1.0000,206.6744,1.0304,0.2861,16.6678,16.6603,15.0994,0.0015,-1.0000
16.6671,1.0000,206.6911,1.3548,0.3338,16.6697,16.6526,15.1658,0.0013,-1.0000
16.6661,1.0000,206.7077,1.6033,0.2778,16.6646,16.6582,15.4143,0.0013,-1.0000
16.6676,1.0000,206.7245,1.1983,0.3055,16.6686,16.6666,15.2449,0.0014,-1.0000
16.6661,1.0000,206.7410,1.5599,0.3352,16.6705,16.6426,15.1709,0.0011,-1.0000
16.6654,1.0000,206.7576,1.4853,0.2612,16.6609,16.6499,15.4006,0.0011,-1.0000
16.6712,1.0000,206.7745,1.2430,0.2859,16.6677,16.6755,15.5486,0.0010,-1.0000
16.6633,1.0000,206.7909,1.4202,0.3524,16.6798,16.6465,15.2705,0.0015,-1.0000
16.6657,1.0000,206.8077,1.4704,0.2743,16.6545,16.6574,15.4552,0.0011,-1.0000
16.6683,1.0000,206.8246,1.2481,0.2970,16.6574,16.7283,15.4672,0.0011,-1.0000
16.6666,1.0000,206.8410,1.1239,0.3308,16.6858,16.5351,15.1573,0.0011,-1.0000
16.6651,1.0000,206.8576,1.3743,0.2593,16.6558,16.6515,15.4598,0.0012,-1.0000
16.6691,1.0000,206.8744,1.2013,0.2532,16.6671,16.6664,15.4457,0.0012,-1.0000
16.6663,1.0000,206.8909,1.2600,0.3185,16.7624,16.6582,15.2280,0.0011,-1.0000
16.6649,1.0000,206.9077,1.3766,0.2858,16.5718,16.6512,15.4493,0.0014,-1.0000
16.6688,1.0000,206.9243,1.1903,0.2575,16.6601,16.6635,15.3604,0.0013,-1.0000
16.6668,1.0000,206.9410,1.2194,0.3378,16.6752,16.6599,15.3993,0.0011,-1.0000
16.6638,1.0000,206.9577,1.4289,0.2814,16.6659,16.6470,15.4266,0.0016,-1.0000
16.9787,1.0000,206.9754,1.2003,0.3215,16.6591,16.9803,15.7044,0.0012,-1.0000
16.6677,1.0000,206.9913,1.3015,0.3510,16.6718,16.6613,14.5883,0.0015,-1.0000
16.6642,1.0000,207.0080,1.2592,0.2649,16.6686,16.6503,15.4119,0.0012,-1.0000
16.6692,1.0000,207.0247,1.2188,0.2773,16.6547,16.6668,15.4619,0.0009,-1.0000
16.6663,1.0000,207.0413,1.2747,0.2898,16.9874,16.6556,14.9005,0.0017,-1.0000
16.6641,1.0000,207.0579,2.0715,0.3132,16.6695,16.6458,15.4358,0.0012,-1.0000
16.6683,1.0000,207.0746,1.2374,0.2820,16.6581,16.6688,15.5905,0.0011,-1.0000
16.6703,1.0000,207.0913,1.2038,0.3292,16.6760,16.6729,15.4656,0.0012,-1.0000
16.6640,1.0000,207.1080,1.7535,0.2649,16.6648,16.6436,15.0566,0.0014,-1.0000
16.6667,1.0000,207.1247,1.2090,0.2725,16.6525,16.6576,15.3776,0.0013,-1.0000
16.6678,1.0000,207.1414,1.0773,0.3047,16.6760,16.6589,15.2205,0.0012,-1.0000
16.6640,1.0000,207.1579,1.2059,0.3088,16.6837,16.6465,15.0960,0.0012,-1.0000
16.6671,1.0000,207.1746,1.5855,0.3131,16.6545,16.6580,15.5440,0.0011,-1.0000
16.6698,1.0000,207.1913,1.2788,0.2980,16.6678,16.6741,15.5216,0.0016,-1.0000
16.6651,1.0000,207.2080,1.4373,0.4269,16.6703,16.6501,15.1024,0.0020,-1.0000
16.6669,1.0000,207.2246,1.5493,0.2714,16.6547,16.6574,15.3298,0.0012,-1.0000
16.6683,1.0000,207.2417,1.1124,0.2561,16.6643,16.7818,15.4716,0.0011,-1.0000
16.6645,1.0000,207.2580,1.1509,0.3526,16.6825,16.5294,14.7932,0.0016,-1.0000
16.6653,1.0000,207.2746,1.5452,0.3164,16.6596,16.6545,15.4928,0.0010,-1.0000
16.6796,1.0000,207.2913,1.3261,0.2583,16.6655,16.6814,15.2100,0.0009,-1.0000
16.6653,1.0000,207.3080,1.3091,0.3271,16.7927,16.6508,15.4477,0.0013,-1.0000
16.6682,1.0000,207.3248,1.7349,0.2758,16.5385,16.6757,15.2756,0.0014,-1.0000
16.6667,1.0000,207.3414,1.1603,0.3426,16.6621,16.6450,14.9496,0.0014,-1.0000
16.6665,1.0000,207.3580,1.4705,0.2840,16.6891,16.6571,15.2426,0.0013,-1.0000
16.6662,1.0000,207.3748,1.2017,0.2890,16.6600,16.6516,15.2768,0.0014,-1.0000
16.6680,1.0000,207.3915,1.3987,0.3660,16.6860,16.8210,15.2279,0.0013,-1.0000
16.6658,1.0000,207.4080,1.6940,0.2760,16.6557,16.4862,15.1376,0.0014,-1.0000
16.6673,1.0000,207.4247,1.4132,0.3049,16.6683,16.6651,15.4633,0.0011,-1.0000
16.6660,1.0000,207.4413,1.3734,0.3555,16.6621,16.6504,15.2722,0.0012,-1.0000
16.6862,1.0000,207.4582,1.5917,0.4400,16.8332,16.6876,15.4714,0.0011,-1.0000
16.6641,1.0000,207.4747,1.3471,0.2856,16.4953,16.6406,14.4883,0.0014,-1.0000
16.6673,1.0000,207.4913,1.2004,0.3171,16.6754,16.6606,15.3685,0.0011,-1.0000
16.6700,1.0000,207.5081,1.3767,0.2758,16.6602,16.6668,15.3992,0.0012,-1.0000
16.6634,1.0000,207.5247,1.2146,0.4291,16.7000,16.6432,15.0166,0.0018,-1.0000
16.6663,1.0000,207.5414,2.1506,0.3138,16.6507,16.6529,15.4162,0.0011,-1.0000
16.6666,1.0000,207.5582,1.2908,0.2902,16.6700,16.6602,15.3701,0.0012,-1.0000
16.6675,1.0000,207.5747,1.2660,0.3677,16.6792,16.6581,15.0901,0.0012,-1.0000
16.6663,1.0000,207.5913,1.6247,0.3008,16.6544,16.6546,15.4301,0.0013,-1.0000
16.6678,1.0000,207.6080,1.2357,0.3183,16.6629,16.6607,15.3517,0.0012,-1.0000
16.6671,1.0000,207.6248,1.2888,0.2772,16.6694,16.6613,15.2436,0.0012,-1.0000
16.6645,1.0000,207.6413,1.5666,0.2807,16.6669,16.6442,15.1981,0.0013,-1.0000
16.6673,1.0000,207.6580,1.2233,0.3013,16.6647,16.6645,15.3375,0.0012,-1.0000
16.6670,1.0000,207.6747,1.3077,0.3482,16.6705,16.6583,15.2648,0.0013,-1.0000
16.6667,1.0000,207.6913,1.4160,0.2701,16.6713,16.6566,15.3612,0.0012,-1.0000
16.6675,1.0000,207.7081,1.4447,0.2864,16.6527,16.6597,15.4358,0.0011,-1.0000
16.6668,1.0000,207.7247,1.3258,0.3479,16.6721,16.6577,15.2164,0.0011,-1.0000
16.6656,1.0000,207.7413,1.3919,0.3336,16.6677,16.6531,15.3376,0.0015,-1.0000
16.6663,1.0000,207.7580,1.2939,0.3190,16.6660,16.6612,15.4804,0.0011,-1.0000
16.8070,1.0000,207.7750,1.2226,0.3124,16.6684,16.8064,15.5209,0.0009,-1.0000
16.5607,1.0000,207.7913,1.4400,0.3492,16.6668,16.5441,15.0216,0.0015,-1.0000
16.6670,1.0000,207.8081,1.3141,0.2778,16.6608,16.6607,15.4763,0.0011,-1.0000
16.6669,1.0000,207.8248,1.1799,0.3344,16.6683,16.6652,15.1968,0.0012,-1.0000
16.6665,1.0000,207.8414,1.2843,0.3879,16.8155,16.6471,15.2696,0.0011,-1.0000
