frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6677,1.0000,132.2232,1.2085,0.3664,16.6731,16.6551,14.8417,0.0014,-1.0000
16.6662,1.0000,132.2397,1.3323,0.8171,16.6605,16.6542,15.1716,0.0012,-1.0000
16.6660,1.0000,132.2565,2.0990,0.3818,16.6730,16.6538,15.3379,0.0012,-1.0000
16.6687,1.0000,132.2732,1.4330,0.6467,16.6663,16.6616,15.2448,0.0011,-1.0000
16.6642,1.0000,132.2898,1.8119,0.3735,16.6663,16.6497,15.1948,0.0013,-1.0000
16.6677,1.0000,132.3065,1.4813,0.3826,16.6657,16.6637,15.2137,0.0011,-1.0000
16.6664,1.0000,132.3233,1.3147,0.3590,16.6632,16.6574,15.2576,0.0013,-1.0000
16.6667,1.0000,132.3398,1.4155,0.3894,16.6716,16.6468,15.0148,0.0010,-1.0000
16.6651,1.0000,132.3565,1.4535,0.4077,16.6587,16.6516,15.3508,0.0011,-1.0000
16.6681,1.0000,132.3733,1.4488,0.4366,16.6725,16.6664,15.3297,0.0011,-1.0000
16.6670,1.0000,132.3898,1.3985,0.4490,16.6759,16.6505,14.8701,0.0014,-1.0000
16.6671,1.0000,132.4065,1.6308,0.3474,16.6567,16.6586,15.2593,0.0012,-1.0000
16.6679,1.0000,132.4232,1.2998,0.4294,16.6600,16.6658,15.3902,0.0011,-1.0000
16.6648,1.0000,132.4397,1.3355,0.4533,16.6761,16.6495,15.2234,0.0019,-1.0000
16.6670,1.0000,132.4565,1.7789,0.4038,16.6604,16.6558,15.2972,0.0011,-1.0000
16.6677,1.0000,132.4732,1.3980,0.3596,16.6673,16.6647,15.2991,0.0014,-1.0000
16.6679,1.0000,132.4899,1.2744,0.3715,16.6756,16.6606,15.2877,0.0011,-1.0000
