frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6662,1.0000,316.1700,1.4314,0.2594,16.6700,16.6587,15.1666,0.0014,-1.0000
16.6680,1.0000,316.1866,1.2363,0.3226,16.6638,16.6608,15.4170,0.0010,-1.0000
16.6658,1.0000,316.2033,1.2140,0.3660,16.6771,16.6537,15.3808,0.0011,-1.0000
16.6657,1.0000,316.2199,1.5290,0.2614,16.6596,16.6502,15.4224,0.0010,-1.0000
16.6686,1.0000,316.2368,1.4907,0.3045,16.6675,16.6690,15.4958,0.0012,-1.0000
16.6653,1.0000,316.2532,1.2425,0.2680,16.6710,16.6501,15.1400,0.0014,-1.0000
16.6666,1.0000,316.2700,1.2715,0.2538,16.6630,16.6601,15.5489,0.0011,-1.0000
16.6685,1.0000,316.2867,1.2266,0.2821,16.6581,16.6615,15.3991,0.0011,-1.0000
16.6661,1.0000,316.3033,1.1713,0.3687,16.6788,16.6546,15.2761,0.0012,-1.0000
16.6635,1.0000,316.3199,1.5087,0.2626,16.6589,16.6477,15.4353,0.0011,-1.0000
16.6691,1.0000,316.3368,1.1099,0.2603,16.6683,16.6718,15.5040,0.0014,-1.0000
16.6688,1.0000,316.3533,1.2615,0.3181,16.6701,16.6619,14.7455,0.0015,-1.0000
16.6649,1.0000,316.3700,1.3771,0.2701,16.6629,16.6495,15.1668,0.0014,-1.0000
16.6688,1.0000,316.3867,1.2113,0.2403,16.6543,16.6659,15.3235,0.0011,-1.0000
16.6663,1.0000,316.4035,1.1662,0.3659,16.6800,16.6572,15.1289,0.0013,-1.0000
16.6638,1.0000,316.4199,1.9149,0.3408,16.6724,16.6443,15.1023,0.0013,-1.0000
16.6712,1.0000,316.4368,1.4810,0.2687,16.6583,16.6763,15.4448,0.0010,-1.0000
16.6654,1.0000,316.4533,1.3411,0.3189,16.6750,16.6473,15.0932,0.0014,-1.0000
16.6638,1.0000,316.4699,1.5266,0.3031,16.6676,16.6472,15.2901,0.0015,-1.0000
16.6693,1.0000,316.4867,1.5408,0.2559,16.6528,16.6702,15.5787,0.0011,-1.0000
16.6681,1.0000,316.5033,1.2304,0.3098,16.6874,16.6625,15.2948,0.0010,-1.0000
16.6657,1.0000,316.5199,1.5523,0.2859,16.6565,16.6511,15.2936,0.0010,-1.0000
16.6655,1.0000,316.5366,1.3556,0.2675,16.6543,16.6569,15.3915,0.0011,-1.0000
16.6700,1.0000,316.5533,1.0906,0.2931,16.6772,16.6714,15.4586,0.0010,-1.0000
16.6645,1.0000,316.5700,1.3662,0.2696,16.6722,16.6488,15.1712,0.0013,-1.0000
16.6678,1.0000,316.5866,1.3562,0.2677,16.6599,16.6587,15.3159,0.0011,-1.0000
16.6681,1.0000,316.6034,1.2647,0.2588,16.6649,16.6634,15.3533,0.0011,-1.0000
16.6637,1.0000,316.6199,1.2117,0.6301,16.6808,16.6423,15.1767,0.0017,-1.0000
16.6661,1.0000,316.6367,1.4763,0.3096,16.6584,16.6581,15.4283,0.0013,-1.0000
16.6684,1.0000,316.6532,1.3415,0.3009,16.6681,16.6633,15.1857,0.0014,-1.0000
16.6673,1.0000,316.6700,1.3088,0.2759,16.6744,16.6595,15.4895,0.0013,-1.0000
16.6671,1.0000,316.6867,1.4639,0.2908,16.6511,16.6598,15.3719,0.0010,-1.0000
16.6660,1.0000,316.7033,1.2287,0.3493,16.6661,16.6541,15.0355,0.0012,-1.0000
16.6649,1.0000,316.7200,1.4764,0.2417,16.6716,16.6511,15.4419,0.0011,-1.0000
16.6668,1.0000,316.7366,1.1686,0.4103,16.6679,16.6656,15.4516,0.0011,-1.0000
16.6696,1.0000,316.7532,1.2867,0.3146,16.6694,16.6651,15.1091,0.0011,-1.0000
16.6648,1.0000,316.7699,1.6172,0.2858,16.6628,16.6525,15.5076,0.0016,-1.0000
16.6688,1.0000,316.7867,1.2080,0.2651,16.6595,16.6693,15.4391,0.0012,-1.0000
16.6665,1.0000,316.8034,1.2128,0.2832,16.6728,16.6445,15.3121,0.0011,-1.0000
16.6648,1.0000,316.8199,1.5545,0.2737,16.6729,16.6539,15.2463,0.0015,-1.0000
16.6685,1.0000,316.8366,1.1431,0.3254,16.6610,16.6635,15.4756,0.0012,-1.0000
16.6660,1.0000,316.8532,1.2288,0.3361,16.6819,16.6558,15.3290,0.0009,-1.0000
16.6665,1.0000,316.8700,1.3312,0.2685,16.6544,16.6553,15.5584,0.0009,-1.0000
16.6680,1.0000,316.8868,1.4060,0.2651,16.6618,16.6658,15.4141,0.0014,-1.0000
16.6659,1.0000,316.9033,1.1862,0.3077,16.6733,16.6493,15.1717,0.0014,-1.0000
16.6662,1.0000,316.9200,1.3258,0.2665,16.6646,16.6595,15.2091,0.0014,-1.0000
16.6675,1.0000,316.9367,1.0960,0.2537,16.6638,16.7213,15.3118,0.0014,-1.0000
16.6677,1.0000,316.9532,1.2504,0.2794,16.6767,16.5962,15.3480,0.0010,-1.0000
16.6653,1.0000,316.9701,1.4762,0.3087,16.6585,16.6547,15.4968,0.0015,-1.0000
16.6681,1.0000,316.9867,1.4492,0.3221,16.6675,16.6623,15.2518,0.0012,-1.0000
16.6654,1.0000,317.0033,1.4084,0.3362,16.7308,16.6518,15.3042,0.0013,-1.0000
16.6669,1.0000,317.0200,1.2468,0.2652,16.6055,16.6563,15.4438,0.0014,-1.0000
16.6673,1.0000,317.0367,1.1562,0.2637,16.6649,16.6609,15.3317,0.0012,-1.0000
16.6664,1.0000,317.0533,1.4097,0.3043,16.6725,16.6540,15.3946,0.0012,-1.0000
16.6632,1.0000,317.0699,1.3467,0.2598,16.6613,16.6449,15.4644,0.0012,-1.0000
16.6707,1.0000,317.0867,1.2112,0.2791,16.6650,16.6759,15.5713,0.0010,-1.0000
16.6885,1.0000,317.1037,1.3280,0.2863,16.6710,16.6850,15.3903,0.0015,-1.0000
16.6653,1.0000,317.1200,1.2580,0.2669,16.6635,16.6474,14.9593,0.0015,-1.0000
16.6664,1.0000,317.1367,1.1794,0.2286,16.6510,16.6583,15.3045,0.0013,-1.0000
16.6697,1.0000,317.1534,1.1037,0.3267,16.6830,16.6654,15.4112,0.0013,-1.0000
