frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6693,1.0000,291.0112,1.4256,0.3246,16.7307,16.6975,15.1618,0.0012,-1.0000
16.6674,1.0000,291.0280,1.6392,0.3162,16.8269,16.6377,15.3510,0.0014,-1.0000
16.6664,1.0000,291.0447,1.5191,0.2754,16.4916,16.6957,15.2687,0.0010,-1.0000
16.6672,1.0000,291.0614,1.2704,0.2655,16.6437,16.6158,15.2823,0.0014,-1.0000
16.6666,1.0000,291.0780,1.5344,0.2799,16.7054,16.6408,15.0687,0.0012,-1.0000
16.6648,1.0000,291.0947,1.2851,0.2822,16.6463,16.7764,15.2662,0.0013,-1.0000
16.6688,1.0000,291.1112,1.4259,0.3222,16.7037,16.5500,15.2322,0.0013,-1.0000
16.6663,1.0000,291.1279,1.3322,0.3267,16.6245,16.6641,15.0583,0.0012,-1.0000
16.6668,1.0000,291.1446,1.5707,0.2736,16.6512,16.6379,15.2479,0.0012,-1.0000
16.6685,1.0000,291.1613,1.5089,0.2566,16.7850,16.6428,15.3223,0.0014,-1.0000
16.6650,1.0000,291.1779,1.3164,0.3573,16.5597,16.6454,15.1057,0.0013,-1.0000
16.6667,1.0000,291.1946,1.6046,0.2686,16.6751,16.6985,15.3984,0.0012,-1.0000
16.6667,1.0000,291.2112,1.3888,0.2885,16.6467,16.6112,15.4258,0.0014,-1.0000
16.6672,1.0000,291.2279,1.3189,0.3120,16.6530,16.6559,15.1995,0.0010,-1.0000
16.6661,1.0000,291.2446,1.5384,0.2699,16.6553,16.6529,15.3388,0.0013,-1.0000
16.6680,1.0000,291.2614,1.2991,0.2736,16.7077,16.6991,15.2907,0.0013,-1.0000
16.6660,1.0000,291.2779,1.1841,0.3766,16.6213,16.6198,14.9403,0.0014,-1.0000
16.6664,1.0000,291.2947,1.4554,0.2960,16.6651,16.6374,15.3609,0.0012,-1.0000
16.6681,1.0000,291.3112,1.3128,0.2907,16.6609,16.6632,15.3050,0.0012,-1.0000
16.6663,1.0000,291.3279,1.4067,0.3415,16.7093,16.6551,15.1267,0.0013,-1.0000
16.6658,1.0000,291.3446,1.6782,0.2660,16.6287,16.6551,15.2931,0.0012,-1.0000
16.6692,1.0000,291.3613,1.2751,0.2716,16.6465,16.6619,15.2176,0.0011,-1.0000
16.6651,1.0000,291.3779,1.3567,0.3277,16.6736,16.6519,15.1307,0.0011,-1.0000
16.6659,1.0000,291.3946,1.5270,0.2887,16.6656,16.6753,15.3574,0.0011,-1.0000
16.6678,1.0000,291.4112,1.3611,0.2688,16.6659,16.6373,15.4690,0.0011,-1.0000
16.6683,1.0000,291.4280,1.4431,0.3077,16.6730,16.6658,15.3393,0.0012,-1.0000
16.6646,1.0000,291.4445,1.5198,0.3137,16.6628,16.6425,15.3206,0.0011,-1.0000
16.6681,1.0000,291.4613,1.3163,0.2536,16.6835,16.6638,15.4549,0.0012,-1.0000
16.6657,1.0000,291.4779,1.1670,0.2760,16.6453,16.6514,15.2960,0.0011,-1.0000
16.6658,1.0000,291.4946,1.3249,0.2766,16.6784,16.6568,15.4286,0.0014,-1.0000
