frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6695,1.0000,70.8691,1.1782,0.2512,16.6712,16.6681,15.4996,0.0009,-1.0000
16.6628,1.0000,70.8857,1.1185,0.3001,16.6704,16.6439,15.2593,0.0013,-1.0000
16.6673,1.0000,70.9024,1.6072,0.3094,16.6606,16.6624,15.5108,0.0011,-1.0000
16.6693,1.0000,70.9191,1.0321,0.3103,16.6693,16.6665,15.5149,0.0013,-1.0000
16.6634,1.0000,70.9356,1.1668,0.3131,16.6775,16.6485,15.2195,0.0013,-1.0000
16.6687,1.0000,70.9524,1.3832,0.2778,16.6517,16.6652,15.5433,0.0010,-1.0000
16.6698,1.0000,70.9692,1.1505,0.2678,16.6696,16.6681,15.4425,0.0013,-1.0000
16.6637,1.0000,70.9857,1.1498,0.3703,16.6750,16.6419,15.1731,0.0013,-1.0000
16.6833,1.0000,71.0024,1.4279,0.2757,16.6567,16.6756,15.4657,0.0011,-1.0000
16.7150,1.0000,71.0193,1.1210,0.2888,16.6731,16.7140,15.5180,0.0011,-1.0000
16.6630,1.0000,71.0356,1.2234,0.3245,16.6795,16.6404,15.1177,0.0015,-1.0000
16.6690,1.0000,71.0525,1.4675,0.2729,16.6515,16.6701,15.6742,0.0009,-1.0000
16.6673,1.0000,71.0692,1.2087,0.2567,16.6841,16.6580,15.5078,0.0010,-1.0000
16.6649,1.0000,71.0858,1.1948,0.3191,16.7248,16.6517,15.1205,0.0013,-1.0000
16.6679,1.0000,71.1025,1.5209,0.2905,16.6479,16.6636,15.5678,0.0010,-1.0000
16.6675,1.0000,71.1195,0.9951,0.3427,16.6782,16.6975,15.4130,0.0015,-1.0000
16.6638,1.0000,71.1357,1.1490,0.3824,16.6661,16.6071,14.9297,0.0014,-1.0000
16.6694,1.0000,71.1525,1.5304,0.2604,16.6604,16.6699,15.6342,0.0010,-1.0000
16.6941,1.0000,71.1692,1.0944,0.2899,16.6725,16.6767,15.4923,0.0013,-1.0000
16.6640,1.0000,71.1858,1.2827,0.2975,16.7089,16.6494,15.2580,0.0014,-1.0000
