frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6666,1.0000,439.4962,1.1113,0.4365,16.6766,16.6544,15.1730,0.0012,-1.0000
16.6640,1.0000,439.5128,1.3968,0.3215,16.6639,16.6473,15.3930,0.0012,-1.0000
16.6700,1.0000,439.5297,1.1984,0.3226,16.6622,16.6729,15.6065,0.0010,-1.0000
16.6663,1.0000,439.5462,1.1631,0.3598,16.6748,16.6536,15.2714,0.0013,-1.0000
16.6665,1.0000,439.5631,1.4801,0.3725,16.6640,16.6570,15.4677,0.0011,-1.0000
16.6677,1.0000,439.5796,1.2530,0.3125,16.6550,16.6614,15.2572,0.0014,-1.0000
16.6657,1.0000,439.5963,1.0654,0.4089,16.6816,16.6528,15.3997,0.0012,-1.0000
16.6666,1.0000,439.6128,1.3806,0.3665,16.6629,16.6576,15.4206,0.0012,-1.0000
16.6676,1.0000,439.6296,1.1879,0.3094,16.6660,16.6608,15.4671,0.0010,-1.0000
16.6663,1.0000,439.6463,1.4026,0.3287,16.6708,16.6584,15.3182,0.0013,-1.0000
16.6660,1.0000,439.6629,1.2518,0.3450,16.6621,16.6552,15.2815,0.0011,-1.0000
16.6680,1.0000,439.6796,1.2357,0.3753,16.6662,16.6631,15.4061,0.0012,-1.0000
16.6666,1.0000,439.6963,1.1925,0.4178,16.6695,16.6605,15.3261,0.0010,-1.0000
16.6648,1.0000,439.7128,1.3387,0.3552,16.6665,16.6443,15.4937,0.0011,-1.0000
16.6685,1.0000,439.7297,1.3725,0.3224,16.6634,16.6690,15.6378,0.0012,-1.0000
16.6675,1.0000,439.7463,1.2557,0.3367,16.6718,16.6570,15.1570,0.0014,-1.0000
16.6657,1.0000,439.7629,1.3333,0.3181,16.6705,16.6539,15.3060,0.0014,-1.0000
16.6671,1.0000,439.7797,1.1495,0.3157,16.6519,16.6612,15.4418,0.0011,-1.0000
16.6666,1.0000,439.7962,1.0299,0.3807,16.6790,16.6550,15.1369,0.0013,-1.0000
16.6646,1.0000,439.8129,1.4984,0.3287,16.6654,16.6510,15.5135,0.0016,-1.0000
16.6678,1.0000,439.8296,1.3463,0.3632,16.6628,16.6622,15.3919,0.0011,-1.0000
16.6674,1.0000,439.8463,1.2181,0.3969,16.6712,16.6623,15.3291,0.0010,-1.0000
16.6660,1.0000,439.8630,1.5167,0.3064,16.6639,16.6555,15.4368,0.0011,-1.0000
16.6706,1.0000,439.8797,1.1362,0.3604,16.6586,16.7315,15.4247,0.0012,-1.0000
16.6659,1.0000,439.8963,1.2695,0.3271,16.6709,16.5618,15.2334,0.0014,-1.0000
16.6651,1.0000,439.9128,1.3321,0.3550,16.6710,16.6516,15.3692,0.0013,-1.0000
16.6682,1.0000,439.9296,1.2176,0.3283,16.6652,16.6673,15.6021,0.0011,-1.0000
16.6669,1.0000,439.9463,1.3053,0.4038,16.7401,16.6589,15.2721,0.0010,-1.0000
16.6663,1.0000,439.9630,1.3270,0.2979,16.5969,16.6556,15.3441,0.0012,-1.0000
16.6671,1.0000,439.9797,1.2812,0.2959,16.6588,16.6591,15.3399,0.0011,-1.0000
16.6675,1.0000,439.9962,1.0643,0.3420,16.6759,16.6593,15.0465,0.0014,-1.0000
16.6657,1.0000,440.0128,1.3857,0.3479,16.6676,16.6518,15.3771,0.0013,-1.0000
16.6671,1.0000,440.0297,1.3105,0.3159,16.6644,16.6602,15.5178,0.0013,-1.0000
16.6673,1.0000,440.0463,1.3181,0.3974,16.6673,16.6598,15.1009,0.0012,-1.0000
16.6651,1.0000,440.0630,1.6113,0.3327,16.6693,16.6544,15.3609,0.0012,-1.0000
16.6697,1.0000,440.0797,1.2732,0.3311,16.6611,16.6684,15.3279,0.0012,-1.0000
16.6662,1.0000,440.0963,1.1411,0.4352,16.6688,16.6629,14.6800,0.0016,-1.0000
