frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6673,1.0000,182.1532,1.1518,0.3824,16.6724,16.6574,15.3414,0.0014,-1.0000
16.6651,1.0000,182.1696,1.3182,0.3176,16.6704,16.6467,14.9119,0.0014,-1.0000
16.8462,1.0000,182.1873,1.3511,0.2653,16.6644,16.8449,15.5904,0.0012,-1.0000
16.6675,1.0000,182.2033,1.2799,0.2913,16.6724,16.6564,14.4407,0.0014,-1.0000
16.6647,1.0000,182.2198,1.3146,0.2773,16.6682,16.6528,14.5493,0.0016,-1.0000
16.6682,1.0000,182.2364,1.7331,0.2888,16.6560,16.6641,15.3073,0.0014,-1.0000
16.6674,1.0000,182.2531,1.2533,0.2715,16.8522,16.6549,15.0842,0.0016,-1.0000
16.6642,1.0000,182.2697,2.2142,0.3710,16.6658,16.6503,15.3500,0.0013,-1.0000
16.6702,1.0000,182.2866,2.1022,0.2762,16.6613,16.6740,15.3753,0.0011,-1.0000
16.6673,1.0000,182.3032,1.3556,0.2770,16.6744,16.6525,14.9745,0.0013,-1.0000
16.6616,1.0000,182.3197,1.5689,0.2603,16.6650,16.6408,15.2336,0.0011,-1.0000
16.6705,1.0000,182.3364,1.2989,0.2606,16.6573,16.6941,15.6119,0.0009,-1.0000
16.6676,1.0000,182.3531,1.2973,0.3444,16.6846,16.6104,15.3874,0.0011,-1.0000
16.6661,1.0000,182.3697,1.6764,0.2763,16.6634,16.6553,15.3445,0.0013,-1.0000
16.6676,1.0000,182.3864,1.4064,0.2435,16.6489,16.6631,15.4847,0.0010,-1.0000
16.6662,1.0000,182.4031,1.1027,0.4515,16.7252,16.6550,15.2030,0.0012,-1.0000
16.6661,1.0000,182.4197,1.2217,0.2773,16.6201,16.6535,15.3057,0.0012,-1.0000
16.6672,1.0000,182.4363,1.3095,0.2922,16.6642,16.6618,15.4969,0.0013,-1.0000
16.6684,1.0000,182.4533,1.1774,0.3128,16.6721,16.6612,15.3756,0.0011,-1.0000
16.6648,1.0000,182.4697,1.4506,0.2800,16.6641,16.6499,15.2902,0.0013,-1.0000
16.6682,1.0000,182.4864,1.3466,0.2749,16.6621,16.6643,15.4583,0.0012,-1.0000
16.6662,1.0000,182.5031,1.1640,0.3098,16.6711,16.6577,15.1669,0.1506,-1.0000
16.6660,1.0000,182.5198,1.2843,0.2671,16.6713,16.6532,15.4476,0.0011,-1.0000
16.6675,1.0000,182.5363,1.3585,0.2760,16.6585,16.6608,15.4563,0.0012,-1.0000
16.6671,1.0000,182.5531,1.2048,0.3129,16.6725,16.6602,15.4781,0.0011,-1.0000
16.6665,1.0000,182.5697,1.3404,0.2814,16.6664,16.6558,15.4057,0.0012,-1.0000
16.6667,1.0000,182.5864,1.2046,0.2601,16.6619,16.6598,15.2882,0.0011,-1.0000
16.6678,1.0000,182.6031,1.2031,0.2705,16.6700,16.6632,15.3579,0.0013,-1.0000
16.6657,1.0000,182.6198,1.1809,0.2649,16.6683,16.6506,15.2778,0.0011,-1.0000
16.6667,1.0000,182.6364,1.2490,0.2782,16.6652,16.6592,15.4591,0.0011,-1.0000
16.6674,1.0000,182.6531,1.3703,0.4205,16.6679,16.6592,15.1925,0.0013,-1.0000
16.6659,1.0000,182.6698,1.3040,0.3239,16.6721,16.6539,15.2155,0.0013,-1.0000
16.6677,1.0000,182.6865,1.3716,0.2457,16.6597,16.6606,15.4339,0.0012,-1.0000
16.6661,1.0000,182.7031,1.1988,0.3106,16.6684,16.6554,15.1641,0.0011,-1.0000
16.6670,1.0000,182.7198,1.4653,0.2664,16.6690,16.6601,15.3023,0.0013,-1.0000
16.6657,1.0000,182.7363,1.4368,0.2710,16.6625,16.6528,15.3322,0.0012,-1.0000
16.6684,1.0000,182.7531,1.2252,0.3620,16.6696,16.6599,15.5518,0.0011,-1.0000
16.6655,1.0000,182.7697,1.4902,0.3049,16.6647,16.6559,15.3964,0.0012,-1.0000
16.6678,1.0000,182.7865,1.3564,0.3289,16.6698,16.6651,15.3977,0.0012,-1.0000
16.6668,1.0000,182.8031,1.3190,0.2563,16.6621,16.6526,15.2510,0.0012,-1.0000
16.6665,1.0000,182.8198,1.1065,0.2588,16.6682,16.6600,15.3479,0.0012,-1.0000
16.6667,1.0000,182.8363,1.2584,0.2598,16.6646,16.6564,15.4322,0.0013,-1.0000
16.6676,1.0000,182.8531,1.2663,0.3140,16.6751,16.6604,15.4638,0.0012,-1.0000
16.6654,1.0000,182.8697,1.4003,0.2484,16.6615,16.6522,15.3899,0.0012,-1.0000
16.6677,1.0000,182.8865,1.3111,0.2984,16.6688,16.6896,15.5136,0.0012,-1.0000
16.6671,1.0000,182.9031,1.2225,0.3283,16.6649,16.6354,15.2312,0.0012,-1.0000
16.6670,1.0000,182.9198,1.1953,0.2658,16.6686,16.6563,15.3350,0.0014,-1.0000
16.6656,1.0000,182.9363,1.2610,0.3009,16.6604,16.6538,15.1953,0.0012,-1.0000
16.6671,1.0000,182.9531,1.1746,0.3031,16.6982,16.6606,15.4973,0.0015,-1.0000
16.6648,1.0000,182.9698,1.4033,0.2641,16.6447,16.6485,15.4505,0.0013,-1.0000
16.6688,1.0000,182.9865,1.3196,0.3008,16.6656,16.6695,15.4345,0.0014,-1.0000
16.6667,1.0000,183.0031,1.4574,0.2775,16.6627,16.6546,15.0112,0.0012,-1.0000
16.6661,1.0000,183.0197,1.1615,0.2540,16.6692,16.6577,15.3660,0.0011,-1.0000
16.6710,1.0000,183.0364,1.1967,0.3124,16.6560,16.6652,15.4016,0.0010,-1.0000
16.6630,1.0000,183.0531,1.2336,0.3390,16.6785,16.6482,15.2413,0.0014,-1.0000
16.6661,1.0000,183.0698,1.6421,0.3094,16.6635,16.6554,15.3671,0.0012,-1.0000
16.6699,1.0000,183.0865,1.2907,0.3390,16.6664,16.6697,15.4592,0.0013,-1.0000
16.6645,1.0000,183.1031,1.2619,0.3576,16.6752,16.6684,15.0702,0.0014,-1.0000
16.6668,1.0000,183.1198,1.4054,0.2614,16.6584,16.6367,15.3885,0.0011,-1.0000
16.6691,1.0000,183.1371,1.2873,0.2636,16.6640,16.6642,15.4830,0.0011,-1.0000
16.6647,1.0000,183.1531,1.2090,0.3322,16.6805,16.5968,14.6293,0.0020,-1.0000
16.6643,1.0000,183.1697,1.5967,0.2695,16.6790,16.6498,15.4091,0.0011,-1.0000
