frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6632,1.0000,94.7255,1.1512,0.3228,16.6536,16.6411,14.8664,0.0015,-1.0000
16.6684,1.0000,94.7422,1.4487,0.7223,16.6607,16.6689,15.3999,0.0010,-1.0000
16.6681,1.0000,94.7589,6.1629,0.4214,16.6724,16.6558,15.2913,0.0007,-1.0000
16.6650,1.0000,94.7755,1.6235,0.4072,16.6711,16.6503,15.3792,0.0011,-1.0000
16.6689,1.0000,94.7924,1.7735,0.5382,16.6492,16.6697,15.3259,0.0011,-1.0000
16.6680,1.0000,94.8089,1.2678,0.3489,16.6814,16.6582,14.8389,0.0014,-1.0000
16.6640,1.0000,94.8256,1.3637,0.3177,16.6642,16.6451,15.2542,0.0012,-1.0000
16.6683,1.0000,94.8422,1.2700,0.3131,16.6585,16.6672,15.2286,0.0011,-1.0000
16.6673,1.0000,94.8590,1.3423,0.5393,16.6806,16.6560,15.2162,0.0012,-1.0000
16.6666,1.0000,94.8756,1.8176,0.3065,16.6697,16.6502,15.1704,0.0014,-1.0000
16.6680,1.0000,94.8924,1.3897,0.3316,16.6547,16.6619,15.1593,0.0015,-1.0000
16.6657,1.0000,94.9089,1.4375,0.3107,16.6772,16.6497,14.8067,0.0015,-1.0000
16.6653,1.0000,94.9255,1.4383,0.3736,16.6677,16.6529,15.3193,0.0012,-1.0000
16.6658,1.0000,94.9421,1.4782,0.3480,16.6609,16.6534,15.3087,0.0012,-1.0000
16.6692,1.0000,94.9590,1.5011,0.3507,16.6733,16.6659,15.2658,0.0011,-1.0000
16.6663,1.0000,94.9756,1.8415,0.3008,16.6606,16.6542,15.2468,0.0015,-1.0000
16.6684,1.0000,94.9923,1.3325,0.3855,16.6612,16.6659,15.3503,0.0012,-1.0000
16.6651,1.0000,95.0089,1.3437,0.3938,16.6626,16.6506,15.1047,0.0014,-1.0000
16.6646,1.0000,95.0255,1.3987,0.4537,16.6747,16.6512,15.4016,0.0013,-1.0000
16.6696,1.0000,95.0422,1.4059,0.3118,16.6628,16.6696,15.4250,0.0009,-1.0000
16.6664,1.0000,95.0589,1.3141,0.3862,16.6759,16.6548,15.2679,0.0012,-1.0000
16.6662,1.0000,95.0756,1.5445,0.3057,16.6608,16.6547,15.3056,0.0011,-1.0000
16.6680,1.0000,95.0923,1.2486,0.2874,16.6587,16.6674,15.2755,0.0013,-1.0000
16.6662,1.0000,95.1089,1.2438,0.3087,16.6779,16.6534,15.0178,0.0012,-1.0000
16.6651,1.0000,95.1255,1.3855,0.3172,16.6636,16.6470,15.3987,0.0012,-1.0000
16.6676,1.0000,95.1421,1.3477,0.3180,16.6641,16.6623,15.3629,0.0009,-1.0000
16.6685,1.0000,95.1589,1.3904,0.4595,16.6769,16.6633,15.4618,0.0011,-1.0000
