frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6651,1.0000,381.2607,1.2129,0.2896,16.6612,16.6390,14.7065,0.0012,-1.0000
16.6658,1.0000,381.2774,1.2781,0.3201,16.6672,16.6565,15.3561,0.0012,-1.0000
16.6695,1.0000,381.2941,1.2161,0.3159,16.6656,16.6666,15.3459,0.0011,-1.0000
16.6653,1.0000,381.3106,1.3190,0.3698,16.6834,16.6522,15.0956,0.0013,-1.0000
16.6664,1.0000,381.3273,1.9311,0.2915,16.6498,16.6566,15.4202,0.0010,-1.0000
16.6671,1.0000,381.3440,1.2992,0.2833,16.6647,16.6598,15.4244,0.0013,-1.0000
16.6663,1.0000,381.3607,1.3191,0.4751,16.6766,16.6565,14.7426,0.0011,-1.0000
16.6663,1.0000,381.3773,1.5553,0.2849,16.6620,16.6555,15.4309,0.0011,-1.0000
16.8549,1.0000,381.3944,1.2354,0.2640,16.6649,16.8549,15.6816,0.0011,-1.0000
16.6654,1.0000,381.4108,1.2337,0.3826,16.6687,16.6487,14.9844,0.0015,-1.0000
16.6663,1.0000,381.4276,1.9125,0.2815,16.6645,16.6570,15.4294,0.0012,-1.0000
16.6681,1.0000,381.4443,1.2232,0.2727,16.6631,16.6640,15.3942,0.0015,-1.0000
16.6656,1.0000,381.4609,1.1723,0.3566,16.8641,16.6506,15.2129,0.0012,-1.0000
16.6658,1.0000,381.4774,1.6629,0.2952,16.6598,16.6511,15.3182,0.0012,-1.0000
16.6738,1.0000,381.4943,1.2264,0.2943,16.6656,16.6821,15.5385,0.0008,-1.0000
16.6608,1.0000,381.5108,1.2682,0.4873,16.6745,16.6373,15.1363,0.0014,-1.0000
16.6663,1.0000,381.5275,1.4363,0.2771,16.6614,16.6555,15.4529,0.0011,-1.0000
16.6689,1.0000,381.5445,1.3317,0.3247,16.6581,16.6954,15.4117,0.0011,-1.0000
16.6650,1.0000,381.5609,1.1423,0.3381,16.6932,16.6189,15.0561,0.0013,-1.0000
16.6656,1.0000,381.5775,1.4995,0.3023,16.6476,16.6592,15.4693,0.0011,-1.0000
16.6687,1.0000,381.5942,1.2014,0.2755,16.6641,16.6636,15.4061,0.0011,-1.0000
16.6666,1.0000,381.6108,1.2821,0.3636,16.7055,16.6579,15.3003,0.0011,-1.0000
16.6665,1.0000,381.6275,1.5612,0.2778,16.6280,16.6517,15.4474,0.0011,-1.0000
16.6681,1.0000,381.6443,1.1883,0.2672,16.6663,16.6617,15.4675,0.0010,-1.0000
16.6650,1.0000,381.6609,1.2564,0.3024,16.6726,16.6556,15.1492,0.0014,-1.0000
16.6666,1.0000,381.6775,1.3562,0.2674,16.6683,16.6574,15.4218,0.0012,-1.0000
16.6683,1.0000,381.6943,1.2027,0.2786,16.6610,16.6653,15.4992,0.0011,-1.0000
16.6660,1.0000,381.7108,1.1926,0.4074,16.6701,16.6491,15.0512,0.0012,-1.0000
16.6668,1.0000,381.7276,1.5051,0.2724,16.6643,16.6611,15.4287,0.0012,-1.0000
16.6685,1.0000,381.7447,1.2344,0.2916,16.6655,16.7820,15.1540,0.0013,-1.0000
16.6641,1.0000,381.7609,1.1648,0.3665,16.6760,16.5245,14.8103,0.0014,-1.0000
16.6662,1.0000,381.7775,1.5963,0.3013,16.6584,16.6592,15.4409,0.0013,-1.0000
16.6689,1.0000,381.7942,1.2307,0.3140,16.6702,16.6638,14.9167,0.0010,-1.0000
16.6626,1.0000,381.8107,1.6266,0.2693,16.7930,16.6409,15.4367,0.0014,-1.0000
16.6704,1.0000,381.8275,1.7131,0.2797,16.5341,16.6780,15.8060,0.0008,-1.0000
16.6669,1.0000,381.8444,1.2168,0.3388,16.6680,16.6566,15.3360,0.0012,-1.0000
16.6653,1.0000,381.8609,1.7458,0.2613,16.6716,16.6523,14.9380,0.0013,-1.0000
16.6671,1.0000,381.8775,1.2028,0.2388,16.6482,16.6584,15.2927,0.0014,-1.0000
16.6672,1.0000,381.8942,0.8710,0.2856,16.6857,16.6632,15.4213,0.0010,-1.0000
16.6650,1.0000,381.9107,1.3192,0.3751,16.6671,16.6461,15.3869,0.0012,-1.0000
16.6684,1.0000,381.9276,1.7136,0.3325,16.6622,16.6693,15.5496,0.0010,-1.0000
16.6679,1.0000,381.9442,1.3642,0.2784,16.6671,16.6612,15.2559,0.0016,-1.0000
16.6640,1.0000,381.9608,1.2408,0.2865,16.6721,16.6473,15.3623,0.0013,-1.0000
16.6689,1.0000,381.9775,1.2580,0.2750,16.6547,16.6683,15.5065,0.0014,-1.0000
16.6676,1.0000,381.9942,1.1192,0.3929,16.6763,16.6594,15.3858,0.0011,-1.0000
16.6637,1.0000,382.0107,1.4032,0.2997,16.6699,16.6490,15.3114,0.0012,-1.0000
16.6691,1.0000,382.0277,1.2837,0.2782,16.6546,16.6693,15.5789,0.0011,-1.0000
16.6669,1.0000,382.0442,1.1604,0.3111,16.6765,16.6551,15.0208,0.0011,-1.0000
16.6650,1.0000,382.0609,1.2724,0.2881,16.6692,16.6496,15.4373,0.0012,-1.0000
17.1756,1.0000,382.0782,1.3366,0.2612,16.6565,17.1744,15.9629,0.0014,-1.0000
16.6652,1.0000,382.0947,1.0893,0.2965,16.6781,16.6523,14.9448,0.0015,-1.0000
16.6634,1.0000,382.1112,1.6330,0.2654,16.6640,16.6449,15.4572,0.0016,-1.0000
16.6690,1.0000,382.1281,1.2109,0.2771,16.6583,16.6725,15.7733,0.0009,-1.0000
16.6687,1.0000,382.1448,1.2100,0.2899,17.1842,16.6635,15.4439,0.0008,-1.0000
16.6663,1.0000,382.1614,1.7060,0.2987,16.6615,16.6577,15.0340,0.0013,-1.0000
16.6664,1.0000,382.1780,1.1863,0.2430,16.6505,16.6582,15.3332,0.0013,-1.0000
16.6676,1.0000,382.1947,0.8983,0.2463,16.6786,16.6588,15.3883,0.0012,-1.0000
16.6659,1.0000,382.2113,1.2185,0.3506,16.6712,16.6561,15.3176,0.0009,-1.0000
16.6655,1.0000,382.2280,1.6224,0.3118,16.6665,16.6565,15.4512,0.0011,-1.0000
16.6690,1.0000,382.2448,1.3238,0.3711,16.6665,16.6651,15.4791,0.0010,-1.0000
16.6657,1.0000,382.2614,1.2691,0.3052,16.6672,16.6555,15.3570,0.0012,-1.0000
16.6671,1.0000,382.2780,1.3374,0.2810,16.6645,16.6556,15.3739,0.0011,-1.0000
16.6679,1.0000,382.2948,1.2043,0.2601,16.6647,16.6629,15.4071,0.0014,-1.0000
16.6661,1.0000,382.3113,1.1852,0.3097,16.6724,16.6563,15.2238,0.0015,-1.0000
16.6650,1.0000,382.3281,1.2974,0.3195,16.6655,16.6524,15.5143,0.0010,-1.0000
16.6692,1.0000,382.3449,1.2804,0.2956,16.6639,16.6708,15.3554,0.0012,-1.0000
16.6659,1.0000,382.3614,1.2543,0.2813,16.6709,16.6473,15.0381,0.0015,-1.0000
16.6661,1.0000,382.3780,1.4309,0.2757,16.6659,16.6538,15.3546,0.0013,-1.0000
16.6684,1.0000,382.3948,1.1370,0.2786,16.6602,16.6649,15.4296,0.0010,-1.0000
16.6659,1.0000,382.4113,1.3140,0.3520,16.6825,16.6535,15.2908,0.0010,-1.0000
16.6643,1.0000,382.4280,1.6076,0.3463,16.6571,16.6541,15.5000,0.0011,-1.0000
16.6703,1.0000,382.4448,1.2978,0.3117,16.6625,16.6698,15.4404,0.0010,-1.0000
16.6654,1.0000,382.4614,1.2341,0.3253,16.6734,16.6541,15.2417,0.0012,-1.0000
16.6662,1.0000,382.4780,1.3615,0.2804,16.6626,16.6545,15.3553,0.0012,-1.0000
16.6686,1.0000,382.4950,1.1530,0.2653,16.6616,16.6627,15.3346,0.0013,-1.0000
16.6657,1.0000,382.5113,1.2280,0.3248,16.6780,16.6558,14.9514,0.0014,-1.0000
16.6652,1.0000,382.5280,1.4114,0.3369,16.6637,16.6538,15.4063,0.0013,-1.0000
16.7032,1.0000,382.5449,1.2981,0.2962,16.6629,16.7447,15.4997,0.0012,-1.0000
16.6312,1.0000,382.5614,1.3267,0.3522,16.6712,16.5726,14.6521,0.0011,-1.0000
16.6682,1.0000,382.5781,1.7032,0.2828,16.6653,16.6584,15.3552,0.0015,-1.0000
16.6666,1.0000,382.5947,1.2462,0.3145,16.6631,16.6603,15.2362,0.0013,-1.0000
16.6669,1.0000,382.6113,1.2435,0.2898,16.7536,16.6573,15.2559,0.0010,-1.0000
16.6639,1.0000,382.6280,1.9191,0.2802,16.5826,16.6613,15.3289,0.0011,-1.0000
16.6690,1.0000,382.6448,1.3016,0.3117,16.6675,16.6566,15.5130,0.0012,-1.0000
16.6672,1.0000,382.6614,1.4222,0.3071,16.6697,16.6519,15.2266,0.0012,-1.0000
16.6642,1.0000,382.6780,1.4002,0.2770,16.6678,16.6524,15.3595,0.0012,-1.0000
16.6698,1.0000,382.6948,1.3313,0.2760,16.6692,16.6698,15.4115,0.0011,-1.0000
16.6658,1.0000,382.7113,1.1424,0.3419,16.6658,16.6518,14.9329,0.0015,-1.0000
16.6664,1.0000,382.7281,1.4241,0.2838,16.6614,16.6595,15.4914,0.0012,-1.0000
16.6666,1.0000,382.7448,1.2913,0.2805,16.6607,16.6601,15.4027,0.0011,-1.0000
16.6669,1.0000,382.7614,1.2569,0.4074,16.6781,16.6531,15.2098,0.0014,-1.0000
16.6672,1.0000,382.7782,1.7175,0.3621,16.6611,16.6601,15.4472,0.0012,-1.0000
16.6870,1.0000,382.7949,1.1665,0.2866,16.6683,16.6756,15.1913,0.0012,-1.0000
16.6464,1.0000,382.8113,1.2562,0.2585,16.6691,16.6375,15.0570,0.0021,-1.0000
16.6671,1.0000,382.8281,1.4418,0.3406,16.6624,16.6596,15.4317,0.0013,-1.0000
