frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6659,1.0000,408.2854,2.0995,0.2467,16.6590,16.6576,15.2532,0.0011,-1.0000
16.6692,1.0000,408.3017,1.2351,0.3607,16.6697,16.6642,14.0354,0.0012,-1.0000
16.6653,1.0000,408.3183,1.6040,0.4916,16.6725,16.6577,15.0597,0.0014,-1.0000
16.6673,1.0000,408.3350,1.4798,0.2678,16.6587,16.6587,15.3063,0.0011,-1.0000
16.6682,1.0000,408.3519,1.4030,0.3231,16.6652,16.6669,15.0468,0.0011,-1.0000
16.6644,1.0000,408.3681,2.6276,0.3478,16.6722,16.6412,15.0057,0.0014,-1.0000
16.6661,1.0000,408.3849,1.5970,0.2877,16.6659,16.6589,15.5324,0.0010,-1.0000
16.6697,1.0000,408.4021,1.3513,0.3423,16.6680,16.6661,15.4034,0.0013,-1.0000
16.6650,1.0000,408.4183,1.6190,0.3123,16.6780,16.6455,14.8013,0.0017,-1.0000
16.6660,1.0000,408.4349,1.6344,0.2539,16.6510,16.6559,15.3608,0.0012,-1.0000
16.6681,1.0000,408.4516,1.1254,0.2597,16.6673,16.6624,15.3397,0.0012,-1.0000
16.6662,1.0000,408.4681,1.2613,0.3123,16.6781,16.6562,15.2684,0.0012,-1.0000
16.6660,1.0000,408.4850,1.8428,0.2782,16.6567,16.6635,15.4810,0.0012,-1.0000
16.6683,1.0000,408.5016,1.2939,0.3436,16.6643,16.6550,15.0916,0.0017,-1.0000
16.6632,1.0000,408.5182,1.3214,0.2614,16.6707,16.6445,15.4510,0.0013,-1.0000
16.6685,1.0000,408.5351,1.3865,0.2491,16.6642,16.7342,15.6299,0.0010,-1.0000
16.6684,1.0000,408.5516,1.1815,0.2678,16.6731,16.6005,15.1505,0.0012,-1.0000
16.6666,1.0000,408.5683,1.5619,0.2622,16.6633,16.6839,15.1638,0.0014,-1.0000
16.6668,1.0000,408.5849,1.1923,0.2198,16.6516,16.6297,15.2671,0.0012,-1.0000
16.6677,1.0000,408.6017,1.1032,0.2616,16.7418,16.6621,15.2963,0.0016,-1.0000
16.6654,1.0000,408.6183,1.4486,0.3204,16.6076,16.6537,14.9937,0.0013,-1.0000
16.6656,1.0000,408.6349,1.5185,0.2725,16.6933,16.6520,15.3012,0.0012,-1.0000
16.6685,1.0000,408.6516,1.3612,0.2725,16.6382,16.6651,15.4372,0.0011,-1.0000
16.6667,1.0000,408.6682,1.3642,0.2858,16.6711,16.6579,15.2752,0.0011,-1.0000
16.6655,1.0000,408.6849,1.6590,0.2614,16.6637,16.6556,15.4279,0.0013,-1.0000
16.6679,1.0000,408.7024,1.3497,0.2673,16.6600,16.6663,15.3795,0.0012,-1.0000
16.6669,1.0000,408.7183,1.2268,0.2718,16.6726,16.6549,14.5645,0.0014,-1.0000
16.6657,1.0000,408.7349,1.3819,0.2924,16.6665,16.6525,15.3682,0.0009,-1.0000
16.6681,1.0000,408.7516,1.2264,0.3030,16.6634,16.6629,15.4179,0.0011,-1.0000
