frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6655,1.0000,266.1353,1.3175,0.2859,16.9556,16.6546,15.3256,0.0013,-1.0000
16.6663,1.0000,266.1516,1.3043,0.2655,16.3843,16.6563,15.3196,0.0011,-1.0000
16.6679,1.0000,266.1685,1.2821,0.2600,16.6544,16.6636,15.6060,0.0012,-1.0000
16.6666,1.0000,266.1851,1.0993,0.2839,16.6809,16.6564,15.3469,0.0016,-1.0000
16.6658,1.0000,266.2018,1.3278,0.2727,16.6633,16.6529,15.4713,0.0012,-1.0000
16.6680,1.0000,266.2185,1.3352,0.3081,16.6642,16.6667,15.4069,0.0014,-1.0000
16.6667,1.0000,266.2351,1.0562,0.3429,16.6708,16.6584,15.3134,0.0011,-1.0000
16.6664,1.0000,266.2516,1.3079,0.2740,16.6652,16.6564,15.3794,0.0012,-1.0000
16.6669,1.0000,266.2685,1.1803,0.2634,16.6606,16.6578,15.5101,0.0011,-1.0000
16.6668,1.0000,266.2852,1.2583,0.3082,16.6741,16.6596,15.1480,0.0013,-1.0000
16.6663,1.0000,266.3018,1.3436,0.2822,16.6678,16.6564,15.2655,0.0011,-1.0000
16.7235,1.0000,266.3186,1.2756,0.3141,16.6657,16.7160,15.3655,0.0011,-1.0000
16.6107,1.0000,266.3351,1.1462,0.3564,16.6665,16.5998,15.2021,0.0013,-1.0000
16.6674,1.0000,266.3517,1.5098,0.3015,16.6690,16.6520,15.3294,0.0013,-1.0000
16.6654,1.0000,266.3686,1.3896,0.2938,16.6661,16.6639,15.4049,0.0011,-1.0000
16.6691,1.0000,266.3858,1.3492,0.3075,16.7264,16.6623,15.1338,0.0014,-1.0000
16.6652,1.0000,266.4018,1.3960,0.3076,16.6114,16.6427,14.3987,0.0016,-1.0000
16.6658,1.0000,266.4185,1.3213,0.2911,16.6625,16.6507,15.4482,0.0012,-1.0000
16.6691,1.0000,266.4353,1.2577,0.3343,16.6741,16.6632,15.3436,0.0014,-1.0000
16.6648,1.0000,266.4517,1.5275,0.4309,16.6757,16.6536,14.9977,0.0014,-1.0000
16.6655,1.0000,266.4684,2.2423,0.2974,16.6531,16.6585,15.5008,0.0013,-1.0000
16.7101,1.0000,266.4853,1.2013,0.2654,16.6601,16.7086,15.4585,0.0010,-1.0000
16.6635,1.0000,266.5018,1.3180,0.4938,16.6714,16.6407,15.2607,0.0013,-1.0000
16.6692,1.0000,266.5185,1.6544,0.2867,16.6625,16.6705,15.5197,0.0010,-1.0000
16.6664,1.0000,266.5353,1.1565,0.2552,16.6661,16.6792,15.3771,0.0014,-1.0000
16.6645,1.0000,266.5517,1.2490,0.2622,16.7186,16.6252,15.2827,0.0011,-1.0000
16.6667,1.0000,266.5685,1.3784,0.2617,16.6489,16.6655,15.6886,0.0008,-1.0000
16.6694,1.0000,266.5852,1.1495,0.2818,16.6781,16.6631,15.3736,0.0011,-1.0000
16.6639,1.0000,266.6018,1.3005,0.3295,16.6894,16.6513,15.2613,0.0011,-1.0000
16.6685,1.0000,266.6185,1.3414,0.2382,16.6324,16.6627,15.3821,0.0011,-1.0000
16.6689,1.0000,266.6352,0.9761,0.2607,16.6739,16.6672,15.4444,0.0012,-1.0000
16.6650,1.0000,266.6517,1.2886,1.0789,16.6712,16.6508,15.3143,0.0016,-1.0000
16.6661,1.0000,266.6685,1.3890,0.2832,16.6588,16.6567,15.4390,0.0011,-1.0000
16.6680,1.0000,266.6852,1.2794,0.2662,16.6696,16.6608,15.5221,0.0013,-1.0000
16.6664,1.0000,266.7018,1.2214,0.3181,16.6757,16.6570,15.3421,0.0014,-1.0000
16.6652,1.0000,266.7185,1.3348,0.3205,16.6611,16.6549,15.3658,0.0011,-1.0000
16.6695,1.0000,266.7352,1.2161,0.2788,16.6653,16.6645,15.2872,0.0011,-1.0000
16.6656,1.0000,266.7517,1.1373,0.3907,16.6695,16.6533,15.2063,0.0013,-1.0000
16.6665,1.0000,266.7685,1.3137,0.2886,16.6662,16.6587,15.5477,0.0011,-1.0000
16.6670,1.0000,266.7852,1.2879,0.3125,16.6637,16.6573,15.4160,0.0010,-1.0000
16.6665,1.0000,266.8018,1.3759,0.3556,16.6728,16.6534,15.2416,0.0013,-1.0000
16.6674,1.0000,266.8185,1.4458,0.2994,16.6625,16.6597,15.3784,0.0015,-1.0000
16.8965,1.0000,266.8355,1.1098,0.2688,16.6681,16.8965,15.6410,0.0013,-1.0000
16.6651,1.0000,266.8519,1.2402,0.3218,16.6675,16.6425,15.1550,0.0012,-1.0000
16.6677,1.0000,266.8687,1.4104,0.2928,16.6622,16.6636,15.5646,0.0012,-1.0000
16.6673,1.0000,266.8855,1.2798,0.2866,16.6684,16.6619,15.3121,0.0013,-1.0000
16.6645,1.0000,266.9020,1.2543,0.3613,16.9072,16.6454,14.7953,0.0014,-1.0000
16.6677,1.0000,266.9187,1.4862,0.2745,16.6524,16.6674,15.5278,0.0011,-1.0000
16.6691,1.0000,266.9355,1.0977,0.2924,16.6714,16.6639,15.3206,0.0010,-1.0000
16.6639,1.0000,266.9519,1.3483,0.3292,16.6717,16.6446,15.1729,0.0011,-1.0000
16.6679,1.0000,266.9687,1.8487,0.2672,16.6538,16.6644,15.5558,0.0010,-1.0000
16.6676,1.0000,266.9855,1.1386,0.3125,16.6754,16.6594,15.4763,0.0009,-1.0000
16.6640,1.0000,267.0020,1.3416,0.3246,16.6748,16.6471,15.1624,0.0014,-1.0000
16.6691,1.0000,267.0187,1.4706,0.2738,16.6540,16.6678,15.5865,0.0011,-1.0000
16.6689,1.0000,267.0355,1.1073,0.2694,16.6720,16.6633,15.2059,0.0015,-1.0000
16.6630,1.0000,267.0519,1.1819,0.3083,16.6691,16.6445,15.1745,0.0012,-1.0000
16.6667,1.0000,267.0687,1.4832,0.3012,16.6547,16.6622,15.5862,0.0011,-1.0000
16.6702,1.0000,267.0855,1.0799,0.3500,16.6755,16.6686,15.4677,0.0009,-1.0000
16.6632,1.0000,267.1021,1.4559,0.3414,16.6735,16.6451,15.1117,0.0013,-1.0000
16.6680,1.0000,267.1187,1.4690,0.2744,16.6534,16.6622,15.4831,0.0010,-1.0000
16.6688,1.0000,267.1354,1.0750,0.3065,16.6697,16.6657,15.2604,0.0013,-1.0000
16.6643,1.0000,267.1519,1.1998,0.2976,16.6783,16.6490,15.3147,0.0013,-1.0000
16.6674,1.0000,267.1688,1.5321,0.2732,16.6544,16.6644,15.4802,0.0011,-1.0000
16.6678,1.0000,267.1854,1.1782,0.3406,16.6700,16.6583,15.0980,0.0011,-1.0000
16.6640,1.0000,267.2021,1.4041,0.2909,16.6738,16.6472,15.3000,0.0013,-1.0000
16.6685,1.0000,267.2188,1.3330,0.3124,16.6568,16.6711,15.4608,0.0012,-1.0000
16.6678,1.0000,267.2354,1.1829,0.3722,16.6744,16.6573,15.3618,0.0014,-1.0000
16.6663,1.0000,267.2520,1.5592,0.2806,16.6669,16.6549,15.4180,0.0015,-1.0000
16.6667,1.0000,267.2687,1.3460,0.2758,16.6544,16.6580,15.3518,0.0012,-1.0000
16.6673,1.0000,267.2854,1.2089,0.3124,16.6794,16.6548,15.3314,0.0010,-1.0000
16.6661,1.0000,267.3021,1.2940,0.2849,16.6660,16.6558,15.3665,0.0013,-1.0000
16.6672,1.0000,267.3187,1.2351,0.3530,16.6655,16.6621,15.3532,0.0012,-1.0000
16.6670,1.0000,267.3355,1.3049,0.3163,16.6684,16.6584,15.3397,0.0013,-1.0000
16.6672,1.0000,267.3520,1.3223,0.2696,16.6646,16.6531,15.1260,0.0017,-1.0000
16.6671,1.0000,267.3688,1.2879,0.2844,16.6646,16.6579,15.2926,0.0017,-1.0000
16.6668,1.0000,267.3854,1.3080,0.2640,16.6731,16.6602,15.0818,0.0020,-1.0000
16.6645,1.0000,267.4021,1.3174,0.3351,16.6695,16.6456,15.4207,0.0009,-1.0000
16.6674,1.0000,267.4187,1.5253,0.3663,16.6633,16.6600,15.3909,0.0011,-1.0000
16.6679,1.0000,267.4354,1.3639,0.4027,16.6663,16.6617,15.4119,0.0011,-1.0000
16.6660,1.0000,267.4520,1.5764,0.2721,16.6710,16.6556,15.3379,0.0013,-1.0000
16.6681,1.0000,267.4688,1.2239,0.3088,16.6558,16.6659,15.3947,0.0009,-1.0000
16.6653,1.0000,267.4855,1.2678,0.2667,16.6674,16.6507,15.3229,0.0014,-1.0000
16.6665,1.0000,267.5020,1.2484,0.2945,16.6703,16.6536,15.0115,0.0010,-1.0000
16.6668,1.0000,267.5187,1.3164,0.3113,16.6649,16.6575,15.3818,0.0008,-1.0000
16.6676,1.0000,267.5355,1.2699,0.3016,16.6761,16.6613,15.4314,0.0012,-1.0000
16.6662,1.0000,267.5519,1.3265,0.5793,16.6618,16.6569,15.2002,0.0014,-1.0000
16.6665,1.0000,267.5687,1.6411,0.2910,16.6633,16.6537,15.5582,0.0010,-1.0000
16.6687,1.0000,267.5855,1.2749,0.2686,16.6657,16.6685,15.4752,0.0015,-1.0000
16.6655,1.0000,267.6021,1.2285,0.7476,16.6697,16.6501,14.7354,0.0014,-1.0000
16.6656,1.0000,267.6188,1.4550,0.2865,16.6655,16.6539,15.3240,0.0014,-1.0000
16.6685,1.0000,267.6355,1.0941,0.2816,16.6622,16.6627,15.2128,0.0013,-1.0000
16.6654,1.0000,267.6519,1.1916,0.3351,16.6794,16.6511,15.1531,0.0013,-1.0000
16.6655,1.0000,267.6687,1.9132,0.2996,16.6616,16.6513,15.4773,0.0011,-1.0000
16.6705,1.0000,267.6856,1.3283,0.2830,16.6633,16.6785,15.5088,0.0010,-1.0000
16.6654,1.0000,267.7021,1.4486,0.3171,16.6735,16.6418,14.6976,0.0013,-1.0000
16.6645,1.0000,267.7187,1.4966,0.2995,16.6606,16.6588,15.3600,0.0012,-1.0000
16.6698,1.0000,267.7356,1.1728,0.2771,16.6585,16.6664,15.3479,0.0011,-1.0000
16.6649,1.0000,267.7519,1.1682,0.3478,16.6891,16.6420,14.4493,0.0015,-1.0000
16.6657,1.0000,267.7687,1.9430,0.2982,16.6525,16.6555,15.6137,0.0009,-1.0000
16.6692,1.0000,267.7855,1.2974,0.2944,16.6679,16.6687,15.4681,0.0010,-1.0000
16.6662,1.0000,267.8021,1.3167,0.3928,16.6772,16.6515,15.1774,0.0015,-1.0000
16.6659,1.0000,267.8187,2.1914,0.2825,16.6516,16.6578,15.2745,0.0012,-1.0000
16.6682,1.0000,267.8355,1.0406,0.2612,16.6636,16.6635,15.4389,0.0012,-1.0000
16.6652,1.0000,267.8520,1.1994,0.3443,16.6783,16.6502,15.1444,0.0014,-1.0000
16.6657,1.0000,267.8687,1.4723,0.2901,16.6610,16.6523,15.5252,0.0012,-1.0000
16.6685,1.0000,267.8855,1.3817,0.3097,16.6668,16.6661,15.4046,0.0008,-1.0000
16.6667,1.0000,267.9020,1.2232,0.3593,16.6730,16.6579,15.2039,0.0010,-1.0000
16.6666,1.0000,267.9187,1.5045,0.2777,16.6602,16.6570,15.4831,0.0010,-1.0000
16.6684,1.0000,267.9355,1.1259,0.3050,16.6602,16.6617,15.4289,0.0012,-1.0000
16.6653,1.0000,267.9520,1.2604,0.2876,16.6737,16.6544,15.3328,0.0014,-1.0000
16.6651,1.0000,267.9687,1.4528,0.2909,16.6665,16.6505,15.4460,0.0012,-1.0000
16.6696,1.0000,267.9855,1.1726,0.2900,16.6662,16.6761,15.5456,0.0010,-1.0000
16.6659,1.0000,268.0021,1.2313,0.2857,16.6703,16.6453,15.1685,0.0010,-1.0000
16.6658,1.0000,268.0187,1.3203,0.2956,16.6644,16.6562,15.3800,0.0012,-1.0000
16.6686,1.0000,268.0361,1.2035,0.2610,16.6579,16.6640,15.4244,0.0011,-1.0000
16.6652,1.0000,268.0520,1.1294,0.3476,16.6861,16.6552,14.3835,0.0017,-1.0000
16.6668,1.0000,268.0687,1.4755,0.3021,16.6559,16.6593,15.3164,0.0012,-1.0000
16.6677,1.0000,268.0855,1.2747,0.2742,16.6647,16.6705,15.4607,0.0009,-1.0000
16.6663,1.0000,268.1021,1.2384,0.4159,16.6713,16.6406,14.9321,0.0013,-1.0000
16.6650,1.0000,268.1188,2.2702,0.3237,16.6641,16.6540,15.2411,0.0010,-1.0000
16.6686,1.0000,268.1355,1.3418,0.2872,16.6686,16.6640,15.2816,0.0012,-1.0000
16.6666,1.0000,268.1520,1.2088,0.3467,16.6821,16.6593,14.6995,0.0012,-1.0000
16.6657,1.0000,268.1688,1.7072,0.3057,16.6506,16.6534,15.5002,0.0012,-1.0000
16.6671,1.0000,268.1854,1.4121,0.3523,16.6624,16.6550,15.3282,0.0015,-1.0000
16.6666,1.0000,268.2021,1.3809,0.4258,16.6725,16.6552,15.3438,0.0010,-1.0000
16.6655,1.0000,268.2187,1.9587,0.2806,16.6698,16.6546,15.4670,0.0012,-1.0000
16.6690,1.0000,268.2355,1.1517,0.3237,16.6643,16.6670,15.5250,0.0009,-1.0000
16.6664,1.0000,268.2520,1.3253,0.2872,16.6643,16.6581,15.2205,0.0011,-1.0000
16.6662,1.0000,268.2687,1.3105,0.2854,16.6638,16.6508,15.4712,0.0014,-1.0000
16.6674,1.0000,268.2855,1.1864,0.2759,16.6621,16.6657,15.4549,0.0014,-1.0000
16.6668,1.0000,268.3021,1.1406,0.3604,16.6752,16.6520,15.2974,0.0012,-1.0000
16.6647,1.0000,268.3187,1.4366,0.2653,16.6688,16.6519,15.3457,0.0013,-1.0000
16.6697,1.0000,268.3355,1.1779,0.3011,16.6597,16.6654,15.5211,0.0010,-1.0000
16.6644,1.0000,268.3519,1.2091,0.2826,16.6750,16.6538,14.8672,0.0014,-1.0000
16.6678,1.0000,268.3688,1.3531,0.2858,16.6622,16.6624,15.5756,0.0011,-1.0000
16.6681,1.0000,268.3855,1.3049,0.2648,16.6609,16.6634,15.3314,0.0011,-1.0000
16.6635,1.0000,268.4020,1.1433,0.6565,16.6738,16.6411,15.1628,0.0013,-1.0000
16.6674,1.0000,268.4187,1.7852,0.2668,16.6617,16.6638,15.5460,0.0010,-1.0000
16.6684,1.0000,268.4354,1.0855,0.2910,16.6712,16.6650,15.4369,0.0011,-1.0000
16.6649,1.0000,268.4519,1.3309,0.3292,16.6736,16.6526,15.3560,0.0013,-1.0000
16.6690,1.0000,268.4688,1.4771,0.2746,16.6494,16.6691,15.5429,0.0012,-1.0000
16.6672,1.0000,268.4854,1.1169,0.8623,16.6707,16.6559,15.0833,0.0014,-1.0000
16.6649,1.0000,268.5020,1.2270,0.2670,16.6726,16.6619,15.4830,0.0012,-1.0000
16.6667,1.0000,268.5187,1.2954,0.2940,16.6601,16.6502,15.5011,0.0012,-1.0000
16.6687,1.0000,268.5354,1.1248,0.3609,16.6792,16.6606,15.3884,0.0011,-1.0000
16.6660,1.0000,268.5519,1.5715,0.2625,16.6656,16.6557,15.3793,0.0013,-1.0000
16.6670,1.0000,268.5689,1.1776,0.2783,16.6701,16.6649,15.6031,0.0013,-1.0000
16.6665,1.0000,268.5854,1.1480,0.2755,16.6581,16.6532,15.1883,0.0015,-1.0000
16.6660,1.0000,268.6021,1.2712,0.2819,16.6682,16.6540,15.4356,0.0011,-1.0000
16.6662,1.0000,268.6187,1.2749,0.2927,16.6638,16.6521,15.4305,0.0011,-1.0000
16.6965,1.0000,268.6357,1.0604,0.3505,16.6755,16.6970,15.4973,0.0011,-1.0000
16.6651,1.0000,268.6520,1.4633,0.3168,16.6640,16.6514,14.8485,0.0014,-1.0000
16.6668,1.0000,268.6688,1.2172,0.2953,16.6639,16.6609,15.3586,0.0015,-1.0000
