frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6642,1.0000,229.8999,1.3165,0.2646,16.6688,16.6562,15.2157,0.0013,-1.0000
16.6671,1.0000,229.9167,1.2169,0.2836,16.6642,16.6586,15.5231,0.0011,-1.0000
16.6674,1.0000,229.9333,1.2193,0.3626,16.7183,16.6604,15.0151,0.0012,-1.0000
16.6669,1.0000,229.9498,1.8446,0.2635,16.6162,16.6587,15.4244,0.0012,-1.0000
16.6672,1.0000,229.9668,1.4395,0.2429,16.6643,16.6590,15.4785,0.0012,-1.0000
16.6681,1.0000,229.9834,1.1344,0.2795,16.6659,16.6593,15.1467,0.0013,-1.0000
16.6645,1.0000,230.0000,1.6439,0.2830,16.6684,16.6480,15.2583,0.0013,-1.0000
16.6657,1.0000,230.0166,1.2331,0.3265,16.6671,16.6565,15.4440,0.0012,-1.0000
16.6688,1.0000,230.0333,1.1792,0.2677,16.6692,16.6651,15.4560,0.0013,-1.0000
16.6656,1.0000,230.0499,1.5111,0.2979,16.6704,16.6562,15.4461,0.0014,-1.0000
16.6672,1.0000,230.0666,1.3882,0.2563,16.6568,16.6612,15.4310,0.0012,-1.0000
16.6669,1.0000,230.0834,1.2112,0.2623,16.6652,16.6531,15.3438,0.0010,-1.0000
16.6663,1.0000,230.1000,1.2077,0.2518,16.6730,16.6586,15.2969,0.0010,-1.0000
16.6655,1.0000,230.1166,1.2083,0.2638,16.6660,16.6507,15.3587,0.0013,-1.0000
16.6680,1.0000,230.1333,1.2287,0.3165,16.6706,16.6640,15.4431,0.0014,-1.0000
16.6669,1.0000,230.1498,1.3083,0.2695,16.6624,16.6566,15.3596,0.0011,-1.0000
16.6686,1.0000,230.1667,1.3607,0.2667,16.6677,16.6647,15.4314,0.0011,-1.0000
16.6650,1.0000,230.1834,1.2910,0.2710,16.6606,16.6514,15.0677,0.0012,-1.0000
16.6670,1.0000,230.2000,1.2196,0.2688,16.6726,16.6617,15.4043,0.0012,-1.0000
16.6669,1.0000,230.2167,1.2958,0.3600,16.6654,16.6541,15.3937,0.0010,-1.0000
16.6663,1.0000,230.2332,1.2321,0.4600,16.6730,16.6602,15.1631,0.0014,-1.0000
16.6656,1.0000,230.2498,1.5823,0.2811,16.6604,16.6518,15.5390,0.0009,-1.0000
16.6686,1.0000,230.2666,1.2565,0.2647,16.6708,16.6687,15.5763,0.0010,-1.0000
16.6671,1.0000,230.2833,1.2593,0.2695,16.6623,16.6562,15.2604,0.0013,-1.0000
16.6653,1.0000,230.3000,1.4955,0.2741,16.6690,16.6531,15.3520,0.0015,-1.0000
16.6678,1.0000,230.3167,1.1115,0.2629,16.6603,16.6629,15.3265,0.0012,-1.0000
16.6667,1.0000,230.3333,1.0911,0.3471,16.6771,16.6545,15.2240,0.0012,-1.0000
16.6661,1.0000,230.3499,1.3945,0.2959,16.6656,16.6534,15.3271,0.0014,-1.0000
16.6678,1.0000,230.3668,1.2994,0.2788,16.6625,16.6654,15.4424,0.0012,-1.0000
16.6664,1.0000,230.3833,1.3351,0.3447,16.6733,16.6517,14.9757,0.0017,-1.0000
16.6654,1.0000,230.3999,1.4291,0.2643,16.6636,16.6543,15.1755,0.0012,-1.0000
16.6701,1.0000,230.4170,1.3247,0.2522,16.6627,16.7026,15.4950,0.0014,-1.0000
16.6646,1.0000,230.4333,1.2215,0.3175,16.6753,16.6153,14.8784,0.0012,-1.0000
16.6647,1.0000,230.4498,1.6743,0.3247,16.6609,16.6466,15.3774,0.0013,-1.0000
16.6693,1.0000,230.4666,1.4773,0.2878,16.6632,16.6686,15.6159,0.0008,-1.0000
16.6659,1.0000,230.4833,1.2060,0.3502,16.7126,16.6562,15.3044,0.0015,-1.0000
16.6666,1.0000,230.4999,1.7351,0.2723,16.6261,16.6573,15.3939,0.0011,-1.0000
16.6683,1.0000,230.5166,1.2677,0.2629,16.6553,16.6643,15.4738,0.0010,-1.0000
16.6657,1.0000,230.5333,1.0517,0.3120,16.6760,16.6521,15.3624,0.0012,-1.0000
16.6661,1.0000,230.5499,1.3502,0.2677,16.6647,16.6577,15.4147,0.0012,-1.0000
16.6673,1.0000,230.5667,1.2621,0.2525,16.6661,16.6600,15.4619,0.0014,-1.0000
16.6671,1.0000,230.5833,1.1892,0.2836,16.6737,16.6551,15.3333,0.0009,-1.0000
16.6669,1.0000,230.6000,1.2882,0.3011,16.6613,16.6597,15.4749,0.0012,-1.0000
16.6672,1.0000,230.6166,1.2418,0.2580,16.6665,16.6547,15.3436,0.0013,-1.0000
16.6659,1.0000,230.6333,1.1967,0.2805,16.6699,16.6566,15.3967,0.0013,-1.0000
16.6660,1.0000,230.6498,1.3210,0.2780,16.6643,16.6584,15.1747,0.0012,-1.0000
16.6681,1.0000,230.6667,1.1834,0.2732,16.6699,16.6625,15.4732,0.0012,-1.0000
16.6668,1.0000,230.6833,1.3095,0.2632,16.6644,16.6539,15.1824,0.0015,-1.0000
16.6667,1.0000,230.6999,1.2584,0.3333,16.6653,16.6544,15.4594,0.0013,-1.0000
16.6993,1.0000,230.7169,1.4826,0.2953,16.6665,16.7529,15.3124,0.0013,-1.0000
16.6634,1.0000,230.7333,1.1881,0.2885,16.6728,16.5888,14.8740,0.0013,-1.0000
16.6667,1.0000,230.7499,1.4696,0.2712,16.6654,16.6584,15.3988,0.0013,-1.0000
16.6680,1.0000,230.7666,1.1936,0.2841,16.6640,16.6585,15.4797,0.0011,-1.0000
16.6658,1.0000,230.7834,1.4388,0.3840,16.7634,16.6580,15.3074,0.0010,-1.0000
16.6666,1.0000,230.8000,1.7134,0.2853,16.5985,16.6551,15.3722,0.0012,-1.0000
16.6705,1.0000,230.8167,1.2581,0.2748,16.6668,16.6697,15.4041,0.0012,-1.0000
16.6633,1.0000,230.8333,1.1775,0.2899,16.6677,16.6455,15.1831,0.0014,-1.0000
16.6674,1.0000,230.8499,1.3494,0.2752,16.6672,16.6612,15.3888,0.0010,-1.0000
16.6670,1.0000,230.8667,1.2815,0.3256,16.6638,16.6552,15.3542,0.0016,-1.0000
16.6657,1.0000,230.8834,1.2643,0.3315,16.6805,16.6552,15.2961,0.0011,-1.0000
16.6662,1.0000,230.8999,1.4609,0.2593,16.6553,16.6535,15.3023,0.0012,-1.0000
16.6681,1.0000,230.9169,1.2711,0.2791,16.6710,16.7192,15.4720,0.0012,-1.0000
16.6670,1.0000,230.9333,1.2994,0.2725,16.6645,16.5112,15.1415,0.0013,-1.0000
16.6654,1.0000,230.9499,1.3578,0.2642,16.6647,16.6553,15.4310,0.0011,-1.0000
16.6683,1.0000,230.9667,1.3501,0.2814,16.6637,16.6627,15.5130,0.0012,-1.0000
16.6660,1.0000,230.9833,1.2461,0.3068,16.7293,16.6533,15.2887,0.0011,-1.0000
16.6643,1.0000,230.9999,1.3681,0.2714,16.6089,16.6478,15.4646,0.0010,-1.0000
16.6702,1.0000,231.0167,1.2231,0.2646,16.6648,16.6771,15.5291,0.0009,-1.0000
16.6661,1.0000,231.0334,1.1484,0.2651,16.6708,16.6515,15.2466,0.0013,-1.0000
16.6665,1.0000,231.0499,1.3634,0.2580,16.6621,16.6597,15.2642,0.0012,-1.0000
16.6677,1.0000,231.0667,1.1822,0.2563,16.6547,16.6558,15.2916,0.0013,-1.0000
16.6659,1.0000,231.0833,1.1470,0.2790,16.6863,16.6545,15.3974,0.0013,-1.0000
16.6668,1.0000,231.1000,1.4033,0.2887,16.6612,16.6567,15.4027,0.0012,-1.0000
16.6685,1.0000,231.1167,1.3942,0.2821,16.6689,16.6626,15.4477,0.0012,-1.0000
16.6650,1.0000,231.1333,1.3627,0.2719,16.6663,16.6537,15.1776,0.0014,-1.0000
16.6671,1.0000,231.1499,1.2554,0.2625,16.6636,16.6597,15.3471,0.0015,-1.0000
16.6671,1.0000,231.1666,1.2526,0.2715,16.6651,16.6611,15.4747,0.0010,-1.0000
16.6650,1.0000,231.1833,1.2132,0.3604,16.6722,16.6518,15.1571,0.0014,-1.0000
16.6664,1.0000,231.1999,1.4745,0.2831,16.6616,16.6548,15.5195,0.0011,-1.0000
16.6700,1.0000,231.2167,1.3108,0.2850,16.6684,16.6726,15.5110,0.0010,-1.0000
16.6632,1.0000,231.2333,1.1851,0.3258,16.6708,16.6410,15.1941,0.0012,-1.0000
16.6685,1.0000,231.2499,1.4936,0.2744,16.6607,16.6651,15.4166,0.0012,-1.0000
16.6677,1.0000,231.2667,1.1340,0.2628,16.6624,16.6583,15.4842,0.0011,-1.0000
16.6649,1.0000,231.2833,1.1606,0.2674,16.6831,16.6555,15.3424,0.0014,-1.0000
16.6692,1.0000,231.3001,1.4455,0.3078,16.6513,16.6643,15.4314,0.0015,-1.0000
16.6652,1.0000,231.3166,1.2474,0.3358,16.6734,16.6520,15.1774,0.0014,-1.0000
16.6656,1.0000,231.3333,1.1728,0.2502,16.6663,16.6520,15.4662,0.0012,-1.0000
16.6685,1.0000,231.3500,1.3118,0.3094,16.6651,16.6694,15.3017,0.0012,-1.0000
16.6670,1.0000,231.3666,1.2315,0.2656,16.6733,16.6491,15.3184,0.0011,-1.0000
16.6648,1.0000,231.3834,1.4730,0.2911,16.6623,16.6552,15.4679,0.0013,-1.0000
16.6682,1.0000,231.4001,1.1847,0.3046,16.6599,16.6607,15.1854,0.0011,-1.0000
16.6668,1.0000,231.4166,1.3664,0.4674,16.6811,16.6554,15.0991,0.0016,-1.0000
16.6646,1.0000,231.4333,1.3296,0.2532,16.6586,16.6544,15.4883,0.0009,-1.0000
16.6697,1.0000,231.4499,1.1858,0.2646,16.6646,16.6722,15.5598,0.0012,-1.0000
16.6664,1.0000,231.4667,1.4738,0.2523,16.6699,16.6557,15.2951,0.0011,-1.0000
16.6655,1.0000,231.4833,1.5547,0.2710,16.6641,16.6516,15.2724,0.0011,-1.0000
16.6682,1.0000,231.5000,1.1652,0.2927,16.6612,16.6642,15.4524,0.0011,-1.0000
16.6666,1.0000,231.5166,1.1112,0.3867,16.6796,16.6541,15.1586,0.0011,-1.0000
16.6643,1.0000,231.5333,1.3588,0.3208,16.6656,16.6508,15.4589,0.0015,-1.0000
16.6699,1.0000,231.5501,1.3777,0.2972,16.6609,16.6768,15.4907,0.0010,-1.0000
16.6662,1.0000,231.5666,1.2106,0.2860,16.6734,16.6435,15.1014,0.0011,-1.0000
16.6644,1.0000,231.5833,1.4942,0.2494,16.6635,16.6544,15.4400,0.0013,-1.0000
16.6687,1.0000,231.6001,1.1901,0.2527,16.6578,16.6648,15.3947,0.0010,-1.0000
16.6671,1.0000,231.6166,1.1851,0.3612,16.6879,16.6586,14.9772,0.0018,-1.0000
16.6636,1.0000,231.6333,1.5409,0.2664,16.6525,16.6485,15.4979,0.0011,-1.0000
16.6694,1.0000,231.6499,1.2134,0.2995,16.6618,16.6756,15.5013,0.0011,-1.0000
16.6668,1.0000,231.6666,1.2690,0.3234,16.6727,16.6488,15.4827,0.0011,-1.0000
16.6664,1.0000,231.6834,1.6797,0.2615,16.6673,16.6543,15.4469,0.0010,-1.0000
16.6673,1.0000,231.7000,1.1495,0.3149,16.6548,16.6615,15.3992,0.0013,-1.0000
16.6664,1.0000,231.7167,1.1729,0.6017,16.6860,16.6552,15.1666,0.0015,-1.0000
16.6645,1.0000,231.7333,1.1648,0.2881,16.6616,16.6466,15.3983,0.0012,-1.0000
