frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6667,1.0000,159.3313,1.2297,0.2975,16.6639,16.6609,15.1092,0.0012,-1.0000
16.6656,1.0000,159.3479,1.2722,1.0845,16.6912,16.6523,15.0124,0.0012,-1.0000
16.6672,1.0000,159.3646,2.1351,0.3099,16.6448,16.6616,15.2751,0.0012,-1.0000
16.6671,1.0000,159.3813,1.2544,0.5595,16.6670,16.6584,15.3470,0.0010,-1.0000
16.6668,1.0000,159.3978,1.5504,0.3966,16.6697,16.6535,15.2520,0.0013,-1.0000
16.6657,1.0000,159.4146,1.6384,0.3387,16.6610,16.6583,15.3512,0.0012,-1.0000
16.6683,1.0000,159.4313,1.3850,0.3652,16.6713,16.6609,15.3048,0.0013,-1.0000
16.6652,1.0000,159.4479,1.3103,0.3603,16.6685,16.6494,14.9183,0.0019,-1.0000
16.6674,1.0000,159.4646,1.4001,0.2980,16.6629,16.6616,15.3454,0.0012,-1.0000
16.7379,1.0000,159.4815,1.3060,0.2809,16.6669,16.7311,15.3911,0.0012,-1.0000
16.6633,1.0000,159.4978,1.3549,0.3891,16.6715,16.6400,14.9808,0.0017,-1.0000
16.6672,1.0000,159.5146,1.7291,0.2891,16.6609,16.6600,15.4561,0.0013,-1.0000
16.6710,1.0000,159.5315,1.3148,0.3832,16.6706,16.6753,15.3276,0.0013,-1.0000
16.6629,1.0000,159.5479,1.3384,0.3348,16.7416,16.6414,15.0239,0.0015,-1.0000
16.6669,1.0000,159.5647,1.6579,0.3343,16.6490,16.6637,15.4278,0.0012,-1.0000
16.6690,1.0000,159.5813,1.2026,0.3045,16.6669,16.6643,14.9215,0.0014,-1.0000
16.6631,1.0000,159.5978,1.3464,0.3167,16.6852,16.6457,15.3765,0.0010,-1.0000
16.6684,1.0000,159.6147,1.6162,0.3241,16.6502,16.6669,15.5910,0.0010,-1.0000
16.6689,1.0000,159.6313,1.2348,0.6236,16.6711,16.6676,14.8691,0.0016,-1.0000
16.6637,1.0000,159.6479,1.7412,0.2853,16.6725,16.6455,15.2971,0.0012,-1.0000
16.6681,1.0000,159.6647,1.2684,0.2668,16.6530,16.6673,15.3768,0.0011,-1.0000
16.6677,1.0000,159.6813,1.0750,0.8628,16.6736,16.6604,15.1486,0.0012,-1.0000
16.6663,1.0000,159.6978,1.7970,0.3276,16.6760,16.6517,15.1848,0.0010,-1.0000
16.6659,1.0000,159.7146,1.3473,0.3318,16.6532,16.6573,15.4840,0.0011,-1.0000
16.6687,1.0000,159.7314,1.2891,0.2950,16.6755,16.6663,15.3276,0.0014,-1.0000
16.6657,1.0000,159.7479,1.5102,0.3613,16.6702,16.6517,14.8291,0.0013,-1.0000
