frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6671,1.0000,351.9951,1.0059,0.3964,16.6824,16.6631,15.1495,0.0011,-1.0000
16.6630,1.0000,352.0116,1.3547,0.6247,16.6655,16.6418,15.2818,0.0011,-1.0000
16.6686,1.0000,352.0284,2.0803,0.3836,16.6575,16.6714,15.6651,0.0010,-1.0000
16.6683,1.0000,352.0450,1.2763,0.5837,16.6727,16.6629,15.4119,0.0012,-1.0000
16.6657,1.0000,352.0617,1.5123,0.3178,16.6707,16.6535,15.2607,0.0010,-1.0000
16.6770,1.0000,352.0786,1.3591,0.3206,16.6488,16.7640,15.3908,0.0012,-1.0000
16.6588,1.0000,352.0951,1.0056,0.3322,16.6775,16.5627,14.8099,0.0013,-1.0000
16.6649,1.0000,352.1117,1.2499,0.3875,16.6721,16.6465,15.2398,0.0012,-1.0000
16.6663,1.0000,352.1284,1.3920,0.4275,16.6615,16.6650,15.4794,0.0012,-1.0000
16.6696,1.0000,352.1450,1.3718,0.5319,16.7720,16.6644,15.3251,0.0012,-1.0000
16.6634,1.0000,352.1617,1.7514,0.3536,16.5724,16.6482,15.3531,0.0009,-1.0000
16.6702,1.0000,352.1784,1.4056,0.3157,16.6541,16.6691,15.4576,0.0009,-1.0000
16.6664,1.0000,352.1951,1.1843,0.3342,16.6723,16.6594,15.3268,0.0012,-1.0000
16.6648,1.0000,352.2117,1.3379,0.4058,16.6721,16.6493,15.2093,0.0011,-1.0000
16.6657,1.0000,352.2284,1.2941,0.3683,16.6555,16.6572,15.4749,0.0011,-1.0000
16.6683,1.0000,352.2450,1.2105,0.3515,16.6767,16.6696,15.3809,0.0013,-1.0000
16.6660,1.0000,352.2617,1.3311,0.3243,16.6683,16.6507,15.3541,0.0011,-1.0000
16.6673,1.0000,352.2784,1.4389,0.3063,16.6564,16.6633,15.4303,0.0010,-1.0000
16.6672,1.0000,352.2950,1.1813,0.4675,16.6633,16.6603,15.3937,0.0011,-1.0000
16.6659,1.0000,352.3117,1.2874,0.3158,16.6776,16.6576,15.4029,0.0012,-1.0000
16.6652,1.0000,352.3283,1.2954,0.3522,16.6583,16.6514,15.4271,0.0008,-1.0000
16.6686,1.0000,352.3450,1.2320,0.3012,16.6716,16.6706,15.5189,0.0009,-1.0000
16.6645,1.0000,352.3617,1.2653,0.3486,16.6677,16.6471,15.4516,0.0011,-1.0000
16.6698,1.0000,352.3784,1.2533,0.3127,16.6653,16.6751,15.5864,0.0011,-1.0000
16.6680,1.0000,352.3952,1.2234,0.2806,16.6574,16.6627,15.3548,0.0011,-1.0000
16.6661,1.0000,352.4117,1.1505,0.4102,16.6782,16.6512,14.9596,0.0011,-1.0000
16.6639,1.0000,352.4284,1.1944,0.3514,16.6536,16.6508,15.2465,0.0011,-1.0000
16.6691,1.0000,352.4450,1.0875,0.3463,16.6830,16.6633,15.3878,0.0011,-1.0000
16.6664,1.0000,352.4618,1.3066,0.4290,16.6737,16.6568,15.1666,0.0014,-1.0000
16.6658,1.0000,352.4785,1.6906,0.3291,16.6621,16.6572,15.1298,0.0013,-1.0000
16.6727,1.0000,352.4953,1.4031,0.3434,16.6598,16.6761,15.1116,0.0014,-1.0000
16.6614,1.0000,352.5117,1.2744,0.3983,16.6712,16.6335,14.9231,0.0014,-1.0000
16.6643,1.0000,352.5283,1.4886,0.3774,16.6646,16.6469,15.3051,0.0012,-1.0000
16.6698,1.0000,352.5450,1.5264,0.4261,16.6655,16.7483,15.6438,0.0011,-1.0000
