frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6691,0.0000,113.6162,1.2032,0.3347,16.3666,16.6655,15.2844,0.0013,-1.0000
16.6649,0.0000,113.6327,1.3452,0.3412,16.7009,16.6495,14.9595,0.0012,-1.0000
16.6671,0.0000,113.6494,1.2770,0.3195,16.6381,16.6584,15.4634,0.0010,-1.0000
16.6672,0.0000,113.6662,2.1780,0.2687,16.6592,16.6614,15.3442,0.0011,-1.0000
16.6676,0.0000,113.6828,1.3795,0.3676,16.6761,16.6590,15.2495,0.0011,-1.0000
16.6633,0.0000,113.6994,1.6887,0.9261,16.6588,16.6441,15.3268,0.0011,-1.0000
16.6696,0.0000,113.7162,1.1943,0.2990,16.6668,16.6757,15.5339,0.0011,-1.0000
16.6673,0.0000,113.7332,1.3158,0.5041,16.6717,16.6491,15.2681,0.0011,-1.0000
16.6641,0.0000,113.7494,1.4082,0.3137,16.6685,16.6483,14.1602,0.0026,-1.0000
16.6690,0.0000,113.7661,1.3163,0.3189,16.6523,16.6663,15.5320,0.0010,-1.0000
16.6671,0.0000,113.7830,1.1404,0.3488,16.6868,16.6587,15.2081,0.0011,-1.0000
16.6656,0.0000,113.7994,1.3798,0.3054,16.6600,16.6510,14.0607,0.0014,-1.0000
16.6679,0.0000,113.8161,2.4858,0.2654,16.6557,16.6608,15.3542,0.0013,-1.0000
16.6668,0.0000,113.8327,1.1331,0.4207,16.6754,16.6608,15.2373,0.0013,-1.0000
16.6657,0.0000,113.8495,1.4495,0.2964,16.6705,16.6470,13.7413,0.0012,-1.0000
16.6677,0.0000,113.8668,2.5889,0.2644,16.6610,16.6652,15.3748,0.0012,-1.0000
16.6927,0.0000,113.8835,1.3053,0.3668,16.6705,16.6848,14.6077,0.0011,-1.0000
16.6658,0.0000,113.8997,1.4222,0.4369,16.6723,16.6495,14.4063,0.0012,-1.0000
16.6676,0.0000,113.9162,2.9045,0.2772,16.6558,16.6528,15.2671,0.0012,-1.0000
16.6663,0.0000,113.9327,1.2892,0.4018,16.6762,16.6558,15.1910,0.0011,-1.0000
16.6658,0.0000,113.9494,2.0764,0.3250,16.6962,16.6525,14.2484,0.0011,-1.0000
16.7869,0.0000,113.9672,2.2426,0.2513,16.6625,16.7850,15.5767,0.0012,-1.0000
16.6662,0.0000,113.9829,1.3845,0.3646,16.6628,16.6568,14.3537,0.0013,-1.0000
16.6663,0.0000,113.9996,1.4636,0.2874,16.6650,16.6590,15.2208,0.0009,-1.0000
16.7102,0.0000,114.0164,2.4030,0.2812,16.6595,16.7080,15.3781,0.0015,-1.0000
