frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6690,1.0000,206.3407,1.3413,0.2699,16.6501,16.6685,15.2358,0.0011,-1.0000
16.6721,1.0000,206.3574,1.1731,0.2646,16.6346,16.6564,15.4449,0.0011,-1.0000
16.6680,1.0000,206.3742,1.1165,0.3033,16.6666,16.6763,15.4519,0.0010,-1.0000
16.6658,1.0000,206.3907,1.3474,0.3007,16.6677,16.6674,15.3447,0.0010,-1.0000
16.6637,1.0000,206.4074,1.4314,0.5996,16.6760,16.6174,15.5463,0.0010,-1.0000
16.6698,1.0000,206.4241,1.2104,0.2761,16.6639,16.6623,15.6444,0.0010,-1.0000
16.6670,1.0000,206.4408,1.2233,0.2993,16.6871,16.6605,15.4808,0.0011,-1.0000
16.6649,1.0000,206.4573,1.3213,0.2585,16.6757,16.6461,15.3120,0.0013,-1.0000
16.6685,1.0000,206.4741,1.0702,0.2535,16.6230,16.6954,15.7212,0.0010,-1.0000
16.6671,1.0000,206.4906,1.0170,0.3391,16.6686,16.6377,15.3572,0.0012,-1.0000
16.6643,1.0000,206.5073,1.1787,0.2616,16.6703,16.6481,15.4814,0.0013,-1.0000
16.6702,1.0000,206.5241,1.3327,0.2521,16.6522,16.6751,15.6223,0.0009,-1.0000
16.6654,1.0000,206.5407,0.9735,0.2800,16.7021,16.6495,15.2472,0.0012,-1.0000
16.6637,1.0000,206.5573,1.2788,0.2592,16.6454,16.6486,15.5350,0.0009,-1.0000
16.6681,1.0000,206.5741,1.1656,0.2686,16.6548,16.6693,15.7323,0.0010,-1.0000
16.6672,1.0000,206.5906,1.0516,0.3239,16.6834,16.6600,15.4032,0.0009,-1.0000
16.6672,1.0000,206.6074,1.4009,0.2641,16.6575,16.6623,15.6187,0.0009,-1.0000
16.6678,1.0000,206.6242,1.1128,0.2519,16.6541,16.6637,15.5394,0.0011,-1.0000
16.6659,1.0000,206.6407,0.9360,0.2659,16.6748,16.6524,15.3293,0.0011,-1.0000
16.6648,1.0000,206.6573,1.2562,0.2738,16.6665,16.6530,15.5369,0.0011,-1.0000
16.6695,1.0000,206.6741,1.0428,0.2704,16.6704,16.6746,15.5756,0.0008,-1.0000
16.6657,1.0000,206.6906,1.1234,0.2831,16.6717,16.6526,15.4636,0.0010,-1.0000
