frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6695,0.0000,132.1377,1.1652,0.2712,16.6687,16.6666,15.2790,0.0011,-1.0000
16.6675,0.0000,132.1542,1.1926,0.4085,16.6626,16.6508,15.2969,0.0012,-1.0000
16.6646,0.0000,132.1709,2.8489,0.3865,17.1455,16.6587,15.4100,0.0012,-1.0000
16.6666,0.0000,132.1876,1.5465,0.5394,16.6422,16.6570,15.3381,0.0012,-1.0000
17.3667,0.0000,132.2050,1.3866,0.3684,16.6772,17.3622,15.9554,0.0011,-1.0000
15.9643,0.0000,132.2209,1.3524,0.3394,16.6616,15.9394,14.6222,0.0011,-1.0000
16.6706,0.0000,132.2376,1.2474,0.3411,16.6668,16.6724,15.5611,0.0010,-1.0000
16.6659,0.0000,132.2550,1.3175,0.3436,16.6646,16.6611,15.0918,0.0014,-1.0000
16.6654,0.0000,132.2710,1.4057,0.3323,17.3725,16.6505,14.5624,0.0014,-1.0000
16.6684,0.0000,132.2876,1.3166,0.2957,15.9496,16.6623,15.2823,0.0011,-1.0000
16.6669,0.0000,132.3042,1.1101,0.3795,16.6797,16.6524,15.3615,0.0011,-1.0000
16.6627,0.0000,132.3208,1.5676,0.3662,16.6719,16.6454,15.3107,0.0012,-1.0000
16.6701,0.0000,132.3376,2.0868,0.3361,16.6599,16.6752,15.5862,0.0008,-1.0000
16.6705,0.0000,132.3550,1.3786,0.3317,16.6724,16.6690,15.3433,0.0012,-1.0000
16.6638,0.0000,132.3710,1.2898,0.3385,16.6618,16.6430,14.4940,0.0016,-1.0000
16.6678,0.0000,132.3876,1.3334,0.3208,16.6517,16.6604,15.3744,0.0010,-1.0000
17.4944,0.0000,132.4052,1.0881,0.3386,16.6817,17.4918,15.7068,0.0012,-1.0000
16.6639,0.0000,132.4217,1.3244,0.3321,16.6807,16.6412,15.1599,0.0015,-1.0000
16.6666,0.0000,132.4384,2.1476,0.4448,16.6532,16.6638,15.4673,0.0011,-1.0000
16.6684,0.0000,132.4551,1.2846,0.3608,16.6682,16.6595,15.3751,0.0010,-1.0000
16.6657,0.0000,132.4718,1.7833,0.3536,17.5022,16.6543,15.4195,0.0012,-1.0000
16.6669,0.0000,132.4884,1.4797,0.3215,16.6506,16.6591,15.3423,0.0013,-1.0000
16.6679,0.0000,132.5051,1.1954,0.3878,16.6717,16.6610,15.3333,0.0010,-1.0000
16.6626,0.0000,132.5217,1.2834,0.3099,16.6693,16.6437,15.3773,0.0012,-1.0000
16.6884,0.0000,132.5388,1.2335,0.3095,16.6637,16.6917,15.5869,0.0008,-1.0000
16.6667,0.0000,132.5550,1.3153,0.3804,16.6673,16.6535,14.8798,0.0013,-1.0000
16.6645,0.0000,132.5717,1.3265,0.3622,16.6715,16.6540,15.5386,0.0010,-1.0000
16.6697,0.0000,132.5885,1.2652,0.2956,16.6518,16.6682,15.4842,0.0011,-1.0000
16.6665,0.0000,132.6052,1.1040,0.3341,16.6993,16.6568,15.3185,0.0009,-1.0000
16.6625,0.0000,132.6217,1.7721,0.3331,16.6616,16.6396,15.2143,0.0012,-1.0000
16.6672,0.0000,132.6384,1.1144,0.3188,16.6616,16.6630,15.6254,0.0013,-1.0000
16.6713,0.0000,132.6551,1.1828,0.3281,16.6782,16.8061,15.4770,0.0012,-1.0000
16.6656,0.0000,132.6718,1.3370,0.3046,16.6692,16.5234,15.2366,0.0012,-1.0000
16.6667,0.0000,132.6884,1.4240,0.2922,16.6473,16.6564,15.3796,0.0010,-1.0000
16.6678,0.0000,132.7052,1.0364,0.3152,16.6689,16.6621,15.4534,0.0010,-1.0000
16.6655,0.0000,132.7218,1.3280,0.3185,16.8140,16.6497,15.3071,0.0014,-1.0000
16.6662,0.0000,132.7384,1.2852,0.3188,16.5323,16.6577,15.4027,0.0013,-1.0000
16.6678,0.0000,132.7551,1.2758,0.2832,16.6639,16.6614,15.4252,0.0010,-1.0000
16.6666,0.0000,132.7718,1.2077,0.3238,16.6726,16.6534,15.4095,0.0012,-1.0000
16.6673,0.0000,132.7884,1.3413,0.2823,16.6608,16.6593,15.4514,0.0012,-1.0000
16.6671,0.0000,132.8051,1.2536,0.3159,16.6666,16.6577,15.3856,0.0012,-1.0000
16.6655,0.0000,132.8218,1.2353,0.2869,16.6721,16.6529,15.3794,0.0010,-1.0000
16.6671,0.0000,132.8385,1.2428,0.2795,16.6630,16.6577,15.3975,0.0012,-1.0000
16.6661,0.0000,132.8550,1.2065,0.3230,16.6680,16.6593,15.3848,0.0013,-1.0000
16.6671,0.0000,132.8718,1.2707,0.3553,16.6678,16.6543,15.3839,0.0014,-1.0000
16.6660,0.0000,132.8884,1.2723,0.2822,16.6635,16.6570,15.3868,0.0014,-1.0000
16.6683,0.0000,132.9051,1.2590,0.2871,16.6666,16.6627,15.1145,0.0009,-1.0000
16.6660,0.0000,132.9218,1.2731,0.6360,16.6682,16.6570,15.3692,0.0011,-1.0000
16.6660,0.0000,132.9384,1.2688,0.2679,16.6629,16.6539,15.4325,0.0011,-1.0000
16.6686,0.0000,132.9550,1.2689,0.3287,16.6648,16.6655,15.4137,0.0014,-1.0000
16.6672,0.0000,132.9718,1.5471,0.3143,16.6710,16.6577,15.2508,0.0011,-1.0000
16.6663,0.0000,132.9885,1.2865,0.2792,16.6667,16.6542,15.3225,0.0010,-1.0000
16.6666,0.0000,133.0056,1.2199,0.3234,16.6626,16.6544,15.3503,0.0011,-1.0000
16.6663,0.0000,133.0217,1.2503,0.3601,16.6756,16.6558,14.7880,0.0011,-1.0000
16.6670,0.0000,133.0384,1.4057,0.3100,16.6678,16.6596,15.4793,0.0010,-1.0000
16.6669,0.0000,133.0551,1.3306,0.2603,16.6651,16.6679,15.3600,0.0011,-1.0000
16.6660,0.0000,133.0717,1.3029,0.3240,16.6650,16.6402,15.2680,0.0014,-1.0000
16.6650,0.0000,133.0884,1.8663,0.3070,16.6648,16.6542,15.4935,0.0012,-1.0000
16.6677,0.0000,133.1051,1.1790,0.3302,16.6697,16.6642,15.3954,0.0011,-1.0000
20.1656,0.0000,133.1254,1.3065,0.3048,16.6798,20.1633,15.2927,0.0014,-1.0000
13.1648,0.0000,133.1383,1.3708,0.3314,16.6497,13.1352,11.7197,0.0010,-1.0000
16.6699,0.0000,133.1550,1.1595,0.2848,16.6631,16.6728,15.6981,0.0010,-1.0000
17.6721,0.0000,133.1731,1.2677,0.3884,16.6723,17.6740,15.2837,0.0010,-1.0000
15.6598,0.0000,133.1884,4.8692,0.2824,20.1766,15.6346,14.0753,0.0012,-1.0000
16.6702,0.0000,133.2052,1.4146,0.2404,13.1425,16.6721,15.5322,0.0009,-1.0000
18.3388,0.0000,133.2236,0.9735,0.3668,16.6793,18.3312,15.0273,0.0012,-1.0000
15.0642,0.0000,133.2384,2.3897,0.3153,17.6844,15.0425,13.5081,0.0019,-1.0000
16.6676,0.0000,133.2551,1.5580,0.2616,15.6430,16.6635,15.5097,0.0011,-1.0000
17.4404,0.0000,133.2727,1.1388,0.3871,16.6805,17.4358,15.4649,0.0009,-1.0000
15.8976,0.0000,133.2885,3.3025,0.3113,18.3426,15.8813,14.6021,0.0009,-1.0000
16.6687,0.0000,133.3053,1.5328,0.2576,15.0501,16.6678,15.5267,0.0011,-1.0000
19.1271,0.0000,133.3243,1.1526,0.2943,16.6713,19.1240,15.1191,0.0012,-1.0000
14.2042,0.0000,133.3385,1.9702,0.2979,17.4445,14.1828,12.8675,0.0009,-1.0000
16.6670,0.0000,133.3550,1.2783,0.2799,15.8883,16.6652,15.5523,0.0012,-1.0000
16.6693,0.0000,133.3719,1.1399,0.3966,16.6753,16.6663,15.5709,0.0011,-1.0000
16.6659,0.0000,133.3885,4.0034,0.2793,19.1338,16.6508,15.2130,0.0013,-1.0000
16.6667,0.0000,133.4052,1.3142,0.2613,14.1897,16.6603,15.3218,0.0012,-1.0000
16.6667,0.0000,133.4218,1.1117,0.2907,16.6721,16.6562,15.2650,0.0014,-1.0000
16.6667,0.0000,133.4385,1.0940,0.3370,16.6753,16.6574,15.3199,0.0010,-1.0000
16.6667,0.0000,133.4550,1.4366,0.3033,16.6600,16.6567,15.3890,0.0011,-1.0000
16.6684,0.0000,133.4719,1.3370,0.3455,16.6696,16.6636,15.5677,0.0010,-1.0000
16.6658,0.0000,133.4885,1.3896,0.3331,16.6649,16.6511,15.3384,0.0012,-1.0000
16.6668,0.0000,133.5052,1.3364,0.3159,16.6666,16.6595,15.4320,0.0011,-1.0000
16.6666,0.0000,133.5218,1.2667,0.3115,16.6649,16.6599,15.4671,0.0012,-1.0000
16.6670,0.0000,133.5385,1.0947,0.2844,16.6740,16.6601,15.4759,0.0012,-1.0000
16.6660,0.0000,133.5551,1.3115,0.2972,16.6604,16.6535,15.3410,0.0015,-1.0000
16.6685,0.0000,133.5719,1.2264,0.2747,16.6677,16.6634,15.5121,0.0011,-1.0000
16.6656,0.0000,133.5885,1.1914,0.3060,16.6685,16.6512,15.3856,0.0015,-1.0000
16.6666,0.0000,133.6052,1.1828,0.3436,16.6700,16.6592,15.4452,0.0012,-1.0000
20.3672,0.0000,133.6256,1.3110,0.2865,16.6621,20.3621,15.2287,0.0013,-1.0000
12.9634,0.0000,133.6384,1.1501,0.2923,16.6741,12.9396,11.5436,0.0014,-1.0000
16.6694,0.0000,133.6550,1.2640,0.2891,16.6605,16.6692,15.5667,0.0007,-1.0000
16.6683,0.0000,133.6719,1.2127,0.3439,16.6690,16.6633,15.5252,0.0010,-1.0000
16.6652,0.0000,133.6885,5.1320,0.3426,20.3733,16.6515,15.3785,0.0012,-1.0000
16.6656,0.0000,133.7052,1.3947,0.2714,12.9468,16.6558,15.4289,0.0014,-1.0000
16.6699,0.0000,133.7230,1.1018,0.2890,16.6760,16.6864,15.3739,0.0013,-1.0000
16.6633,0.0000,133.7385,1.1369,0.3110,16.6731,16.6246,14.0200,0.0013,-1.0000
16.6679,0.0000,133.7551,1.2717,0.2944,16.6613,16.6637,15.3945,0.0013,-1.0000
18.6065,0.0000,133.7739,1.2254,0.3623,16.6646,18.6024,15.4686,0.0012,-1.0000
14.7245,0.0000,133.7885,1.3109,0.5197,16.6986,14.7043,13.1812,0.0011,-1.0000
16.6688,0.0000,133.8054,2.6037,0.2816,16.6342,16.6660,15.4978,0.0011,-1.0000
16.8751,0.0000,133.8222,1.2676,0.3006,16.6721,16.8951,15.3424,0.0013,-1.0000
16.6650,0.0000,133.8387,3.1326,0.2938,18.6120,16.6241,15.2394,0.0014,-1.0000
16.6683,0.0000,133.8558,1.5223,0.2822,14.7110,16.6648,15.2348,0.0014,-1.0000
17.0972,0.0000,133.8736,1.1673,0.3084,16.6738,17.0894,15.1565,0.0014,-1.0000
16.6618,0.0000,133.8902,1.5511,0.3204,16.9052,16.6129,14.2777,0.0018,-1.0000
16.6678,0.0000,133.9059,1.3834,0.3393,16.6338,16.6638,14.1556,0.0011,-1.0000
16.6689,0.0000,133.9226,1.4282,0.5132,16.6734,16.6646,15.1920,0.0013,-1.0000
16.6649,0.0000,133.9391,1.9314,0.3190,17.1287,16.6520,13.8369,0.0015,-1.0000
16.6680,0.0000,133.9561,2.3336,0.4099,16.6215,16.6640,15.3828,0.0011,-1.0000
16.6667,0.0000,133.9724,2.5070,0.4436,16.6707,16.6583,14.5107,0.0012,-1.0000
16.6659,0.0000,133.9892,1.4710,1.6910,16.6729,16.6545,15.0846,0.0012,-1.0000
16.6657,0.0000,134.0058,2.8137,0.3552,16.6612,16.6567,15.4119,0.0011,-1.0000
16.6685,0.0000,134.0225,1.2801,0.4606,16.6725,16.6630,15.3469,0.0013,-1.0000
16.6650,0.0000,134.0391,2.1465,0.7891,16.6673,16.6534,13.8068,0.0011,-1.0000
16.6697,0.0000,134.0559,1.5688,0.3293,16.6624,16.6689,15.3599,0.0013,-1.0000
16.6665,0.0000,134.0727,1.2437,0.3317,16.6654,16.6545,15.2115,0.0011,-1.0000
16.6654,0.0000,134.0892,1.3147,1.3145,16.6707,16.6524,14.1275,0.0015,-1.0000
16.6671,0.0000,134.1059,2.8460,0.3808,16.6615,16.6601,15.3872,0.0012,-1.0000
16.6668,0.0000,134.1225,1.3071,0.4303,16.6781,16.6581,15.3414,0.0013,-1.0000
16.6662,0.0000,134.1392,1.4416,1.0947,16.6647,16.6542,13.8875,0.0010,-1.0000
16.6670,0.0000,134.1558,2.5236,0.4090,16.6615,16.6615,15.3306,0.0012,-1.0000
16.6673,0.0000,134.1724,1.2717,0.3533,16.6684,16.6559,15.3307,0.0012,-1.0000
16.6666,0.0000,134.1892,1.3151,1.4851,16.6681,16.6620,15.4675,0.0010,-1.0000
