frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6651,1.0000,315.7817,1.1206,0.2604,16.6709,16.6513,15.2840,0.0013,-1.0000
16.6649,1.0000,315.7981,1.2859,0.2341,16.6616,16.6527,15.3039,0.0010,-1.0000
16.6691,1.0000,315.8149,1.1163,0.4115,16.6993,16.6733,15.6652,0.0009,-1.0000
16.6684,1.0000,315.8317,1.2481,0.3455,16.6440,16.6635,15.3303,0.0010,-1.0000
16.6669,1.0000,315.8483,1.3658,0.2917,16.6580,16.6555,15.0446,0.0012,-1.0000
16.6743,1.0000,315.8649,1.3478,0.2447,16.6582,16.6625,15.2512,0.0012,-1.0000
16.6594,1.0000,315.8817,1.0070,0.2929,16.6801,16.6507,15.3653,0.0012,-1.0000
16.6643,1.0000,315.8982,1.3323,0.3253,16.6752,16.6467,15.1271,0.0011,-1.0000
16.6676,1.0000,315.9149,1.6095,0.2636,16.6667,16.6644,15.4462,0.0011,-1.0000
16.6670,1.0000,315.9316,1.4101,0.2791,16.6730,16.6585,15.2560,0.0012,-1.0000
16.6640,1.0000,315.9481,1.2839,0.3107,16.6610,16.6445,15.3697,0.0012,-1.0000
16.6700,1.0000,315.9648,1.5187,0.2638,16.6551,16.6745,15.6713,0.0009,-1.0000
16.6651,1.0000,315.9815,1.2171,0.2964,16.6721,16.6509,15.4254,0.0009,-1.0000
16.6668,1.0000,315.9982,1.4012,0.2746,16.6682,16.6583,15.5210,0.0012,-1.0000
16.6651,1.0000,316.0148,1.2737,0.2649,16.6513,16.6573,15.4697,0.0013,-1.0000
16.6694,1.0000,316.0316,1.0020,0.3647,16.6832,16.6668,15.4456,0.0010,-1.0000
16.6660,1.0000,316.0482,1.2245,0.2989,16.6588,16.6564,15.4270,0.0013,-1.0000
16.6669,1.0000,316.0648,1.1359,0.3937,16.6649,16.6570,15.5377,0.0008,-1.0000
