frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6672,0.0000,290.6635,1.2320,0.2650,16.6712,16.6611,15.3495,0.0012,-1.0000
16.6686,0.0000,290.6802,1.1943,0.3182,16.6617,16.6668,15.5551,0.0010,-1.0000
16.6661,0.0000,290.6969,1.3193,0.3352,16.6704,16.6599,15.4340,0.0012,-1.0000
16.6646,0.0000,290.7135,1.2872,0.2789,16.6558,16.6510,15.4596,0.0009,-1.0000
16.6696,0.0000,290.7303,1.3101,0.2575,16.6669,16.6731,15.5647,0.0007,-1.0000
16.6668,0.0000,290.7468,1.1103,0.2638,16.6738,16.6550,15.3096,0.0011,-1.0000
16.6637,0.0000,290.7635,1.2244,0.2969,16.6668,16.6476,15.4332,0.0013,-1.0000
16.6690,0.0000,290.7802,1.1905,0.2304,16.6573,16.6675,15.6941,0.0011,-1.0000
16.6655,0.0000,290.7969,1.1074,0.2746,16.6818,16.6595,15.4810,0.0009,-1.0000
16.6662,0.0000,290.8135,1.3441,0.2916,16.6631,16.6527,15.5081,0.0010,-1.0000
16.7918,0.0000,290.8310,1.2131,0.2502,16.6548,16.8001,15.7270,0.0009,-1.0000
16.6659,0.0000,290.8470,0.9723,0.2783,16.6740,16.6491,14.3615,0.0012,-1.0000
16.6668,0.0000,290.8637,1.1775,0.2562,16.6675,16.6578,15.4332,0.0009,-1.0000
16.6658,0.0000,290.8806,1.1436,0.2952,16.6588,16.6546,15.3870,0.0011,-1.0000
16.6667,0.0000,290.8971,1.0721,0.2619,16.8104,16.6554,15.1982,0.0011,-1.0000
16.6655,0.0000,290.9137,2.2864,0.2691,16.6601,16.6515,15.3013,0.0012,-1.0000
16.6654,0.0000,290.9302,1.2234,0.2658,16.6681,16.6518,15.3154,0.0011,-1.0000
16.6711,0.0000,290.9471,1.2664,0.2653,16.6646,16.6768,15.6990,0.0009,-1.0000
16.6653,0.0000,290.9637,1.4562,0.3163,16.6649,16.6548,15.2400,0.0014,-1.0000
16.6636,0.0000,290.9802,1.3488,0.2572,16.6611,16.6456,15.3804,0.0012,-1.0000
16.6703,0.0000,290.9970,1.3355,0.2461,16.6587,16.6748,15.7919,0.0008,-1.0000
16.6663,0.0000,291.0137,0.9770,0.3135,16.6837,16.6565,14.7147,0.0011,-1.0000
16.6652,0.0000,291.0303,1.4131,0.2757,16.6631,16.6504,15.3414,0.0013,-1.0000
16.6691,0.0000,291.0469,1.2640,0.2829,16.6512,16.6718,15.5806,0.0013,-1.0000
16.6638,0.0000,291.0636,0.8819,0.3752,16.6810,16.6465,15.5618,0.0009,-1.0000
16.6657,0.0000,291.0802,1.9409,0.3065,16.6667,16.6578,15.5870,0.0010,-1.0000
16.6725,0.0000,291.0971,1.3077,0.2798,16.6580,16.6880,15.7581,0.0010,-1.0000
16.6649,0.0000,291.1136,1.0897,0.2669,16.6794,16.6367,15.2250,0.0012,-1.0000
16.6664,0.0000,291.1304,1.0837,0.2379,16.6539,16.6590,15.5030,0.0011,-1.0000
16.6680,0.0000,291.1470,1.0700,0.2372,16.6624,16.6634,15.4189,0.0013,-1.0000
16.6668,0.0000,291.1638,0.9285,0.3605,16.7003,16.6574,15.3168,0.0010,-1.0000
16.6647,0.0000,291.1803,1.4103,0.2605,16.6471,16.6469,15.1222,0.0012,-1.0000
16.6679,0.0000,291.1971,1.1545,0.2600,16.6674,16.6639,15.6049,0.0008,-1.0000
16.6670,0.0000,291.2138,1.2432,0.3933,16.6734,16.6587,15.3556,0.0011,-1.0000
16.6651,0.0000,291.2303,1.3397,0.3130,16.6674,16.6526,15.1886,0.0010,-1.0000
16.6659,0.0000,291.2469,1.5236,0.2836,16.6545,16.6569,15.5333,0.0010,-1.0000
16.6677,0.0000,291.2636,1.0581,0.2515,16.6722,16.6626,15.6684,0.0010,-1.0000
16.6684,0.0000,291.2804,1.3017,0.2790,16.6672,16.6736,15.5234,0.0012,-1.0000
