frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6682,0.0000,70.8988,0.9058,0.3305,16.9928,16.6543,15.3180,0.0016,-1.0000
16.6633,0.0000,70.9153,1.5308,0.2816,16.6514,16.6473,15.1889,0.0012,-1.0000
16.6694,0.0000,70.9321,1.5466,0.2778,16.6499,16.6722,15.5954,0.0011,-1.0000
16.6653,0.0000,70.9488,0.9831,0.6295,16.6846,16.6497,15.3930,0.0010,-1.0000
16.6673,0.0000,70.9654,1.3345,0.4967,16.6649,16.6539,15.4112,0.0010,-1.0000
16.6671,0.0000,70.9821,1.4575,0.3427,16.6558,16.6651,15.5255,0.0008,-1.0000
18.2702,0.0000,71.0003,1.0755,0.2926,16.6817,18.2517,15.4204,0.0011,-1.0000
15.1607,0.0000,71.0155,1.2555,0.3255,16.6597,15.1532,13.8995,0.0007,-1.0000
16.5864,0.0000,71.0320,1.2418,0.3156,16.6622,16.5807,15.4018,0.0010,-1.0000
21.9896,0.0000,71.0541,1.1388,0.2773,16.6760,21.9767,15.3319,0.0012,-1.0000
11.3388,0.0000,71.0653,2.8303,0.3160,18.2621,11.3154,10.1593,0.0010,-1.0000
16.6711,0.0000,71.0822,1.2528,0.3139,15.1634,16.6789,15.7931,0.0007,-1.0000
16.6646,0.0000,71.0987,1.1779,0.3114,16.5930,16.6488,15.3654,0.0012,-1.0000
16.6669,0.0000,71.1153,6.6437,0.3077,21.9873,16.6572,15.5892,0.0008,-1.0000
16.6687,0.0000,71.1323,1.1551,0.2988,11.3218,16.6672,15.6247,0.0010,-1.0000
16.6652,0.0000,71.1489,0.8849,0.3282,16.6865,16.6487,15.0587,0.0012,-1.0000
16.6649,0.0000,71.1654,1.2822,0.2905,16.6583,16.6577,15.3497,0.0010,-1.0000
16.6695,0.0000,71.1821,1.0672,0.3126,16.6651,16.6650,15.5675,0.0010,-1.0000
16.6653,0.0000,71.1987,1.0416,0.4549,16.6771,16.6535,15.2921,0.0010,-1.0000
16.6643,0.0000,71.2153,1.5886,0.3121,16.6585,16.6500,15.6105,0.0006,-1.0000
16.6700,0.0000,71.2321,1.3070,0.3180,16.6647,16.6748,15.8470,0.0011,-1.0000
16.7218,0.0000,71.2489,1.0963,0.2694,16.6730,16.7125,15.4254,0.0011,-1.0000
16.6117,0.0000,71.2654,1.3604,0.2651,16.6618,16.6017,15.3616,0.0009,-1.0000
16.6655,0.0000,71.2821,1.0389,0.2483,16.6557,16.6566,15.5531,0.0010,-1.0000
16.6681,0.0000,71.2988,0.8266,0.2980,16.6818,16.6620,15.5740,0.0009,-1.0000
20.9348,0.0000,71.3210,1.2859,0.2693,16.7213,20.9324,15.5223,0.0011,-1.0000
12.3961,0.0000,71.3320,1.2393,0.2657,16.6095,12.3766,9.8022,0.0014,-1.0000
16.6697,0.0000,71.3488,1.1028,0.2717,16.6646,16.6654,15.6770,0.0007,-1.0000
28.5336,0.0000,71.3773,1.0871,0.3274,16.6705,28.5294,15.5313,0.0013,-1.0000
4.7957,0.0000,71.3819,5.4090,0.3625,20.9429,4.7709,3.6416,0.0010,-1.0000
16.7222,0.0000,71.3989,2.5735,0.2603,12.3840,16.7323,16.0906,0.0008,-1.0000
16.6652,0.0000,71.4155,0.9874,0.3008,16.6737,16.6504,15.4114,0.0014,-1.0000
16.6658,0.0000,71.4320,12.9968,0.3119,28.5387,16.6571,15.5383,0.0010,-1.0000
16.6688,0.0000,71.4489,1.1285,0.2119,4.7762,16.6662,15.6056,0.0008,-1.0000
16.6657,0.0000,71.4655,0.6406,0.2958,16.7407,16.6508,15.2961,0.0012,-1.0000
16.6670,0.0000,71.4822,1.2375,0.2655,16.6599,16.6793,15.5331,0.0012,-1.0000
16.6673,0.0000,71.4988,1.1178,0.3081,16.6651,16.6402,15.5259,0.0011,-1.0000
16.6660,0.0000,71.5155,1.0598,0.4256,16.6752,16.6535,15.2219,0.0012,-1.0000
16.6650,0.0000,71.5320,1.3533,0.3519,16.6602,16.6535,15.5852,0.0010,-1.0000
16.7519,0.0000,71.5490,1.1452,0.3303,16.6879,16.7510,15.7411,0.0010,-1.0000
16.6636,0.0000,71.5655,1.1127,0.3446,16.6492,16.6500,15.3154,0.0013,-1.0000
16.6663,0.0000,71.5822,1.4302,0.2943,16.6622,16.6586,15.5461,0.0011,-1.0000
16.6687,0.0000,71.5989,1.0676,0.2595,16.6608,16.6633,15.5209,0.0013,-1.0000
16.6905,0.0000,71.6169,1.0088,0.2776,16.7609,16.6812,15.5224,0.0010,-1.0000
16.6659,0.0000,71.6321,1.3332,0.3103,16.6599,16.6483,14.0261,0.0017,-1.0000
16.6697,0.0000,71.6489,1.1112,0.3340,16.6663,16.6705,15.7349,0.0007,-1.0000
22.4443,0.0000,71.6714,1.1409,0.2704,16.6730,22.4330,14.2204,0.0013,-1.0000
10.8852,0.0000,71.6822,1.1575,0.3772,16.6918,10.8670,9.6166,0.0011,-1.0000
16.7180,0.0000,71.6990,2.6208,0.2672,16.6560,16.7240,15.7674,0.0010,-1.0000
16.6663,0.0000,71.7156,0.9345,1.0645,16.6791,16.6465,15.4322,0.0014,-1.0000
16.6642,0.0000,71.7322,8.2112,0.2959,22.4440,16.6529,15.5660,0.0010,-1.0000
16.6700,0.0000,71.7491,1.2491,0.2772,10.8739,16.6693,15.7072,0.0008,-1.0000
16.6660,0.0000,71.7656,0.9554,0.3815,16.7337,16.6541,15.3699,0.0012,-1.0000
16.6657,0.0000,71.7823,1.2128,0.2811,16.6563,16.6571,15.4478,0.0011,-1.0000
16.6683,0.0000,71.7990,1.0858,0.2547,16.6600,16.6611,15.5177,0.0012,-1.0000
16.6659,0.0000,71.8156,0.9612,0.2690,16.6781,16.6518,15.4944,0.0011,-1.0000
16.6665,0.0000,71.8322,1.2829,0.2996,16.6638,16.6582,15.4233,0.0008,-1.0000
16.6679,0.0000,71.8490,1.2083,0.2809,16.6654,16.6609,15.6415,0.0009,-1.0000
16.6656,0.0000,71.8656,1.1422,0.3051,16.6721,16.6562,15.5196,0.0010,-1.0000
16.6676,0.0000,71.8823,1.1562,0.3083,16.6614,16.6620,15.4801,0.0010,-1.0000
16.7167,0.0000,71.8998,1.2339,0.2798,16.6653,16.7109,15.5472,0.0013,-1.0000
17.0923,0.0000,71.9173,1.0183,0.3100,16.6698,17.0806,14.9754,0.0139,-1.0000
16.6654,0.0000,71.9327,1.1357,0.2971,16.6644,16.4852,13.9589,0.0017,-1.0000
16.6701,0.0000,71.9495,1.1806,0.2944,16.6704,16.6688,15.6346,0.0008,-1.0000
21.7115,0.0000,71.9713,1.1621,0.3245,16.7224,21.6965,15.4460,0.0013,-1.0000
11.6178,0.0000,71.9827,2.0912,0.2569,17.0919,11.6065,10.2650,0.0008,-1.0000
16.6690,0.0000,71.9995,2.5250,0.2749,16.6570,16.6647,15.5921,0.0013,-1.0000
16.6669,0.0000,72.0161,1.0334,0.3071,16.6786,16.6577,15.3780,0.0013,-1.0000
16.6655,0.0000,72.0327,6.2494,0.2969,21.7065,16.6544,15.4768,0.0010,-1.0000
16.6674,0.0000,72.0495,1.3407,0.2838,11.6134,16.6576,15.6106,0.0010,-1.0000
16.6668,0.0000,72.0661,1.0712,0.3134,16.6732,16.6586,15.4305,0.0011,-1.0000
16.6652,0.0000,72.0827,1.2784,0.3089,16.6671,16.6533,15.5473,0.0011,-1.0000
16.6681,0.0000,72.0994,1.1767,0.2703,16.6631,16.6625,15.6055,0.0009,-1.0000
16.6664,0.0000,72.1161,1.0458,0.3004,16.6665,16.6574,14.9537,0.0010,-1.0000
16.6672,0.0000,72.1331,1.2267,0.2817,16.6686,16.6615,15.5058,0.0012,-1.0000
16.6669,0.0000,72.1494,1.1048,0.2611,16.6617,16.6573,15.2145,0.0011,-1.0000
16.6661,0.0000,72.1661,1.0558,0.2958,16.6704,16.6576,15.5527,0.0011,-1.0000
16.6651,0.0000,72.1828,1.7029,0.2838,16.6655,16.6547,15.5562,0.0011,-1.0000
19.1989,0.0000,72.2020,1.1545,0.3044,16.6700,19.1912,15.3935,0.0009,-1.0000
14.1358,0.0000,72.2161,1.4415,0.2932,16.6659,14.1244,12.9362,0.0009,-1.0000
16.6681,0.0000,72.2327,1.1036,0.2610,16.6674,16.6620,15.3434,0.0009,-1.0000
16.6667,0.0000,72.2495,1.0975,0.2733,16.6638,16.6564,15.5838,0.0009,-1.0000
29.2058,0.0000,72.2788,3.7971,0.3068,19.2003,29.2015,15.4969,0.0013,-1.0000
4.1232,0.0000,72.2826,1.1872,0.3576,14.1339,4.0985,2.7492,0.0010,-1.0000
16.6718,0.0000,72.2995,1.3177,0.2774,16.6697,16.6806,15.9894,0.0007,-1.0000
16.6652,0.0000,72.3161,1.0713,0.2728,16.6659,16.6505,15.3189,0.0013,-1.0000
16.6675,0.0000,72.3327,13.7035,0.2863,29.2110,16.6618,15.5167,0.0011,-1.0000
16.6673,0.0000,72.3495,1.3484,0.2266,4.1038,16.6625,15.5885,0.0011,-1.0000
16.6662,0.0000,72.3661,0.6903,0.3841,16.6900,16.6515,15.4595,0.0011,-1.0000
16.6647,0.0000,72.3828,1.3300,0.2951,16.6593,16.6517,15.5321,0.0013,-1.0000
16.6687,0.0000,72.3995,1.1440,0.3318,16.6698,16.6645,15.5446,0.0010,-1.0000
16.6667,0.0000,72.4161,1.0728,0.3210,16.6734,16.6559,15.3133,0.0013,-1.0000
16.6671,0.0000,72.4327,1.1908,0.2875,16.6614,16.6572,15.5153,0.0014,-1.0000
16.6669,0.0000,72.4495,1.1184,0.2609,16.6605,16.6566,15.5907,0.0011,-1.0000
18.4855,0.0000,72.4680,1.1190,0.3742,16.6737,18.4815,15.4141,0.0013,-1.0000
14.8458,0.0000,72.4827,1.3413,0.3377,16.6657,14.8281,13.5973,0.0009,-1.0000
16.6695,0.0000,72.4996,1.1404,0.2873,16.6656,16.6941,15.6429,0.0011,-1.0000
27.6780,0.0000,72.5272,1.0647,0.2933,16.6653,27.6435,14.0315,0.0014,-1.0000
