frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6679,1.0000,439.1458,1.5187,0.3338,16.6532,16.6691,15.2006,0.0013,-1.0000
16.6668,1.0000,439.1625,1.2299,0.4038,16.7435,16.6977,15.1125,0.0015,-1.0000
16.6628,1.0000,439.1790,1.5384,0.2948,16.5967,16.6369,15.2676,0.0014,-1.0000
16.6708,1.0000,439.1959,1.2994,0.3428,16.6564,16.7023,15.7759,0.0008,-1.0000
16.6659,1.0000,439.2126,1.4671,0.4049,16.6771,16.6488,15.3395,0.0010,-1.0000
16.6649,1.0000,439.2291,1.5837,0.3385,16.7061,16.6730,15.0964,0.0011,-1.0000
16.6686,1.0000,439.2458,1.3682,0.2788,16.6440,16.6206,15.4909,0.0010,-1.0000
16.6686,1.0000,439.2625,0.9257,0.3749,16.7103,16.6762,15.4248,0.0013,-1.0000
16.6664,1.0000,439.2792,1.3083,0.3759,16.6590,16.7724,15.1239,0.0012,-1.0000
16.6658,1.0000,439.2958,1.5752,0.2980,16.6807,16.5275,15.1450,0.0011,-1.0000
16.6670,1.0000,439.3125,1.1283,0.3626,16.6277,16.6744,15.2991,0.0010,-1.0000
16.6666,1.0000,439.3292,1.2502,0.4406,16.6861,16.6754,15.1809,0.0010,-1.0000
16.6661,1.0000,439.3458,1.6472,0.3821,16.7836,16.5860,15.2785,0.0011,-1.0000
16.6669,1.0000,439.3625,1.3814,0.3750,16.5368,16.7360,15.3898,0.0011,-1.0000
16.6681,1.0000,439.3792,1.3744,0.3563,16.6836,16.6413,15.2871,0.0012,-1.0000
16.6656,1.0000,439.3958,1.4935,0.3292,16.6842,16.6308,15.3420,0.0015,-1.0000
16.6646,1.0000,439.4125,1.3064,0.3600,16.5943,16.6657,15.2622,0.0012,-1.0000
