frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6674,0.0000,182.1165,1.4090,0.2580,16.6603,16.6585,15.3272,0.0011,-1.0000
16.6674,0.0000,182.1333,1.1318,0.2961,16.6692,16.6621,15.5368,0.0010,-1.0000
16.6648,0.0000,182.1499,1.1612,0.3740,16.8121,16.6505,15.4446,0.0011,-1.0000
16.6673,0.0000,182.1666,1.5033,0.2551,16.6619,16.6616,15.1138,0.0013,-1.0000
16.6679,0.0000,182.1833,1.3301,0.3030,16.6667,16.6582,15.4815,0.0012,-1.0000
16.6666,0.0000,182.2000,1.1238,0.2731,16.6705,16.6600,15.3790,0.0014,-1.0000
16.6663,0.0000,182.2165,1.2049,0.6893,16.6613,16.6544,15.3390,0.0011,-1.0000
16.6674,0.0000,182.2333,1.5466,0.3239,16.6701,16.6578,15.5430,0.0009,-1.0000
16.6642,0.0000,182.2499,1.1756,0.3426,16.6668,16.6496,15.4306,0.0013,-1.0000
16.6673,0.0000,182.2666,1.2795,0.4867,16.6685,16.6654,15.6126,0.0010,-1.0000
16.6659,0.0000,182.2833,1.3140,0.3131,16.6644,16.6549,15.2307,0.0010,-1.0000
16.6711,0.0000,182.3000,1.1137,0.3001,16.6669,16.6719,15.3910,0.0012,-1.0000
16.6645,0.0000,182.3165,1.2180,0.2546,16.6565,16.6506,15.2899,0.0014,-1.0000
16.6674,0.0000,182.3333,1.0518,0.2918,16.6721,16.6595,15.5790,0.0009,-1.0000
16.6662,0.0000,182.3499,1.4234,0.2729,16.6625,16.6558,15.4004,0.0011,-1.0000
16.6654,0.0000,182.3666,1.2799,0.3132,16.6816,16.6556,15.4597,0.0012,-1.0000
16.6681,0.0000,182.3833,1.3590,0.3057,16.6600,16.6605,15.4682,0.0011,-1.0000
16.6665,0.0000,182.4001,1.0794,0.6912,16.6685,16.6569,15.3693,0.0012,-1.0000
16.6673,0.0000,182.4165,1.2541,0.2926,16.6647,16.6622,15.3573,0.0011,-1.0000
16.6687,0.0000,182.4334,1.1946,0.2630,16.6641,16.6622,15.3918,0.0011,-1.0000
