frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
15.4102,0.0000,94.6741,1.2226,0.2490,16.6768,15.3910,13.7792,0.0011,-1.0000
16.6685,0.0000,94.6909,1.3525,0.9314,16.6555,16.6671,15.5158,0.0013,-1.0000
16.6668,0.0000,94.7075,6.3986,0.4314,16.6717,16.6570,14.9844,0.0014,-1.0000
16.6634,0.0000,94.7241,2.8765,0.3143,17.9268,16.6443,15.4541,0.0009,-1.0000
16.6703,0.0000,94.7409,1.6107,0.4941,15.3992,16.6749,15.5898,0.0011,-1.0000
16.6655,0.0000,94.7575,1.1499,0.5551,16.6755,16.6519,15.1181,0.0012,-1.0000
16.6661,0.0000,94.7740,1.6717,0.2851,16.6668,16.6550,15.4216,0.0010,-1.0000
16.6689,0.0000,94.7909,1.1891,0.3893,16.6512,16.6697,15.5441,0.0011,-1.0000
16.6656,0.0000,94.8075,1.0839,0.4550,16.6840,16.6529,15.2804,0.0011,-1.0000
16.6657,0.0000,94.8242,1.5326,0.4012,16.6605,16.6524,15.4309,0.0008,-1.0000
16.6676,0.0000,94.8410,1.2323,0.3372,16.6619,16.6635,15.4104,0.0011,-1.0000
16.8196,0.0000,94.8577,1.1243,0.3222,16.6785,16.8161,15.3131,0.0013,-1.0000
16.6657,0.0000,94.8743,1.3710,0.3722,16.6620,16.6475,15.1611,0.0011,-1.0000
16.6688,0.0000,94.8912,1.2207,0.3035,16.6610,16.6644,15.3245,0.0012,-1.0000
17.4961,0.0000,94.9087,1.2519,0.3201,16.6721,17.5825,15.0663,0.0011,-1.0000
15.8329,0.0000,94.9243,1.5021,0.3549,16.8266,15.7158,14.3681,0.0011,-1.0000
16.6678,0.0000,94.9410,1.4852,0.4288,16.6565,16.6701,15.5688,0.0011,-1.0000
16.6703,0.0000,94.9580,1.3388,0.5763,16.6742,16.6675,15.4452,0.0011,-1.0000
16.6651,0.0000,94.9742,2.5150,0.3825,17.5919,16.6527,15.0342,0.0012,-1.0000
16.6677,0.0000,94.9911,1.3468,0.2645,15.7223,16.6617,15.5102,0.0012,-1.0000
16.6671,0.0000,95.0077,1.1002,0.2950,16.6757,16.6574,15.3273,0.0011,-1.0000
16.6655,0.0000,95.0243,1.2210,0.3623,16.6755,16.6512,15.3839,0.0009,-1.0000
16.6653,0.0000,95.0410,1.6175,0.3134,16.6613,16.6546,15.4221,0.0011,-1.0000
16.6703,0.0000,95.0578,1.1502,0.3189,16.6704,16.6664,15.3175,0.0012,-1.0000
16.6653,0.0000,95.0743,1.3287,0.2920,16.6684,16.6563,15.1403,0.0013,-1.0000
16.6680,0.0000,95.0910,1.2665,0.3129,16.6614,16.6617,15.4696,0.0010,-1.0000
16.6657,0.0000,95.1079,1.2312,0.3804,16.6628,16.6551,15.2105,0.0014,-1.0000
16.6667,0.0000,95.1244,1.3476,0.3591,16.6743,16.6574,15.0521,0.0013,-1.0000
16.6647,0.0000,95.1410,1.5145,0.3030,16.6646,16.6543,15.3610,0.0013,-1.0000
16.6700,0.0000,95.1578,1.1910,0.3631,16.6708,16.6655,15.4192,0.0013,-1.0000
16.6652,0.0000,95.1742,1.4432,0.4547,16.6639,16.6484,15.0750,0.0012,-1.0000
16.6671,0.0000,95.1910,1.6040,0.3273,16.6666,16.6613,15.4174,0.0010,-1.0000
16.6672,0.0000,95.2077,1.2919,0.3364,16.6634,16.6586,15.4448,0.0011,-1.0000
16.6661,0.0000,95.2243,1.2451,0.3942,16.6769,16.6551,15.4039,0.0013,-1.0000
16.6646,0.0000,95.2410,1.5723,0.2775,16.6568,16.6534,15.4528,0.0011,-1.0000
16.6696,0.0000,95.2577,1.2428,0.3137,16.6698,16.6670,15.3238,0.0010,-1.0000
16.6664,0.0000,95.2742,1.2125,0.2992,16.6671,16.6550,15.1953,0.0012,-1.0000
16.6668,0.0000,95.2910,1.2499,0.3473,16.6652,16.6558,15.5421,0.0011,-1.0000
16.6688,0.0000,95.3078,1.1994,0.2534,16.6610,16.6670,15.3485,0.0012,-1.0000
16.6643,0.0000,95.3244,1.3423,0.2870,16.6769,16.6466,14.9120,0.0011,-1.0000
16.6678,0.0000,95.3410,1.4584,0.2729,16.6646,16.6613,15.2097,0.0016,-1.0000
16.6669,0.0000,95.3577,1.1126,0.2557,16.6646,16.6558,15.3930,0.0011,-1.0000
16.6662,0.0000,95.3742,1.3171,0.2672,16.6768,16.6573,15.3358,0.0028,-1.0000
16.6670,0.0000,95.3910,1.7336,0.3330,16.6580,16.6563,15.5380,0.0013,-1.0000
16.6681,0.0000,95.4080,1.4498,0.2623,16.6705,16.6607,15.3265,0.0012,-1.0000
16.6638,0.0000,95.4243,1.2615,0.3048,16.6648,16.6503,14.5596,0.0014,-1.0000
16.6665,0.0000,95.4409,1.3187,0.3520,16.6671,16.6590,15.3959,0.0012,-1.0000
16.6689,0.0000,95.4577,1.1172,0.3126,16.6653,16.6636,15.4180,0.0013,-1.0000
16.6656,0.0000,95.4745,1.3328,0.3031,16.6707,16.6560,15.4023,0.0012,-1.0000
16.6666,0.0000,95.4910,2.0894,0.3091,16.6590,16.6575,15.1682,0.0012,-1.0000
16.6688,0.0000,95.5077,1.2618,0.2526,16.6664,16.6701,15.4188,0.0011,-1.0000
16.6659,0.0000,95.5243,1.2442,0.3024,16.6717,16.6434,15.3366,0.0012,-1.0000
16.6648,0.0000,95.5412,1.2529,0.2694,16.6654,16.6534,15.3890,0.0011,-1.0000
16.6700,0.0000,95.5577,1.4881,0.2680,16.6660,16.6737,15.2005,0.0011,-1.0000
16.6654,0.0000,95.5742,1.2500,0.2765,16.6808,16.6520,15.1304,0.0013,-1.0000
16.6660,0.0000,95.5910,1.3052,0.2727,16.6534,16.6502,15.4340,0.0011,-1.0000
16.6678,0.0000,95.6087,1.2632,0.2602,16.6606,16.6685,15.1849,0.0010,-1.0000
16.6712,0.0000,95.6247,1.4719,0.4148,16.6836,16.6687,13.9064,0.0016,-1.0000
16.6596,0.0000,95.6409,1.5200,0.3038,16.6626,16.6256,14.9778,0.0012,-1.0000
