frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6664,1.0000,380.8828,1.3238,0.2932,16.6702,16.6595,15.3401,0.0011,-1.0000
16.6682,1.0000,380.8995,1.1921,0.2785,16.6631,16.6662,15.3946,0.0011,-1.0000
16.6653,1.0000,380.9161,1.2328,0.2955,16.6790,16.6498,15.1194,0.0010,-1.0000
16.6681,1.0000,380.9328,1.4147,0.2830,16.6581,16.6607,15.4181,0.0010,-1.0000
16.6654,1.0000,380.9495,1.3182,0.2679,16.6670,16.6510,15.1769,0.0013,-1.0000
16.6704,1.0000,380.9663,1.2701,0.3419,16.6773,16.6676,15.3936,0.0012,-1.0000
16.6636,1.0000,380.9827,1.5292,0.3273,16.6598,16.6437,14.8700,0.0016,-1.0000
16.6636,1.0000,380.9994,1.2416,0.3682,16.6717,16.7011,15.4566,0.0010,-1.0000
16.6681,1.0000,381.0161,1.4725,0.3350,16.6602,16.6160,15.5469,0.0008,-1.0000
16.6685,1.0000,381.0328,1.2727,0.3530,16.6796,16.6601,15.3618,0.0008,-1.0000
16.6638,1.0000,381.0493,1.7723,0.2752,16.6539,16.6457,15.2430,0.0012,-1.0000
16.6669,1.0000,381.0659,1.2432,0.2607,16.7075,16.6616,15.6442,0.0013,-1.0000
16.6696,1.0000,381.0827,1.0683,0.2684,16.6244,16.6783,15.7274,0.0010,-1.0000
16.6645,1.0000,381.0994,1.2976,0.2737,16.6692,16.6411,15.4294,0.0011,-1.0000
16.6673,1.0000,381.1160,1.4013,0.2444,16.6525,16.6624,15.5294,0.0008,-1.0000
16.6683,1.0000,381.1327,1.0160,0.2449,16.6668,16.6662,15.4872,0.0013,-1.0000
16.6635,1.0000,381.1493,0.9498,0.3186,16.6874,16.6453,15.4453,0.0014,-1.0000
16.6693,1.0000,381.1661,1.2106,0.2681,16.6496,16.6704,15.6876,0.0008,-1.0000
16.6683,1.0000,381.1829,1.1320,0.2495,16.6683,16.6689,15.3190,0.0011,-1.0000
16.6662,1.0000,381.1994,1.1775,0.2599,16.6742,16.6509,15.0875,0.0013,-1.0000
16.6671,1.0000,381.2161,1.1988,0.2744,16.6514,16.6594,15.3335,0.0013,-1.0000
16.6657,1.0000,381.2328,0.9814,0.3249,16.6775,16.6530,15.2404,0.0012,-1.0000
16.6672,1.0000,381.2495,1.3487,0.3098,16.6783,16.6621,15.2419,0.0011,-1.0000
16.6671,1.0000,381.2661,1.5618,0.3516,16.6605,16.6559,15.3609,0.0011,-1.0000
16.6685,1.0000,381.2828,1.3245,0.3197,16.6688,16.6629,15.3347,0.0010,-1.0000
16.6620,1.0000,381.2993,1.4114,0.3495,16.6615,16.6386,15.3175,0.0011,-1.0000
16.6675,1.0000,381.3160,1.4189,0.2756,16.6714,16.6667,15.6466,0.0010,-1.0000
16.6662,1.0000,381.3327,1.2938,0.3059,16.6656,16.6596,15.5246,0.0010,-1.0000
16.6684,1.0000,381.3494,1.3266,0.2820,16.6725,16.6640,15.5319,0.0011,-1.0000
16.6646,1.0000,381.3661,1.3197,0.2690,16.6455,16.6540,15.5320,0.0012,-1.0000
16.6681,1.0000,381.3826,1.0191,0.2827,16.6720,16.6661,15.5010,0.0010,-1.0000
16.6680,1.0000,381.3994,1.1343,0.2705,16.6669,16.6654,15.6106,0.0009,-1.0000
16.6641,1.0000,381.4160,1.1307,0.2855,16.6705,16.6458,15.4176,0.0009,-1.0000
16.6697,1.0000,381.4327,1.1207,0.2779,16.6602,16.6702,15.5977,0.0011,-1.0000
16.6671,1.0000,381.4495,1.1641,0.2838,16.6729,16.6585,15.4527,0.0011,-1.0000
16.7194,1.0000,381.4663,1.0539,0.2845,16.6746,16.7644,15.1596,0.0011,-1.0000
16.6365,1.0000,381.4827,1.2273,0.2798,16.6534,16.5728,15.1416,0.0010,-1.0000
16.6673,1.0000,381.4995,1.0714,0.3211,16.6774,16.6580,15.3058,0.0010,-1.0000
16.6660,1.0000,381.5161,1.2044,0.3381,16.6675,16.6571,15.3092,0.0012,-1.0000
16.6674,1.0000,381.5328,1.6034,0.3520,16.7747,16.6614,15.2391,0.0013,-1.0000
16.6645,1.0000,381.5494,1.4301,0.3608,16.5827,16.6496,15.3097,0.0013,-1.0000
16.6656,1.0000,381.5660,1.3512,0.3264,16.6667,16.6524,15.4787,0.0011,-1.0000
16.6691,1.0000,381.5827,1.3468,0.3216,16.6648,16.6741,15.7003,0.0009,-1.0000
16.6676,1.0000,381.5994,1.4205,0.3386,16.6710,16.6568,15.4424,0.0009,-1.0000
16.6667,1.0000,381.6161,1.3387,0.2580,16.6572,16.6594,15.4403,0.0012,-1.0000
16.6645,1.0000,381.6326,1.1727,0.2554,16.6582,16.6488,15.3867,0.0011,-1.0000
16.6695,1.0000,381.6494,0.9727,0.2662,16.6808,16.6744,15.7068,0.0009,-1.0000
16.6649,1.0000,381.6660,1.2130,0.2938,16.6652,16.6518,15.4020,0.0010,-1.0000
16.6652,1.0000,381.6826,1.2177,0.2660,16.6675,16.6511,15.5212,0.0015,-1.0000
16.6692,1.0000,381.6995,1.2611,0.2518,16.6554,16.6743,15.5981,0.0011,-1.0000
16.6675,1.0000,381.7161,0.9665,0.3131,16.6819,16.6574,15.2723,0.0012,-1.0000
16.6686,1.0000,381.7328,1.2487,0.2603,16.6597,16.6623,15.2901,0.0012,-1.0000
16.6651,1.0000,381.7495,1.1285,0.2692,16.6575,16.6501,15.2470,0.0012,-1.0000
16.6678,1.0000,381.7662,1.0750,0.2864,16.6821,16.6600,15.4062,0.0012,-1.0000
16.6639,1.0000,381.7827,1.3840,0.3020,16.6680,16.6465,15.1528,0.0011,-1.0000
16.6675,1.0000,381.7995,1.3706,0.3032,16.6730,16.6647,15.4011,0.0012,-1.0000
16.6676,1.0000,381.8161,1.4018,0.2832,16.6607,16.6566,15.3361,0.0010,-1.0000
16.6666,1.0000,381.8327,1.2526,0.2887,16.6710,16.6552,15.2441,0.0011,-1.0000
16.6631,1.0000,381.8493,1.4928,0.2895,16.6554,16.6459,15.4554,0.0011,-1.0000
16.6693,1.0000,381.8661,1.2625,0.3393,16.6736,16.6737,15.6765,0.0010,-1.0000
16.6677,1.0000,381.8827,1.3192,0.3759,16.6657,16.6617,15.3619,0.0010,-1.0000
16.6649,1.0000,381.8994,1.4100,0.2480,16.6636,16.6501,15.4813,0.0009,-1.0000
16.6682,1.0000,381.9161,1.1897,0.2403,16.6516,16.6634,15.6018,0.0009,-1.0000
16.6669,1.0000,381.9328,0.9963,0.2933,16.6805,16.6590,15.4718,0.0011,-1.0000
16.6645,1.0000,381.9494,1.2988,0.3092,16.6709,16.6500,15.3745,0.0013,-1.0000
16.6665,1.0000,381.9661,1.1683,0.2825,16.6587,16.6618,15.5855,0.0008,-1.0000
16.6685,1.0000,381.9826,1.0606,0.2754,16.6717,16.6663,15.4874,0.0010,-1.0000
16.6685,1.0000,381.9996,1.1860,0.3260,16.6677,16.6653,15.5682,0.0011,-1.0000
16.6665,1.0000,382.0161,1.2741,0.2513,16.6565,16.6545,15.1155,0.0016,-1.0000
16.6667,1.0000,382.0328,1.0754,0.2611,16.6674,16.6563,15.4000,0.0011,-1.0000
16.6668,1.0000,382.0495,1.1778,0.2773,16.6734,16.6608,15.3364,0.0014,-1.0000
16.6650,1.0000,382.0661,1.0959,0.3562,16.6767,16.6493,15.3514,0.0013,-1.0000
16.6679,1.0000,382.0827,1.5373,0.2873,16.6644,16.6637,15.4529,0.0010,-1.0000
16.6671,1.0000,382.0995,1.2551,0.3259,16.6656,16.6634,15.4577,0.0010,-1.0000
16.6668,1.0000,382.1162,1.3229,0.3140,16.6697,16.6537,15.3346,0.0011,-1.0000
16.6670,1.0000,382.1328,1.2964,0.2847,16.6569,16.6559,15.1600,0.0014,-1.0000
16.6649,1.0000,382.1494,1.2099,0.3245,16.6717,16.6503,15.3324,0.0012,-1.0000
16.6686,1.0000,382.1662,1.2046,0.2920,16.6732,16.6674,15.5464,0.0008,-1.0000
16.6661,1.0000,382.1826,1.3181,0.2816,16.6630,16.6535,15.1730,0.0010,-1.0000
16.6642,1.0000,382.1994,1.4947,0.2677,16.6649,16.6519,15.5443,0.0009,-1.0000
16.6707,1.0000,382.2162,1.3164,0.2497,16.6577,16.6764,15.5313,0.0010,-1.0000
16.6653,1.0000,382.2328,1.1202,0.3463,16.6753,16.6524,15.2732,0.0011,-1.0000
16.6651,1.0000,382.2493,1.4797,0.2651,16.6612,16.6504,15.3675,0.0010,-1.0000
16.6691,1.0000,382.2661,1.1066,0.2899,16.6575,16.6697,15.5754,0.0010,-1.0000
16.6649,1.0000,382.2827,1.1440,0.3175,16.6851,16.6517,15.4241,0.0013,-1.0000
16.6701,1.0000,382.2995,1.3780,0.3294,16.6612,16.6709,15.5123,0.0012,-1.0000
16.6662,1.0000,382.3162,1.2820,0.3129,16.6569,16.6579,15.2773,0.0014,-1.0000
