frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6639,1.0000,407.9214,1.2580,0.2549,16.6669,16.6464,15.1522,0.0008,-1.0000
16.6695,1.0000,407.9379,1.2084,0.2669,16.6554,16.6694,15.3547,0.0010,-1.0000
16.6668,1.0000,407.9548,1.1160,0.2835,16.6863,16.6569,15.5019,0.0009,-1.0000
16.6644,1.0000,407.9712,1.3553,0.3431,16.6643,16.6515,15.2127,0.0012,-1.0000
16.6690,1.0000,407.9881,1.4933,0.2552,16.6538,16.6706,15.6320,0.0007,-1.0000
16.6671,1.0000,408.0047,1.3138,0.2530,16.6758,16.6600,15.2700,0.0012,-1.0000
16.6643,1.0000,408.0212,1.1538,0.2691,16.6656,16.6492,15.4082,0.0013,-1.0000
16.6698,1.0000,408.0379,1.4375,0.2490,16.6592,16.6729,15.4382,0.0007,-1.0000
16.6662,1.0000,408.0547,1.0377,0.2849,16.6763,16.6570,15.4314,0.0012,-1.0000
16.6669,1.0000,408.0714,1.3889,0.2971,16.6675,16.6579,15.4357,0.0009,-1.0000
16.6671,1.0000,408.0880,1.2396,0.2628,16.6560,16.6615,15.2799,0.0012,-1.0000
16.6660,1.0000,408.1049,1.2337,0.2790,16.6799,16.6535,15.3161,0.0013,-1.0000
16.6669,1.0000,408.1213,1.2244,0.2648,16.6660,16.6567,15.1857,0.0014,-1.0000
16.6681,1.0000,408.1379,1.2212,0.3146,16.6675,16.6627,15.4421,0.0012,-1.0000
16.6642,1.0000,408.1547,1.3802,0.2987,16.6697,16.6491,15.4418,0.0010,-1.0000
16.6666,1.0000,408.1713,1.3362,0.2648,16.6633,16.6590,15.3290,0.0012,-1.0000
16.6687,1.0000,408.1881,1.4694,0.2663,16.6642,16.6668,15.3411,0.0008,-1.0000
16.6654,1.0000,408.2047,1.2193,0.2609,16.6721,16.6501,15.2142,0.0013,-1.0000
16.6643,1.0000,408.2214,1.2062,0.2649,16.6585,16.6563,15.4261,0.0013,-1.0000
16.6700,1.0000,408.2379,1.3286,0.3545,16.6656,16.6664,15.5337,0.0008,-1.0000
16.6654,1.0000,408.2546,1.3243,0.2461,16.6763,16.6545,15.3134,0.0015,-1.0000
16.6677,1.0000,408.2714,1.4345,0.2691,16.6583,16.6492,15.3969,0.0011,-1.0000
16.6682,1.0000,408.2880,1.2291,0.2272,16.6632,16.6642,15.3365,0.0012,-1.0000
16.6646,1.0000,408.3047,1.1320,0.2922,16.6741,16.6523,15.3599,0.0010,-1.0000
16.6649,1.0000,408.3213,1.3397,0.2420,16.6745,16.6485,15.3219,0.0011,-1.0000
16.6707,1.0000,408.3380,1.2510,0.2835,16.6577,16.6778,15.4953,0.0012,-1.0000
16.6657,1.0000,408.3547,1.3264,0.2674,16.6725,16.6529,15.3522,0.0011,-1.0000
16.6660,1.0000,408.3713,1.2913,0.2611,16.6614,16.6526,15.3588,0.0013,-1.0000
16.6693,1.0000,408.3882,1.3254,0.2328,16.6546,16.6740,15.4084,0.0011,-1.0000
16.6664,1.0000,408.4048,1.1811,0.2695,16.6867,16.6512,14.9272,0.0012,-1.0000
16.6657,1.0000,408.4214,1.2993,0.2566,16.6633,16.6479,15.0680,0.0012,-1.0000
16.6690,1.0000,408.4381,1.2925,0.2905,16.6599,16.6668,15.2870,0.0010,-1.0000
16.6635,1.0000,408.4547,1.2644,0.3404,16.6848,16.6398,15.0657,0.0011,-1.0000
16.6645,1.0000,408.4713,1.7230,0.3096,16.6639,16.6470,15.3595,0.0012,-1.0000
16.6702,1.0000,408.4880,1.5789,0.2875,16.6579,16.6723,15.6233,0.0009,-1.0000
16.6669,1.0000,408.5048,1.3791,0.3060,16.6811,16.6635,15.4068,0.0011,-1.0000
16.6636,1.0000,408.5213,1.5733,0.2952,16.6512,16.6411,15.2210,0.0011,-1.0000
16.6672,1.0000,408.5379,1.2864,0.2604,16.6536,16.6646,15.4858,0.0008,-1.0000
16.6678,1.0000,408.5547,1.0478,0.3306,16.6802,16.6662,15.4905,0.0009,-1.0000
16.6656,1.0000,408.5714,1.2553,0.2896,16.6736,16.6453,15.3928,0.0011,-1.0000
16.6685,1.0000,408.5880,1.4192,0.2482,16.6484,16.6680,15.3557,0.0010,-1.0000
16.6684,1.0000,408.6048,1.1779,0.2870,16.6716,16.6621,15.4316,0.0011,-1.0000
16.6621,1.0000,408.6212,1.1747,0.2480,16.6768,16.6387,15.2334,0.0013,-1.0000
16.6710,1.0000,408.6379,1.2514,0.2496,16.6539,16.6775,15.7234,0.0010,-1.0000
16.6676,1.0000,408.6547,1.3111,0.3053,16.6767,16.6575,15.2962,0.0011,-1.0000
16.6665,1.0000,408.6714,1.2294,0.2778,16.6723,16.6569,15.3077,0.0011,-1.0000
