frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6678,1.0000,266.1848,1.2484,0.2319,16.6509,16.6735,15.3831,0.0013,-1.0000
16.6665,1.0000,266.2014,1.0179,0.2735,16.6721,16.6489,15.2028,0.0015,-1.0000
16.6657,1.0000,266.2180,1.2066,0.2710,16.6728,16.6547,15.4008,0.0013,-1.0000
16.6672,1.0000,266.2347,1.1714,0.3351,16.6654,16.6584,15.3242,0.0012,-1.0000
16.6671,1.0000,266.2514,1.2888,0.2904,16.6841,16.6518,15.2511,0.0011,-1.0000
16.6674,1.0000,266.2680,1.4445,0.2749,16.6593,16.6689,15.3710,0.0010,-1.0000
16.6679,1.0000,266.2847,1.2524,0.3560,16.6635,16.6576,15.2886,0.0012,-1.0000
16.6677,1.0000,266.3014,1.3328,0.2733,16.6667,16.6520,15.1952,0.0011,-1.0000
16.6640,1.0000,266.3180,1.3994,0.2679,16.6599,16.6502,15.1906,0.0014,-1.0000
16.6671,1.0000,266.3347,1.2968,0.2945,16.6775,16.6668,15.3488,0.0010,-1.0000
16.6667,1.0000,266.3514,1.3675,0.3172,16.6676,16.6963,15.1669,0.0013,-1.0000
16.6673,1.0000,266.3680,1.4554,0.3356,16.6635,16.6224,15.2789,0.0015,-1.0000
16.6669,1.0000,266.3848,1.4579,0.2645,16.6594,16.6543,15.2162,0.0013,-1.0000
16.6667,1.0000,266.4015,1.3171,0.3105,16.6761,16.7171,15.2092,0.0012,-1.0000
16.6668,1.0000,266.4181,1.5280,0.3225,16.7056,16.5946,15.0632,0.0013,-1.0000
16.6659,1.0000,266.4347,1.3417,0.3821,16.6317,16.6549,15.2641,0.0011,-1.0000
16.6660,1.0000,266.4514,1.4367,0.3239,16.6649,16.6980,15.3547,0.0012,-1.0000
16.6670,1.0000,266.4680,1.5066,0.3424,16.7292,16.6060,15.0943,0.0015,-1.0000
16.6656,1.0000,266.4847,1.5300,0.3587,16.6048,16.6609,15.3399,0.0011,-1.0000
16.6675,1.0000,266.5014,1.3897,0.2695,16.6643,16.6588,15.4081,0.0012,-1.0000
16.6678,1.0000,266.5181,1.3421,0.3277,16.7068,16.7301,15.1211,0.0014,-1.0000
16.6680,1.0000,266.5349,1.5101,0.2878,16.6156,16.6620,15.0837,0.0015,-1.0000
16.6657,1.0000,266.5514,1.3199,0.3033,16.6694,16.6286,15.0327,0.0012,-1.0000
16.6669,1.0000,266.5680,1.2497,0.3529,16.6660,16.6677,15.3007,0.0011,-1.0000
16.6673,1.0000,266.5850,1.6072,0.3622,16.7391,16.6919,15.4322,0.0012,-1.0000
16.6627,1.0000,266.6013,1.5768,0.2940,16.6737,16.5832,14.7500,0.0015,-1.0000
16.6700,1.0000,266.6181,1.5948,0.2978,16.6387,16.6880,15.5595,0.0008,-1.0000
16.6667,1.0000,266.6349,1.3657,0.2804,16.6767,16.7663,15.3401,0.0015,-1.0000
16.6669,1.0000,266.6515,1.2584,0.2844,16.7020,16.5565,15.0961,0.0011,-1.0000
16.6660,1.0000,266.6680,1.8319,0.2690,16.5918,16.6593,15.2606,0.0011,-1.0000
16.6668,1.0000,266.6848,1.1276,0.2736,16.6949,16.6909,15.3400,0.0010,-1.0000
16.6672,1.0000,266.7014,1.4246,0.2817,16.7762,16.5715,15.2189,0.0011,-1.0000
16.6674,1.0000,266.7181,1.4589,0.3086,16.5672,16.7219,15.2193,0.0012,-1.0000
16.6659,1.0000,266.7348,1.3975,0.2666,16.6680,16.6538,15.1770,0.0011,-1.0000
16.6665,1.0000,266.7516,1.3498,0.3152,16.7002,16.6322,15.1965,0.0012,-1.0000
16.6662,1.0000,266.7680,1.3516,0.3514,16.5807,16.6716,15.1691,0.0013,-1.0000
16.6694,1.0000,266.7848,1.5012,0.3386,16.7318,16.6755,15.3645,0.0011,-1.0000
16.6653,1.0000,266.8015,1.4756,0.2914,16.6627,16.6418,15.2569,0.0013,-1.0000
16.6670,1.0000,266.8181,1.4348,0.3000,16.6432,16.6625,15.0238,0.0014,-1.0000
16.6658,1.0000,266.8349,1.5014,0.2941,16.6803,16.6928,15.1475,0.0013,-1.0000
16.6673,1.0000,266.8514,1.3092,0.3140,16.6862,16.5985,15.0191,0.0011,-1.0000
16.6653,1.0000,266.8679,1.3836,0.3324,16.6535,16.6414,15.2707,0.0012,-1.0000
16.6663,1.0000,266.8848,1.6369,0.4133,16.6713,16.7736,15.5913,0.0011,-1.0000
16.6674,1.0000,266.9014,1.5441,0.3383,16.7031,16.5415,15.1097,0.0014,-1.0000
16.6662,1.0000,266.9182,1.5776,0.3114,16.6082,16.7602,15.3948,0.0011,-1.0000
16.6676,1.0000,266.9347,1.3694,0.2622,16.6490,16.5676,15.2650,0.0012,-1.0000
16.6676,1.0000,266.9514,1.1814,0.2799,16.7812,16.6199,15.2684,0.0010,-1.0000
16.6663,1.0000,266.9679,1.4301,0.3288,16.5490,16.6577,15.1536,0.0016,-1.0000
16.6642,1.0000,266.9846,1.3644,0.2555,16.7687,16.6490,15.5584,0.0009,-1.0000
16.6694,1.0000,267.0014,1.3015,0.3087,16.5753,16.6743,15.4022,0.0010,-1.0000
16.6659,1.0000,267.0180,1.3505,0.3470,16.6287,16.6543,15.2350,0.0012,-1.0000
16.6658,1.0000,267.0346,1.5027,0.2606,16.6663,16.6529,15.4655,0.0011,-1.0000
16.6687,1.0000,267.0514,1.0898,0.3079,16.6558,16.7074,15.3402,0.0009,-1.0000
16.6677,1.0000,267.0681,1.2711,0.2915,16.6815,16.7041,15.3661,0.0014,-1.0000
16.6657,1.0000,267.0848,1.4180,0.2750,16.6620,16.6341,15.2224,0.0013,-1.0000
16.6683,1.0000,267.1014,1.1862,0.2928,16.6602,16.6562,15.2423,0.0010,-1.0000
16.6657,1.0000,267.1181,1.3662,0.2903,16.7152,16.6822,15.3168,0.0013,-1.0000
16.6656,1.0000,267.1348,1.3365,0.3319,16.7164,16.6474,15.3109,0.0012,-1.0000
16.6677,1.0000,267.1514,1.4103,0.2680,16.6441,16.6277,15.1935,0.0013,-1.0000
16.6674,1.0000,267.1680,1.4126,0.2968,16.6643,16.6451,15.3331,0.0014,-1.0000
16.6659,1.0000,267.1848,1.3638,0.2776,16.6917,16.7122,15.3919,0.0012,-1.0000
16.6664,1.0000,267.2014,1.3356,0.2853,16.6578,16.5631,15.3191,0.0012,-1.0000
16.6676,1.0000,267.2181,1.4328,0.2868,16.6375,16.6694,15.3861,0.0016,-1.0000
16.6651,1.0000,267.2348,1.3106,0.2872,16.6547,16.6490,15.1207,0.0012,-1.0000
16.6678,1.0000,267.2514,1.3187,0.3367,16.7204,16.6604,15.2048,0.0010,-1.0000
16.6678,1.0000,267.2679,1.2429,0.2707,16.5712,16.6716,15.1945,0.0013,-1.0000
16.6665,1.0000,267.2849,1.2817,0.3476,16.6785,16.8092,15.2543,0.0012,-1.0000
16.6625,1.0000,267.3015,1.5273,0.3904,16.6578,16.7486,15.1953,0.0010,-1.0000
16.6708,1.0000,267.3180,1.4547,0.3065,16.6689,16.3995,15.4022,0.0011,-1.0000
16.6669,1.0000,267.3347,1.4757,0.3063,16.6809,16.6656,15.2433,0.0011,-1.0000
16.6649,1.0000,267.3513,1.5537,0.2726,16.8181,16.6567,15.3094,0.0014,-1.0000
16.6681,1.0000,267.3680,1.5522,0.2908,16.7549,16.6683,15.4255,0.0015,-1.0000
16.6665,1.0000,267.3847,0.9961,0.2921,16.4070,16.6433,15.3773,0.0012,-1.0000
16.6655,1.0000,267.4013,1.4211,0.2670,16.6751,16.6606,15.2111,0.0013,-1.0000
16.6679,1.0000,267.4181,1.3459,0.3030,16.6662,16.6569,15.4902,0.0010,-1.0000
16.6670,1.0000,267.4347,1.2413,0.3033,16.6787,16.6696,15.2908,0.0012,-1.0000
16.6647,1.0000,267.4513,1.2645,0.3123,16.6521,16.6395,15.4230,0.0010,-1.0000
16.6686,1.0000,267.4680,1.4478,0.2687,16.6678,16.6721,15.4657,0.0013,-1.0000
16.6669,1.0000,267.4847,1.1654,0.2752,16.6644,16.6587,15.3490,0.0009,-1.0000
16.6650,1.0000,267.5013,1.3775,0.2906,16.6787,16.6407,15.3416,0.0011,-1.0000
16.6658,1.0000,267.5180,1.2153,0.3060,16.6470,16.6596,15.4120,0.0011,-1.0000
16.6699,1.0000,267.5347,1.2051,0.2719,16.6806,16.6742,15.4659,0.0013,-1.0000
16.6652,1.0000,267.5514,1.3088,0.2734,16.6685,16.6563,15.2641,0.0014,-1.0000
16.6662,1.0000,267.5679,1.2980,0.2640,16.6476,16.6548,15.4102,0.0010,-1.0000
16.6692,1.0000,267.5850,1.2465,0.2711,16.6664,16.7446,15.4656,0.0012,-1.0000
16.6667,1.0000,267.6014,1.2068,0.3048,16.6819,16.5761,14.6609,0.0016,-1.0000
16.6638,1.0000,267.6180,1.3908,0.2847,16.6643,16.6507,15.3030,0.0014,-1.0000
16.6697,1.0000,267.6348,1.2434,0.3604,16.6630,16.7325,15.4235,0.0010,-1.0000
16.6662,1.0000,267.6514,1.2779,0.4098,16.7561,16.5946,15.2948,0.0015,-1.0000
16.6655,1.0000,267.6681,1.9130,0.2658,16.5858,16.8067,15.3081,0.0011,-1.0000
16.6680,1.0000,267.6850,1.3463,0.2589,16.6586,16.7915,15.2966,0.0011,-1.0000
16.6684,1.0000,267.7014,1.3081,0.2840,16.7402,16.4351,15.0578,0.0010,-1.0000
16.6639,1.0000,267.7180,1.2982,0.3127,16.6034,16.5872,15.0954,0.0012,-1.0000
16.6693,1.0000,267.7347,1.4974,0.2941,16.8148,16.6684,15.4612,0.0010,-1.0000
16.6663,1.0000,267.7514,1.4937,0.3240,16.7995,16.7014,15.3087,0.0010,-1.0000
16.6646,1.0000,267.7680,1.3761,0.3593,16.4446,16.6546,15.2303,0.0009,-1.0000
16.6675,1.0000,267.7847,1.4905,0.3052,16.5956,16.6592,15.4518,0.0010,-1.0000
16.6678,1.0000,267.8014,1.2057,0.3191,16.6769,16.6751,15.3093,0.0012,-1.0000
16.6659,1.0000,267.8181,1.3915,0.3199,16.7104,16.6843,15.4229,0.0011,-1.0000
16.6674,1.0000,267.8348,1.4236,0.3482,16.6619,16.6306,15.3504,0.0010,-1.0000
16.6675,1.0000,267.8514,1.2062,0.2817,16.6664,16.6472,15.2228,0.0012,-1.0000
16.6673,1.0000,267.8682,1.3642,0.2586,16.6827,16.7931,15.2421,0.0014,-1.0000
16.6666,1.0000,267.8848,1.2600,0.2653,16.6923,16.5270,15.1497,0.0012,-1.0000
16.6662,1.0000,267.9015,1.2792,0.2992,16.6397,16.6704,15.3326,0.0014,-1.0000
16.6676,1.0000,267.9182,1.4230,0.3530,16.6553,16.6860,15.1673,0.0010,-1.0000
16.6664,1.0000,267.9347,1.5496,0.3104,16.8039,16.5635,15.1955,0.0011,-1.0000
16.6665,1.0000,267.9514,1.3760,0.3118,16.5375,16.7161,15.2651,0.0012,-1.0000
16.6684,1.0000,267.9682,1.3362,0.3782,16.6811,16.6842,15.2525,0.0011,-1.0000
16.6643,1.0000,267.9847,1.5178,0.3013,16.6977,16.6062,15.0646,0.0012,-1.0000
16.6668,1.0000,268.0014,1.3666,0.2967,16.5726,16.6685,15.4539,0.0011,-1.0000
16.6673,1.0000,268.0181,1.4497,0.3347,16.7245,16.6667,15.3112,0.0012,-1.0000
16.6663,1.0000,268.0347,1.4304,0.3556,16.6961,16.6426,15.2820,0.0010,-1.0000
16.6658,1.0000,268.0514,1.5405,0.2899,16.6159,16.6668,15.3681,0.0013,-1.0000
16.6667,1.0000,268.0680,1.2133,0.2791,16.6771,16.6830,15.3294,0.0009,-1.0000
16.6685,1.0000,268.0849,1.3544,0.3033,16.6771,16.6507,15.3681,0.0011,-1.0000
16.6660,1.0000,268.1014,1.3593,0.2839,16.6524,16.6227,15.1660,0.0012,-1.0000
16.6669,1.0000,268.1183,1.2974,0.2730,16.6742,16.7694,15.1783,0.0012,-1.0000
16.6659,1.0000,268.1347,1.3528,0.3239,16.6915,16.5303,15.0075,0.0013,-1.0000
16.6672,1.0000,268.1514,1.2815,0.2805,16.6622,16.6730,15.1322,0.0012,-1.0000
16.6672,1.0000,268.1681,1.4554,0.3520,16.6319,16.6657,15.2769,0.0014,-1.0000
16.6664,1.0000,268.1847,1.5901,0.3185,16.7788,16.6062,14.9728,0.0011,-1.0000
16.6673,1.0000,268.2014,1.5216,0.3407,16.5393,16.6661,15.4131,0.0008,-1.0000
16.6673,1.0000,268.2180,1.5393,0.3228,16.6805,16.6550,15.3149,0.0010,-1.0000
16.6659,1.0000,268.2347,1.3874,0.3134,16.6754,16.6636,15.3386,0.0009,-1.0000
16.6668,1.0000,268.2514,1.6325,0.2999,16.6154,16.6481,15.3268,0.0011,-1.0000
16.6672,1.0000,268.2680,1.2521,0.3410,16.6742,16.6670,15.3761,0.0012,-1.0000
16.6668,1.0000,268.2848,1.3392,0.2917,16.6646,16.6889,15.2482,0.0013,-1.0000
16.6672,1.0000,268.3014,1.3241,0.3012,16.6730,16.6316,15.2460,0.0014,-1.0000
16.6664,1.0000,268.3181,1.3203,0.2665,16.6570,16.6287,15.2118,0.0012,-1.0000
16.6668,1.0000,268.3348,1.2895,0.3141,16.6769,16.6579,15.3348,0.0011,-1.0000
16.6668,1.0000,268.3513,1.4395,0.2975,16.6982,16.6552,15.1466,0.0014,-1.0000
16.6667,1.0000,268.3680,1.3841,0.3244,16.6411,16.6844,15.3963,0.0011,-1.0000
16.6670,1.0000,268.3849,1.4154,0.2799,16.6392,16.8032,15.4026,0.0009,-1.0000
16.6665,1.0000,268.4014,1.3219,0.3405,16.6683,16.4826,15.0874,0.0011,-1.0000
16.6665,1.0000,268.4180,1.5070,0.2973,16.6648,16.6591,15.3253,0.0012,-1.0000
16.6680,1.0000,268.4349,1.2869,0.3214,16.6939,16.8668,15.3009,0.0011,-1.0000
16.6650,1.0000,268.4513,1.3994,0.3212,16.8134,16.4426,15.0475,0.0012,-1.0000
16.6669,1.0000,268.4679,1.3941,0.3071,16.4923,16.6607,15.4532,0.0012,-1.0000
