frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6673,0.0000,229.9533,1.4624,0.3064,15.6636,16.6618,15.4137,0.0011,-1.0000
16.6658,0.0000,229.9697,1.2483,0.3303,16.6676,16.6547,15.2305,0.0013,-1.0000
16.6679,0.0000,229.9865,1.3395,0.3967,16.6708,16.6619,15.5546,0.0009,-1.0000
16.6664,0.0000,230.0031,1.5574,0.3363,16.6604,16.6545,15.3497,0.0011,-1.0000
16.6648,0.0000,230.0198,1.2467,0.2830,16.6713,16.6537,15.4313,0.0012,-1.0000
16.6685,0.0000,230.0365,1.4227,0.3310,16.6641,16.6612,15.4817,0.0010,-1.0000
16.6670,0.0000,230.0531,1.1063,0.3246,16.6708,16.6608,15.2834,0.0013,-1.0000
16.6664,0.0000,230.0697,1.3036,0.2649,16.6636,16.6546,15.3206,0.0012,-1.0000
16.6674,0.0000,230.0865,1.2209,0.2663,16.6625,16.6587,15.4789,0.0010,-1.0000
16.6659,0.0000,230.1031,1.1783,0.3253,16.6705,16.6518,15.1326,0.0012,-1.0000
16.6673,0.0000,230.1199,1.3760,0.3264,16.6707,16.6619,15.4503,0.0011,-1.0000
17.1151,0.0000,230.1370,1.3328,0.2750,16.6636,17.1102,15.5441,0.0013,-1.0000
16.6655,0.0000,230.1536,1.1784,0.3007,16.6695,16.6454,15.2728,0.0013,-1.0000
16.6663,0.0000,230.1701,1.5180,0.2727,16.6610,16.6613,15.4272,0.0010,-1.0000
16.7714,0.0000,230.1877,1.2105,0.2766,16.6711,16.7642,15.5392,0.0008,-1.0000
16.6630,0.0000,230.2037,1.5644,0.3091,17.1216,16.6449,14.5714,0.0014,-1.0000
16.6676,0.0000,230.2204,1.3710,0.3027,16.6552,16.6619,15.4302,0.0013,-1.0000
16.6670,0.0000,230.2370,1.2329,0.3621,16.6700,16.6585,15.2467,0.0017,-1.0000
16.6656,0.0000,230.2539,1.2240,0.3195,16.7755,16.6536,15.4041,0.0011,-1.0000
16.6665,0.0000,230.2702,2.0721,0.2700,16.6552,16.6585,15.3002,0.0016,-1.0000
16.6692,0.0000,230.2871,1.2304,0.2952,16.6708,16.6665,15.5678,0.0008,-1.0000
16.6651,0.0000,230.3036,1.4100,0.3048,16.6683,16.6470,15.0538,0.0011,-1.0000
16.6684,0.0000,230.3204,1.2484,0.2729,16.6640,16.6673,15.3242,0.0010,-1.0000
16.6662,0.0000,230.3371,1.3566,0.3622,16.6661,16.6496,15.1136,0.0013,-1.0000
16.6675,0.0000,230.3538,1.0976,0.5023,16.6760,16.6566,15.2431,0.0012,-1.0000
16.6656,0.0000,230.3703,1.5919,0.3131,16.6565,16.6527,15.1250,0.0012,-1.0000
16.6661,0.0000,230.3870,1.3422,0.3272,16.6777,16.6558,15.3392,0.0009,-1.0000
16.6787,0.0000,230.4037,1.5345,0.3609,16.6615,16.6690,15.3337,0.0011,-1.0000
16.6692,0.0000,230.4206,1.4122,0.3191,16.6675,16.6690,15.2260,0.0010,-1.0000
16.6648,0.0000,230.4371,1.5263,0.3138,16.6639,16.6279,14.8659,0.0013,-1.0000
16.6707,0.0000,230.4537,1.3155,0.3002,16.6660,16.6640,15.0290,0.0011,-1.0000
16.6616,0.0000,230.4703,1.3335,0.4394,16.6798,16.6413,15.4114,0.0014,-1.0000
16.6660,0.0000,230.4870,1.4414,0.3396,16.6971,16.6540,15.4713,0.0009,-1.0000
16.6674,0.0000,230.5037,1.7603,0.4491,16.6410,16.6600,15.4533,0.0009,-1.0000
16.6666,0.0000,230.5204,1.6332,0.2525,16.6748,16.6584,15.4531,0.0012,-1.0000
16.6659,0.0000,230.5370,1.2282,0.3101,16.6522,16.6534,15.2309,0.0011,-1.0000
16.6653,0.0000,230.5537,1.1818,0.2813,16.6638,16.6549,15.4114,0.0009,-1.0000
16.6703,0.0000,230.5703,1.2056,0.2691,16.6681,16.6717,15.5427,0.0012,-1.0000
16.6650,0.0000,230.5870,1.2040,0.4218,16.6685,16.6471,14.3179,0.0014,-1.0000
16.6660,0.0000,230.6036,1.4213,0.2871,16.6623,16.6566,15.4737,0.0013,-1.0000
16.6682,0.0000,230.6204,1.2424,0.2578,16.6618,16.6664,15.6010,0.0009,-1.0000
16.6654,0.0000,230.6370,1.1280,1.1563,16.6816,16.6499,15.1788,0.0011,-1.0000
16.6648,0.0000,230.6536,2.3278,0.2798,16.6569,16.6538,15.5205,0.0010,-1.0000
16.6700,0.0000,230.6705,1.1813,0.2604,16.6646,16.6699,15.5489,0.0009,-1.0000
16.6666,0.0000,230.6870,1.0642,0.4496,16.6758,16.6536,14.3687,0.0014,-1.0000
16.6660,0.0000,230.7037,1.4699,0.2571,16.6580,16.6535,15.4119,0.0012,-1.0000
16.6687,0.0000,230.7204,1.1320,0.2743,16.6614,16.6663,15.4654,0.0010,-1.0000
16.6654,0.0000,230.7370,1.1199,0.2983,16.6797,16.6508,15.3024,0.0013,-1.0000
16.6651,0.0000,230.7536,2.2832,0.2669,16.6635,16.6525,15.4903,0.0008,-1.0000
16.6700,0.0000,230.7703,1.2403,0.2852,16.6617,16.6757,15.5505,0.0011,-1.0000
16.6644,0.0000,230.7870,1.1993,0.2857,16.6762,16.6439,15.4193,0.0009,-1.0000
