frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6679,0.0000,159.2463,1.2703,0.3070,16.1239,16.6656,15.3481,0.0012,-1.0000
26.8119,0.0000,159.2731,1.2576,0.4384,16.6634,26.8039,15.0790,0.0012,-1.0000
8.6692,0.0000,159.2815,2.1500,0.3616,17.2216,8.6492,5.1399,0.0009,-1.0000
14.5192,0.0000,159.2963,1.3010,0.4793,16.6520,14.5237,13.6532,0.0011,-1.0000
16.6665,0.0000,159.3128,1.3162,0.2852,16.6733,16.6594,14.8595,0.0020,-1.0000
16.6670,0.0000,159.3296,11.7237,0.3550,26.8131,16.6569,15.3538,0.0008,-1.0000
16.6676,0.0000,159.3463,3.5085,0.2215,8.6546,16.6616,15.2938,0.0012,-1.0000
17.8382,0.0000,159.3642,0.8692,0.3073,14.5304,17.8297,15.0771,0.0012,-1.0000
15.4918,0.0000,159.3795,1.7979,0.6577,16.6691,15.4704,13.8941,0.0009,-1.0000
16.6710,0.0000,159.3963,1.3018,0.3146,16.6656,16.6743,15.5267,0.0011,-1.0000
21.7404,0.0000,159.4183,1.3666,0.4154,16.6708,21.7356,15.0892,0.0011,-1.0000
11.5893,0.0000,159.4294,2.7516,0.3185,17.8408,11.5659,9.8036,0.0020,-1.0000
16.6695,0.0000,159.4463,1.5757,0.2633,15.4763,16.6713,15.6496,0.0010,-1.0000
19.0812,0.0000,159.4654,1.1463,0.4425,16.6835,19.0811,15.2073,0.0013,-1.0000
14.2492,0.0000,159.4795,6.6451,0.3337,21.7459,14.2198,12.8484,0.0010,-1.0000
16.6686,0.0000,159.4962,1.7605,0.2685,11.5725,16.6821,15.5390,0.0011,-1.0000
16.6690,0.0000,159.5139,1.0205,0.3704,16.6798,16.6574,15.3983,0.0009,-1.0000
16.6644,0.0000,159.5296,3.8726,0.3353,19.0922,16.6465,14.0906,0.0018,-1.0000
16.6665,0.0000,159.5462,1.3703,0.2727,14.2261,16.6526,15.3723,0.0011,-1.0000
16.6686,0.0000,159.5629,1.1421,0.3899,16.6894,16.6662,15.4047,0.0013,-1.0000
16.6670,0.0000,159.5796,1.2583,0.3282,16.6673,16.6561,15.3514,0.0012,-1.0000
16.6662,0.0000,159.5963,2.5544,0.3025,16.6559,16.6570,15.3814,0.0013,-1.0000
17.7017,0.0000,159.6139,1.2793,0.3034,16.6601,17.6955,15.1849,0.0012,-1.0000
15.6288,0.0000,159.6294,1.2597,0.2904,16.6753,15.6113,14.2994,0.0011,-1.0000
16.6701,0.0000,159.6463,1.3033,0.3226,16.6660,16.6725,15.6332,0.0008,-1.0000
17.3111,0.0000,159.6644,1.2741,0.3242,16.6667,17.3058,15.2807,0.0012,-1.0000
16.0295,0.0000,159.6795,2.5092,0.2855,17.7045,16.0104,13.8021,0.0013,-1.0000
16.6691,0.0000,159.6962,1.3108,0.2743,15.6171,16.6661,15.5479,0.0012,-1.0000
16.6675,0.0000,159.7128,1.0384,0.3501,16.6799,16.6631,15.3945,0.0014,-1.0000
16.6661,0.0000,159.7296,2.0242,0.3200,17.3163,16.6570,15.4484,0.0012,-1.0000
16.6679,0.0000,159.7462,2.2072,0.2781,16.0168,16.6617,15.3682,0.0011,-1.0000
