frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6671,1.0000,23.5570,1.5602,0.4979,16.6679,16.6563,14.9558,0.0013,-1.0000
16.6668,1.0000,23.5735,1.5626,0.6019,16.6828,16.6556,14.5842,0.0016,-1.0000
16.6656,1.0000,23.5902,1.9107,0.5078,16.6497,16.6540,15.0459,0.0012,-1.0000
16.6677,1.0000,23.6068,1.7417,0.4694,16.6695,16.6645,15.0684,0.0012,-1.0000
16.6662,1.0000,23.6235,1.6990,0.8161,16.6678,16.6535,15.0185,0.0011,-1.0000
16.6670,1.0000,23.6401,2.0705,0.5273,16.6640,16.6556,15.1358,0.0014,-1.0000
16.6678,1.0000,23.6569,1.6068,0.4416,16.6627,16.6671,15.2130,0.0013,-1.0000
16.6658,1.0000,23.6735,1.5943,0.4683,16.6734,16.6523,14.7216,0.0012,-1.0000
16.6663,1.0000,23.6902,1.6336,0.4290,16.6618,16.6537,15.0935,0.0010,-1.0000
16.6685,1.0000,23.7068,1.5179,0.4118,16.6644,16.6698,15.0453,0.0013,-1.0000
16.6660,1.0000,23.7235,1.4526,0.5476,16.6763,16.6503,14.8830,0.0015,-1.0000
16.6648,1.0000,23.7401,1.9295,0.4587,16.6614,16.6560,15.0742,0.0017,-1.0000
16.6696,1.0000,23.7569,1.5591,0.4574,16.6617,16.6635,15.1996,0.0010,-1.0000
16.6654,1.0000,23.7735,1.6233,0.7132,16.6790,16.6539,14.5904,0.0012,-1.0000
16.6665,1.0000,23.7902,1.7658,0.4407,16.6603,16.6575,15.1531,0.0011,-1.0000
16.6688,1.0000,23.8068,1.5799,0.4150,16.6641,16.6647,15.0620,0.0012,-1.0000
16.6658,1.0000,23.8235,1.4627,0.6034,16.6715,16.6512,14.7841,0.0011,-1.0000
16.6655,1.0000,23.8401,2.0623,0.4097,16.6627,16.6541,15.1562,0.0011,-1.0000
16.6685,1.0000,23.8569,1.5031,0.4216,16.6666,16.6657,15.1814,0.0016,-1.0000
16.6657,1.0000,23.8736,1.6015,0.5291,16.6750,16.6470,14.7359,0.0012,-1.0000
16.6663,1.0000,23.8901,1.8658,0.4484,16.6603,16.6560,15.0600,0.0011,-1.0000
16.6684,1.0000,23.9069,1.4967,0.4176,16.6626,16.6683,14.4472,0.0012,-1.0000
16.6656,1.0000,23.9235,1.4820,0.6076,16.6770,16.6466,14.7781,0.0013,-1.0000
16.6678,1.0000,23.9405,1.9097,0.4333,16.6583,16.6661,15.1133,0.0014,-1.0000
16.6664,1.0000,23.9569,1.5949,0.4379,16.6642,16.6526,14.5210,0.0013,-1.0000
16.6643,1.0000,23.9735,2.2197,0.4908,16.6778,16.6505,15.1203,0.0013,-1.0000
16.6697,1.0000,23.9902,1.8671,0.5018,16.6559,16.6716,15.1882,0.0012,-1.0000
16.6667,1.0000,24.0067,1.5510,0.6953,16.6750,16.6519,14.8597,0.0011,-1.0000
16.6651,1.0000,24.0235,2.1297,0.4636,16.6623,16.6532,15.2273,0.0013,-1.0000
16.6687,1.0000,24.0402,1.5290,0.4525,16.6588,16.6684,15.0796,0.0009,-1.0000
16.6665,1.0000,24.0568,1.4823,0.5570,16.6803,16.6525,14.9310,0.0009,-1.0000
16.6645,1.0000,24.0735,1.7913,0.4654,16.6617,16.6500,15.2186,0.0010,-1.0000
16.6684,1.0000,24.0904,1.4245,0.4636,16.6610,16.6684,15.1774,0.0011,-1.0000
16.6670,1.0000,24.1067,1.5878,0.5453,16.6788,16.6574,14.7984,0.0014,-1.0000
16.6665,1.0000,24.1236,1.7203,0.4693,16.6616,16.6567,15.2232,0.0013,-1.0000
16.6679,1.0000,24.1403,1.4306,0.4668,16.6573,16.6615,14.9629,0.0012,-1.0000
16.6659,1.0000,24.1568,1.4900,0.4540,16.6769,16.6560,15.0401,0.0011,-1.0000
16.6656,1.0000,24.1734,1.8576,0.4879,16.6657,16.6519,15.1787,0.0015,-1.0000
16.6677,1.0000,24.1902,1.4320,0.5343,16.6651,16.6698,15.2529,0.0011,-1.0000
16.6674,1.0000,24.2068,1.6973,0.5036,16.6705,16.6556,15.1519,0.0011,-1.0000
16.6664,1.0000,24.2235,1.6149,0.4721,16.6646,16.6553,14.9880,0.0012,-1.0000
16.6680,1.0000,24.2403,1.4717,0.4162,16.6595,16.6628,15.0483,0.0015,-1.0000
16.6661,1.0000,24.2568,1.4154,0.4360,16.6789,16.6529,14.7737,0.0019,-1.0000
16.6650,1.0000,24.2735,1.5024,0.4718,16.6639,16.6518,15.1811,0.0011,-1.0000
16.6680,1.0000,24.2902,1.6662,0.4433,16.6641,16.6710,15.1033,0.0013,-1.0000
16.6664,1.0000,24.3067,1.6128,0.5393,16.6726,16.6512,14.9553,0.0015,-1.0000
16.6662,1.0000,24.3234,1.8775,0.4433,16.6622,16.6543,15.2767,0.0013,-1.0000
16.6665,1.0000,24.3401,1.4694,0.4455,16.6593,16.6615,15.2526,0.0011,-1.0000
16.6672,1.0000,24.3569,1.5663,0.4532,16.6800,16.6611,15.0351,0.0012,-1.0000
16.6653,1.0000,24.3735,1.6941,0.4346,16.6602,16.6501,15.1505,0.0011,-1.0000
16.6928,1.0000,24.3905,1.3764,0.5042,16.6626,16.6910,15.1232,0.0012,-1.0000
16.6423,1.0000,24.4067,1.4077,0.4744,16.6693,16.6328,14.6535,0.0011,-1.0000
16.6658,1.0000,24.4234,1.6247,0.4407,16.6706,16.6518,15.3250,0.0013,-1.0000
