frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6662,1.0000,41.3765,1.4716,0.5174,16.6699,16.6522,14.7325,0.0019,-1.0000
16.6648,1.0000,41.3932,2.0379,0.4178,16.6651,16.6522,15.3323,0.0010,-1.0000
16.6697,1.0000,41.4100,1.3715,0.4203,16.6597,16.6686,15.2504,0.0009,-1.0000
16.6664,1.0000,41.4266,1.4496,0.5538,16.6780,16.6540,15.0455,0.0011,-1.0000
16.6654,1.0000,41.4432,1.9179,0.4641,16.6610,16.6553,15.1999,0.0011,-1.0000
16.6676,1.0000,41.4600,1.3186,0.3826,16.6593,16.6637,15.2447,0.0013,-1.0000
16.6670,1.0000,41.4765,1.4171,0.4642,16.6772,16.6529,15.0034,0.0011,-1.0000
16.6645,1.0000,41.4932,1.6076,0.5208,16.6640,16.6546,15.2971,0.0012,-1.0000
16.6686,1.0000,41.5099,1.4541,0.3895,16.6631,16.6602,15.2638,0.0010,-1.0000
16.6663,1.0000,41.5266,1.4177,0.4470,16.6736,16.6520,15.1535,0.0010,-1.0000
16.6663,1.0000,41.5432,1.6483,0.3606,16.6624,16.6576,15.2299,0.0011,-1.0000
16.6692,1.0000,41.5600,1.3560,0.4083,16.6654,16.6652,15.3061,0.0013,-1.0000
16.6648,1.0000,41.5764,1.3952,0.4101,16.6718,16.6494,14.8843,0.0015,-1.0000
16.6653,1.0000,41.5932,1.4971,0.3920,16.6622,16.6566,15.3314,0.0012,-1.0000
16.6690,1.0000,41.6099,1.4263,0.3576,16.6657,16.6645,15.3369,0.0012,-1.0000
16.6626,1.0000,41.6265,1.3578,0.4601,16.6760,16.6428,15.3148,0.0012,-1.0000
16.6694,1.0000,41.6432,1.7636,0.3969,16.6595,16.6687,15.4358,0.0008,-1.0000
16.6674,1.0000,41.6599,1.3239,0.4552,16.6639,16.6614,15.0714,0.0016,-1.0000
16.6661,1.0000,41.6765,1.3260,0.3695,16.6731,16.6558,15.3101,0.0012,-1.0000
16.6676,1.0000,41.6933,1.3266,0.4275,16.6511,16.6652,15.2743,0.0012,-1.0000
16.6663,1.0000,41.7099,1.2319,0.4173,16.6758,16.6498,15.0847,0.0013,-1.0000
16.6650,1.0000,41.7265,1.5885,0.3681,16.6688,16.6511,15.3449,0.0011,-1.0000
16.6697,1.0000,41.7434,1.3444,0.3584,16.6650,16.7259,15.3279,0.0010,-1.0000
16.6664,1.0000,41.7599,1.3896,0.5127,16.6764,16.6019,15.1007,0.0011,-1.0000
16.6657,1.0000,41.7764,1.5637,0.3696,16.6594,16.6559,15.2930,0.0013,-1.0000
16.6673,1.0000,41.7933,1.3050,0.4279,16.6589,16.6604,15.3738,0.0011,-1.0000
16.6672,1.0000,41.8099,1.3969,0.3663,16.7337,16.6598,15.1559,0.0010,-1.0000
16.6652,1.0000,41.8266,1.5000,0.4399,16.6098,16.6517,15.3099,0.0010,-1.0000
16.6675,1.0000,41.8433,1.3614,0.3505,16.6636,16.6633,15.2320,0.0012,-1.0000
16.6674,1.0000,41.8599,1.2856,0.4166,16.6690,16.6573,15.0081,0.0012,-1.0000
16.6661,1.0000,41.8765,1.5028,0.3601,16.6680,16.6571,15.2162,0.0012,-1.0000
16.6701,1.0000,41.8934,1.3409,0.4729,16.6599,16.6656,15.3755,0.0013,-1.0000
16.6647,1.0000,41.9099,1.4301,0.5373,16.6732,16.6469,14.8262,0.0014,-1.0000
16.6646,1.0000,41.9265,1.6479,0.6586,16.6671,16.6516,15.2018,0.0013,-1.0000
16.6695,1.0000,41.9435,1.4396,0.4930,16.6660,16.6699,15.3365,0.0014,-1.0000
16.6658,1.0000,41.9600,1.2888,0.5516,16.6765,16.6505,14.8241,0.0012,-1.0000
16.6667,1.0000,41.9765,1.8192,0.4465,16.6578,16.6573,14.8952,0.0011,-1.0000
16.6687,1.0000,41.9933,1.4482,0.4191,16.6595,16.6630,15.2728,0.0012,-1.0000
16.6659,1.0000,42.0100,1.3321,0.4709,16.6799,16.6529,15.0553,0.0013,-1.0000
16.6651,1.0000,42.0266,1.8253,0.4406,16.6609,16.6554,15.2025,0.0013,-1.0000
16.6678,1.0000,42.0433,1.7610,0.4136,16.6658,16.6590,15.2190,0.0011,-1.0000
16.6662,1.0000,42.0599,1.3888,0.4333,16.6727,16.6561,15.1849,0.0012,-1.0000
16.6674,1.0000,42.0765,1.5964,0.3982,16.6626,16.6615,15.3024,0.0011,-1.0000
16.6678,1.0000,42.0933,1.4514,0.3663,16.6642,16.6580,15.2321,0.0014,-1.0000
16.6645,1.0000,42.1104,1.4387,0.3729,16.6680,16.6485,14.8750,0.0018,-1.0000
16.6678,1.0000,42.1266,1.4700,0.3779,16.6653,16.6631,14.7112,0.0012,-1.0000
16.6672,1.0000,42.1433,1.3578,0.4380,16.6713,16.6599,15.1180,0.0012,-1.0000
16.6655,1.0000,42.1599,1.4243,0.4652,16.6684,16.6535,14.9034,0.0011,-1.0000
16.6661,1.0000,42.1765,1.7715,0.4407,16.6570,16.6582,15.2379,0.0012,-1.0000
16.6682,1.0000,42.1933,1.9505,0.4669,16.6715,16.6641,15.2757,0.0014,-1.0000
16.6670,1.0000,42.2099,1.5407,0.6023,16.6683,16.6582,15.0048,0.0014,-1.0000
16.6669,1.0000,42.2266,1.7493,0.4422,16.6620,16.6604,15.1789,0.0013,-1.0000
16.7053,1.0000,42.2435,1.4192,0.4883,16.6653,16.6995,14.9481,0.0013,-1.0000
16.6642,1.0000,42.2600,1.3869,0.5329,16.6711,16.6432,14.7057,0.0014,-1.0000
16.6682,1.0000,42.2766,1.6519,0.4407,16.6671,16.6661,15.2215,0.0011,-1.0000
16.6689,1.0000,42.2934,1.4801,0.6460,16.6696,16.6649,14.9975,0.0009,-1.0000
16.6648,1.0000,42.3100,1.7496,0.5446,16.7118,16.6443,15.0216,0.0013,-1.0000
16.6675,1.0000,42.3267,1.9359,0.3905,16.6524,16.6619,15.2089,0.0012,-1.0000
16.6667,1.0000,42.3433,1.4434,0.4819,16.6740,16.6569,15.0171,0.0011,-1.0000
16.6657,1.0000,42.3600,1.6663,0.4211,16.6750,16.6528,15.0791,0.0010,-1.0000
16.6668,1.0000,42.3765,1.6208,0.4059,16.6546,16.6599,15.1005,0.0011,-1.0000
16.6672,1.0000,42.3934,1.4514,0.4550,16.6710,16.6583,14.9333,0.0012,-1.0000
16.6648,1.0000,42.4099,1.6387,0.4236,16.6661,16.6528,15.1074,0.0011,-1.0000
16.6692,1.0000,42.4267,1.5725,0.4409,16.6613,16.6682,15.3560,0.0010,-1.0000
16.6666,1.0000,42.4434,1.5579,0.5592,16.6690,16.6602,14.9913,0.0012,-1.0000
16.6650,1.0000,42.4600,1.7238,0.4458,16.6660,16.6480,15.0556,0.0014,-1.0000
16.6694,1.0000,42.4766,1.5439,0.4174,16.6602,16.6697,15.0888,0.0011,-1.0000
16.6653,1.0000,42.4933,1.3106,0.5242,16.6757,16.6548,15.2449,0.0013,-1.0000
16.6672,1.0000,42.5100,1.6674,0.5180,16.6692,16.6580,15.1850,0.0012,-1.0000
16.6680,1.0000,42.5267,1.5909,0.4852,16.6558,16.6603,15.2103,0.0010,-1.0000
16.6671,1.0000,42.5433,1.5792,0.4299,16.6782,16.6564,15.1733,0.0016,-1.0000
16.6651,1.0000,42.5600,1.4084,0.4152,16.6635,16.6546,15.0435,0.0012,-1.0000
16.6674,1.0000,42.5766,1.4718,0.4619,16.6672,16.6640,15.2137,0.0011,-1.0000
16.6671,1.0000,42.5934,1.4490,0.4361,16.6703,16.6548,15.1568,0.0013,-1.0000
16.6652,1.0000,42.6099,1.4813,0.5454,16.6657,16.6518,14.8461,0.0013,-1.0000
16.6665,1.0000,42.6266,1.6099,0.4073,16.6631,16.6607,15.2003,0.0012,-1.0000
16.6700,1.0000,42.6434,1.4487,0.4612,16.6729,16.6678,15.2549,0.0012,-1.0000
16.6635,1.0000,42.6599,1.4967,0.4948,16.6631,16.6440,15.0484,0.0015,-1.0000
16.6694,1.0000,42.6766,1.8045,0.4144,16.6604,16.6660,15.2886,0.0012,-1.0000
16.6657,1.0000,42.6933,1.4592,0.3946,16.6696,16.6550,14.8645,0.0014,-1.0000
16.6636,1.0000,42.7099,1.4116,0.4714,16.6773,16.6485,15.2533,0.0012,-1.0000
16.6689,1.0000,42.7266,1.5940,0.3968,16.6533,16.6688,15.3286,0.0012,-1.0000
16.6680,1.0000,42.7433,1.3761,0.4764,16.6746,16.6621,15.1696,0.0012,-1.0000
16.6655,1.0000,42.7599,1.7890,0.3960,16.6642,16.6541,15.3143,0.0012,-1.0000
16.6660,1.0000,42.7765,1.3939,0.3885,16.6556,16.6567,15.3119,0.0012,-1.0000
16.6684,1.0000,42.7933,1.3389,0.4140,16.6762,16.6654,14.7881,0.0008,-1.0000
16.6657,1.0000,42.8099,1.4915,0.3524,16.6705,16.6515,15.2468,0.0012,-1.0000
16.6672,1.0000,42.8267,1.3385,0.3800,16.6620,16.6648,15.3495,0.0009,-1.0000
16.6679,1.0000,42.8433,1.3435,0.4475,16.6636,16.6105,15.0426,0.0011,-1.0000
16.6646,1.0000,42.8599,1.8768,0.4185,16.6735,16.6507,15.3063,0.0013,-1.0000
16.6683,1.0000,42.8765,1.4036,0.3744,16.6598,16.6654,15.2713,0.0010,-1.0000
16.6671,1.0000,42.8933,1.3144,0.4381,16.6721,16.6609,15.2108,0.0013,-1.0000
16.6660,1.0000,42.9099,1.5666,0.3594,16.6689,16.6544,15.2357,0.0013,-1.0000
16.6670,1.0000,42.9266,1.3432,0.3679,16.6587,16.6601,15.2517,0.0012,-1.0000
16.6668,1.0000,42.9433,1.3930,0.4248,16.6723,16.6590,15.0566,0.0014,-1.0000
16.6654,1.0000,42.9602,1.4487,0.3689,16.6690,16.6532,15.2802,0.0010,-1.0000
16.6682,1.0000,42.9766,1.4175,0.4595,16.6630,16.6771,14.9821,0.0012,-1.0000
16.6675,1.0000,42.9933,1.4071,0.3984,16.6684,16.6448,15.1194,0.0015,-1.0000
16.6646,1.0000,43.0099,1.6008,0.4005,16.6667,16.6537,15.2306,0.0014,-1.0000
16.6682,1.0000,43.0267,1.3719,0.4621,16.6610,16.6656,15.3212,0.0011,-1.0000
16.6662,1.0000,43.0433,1.6937,1.0236,16.6865,16.6543,15.0511,0.0014,-1.0000
16.6656,1.0000,43.0599,1.5240,0.4453,16.6539,16.6518,15.2823,0.0012,-1.0000
16.6715,1.0000,43.0766,1.4221,0.4809,16.6618,16.6709,15.3263,0.0012,-1.0000
16.6632,1.0000,43.0933,1.3433,0.4850,16.6752,16.6494,15.0222,0.0014,-1.0000
16.6669,1.0000,43.1099,1.6016,0.4071,16.6640,16.6586,15.2052,0.0010,-1.0000
16.6674,1.0000,43.1267,1.3683,0.4044,16.6592,16.6609,15.1417,0.0013,-1.0000
16.6660,1.0000,43.1433,1.3427,0.5771,16.6795,16.6551,14.8188,0.0017,-1.0000
16.6661,1.0000,43.1599,1.6258,0.4043,16.6587,16.6540,15.1801,0.0012,-1.0000
16.6686,1.0000,43.1767,1.4520,0.3966,16.6670,16.6696,15.2906,0.0013,-1.0000
16.6673,1.0000,43.1933,1.5178,0.5555,16.6704,16.6519,14.7993,0.0020,-1.0000
16.6650,1.0000,43.2100,1.8347,0.4356,16.6643,16.6529,15.1356,0.0014,-1.0000
16.6686,1.0000,43.2266,1.4727,0.3681,16.6618,16.6597,15.2460,0.0012,-1.0000
16.6650,1.0000,43.2433,1.3777,0.4695,16.6802,16.6568,14.8939,0.0015,-1.0000
16.6665,1.0000,43.2600,1.8502,0.3922,16.6628,16.6572,15.1154,0.0013,-1.0000
16.6674,1.0000,43.2765,1.5161,0.4311,16.6623,16.6611,15.2681,0.0013,-1.0000
16.6664,1.0000,43.2933,1.4122,0.4605,16.6675,16.6559,15.2086,0.0011,-1.0000
16.6659,1.0000,43.3107,1.7617,0.3602,16.6651,16.6552,15.2930,0.0011,-1.0000
16.6688,1.0000,43.3280,1.5403,0.4143,16.6653,16.6675,14.5133,0.0011,-1.0000
16.6637,1.0000,43.3433,1.3916,0.3768,16.6700,16.6462,13.4619,0.0021,-1.0000
16.6683,1.0000,43.3599,1.4460,0.3819,16.6652,16.6629,15.3166,0.0012,-1.0000
16.6683,1.0000,43.3766,1.3610,0.3814,16.6630,16.6652,15.2961,0.0011,-1.0000
16.6647,1.0000,43.3932,2.1532,0.5087,16.6774,16.6464,14.9714,0.0014,-1.0000
16.6681,1.0000,43.4100,3.1829,0.4619,16.6540,16.6680,15.2887,0.0013,-1.0000
16.6675,1.0000,43.4266,1.3451,0.4703,16.6706,16.6552,14.9575,0.0016,-1.0000
16.6655,1.0000,43.4433,1.3678,0.5686,16.6751,16.6537,15.1494,0.0011,-1.0000
16.6678,1.0000,43.4600,1.6735,0.4285,16.6549,16.6637,15.2367,0.0011,-1.0000
16.6678,1.0000,43.4765,1.3779,0.4395,16.6770,16.6607,15.0794,0.0012,-1.0000
16.6657,1.0000,43.4933,1.6961,0.4247,16.6647,16.6515,15.1561,0.0012,-1.0000
16.6658,1.0000,43.5100,1.5031,0.4440,16.6617,16.6534,15.1406,0.0014,-1.0000
16.6690,1.0000,43.5269,1.4258,0.4714,16.6716,16.6721,14.8517,0.0015,-1.0000
16.6627,1.0000,43.5432,1.5799,0.5065,16.6717,16.6376,14.7046,0.0018,-1.0000
16.6687,1.0000,43.5599,1.4936,0.4258,16.6606,16.6675,15.3881,0.0012,-1.0000
16.6680,1.0000,43.5766,1.5112,0.4726,16.6615,16.6629,15.2343,0.0013,-1.0000
16.6657,1.0000,43.5933,1.8189,0.4687,16.6822,16.6508,14.5670,0.0013,-1.0000
16.6698,1.0000,43.6100,1.9316,0.3671,16.6463,16.6672,15.2332,0.0013,-1.0000
16.6641,1.0000,43.6266,1.2782,0.4004,16.6752,16.6512,15.1056,0.0016,-1.0000
16.6667,1.0000,43.6433,1.4272,0.7196,16.6727,16.6559,15.0627,0.0012,-1.0000
