frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6696,1.0000,4.7171,1.1434,0.3685,16.6714,16.6693,15.3574,0.0012,-1.0000
16.6613,1.0000,4.7329,1.3517,0.3428,16.6733,16.6305,14.5902,0.0015,-1.0000
16.6689,1.0000,4.7497,1.3517,0.3617,16.6522,16.6658,15.5717,0.0009,-1.0000
16.6676,1.0000,4.7664,1.1527,0.3975,16.6783,16.6645,14.0205,0.0014,-1.0000
16.6647,1.0000,4.7830,1.3106,0.3588,16.6822,16.6475,15.4086,0.0013,-1.0000
16.6680,1.0000,4.7997,2.0388,0.4155,16.6400,16.6628,15.4478,0.0009,-1.0000
16.6694,1.0000,4.8165,1.0930,0.3845,16.6733,16.6664,15.4537,0.0013,-1.0000
16.6647,1.0000,4.8329,2.6426,0.3581,16.6743,16.6460,15.0597,0.0012,-1.0000
16.7540,1.0000,4.8506,1.2377,0.3996,16.6562,16.7428,15.4886,0.0010,-1.0000
16.6683,1.0000,4.8667,1.2141,0.3578,16.6718,16.6639,14.5663,0.0012,-1.0000
16.6661,1.0000,4.8831,1.2113,0.4518,16.6767,16.6545,15.2121,0.0012,-1.0000
16.6701,1.0000,4.8998,1.5852,0.3777,16.6566,16.6707,15.3836,0.0011,-1.0000
16.6651,1.0000,4.9165,1.2532,0.4101,16.7505,16.6489,15.2920,0.0012,-1.0000
16.6668,1.0000,4.9331,2.0964,0.3554,16.6734,16.6536,15.4072,0.0011,-1.0000
16.6653,1.0000,4.9498,1.4411,0.4058,16.6626,16.6560,15.3634,0.0015,-1.0000
16.6680,1.0000,4.9665,1.2856,0.4522,16.6825,16.6616,15.2716,0.0014,-1.0000
16.6647,1.0000,4.9831,1.3552,0.3929,16.6595,16.6509,15.4270,0.0015,-1.0000
16.6691,1.0000,5.0000,1.2448,0.3802,16.6641,16.6662,15.3574,0.0012,-1.0000
16.6669,1.0000,5.0165,1.2906,0.3994,16.6649,16.6602,14.9243,0.0011,-1.0000
16.6659,1.0000,5.0332,1.3885,0.3620,16.6689,16.6513,15.1316,0.0015,-1.0000
16.6673,1.0000,5.0497,1.2225,0.3611,16.6592,16.6601,15.3846,0.0010,-1.0000
16.6671,1.0000,5.0665,1.3077,0.4307,16.6757,16.6542,15.3937,0.0013,-1.0000
16.6654,1.0000,5.0831,1.7344,0.4408,16.6690,16.6567,15.3517,0.0012,-1.0000
16.6667,1.0000,5.0998,1.5179,0.3950,16.6615,16.6560,15.4204,0.0011,-1.0000
16.6673,1.0000,5.1165,1.2742,0.4388,16.6708,16.6620,15.3059,0.0011,-1.0000
16.6664,1.0000,5.1331,1.2588,0.3659,16.6632,16.6546,15.4040,0.0014,-1.0000
16.6702,1.0000,5.1497,1.3036,0.4264,16.6667,16.6669,15.4329,0.0011,-1.0000
16.6640,1.0000,5.1665,1.2344,0.4389,16.6639,16.6507,15.1789,0.0014,-1.0000
16.6666,1.0000,5.1832,1.3546,0.3803,16.6708,16.6584,15.3272,0.0012,-1.0000
16.8474,1.0000,5.2003,1.2491,0.3803,16.6631,16.8485,15.4547,0.0015,-1.0000
16.6649,1.0000,5.2167,1.2325,0.5126,16.6757,16.6418,14.1512,0.0013,-1.0000
16.6667,1.0000,5.2333,1.4705,0.3562,16.6599,16.6574,15.2805,0.0014,-1.0000
16.6685,1.0000,5.2499,1.3297,0.3608,16.6673,16.6631,15.3789,0.0012,-1.0000
16.6661,1.0000,5.2667,1.3920,0.5206,16.8602,16.6509,15.3373,0.0011,-1.0000
16.6665,1.0000,5.2833,2.4893,0.4945,16.6513,16.6587,15.3184,0.0010,-1.0000
16.6677,1.0000,5.3001,1.3753,0.5055,16.6667,16.7245,15.3704,0.0012,-1.0000
16.6655,1.0000,5.3167,1.2827,0.4010,16.6737,16.5875,15.0483,0.0011,-1.0000
16.6664,1.0000,5.3334,1.3122,0.4029,16.6605,16.6578,15.3326,0.0011,-1.0000
16.6694,1.0000,5.3522,1.3393,0.3637,16.6686,16.6631,15.3559,0.0012,-1.0000
16.6636,1.0000,5.3667,1.3527,0.3689,16.7342,16.6509,12.4980,0.0020,-1.0000
16.6679,1.0000,5.3833,1.5378,0.3427,16.5965,16.6640,15.1787,0.0014,-1.0000
16.6669,1.0000,5.4000,1.3239,0.3724,16.6659,16.6590,15.3312,0.0012,-1.0000
16.6656,1.0000,5.4166,1.3056,1.1504,16.6719,16.6509,15.2732,0.0014,-1.0000
16.6659,1.0000,5.4333,4.1508,0.3770,16.6600,16.6575,15.4458,0.0011,-1.0000
16.6685,1.0000,5.4500,1.4839,0.4210,16.6721,16.6637,15.1332,0.0011,-1.0000
16.6667,1.0000,5.4667,1.3265,0.4036,16.6692,16.6555,15.3169,0.0012,-1.0000
16.6665,1.0000,5.4833,1.3762,0.3581,16.6604,16.6594,15.3255,0.0013,-1.0000
16.6671,1.0000,5.5000,1.2106,0.4744,16.6654,16.6574,15.2575,0.0013,-1.0000
16.6664,1.0000,5.5167,1.5293,0.3881,16.6726,16.6534,15.2576,0.0012,-1.0000
16.6644,1.0000,5.5333,1.3372,0.4595,16.6653,16.6512,15.2980,0.0014,-1.0000
16.7042,1.0000,5.5501,1.3325,0.3935,16.6678,16.7048,15.5185,0.0014,-1.0000
16.6312,1.0000,5.5667,1.3986,0.3735,16.6682,16.6150,14.9497,0.0014,-1.0000
16.6669,1.0000,5.5834,1.3946,0.4603,16.6634,16.6597,15.3597,0.0013,-1.0000
16.6679,1.0000,5.6004,1.3522,0.3659,16.6597,16.6616,15.3834,0.0012,-1.0000
16.6661,1.0000,5.6179,1.1847,0.5832,16.7148,16.6525,14.9869,0.0015,-1.0000
16.6655,1.0000,5.6337,1.6639,0.3757,16.6242,16.6579,14.1847,0.0013,-1.0000
16.6695,1.0000,5.6500,1.2988,0.3450,16.6683,16.6682,14.7685,0.0010,-1.0000
16.6658,1.0000,5.6667,1.2767,0.3912,16.6712,16.6461,15.0138,0.0013,-1.0000
16.6673,1.0000,5.6834,1.6640,0.3920,16.6610,16.6642,15.2867,0.0013,-1.0000
16.6696,1.0000,5.7002,2.4717,0.3461,16.6656,16.6659,14.8253,0.0014,-1.0000
16.6633,1.0000,5.7167,1.8987,0.4450,16.6792,16.6385,15.2255,0.0017,-1.0000
16.6668,1.0000,5.7334,1.6308,0.3949,16.6559,16.6590,15.3484,0.0012,-1.0000
16.6694,1.0000,5.7499,1.3762,0.5180,16.6757,16.6871,14.9722,0.0012,-1.0000
16.6638,1.0000,5.7667,1.8387,0.3486,16.6781,16.6252,15.4443,0.0013,-1.0000
16.6705,1.0000,5.7834,1.4112,0.3772,16.6479,16.6675,15.4068,0.0013,-1.0000
16.6647,1.0000,5.8000,1.3090,0.3621,16.6682,16.6505,15.2293,0.0012,-1.0000
16.6667,1.0000,5.8167,1.7137,0.3929,16.6960,16.6552,15.4102,0.0013,-1.0000
16.6676,1.0000,5.8354,1.1792,0.3569,16.6347,16.6648,15.2988,0.0012,-1.0000
16.6665,1.0000,5.8504,1.2593,0.4396,16.6763,16.6549,13.3025,0.0015,-1.0000
16.6655,1.0000,5.8667,1.4200,0.4082,16.6594,16.6522,14.9943,0.0015,-1.0000
16.6676,1.0000,5.8834,1.2437,0.4327,16.6639,16.6651,15.4217,0.0015,-1.0000
16.6672,1.0000,5.9000,1.3646,0.6229,16.6743,16.6590,15.2180,0.0013,-1.0000
16.6668,1.0000,5.9167,3.3505,0.3898,16.6636,16.6575,15.3020,0.0012,-1.0000
16.6670,1.0000,5.9336,1.6562,0.3816,16.6597,16.6618,15.3687,0.0011,-1.0000
16.6673,1.0000,5.9499,1.2418,0.4830,16.6741,16.6544,15.0181,0.0012,-1.0000
16.6654,1.0000,5.9667,1.4396,0.6018,16.6671,16.6542,15.4206,0.0012,-1.0000
16.6674,1.0000,5.9833,1.3541,0.4607,16.6672,16.6583,15.3896,0.0011,-1.0000
16.6667,1.0000,6.0000,1.2920,0.4583,16.6717,16.6573,15.1233,0.0014,-1.0000
16.6661,1.0000,6.0168,1.6349,0.3998,16.6642,16.6573,15.4142,0.0010,-1.0000
