frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6666,1.0000,4.6837,1.0292,0.3746,16.6752,16.6567,14.8265,0.0010,-1.0000
16.6655,1.0000,4.6998,1.1724,0.3494,16.6673,16.6514,14.9054,0.0013,-1.0000
16.6691,1.0000,4.7164,1.1238,0.3354,16.6609,16.6649,15.5935,0.0013,-1.0000
16.6635,1.0000,4.7331,1.0548,0.5126,16.6721,16.6421,15.2134,0.0013,-1.0000
16.6684,1.0000,4.7498,1.8289,0.3622,16.6667,16.6661,15.5978,0.0012,-1.0000
16.6676,1.0000,4.7667,1.7446,0.3324,16.6603,16.7180,15.5409,0.0010,-1.0000
16.6656,1.0000,4.7832,1.0700,0.4240,16.6806,16.5416,15.1363,0.0012,-1.0000
16.6677,1.0000,4.7998,1.4277,0.3432,16.6522,16.6579,15.4970,0.0014,-1.0000
16.6667,1.0000,4.8164,1.0667,0.3580,16.6742,16.6584,15.4925,0.0012,-1.0000
16.6659,1.0000,4.8332,1.1755,0.4213,16.7804,16.6524,15.3685,0.0011,-1.0000
16.6664,1.0000,4.8499,1.4043,0.3653,16.5516,16.6657,15.4664,0.0010,-1.0000
16.6674,1.0000,4.8665,1.1591,0.3640,16.6676,16.6498,15.1888,0.0010,-1.0000
16.6656,1.0000,4.8831,1.1645,0.4517,16.6679,16.6533,15.5597,0.0011,-1.0000
16.6671,1.0000,4.8999,1.2824,0.3594,16.6611,16.6672,15.5757,0.0013,-1.0000
16.6686,1.0000,4.9164,1.1981,0.3813,16.6768,16.6577,15.5013,0.0011,-1.0000
16.6642,1.0000,4.9332,1.4598,0.4018,16.6585,16.6506,15.5592,0.0010,-1.0000
16.6688,1.0000,4.9498,1.0924,0.3636,16.6609,16.6681,15.5932,0.0009,-1.0000
16.6658,1.0000,4.9665,1.0902,0.5926,16.6764,16.6480,15.5947,0.0010,-1.0000
16.6673,1.0000,4.9832,1.1546,0.3668,16.6667,16.6560,15.4825,0.0010,-1.0000
16.6674,1.0000,4.9998,1.0905,0.3715,16.6598,16.6599,15.5652,0.0013,-1.0000
16.6672,1.0000,5.0164,1.0739,0.4002,16.6808,16.6578,15.5617,0.0011,-1.0000
16.6653,1.0000,5.0331,1.0520,0.3562,16.6577,16.6545,15.5946,0.0011,-1.0000
16.6673,1.0000,5.0498,1.1724,0.3936,16.6646,16.6606,15.5963,0.0011,-1.0000
16.6674,1.0000,5.0665,1.0931,0.5076,16.6689,16.6583,15.3158,0.0014,-1.0000
16.6661,1.0000,5.0831,1.0950,0.3854,16.6671,16.6548,15.5947,0.0011,-1.0000
16.6678,1.0000,5.0998,1.0584,0.3416,16.6629,16.6625,15.4719,0.0012,-1.0000
16.6666,1.0000,5.1164,1.0628,0.3909,16.6698,16.6588,15.3632,0.0012,-1.0000
16.6661,1.0000,5.1331,1.3409,0.3536,16.6672,16.6538,15.5184,0.0009,-1.0000
