frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6684,1.0000,353.1340,1.2458,0.3102,16.6625,16.6666,14.3410,0.0009,-1.0000
16.6662,1.0000,353.1506,1.1932,0.3318,16.6702,16.6562,15.2291,0.0011,-1.0000
16.6673,1.0000,353.1672,1.5200,0.2842,16.6662,16.6592,15.2729,0.0010,-1.0000
17.1010,1.0000,353.1845,1.2141,0.6764,16.6613,17.0925,15.7295,0.0011,-1.0000
16.6670,1.0000,353.2011,2.3244,0.3955,16.6756,16.6586,15.0193,0.0010,-1.0000
16.6661,1.0000,353.2177,1.4257,0.4329,16.6649,16.6503,15.1558,0.0010,-1.0000
16.6677,1.0000,353.2345,1.3851,0.3678,16.6688,16.6701,15.1826,0.0011,-1.0000
16.6680,1.0000,353.2515,1.3614,0.4229,17.1025,16.6471,14.9886,0.0014,-1.0000
16.6654,1.0000,353.2678,1.6384,0.3495,16.6700,16.6580,14.5263,0.0016,-1.0000
16.6658,1.0000,353.2843,1.4934,0.3894,16.6611,16.6440,14.9660,0.0013,-1.0000
16.6685,1.0000,353.3012,1.4864,0.3770,16.6815,16.6744,15.3465,0.0010,-1.0000
16.6649,1.0000,353.3178,1.6568,0.3112,16.6591,16.6413,14.9370,0.0018,-1.0000
16.6659,1.0000,353.3344,2.1300,0.4814,16.6724,16.6528,15.1641,0.0012,-1.0000
16.6672,1.0000,353.3510,1.6765,0.3415,16.6543,16.6607,15.3419,0.0011,-1.0000
16.6674,1.0000,353.3677,1.3270,0.3429,16.6841,16.6593,15.2938,0.0011,-1.0000
16.6634,1.0000,353.3842,1.7024,0.3573,16.6497,16.6443,15.2472,0.0009,-1.0000
16.6689,1.0000,353.4016,1.4877,0.3361,16.6615,16.6716,15.6426,0.0013,-1.0000
16.6685,1.0000,353.4177,1.3177,0.3373,16.6694,16.6626,14.6256,0.0012,-1.0000
16.6652,1.0000,353.4344,1.3645,0.3061,16.6681,16.6529,15.3202,0.0012,-1.0000
16.6668,1.0000,353.4511,1.3962,0.2860,16.6521,16.6598,15.3157,0.0011,-1.0000
16.6671,1.0000,353.4677,1.0277,0.3732,16.6788,16.6576,15.0401,0.0011,-1.0000
16.6651,1.0000,353.4843,2.0356,0.3299,16.6713,16.6532,15.3158,0.0010,-1.0000
