frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6657,1.0000,113.9106,1.7178,0.2735,16.6697,16.6513,15.4816,0.0011,-1.0000
16.6683,1.0000,113.9274,1.1429,0.3188,16.6632,16.6678,15.4441,0.0009,-1.0000
16.6668,1.0000,113.9439,1.2274,0.2794,16.6714,16.6565,15.2113,0.0010,-1.0000
16.6643,1.0000,113.9605,1.3209,0.2827,16.6652,16.6469,15.3411,0.0014,-1.0000
16.6688,1.0000,113.9773,1.1684,0.2780,16.6595,16.6697,15.5322,0.0011,-1.0000
16.6665,1.0000,113.9938,1.2229,0.2753,16.6763,16.6585,15.2332,0.0013,-1.0000
16.6651,1.0000,114.0105,1.4438,0.2629,16.6656,16.6514,15.5404,0.0011,-1.0000
16.6820,1.0000,114.0274,1.3046,0.2625,16.6553,16.6875,15.5549,0.0011,-1.0000
16.6645,1.0000,114.0440,1.1363,0.2712,16.6771,16.6488,15.1702,0.0012,-1.0000
16.6665,1.0000,114.0607,1.4240,0.2885,16.6667,16.6519,15.3878,0.0014,-1.0000
16.6682,1.0000,114.0774,1.1099,0.2544,16.6595,16.6648,15.3515,0.0013,-1.0000
16.6667,1.0000,114.0938,1.1314,0.3452,16.6962,16.6531,15.0853,0.0017,-1.0000
16.6649,1.0000,114.1106,1.4772,0.3095,16.6578,16.6517,15.4808,0.0010,-1.0000
16.6681,1.0000,114.1273,1.2627,0.2573,16.6605,16.6784,15.5213,0.0013,-1.0000
16.6668,1.0000,114.1440,1.3116,0.3225,16.6767,16.6417,15.4517,0.0012,-1.0000
16.6645,1.0000,114.1606,1.5658,0.3032,16.6629,16.6501,15.2593,0.0010,-1.0000
16.6684,1.0000,114.1773,1.1693,0.2563,16.6597,16.6637,15.4393,0.0010,-1.0000
16.6664,1.0000,114.1938,1.1560,0.2597,16.6881,16.6603,15.1056,0.0011,-1.0000
16.6654,1.0000,114.2106,1.1885,0.2993,16.6519,16.6511,15.5005,0.0012,-1.0000
