frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6650,1.0000,206.8585,9.2637,0.3161,16.6494,16.6550,9.7826,0.0016,-1.0000
16.6679,1.0000,206.8755,1.2287,4.2113,16.6662,16.6614,15.3987,0.0012,-1.0000
16.6662,1.0000,206.8919,6.3850,0.3483,16.6836,16.6544,8.9150,0.0010,-1.0000
16.6665,1.0000,206.9086,2.1207,4.7802,16.6605,16.6549,15.3707,0.0013,-1.0000
16.6670,1.0000,206.9253,6.8717,0.2708,16.6634,16.6629,10.2482,0.0014,-1.0000
16.6673,1.0000,206.9419,1.2614,4.7288,16.6706,16.6557,15.0882,0.0012,-1.0000
16.6653,1.0000,206.9585,7.7386,0.3268,16.6634,16.6487,10.1162,0.0011,-1.0000
16.6684,1.0000,206.9753,1.2828,4.1563,16.6639,16.6669,15.5710,0.0012,-1.0000
16.6667,1.0000,206.9919,6.4131,0.3437,16.6734,16.6582,8.4262,0.0012,-1.0000
16.6638,1.0000,207.0085,1.5664,4.1832,16.6663,16.6470,15.4475,0.0012,-1.0000
16.6687,1.0000,207.0252,6.5317,0.3306,16.6568,16.6687,9.6731,0.0010,-1.0000
16.6679,1.0000,207.0420,1.0948,5.6141,16.6752,16.6632,15.3762,0.0017,-1.0000
16.6629,1.0000,207.0584,8.2314,0.2478,16.6672,16.6480,9.6013,0.0015,-1.0000
16.6681,1.0000,207.0752,1.1983,4.9269,16.6538,16.6640,15.5654,0.0011,-1.0000
16.6690,1.0000,207.0920,6.9949,0.3226,16.6755,16.6712,9.6250,0.0011,-1.0000
16.6648,1.0000,207.1085,1.2853,4.2224,16.6715,16.6379,14.9890,0.0009,-1.0000
16.6670,1.0000,207.1252,7.0456,0.3068,16.6558,16.6635,10.1023,0.0011,-1.0000
16.6686,1.0000,207.1420,1.0976,5.8355,16.6704,16.6663,15.4187,0.0012,-1.0000
16.6649,1.0000,207.1584,7.0454,0.3670,16.6820,16.6493,9.3019,0.0011,-1.0000
16.6678,1.0000,207.1754,1.6482,4.5150,16.6491,16.6607,15.4402,0.0010,-1.0000
16.6684,1.0000,207.1919,6.5602,0.2879,16.6708,16.6622,7.6998,0.0012,-1.0000
16.6639,1.0000,207.2085,1.2464,4.6872,16.6757,16.6514,14.7918,0.0011,-1.0000
16.6679,1.0000,207.2252,7.3461,0.2743,16.6584,16.6605,10.0853,0.0014,-1.0000
16.7205,1.0000,207.2422,1.2192,5.7281,16.6677,16.7125,15.3305,0.0014,-1.0000
16.6655,1.0000,207.2585,8.9610,0.3406,16.6703,16.6570,8.7372,0.0013,-1.0000
16.6678,1.0000,207.2753,1.8583,4.3263,16.6591,16.6642,15.4458,0.0011,-1.0000
16.6679,1.0000,207.2920,6.5738,0.2955,16.6684,16.6622,10.0527,0.0010,-1.0000
16.6654,1.0000,207.3086,1.3804,5.1904,16.7228,16.6451,15.2216,0.0011,-1.0000
16.6655,1.0000,207.3253,7.9182,0.2829,16.6655,16.6551,10.1529,0.0011,-1.0000
16.6686,1.0000,207.3421,1.2170,4.3236,16.6727,16.6655,15.3793,0.0014,-1.0000
16.6662,1.0000,207.3585,6.6088,0.3069,16.6732,16.6552,8.0350,0.0012,-1.0000
16.6657,1.0000,207.3753,1.4222,4.1876,16.6552,16.6571,15.4289,0.0010,-1.0000
16.6689,1.0000,207.3920,6.5010,0.3156,16.6630,16.6680,10.1454,0.0011,-1.0000
16.6658,1.0000,207.4086,1.2849,5.0476,16.6734,16.6520,15.0797,0.0013,-1.0000
16.6649,1.0000,207.4253,8.6196,0.3499,16.6643,16.6512,10.1880,0.0013,-1.0000
16.6666,1.0000,207.4419,1.2272,4.4263,16.6641,16.6586,15.3794,0.0011,-1.0000
16.6683,1.0000,207.4585,6.5212,0.3576,16.6765,16.6738,9.3588,0.0011,-1.0000
16.6667,1.0000,207.4753,1.5708,4.3641,16.6615,16.6451,15.3434,0.0014,-1.0000
16.6669,1.0000,207.4922,6.4621,0.2775,16.6590,16.6684,9.9352,0.0012,-1.0000
16.6666,1.0000,207.5087,1.2784,4.8816,16.6663,16.6552,14.9352,0.0010,-1.0000
16.6660,1.0000,207.5253,7.3142,0.3544,16.6824,16.6558,10.0598,0.0012,-1.0000
16.6679,1.0000,207.5420,1.3002,4.3317,16.6537,16.6589,15.3263,0.0012,-1.0000
16.6656,1.0000,207.5585,6.7319,0.3022,16.6764,16.6536,9.4485,0.0013,-1.0000
16.6662,1.0000,207.5753,1.7189,4.3778,16.6636,16.6554,15.4445,0.0011,-1.0000
16.6693,1.0000,207.5921,6.5951,0.2960,16.6642,16.6730,10.3075,0.0011,-1.0000
16.6657,1.0000,207.6087,1.3313,6.8471,16.6685,16.6486,15.0177,0.0014,-1.0000
16.6649,1.0000,207.6252,7.2042,0.3417,16.6624,16.6494,9.9563,0.0010,-1.0000
16.6653,1.0000,207.6419,1.2098,4.8516,16.6631,16.6563,15.4882,0.0011,-1.0000
16.6704,1.0000,207.6586,6.3647,0.3307,16.6839,16.6712,9.0338,0.0011,-1.0000
16.6662,1.0000,207.6753,1.6296,4.5619,16.6573,16.6540,15.0075,0.0012,-1.0000
16.6654,1.0000,207.6920,6.6926,0.2733,16.6573,16.6590,10.0734,0.0011,-1.0000
16.6681,1.0000,207.7086,1.1672,5.1450,16.6632,16.6618,15.3532,0.0010,-1.0000
16.6651,1.0000,207.7253,7.6371,0.3330,16.6802,16.6521,8.9634,0.0014,-1.0000
16.6675,1.0000,207.7419,1.6456,4.3287,16.6631,16.6604,15.4018,0.0013,-1.0000
16.6676,1.0000,207.7587,6.5846,0.2778,16.6668,16.6625,9.7391,0.0013,-1.0000
16.6661,1.0000,207.7753,1.3072,4.9613,16.6700,16.6593,14.9590,0.0014,-1.0000
16.6666,1.0000,207.7920,7.6870,0.2854,16.6600,16.6536,9.3458,0.0012,-1.0000
16.6679,1.0000,207.8086,1.2572,4.6909,16.6678,16.6635,15.0988,0.0018,-1.0000
16.6678,1.0000,207.8253,6.9223,0.3487,16.6714,16.6614,9.9049,0.0011,-1.0000
16.6653,1.0000,207.8419,1.6988,4.6371,16.6676,16.6455,15.1216,0.0010,-1.0000
16.6676,1.0000,207.8586,7.3071,0.3369,16.6621,16.6635,10.1628,0.0010,-1.0000
16.7720,1.0000,207.8756,1.5628,4.3023,16.6726,16.7645,15.4316,0.0013,-1.0000
16.6647,1.0000,207.8921,6.7553,0.3370,16.6728,16.6516,8.3877,0.0012,-1.0000
16.6659,1.0000,207.9087,1.5227,4.2686,16.6550,16.6541,15.3094,0.0014,-1.0000
16.6681,1.0000,207.9254,6.4998,0.2870,16.6719,16.6632,10.0081,0.0008,-1.0000
16.6668,1.0000,207.9421,1.3316,4.7622,16.7760,16.6557,15.3195,0.0011,-1.0000
16.6645,1.0000,207.9586,8.2638,0.2855,16.6614,16.6517,9.8407,0.0013,-1.0000
16.6688,1.0000,207.9754,1.3434,4.2850,16.6631,16.6622,15.5211,0.0010,-1.0000
16.6674,1.0000,207.9921,6.6546,0.2774,16.6709,16.6737,9.4118,0.0014,-1.0000
16.6672,1.0000,208.0088,1.3353,4.2234,16.6654,16.6440,15.2423,0.0015,-1.0000
16.6661,1.0000,208.0258,6.8096,0.2966,16.6607,16.6605,10.0670,0.0011,-1.0000
16.6849,1.0000,208.0422,1.1401,4.3876,16.6701,16.6730,14.7986,0.0014,-1.0000
16.6652,1.0000,208.0587,7.2607,0.3375,16.6841,16.6514,9.9219,0.0012,-1.0000
16.6669,1.0000,208.0755,1.3999,4.0622,16.6526,16.6614,15.4541,0.0009,-1.0000
16.6679,1.0000,208.0923,6.5924,0.3835,16.6705,16.6613,8.7102,0.0014,-1.0000
16.6646,1.0000,208.1087,1.8729,4.1539,16.6818,16.6470,14.9993,0.0017,-1.0000
16.6691,1.0000,208.1254,6.7280,0.2931,16.6600,16.6681,10.3779,0.0011,-1.0000
16.6768,1.0000,208.1422,1.2064,5.4411,16.6707,16.6722,15.3650,0.0011,-1.0000
16.6644,1.0000,208.1586,7.9505,0.2881,16.6706,16.6430,9.7404,0.0016,-1.0000
16.6666,1.0000,208.1754,1.6462,4.0975,16.6555,16.6608,15.4484,0.0012,-1.0000
16.6681,1.0000,208.1921,6.2891,0.2961,16.6761,16.6619,9.2417,0.0010,-1.0000
16.6672,1.0000,208.2088,1.3057,4.1681,16.6834,16.6627,15.3536,0.0012,-1.0000
16.6665,1.0000,208.2255,6.9013,0.2799,16.6524,16.6566,9.8195,0.0011,-1.0000
16.7126,1.0000,208.2428,1.2110,4.9762,16.6681,16.7010,15.3529,0.0010,-1.0000
16.6653,1.0000,208.2587,7.4191,0.3171,16.6695,16.6537,8.4146,0.0013,-1.0000
16.6669,1.0000,208.2755,1.3075,4.5753,16.6716,16.6616,15.3490,0.0013,-1.0000
16.6671,1.0000,208.2922,6.8358,0.2868,16.6670,16.6577,9.9458,0.0012,-1.0000
16.6671,1.0000,208.3088,1.3469,5.0761,16.7106,16.6590,15.2374,0.0012,-1.0000
16.6658,1.0000,208.3255,8.2381,0.3337,16.6623,16.6547,10.1058,0.0011,-1.0000
16.6670,1.0000,208.3424,1.3113,4.7534,16.6692,16.6645,15.3583,0.0012,-1.0000
16.6675,1.0000,208.3587,6.7109,0.3359,16.6675,16.6558,8.0199,0.0013,-1.0000
16.6651,1.0000,208.3755,1.4202,4.3249,16.6681,16.6500,15.4136,0.0011,-1.0000
16.6695,1.0000,208.3923,6.5484,0.2615,16.6631,16.6709,9.5195,0.0014,-1.0000
16.6651,1.0000,208.4088,1.3048,5.6549,16.6734,16.6486,15.0056,0.0012,-1.0000
16.6665,1.0000,208.4255,8.6343,0.2962,16.6652,16.6555,10.2263,0.0011,-1.0000
16.6661,1.0000,208.4422,1.2352,4.8101,16.6579,16.6560,15.3516,0.0013,-1.0000
16.6678,1.0000,208.4587,7.1501,0.2979,16.6805,16.6628,8.9273,0.0009,-1.0000
16.6667,1.0000,208.4754,1.6416,4.1972,16.6589,16.6540,15.3271,0.0013,-1.0000
16.6665,1.0000,208.4922,6.4283,0.3128,16.6642,16.6618,10.4211,0.0012,-1.0000
16.6670,1.0000,208.5088,1.3030,5.1265,16.6654,16.6593,15.0695,0.0011,-1.0000
16.6660,1.0000,208.5255,7.7344,0.2813,16.6715,16.6546,9.9981,0.0008,-1.0000
16.6663,1.0000,208.5422,1.3255,3.8492,16.6616,16.6635,15.4085,0.0011,-1.0000
16.6686,1.0000,208.5587,6.2393,0.4262,16.6698,16.6572,9.6926,0.0008,-1.0000
16.6653,1.0000,208.5755,1.5888,4.2596,16.6684,16.6523,15.4758,0.0010,-1.0000
16.6674,1.0000,208.5921,6.6559,0.2853,16.6624,16.6595,10.1129,0.0014,-1.0000
16.6677,1.0000,208.6088,1.2540,5.0181,16.6738,16.6639,15.3023,0.0011,-1.0000
16.6653,1.0000,208.6255,6.9642,0.3097,16.6651,16.6519,10.2837,0.0011,-1.0000
16.6659,1.0000,208.6422,1.1756,4.1930,16.6615,16.6622,15.4006,0.0012,-1.0000
16.6692,1.0000,208.6587,6.5454,0.2897,16.6670,16.6623,8.7217,0.0010,-1.0000
16.6634,1.0000,208.6755,1.3604,4.6991,16.6721,16.6457,15.5184,0.0009,-1.0000
16.6688,1.0000,208.6921,6.3675,0.2853,16.6603,16.6672,10.2376,0.0011,-1.0000
16.6689,1.0000,208.7090,1.2600,4.6974,16.6706,16.6682,15.4000,0.0013,-1.0000
16.6637,1.0000,208.7254,7.9391,0.3712,16.6702,16.6405,9.7992,0.0015,-1.0000
16.6685,1.0000,208.7422,1.1263,4.1230,16.6541,16.6680,15.4050,0.0011,-1.0000
16.6684,1.0000,208.7592,6.4293,0.2770,16.6748,16.6585,8.9806,0.0013,-1.0000
16.6641,1.0000,208.7755,1.2669,4.1351,16.6789,16.6433,14.8052,0.0012,-1.0000
16.6670,1.0000,208.7921,6.8401,0.2981,16.6508,16.6678,10.2191,0.0012,-1.0000
16.6679,1.0000,208.8089,1.2617,4.8242,16.6783,16.6587,15.2224,0.0012,-1.0000
16.6639,1.0000,208.8255,7.6764,0.3119,16.6702,16.6455,9.4190,0.0013,-1.0000
16.6671,1.0000,208.8421,1.8367,4.2626,16.6527,16.6617,15.3435,0.0011,-1.0000
16.6691,1.0000,208.8588,6.4478,0.3279,16.6751,16.6700,9.7169,0.0012,-1.0000
16.6663,1.0000,208.8755,1.4350,5.0312,16.6682,16.6514,15.2797,0.0014,-1.0000
16.6650,1.0000,208.8921,7.2255,0.2891,16.6540,16.6553,10.1003,0.0012,-1.0000
16.6694,1.0000,208.9088,1.3166,4.5252,16.6679,16.6649,15.4782,0.0012,-1.0000
16.6655,1.0000,208.9255,6.9525,0.2975,16.6793,16.6542,9.6481,0.0011,-1.0000
16.6676,1.0000,208.9422,1.3699,4.0653,16.6604,16.6582,15.2933,0.0012,-1.0000
16.6674,1.0000,208.9588,6.5545,0.3181,16.6633,16.6606,9.9320,0.0013,-1.0000
16.6665,1.0000,208.9756,1.1850,4.5571,16.6724,16.6570,14.8314,0.0011,-1.0000
16.6664,1.0000,208.9922,7.0053,0.3093,16.6649,16.6573,9.6323,0.0011,-1.0000
16.6669,1.0000,209.0088,1.3636,4.2488,16.6673,16.6572,15.1607,0.0012,-1.0000
16.6674,1.0000,209.0256,6.7271,0.3524,16.6707,16.6569,8.8748,0.0012,-1.0000
16.6649,1.0000,209.0422,1.8241,4.5885,16.6663,16.6516,15.0896,0.0014,-1.0000
16.6669,1.0000,209.0587,7.0234,0.2856,16.6671,16.6522,9.5862,0.0013,-1.0000
16.6684,1.0000,209.0756,1.4949,6.3091,16.6677,16.6716,15.4446,0.0013,-1.0000
16.6663,1.0000,209.0922,7.7809,0.3825,16.6675,16.6492,8.9325,0.0010,-1.0000
16.6693,1.0000,209.1089,1.5608,4.3711,16.6623,16.6629,15.2996,0.0011,-1.0000
16.6639,1.0000,209.1255,7.0656,0.3515,16.6606,16.6440,8.2654,0.0014,-1.0000
16.6667,1.0000,209.1422,1.2255,5.3019,16.6841,16.6559,15.3071,0.0013,-1.0000
16.6652,1.0000,209.1587,7.7156,0.2960,16.6603,16.6491,10.0238,0.0011,-1.0000
16.6678,1.0000,209.1755,1.3621,5.7331,16.6758,16.6673,15.4830,0.0012,-1.0000
16.6682,1.0000,209.1922,8.3773,0.2874,16.6559,16.6602,8.6067,0.0013,-1.0000
16.6651,1.0000,209.2088,1.3475,4.1919,16.6654,16.6481,15.0500,0.0011,-1.0000
16.6663,1.0000,209.2255,6.6245,0.3459,16.6576,16.6570,9.9511,0.0011,-1.0000
16.6677,1.0000,209.2422,1.1831,5.6331,16.6760,16.6659,15.4229,0.0013,-1.0000
16.6659,1.0000,209.2587,8.0524,0.4665,16.6706,16.6489,9.3754,0.0014,-1.0000
16.6671,1.0000,209.2755,1.5970,4.2065,16.6578,16.6666,15.3642,0.0012,-1.0000
16.6688,1.0000,209.2922,6.7049,0.3381,16.6644,16.6620,10.0243,0.0010,-1.0000
