frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6663,1.0000,132.5280,1.1699,0.3387,16.6717,16.6519,14.5350,0.0012,-1.0000
16.6659,1.0000,132.5447,1.2349,0.2798,16.6731,16.6549,15.2657,0.0011,-1.0000
16.6663,1.0000,132.5614,1.2432,0.3177,16.6562,16.6597,15.4071,0.0009,-1.0000
16.6680,1.0000,132.5780,1.1106,0.4729,16.6775,16.6612,15.2815,0.0011,-1.0000
16.6661,1.0000,132.5946,2.1154,0.3872,16.6615,16.6547,15.3599,0.0014,-1.0000
16.6687,1.0000,132.6115,1.3880,0.3216,16.6635,16.6673,15.4097,0.0010,-1.0000
16.6652,1.0000,132.6281,1.2515,0.3989,16.6684,16.6787,14.8041,0.0018,-1.0000
16.6677,1.0000,132.6448,1.3782,0.3573,16.6696,16.6329,15.1909,0.0014,-1.0000
16.6669,1.0000,132.6615,1.2934,0.3507,16.6631,16.6585,15.0740,0.0015,-1.0000
16.6661,1.0000,132.6781,1.2565,0.4217,16.6772,16.6497,14.9655,0.0011,-1.0000
16.6643,1.0000,132.6946,1.8731,0.3569,16.6883,16.6480,15.1622,0.0011,-1.0000
16.6712,1.0000,132.7115,1.4401,0.3497,16.6432,16.6700,15.5005,0.0009,-1.0000
16.6649,1.0000,132.7281,1.5828,0.4293,16.6704,16.6529,14.5919,0.0012,-1.0000
16.6659,1.0000,132.7447,1.6830,0.3281,16.6614,16.6527,15.3510,0.0012,-1.0000
16.6683,1.0000,132.7614,1.4845,0.3089,16.6561,16.6644,15.2967,0.0013,-1.0000
16.6655,1.0000,132.7780,1.1685,0.4186,16.6797,16.6497,15.1180,0.0012,-1.0000
16.6641,1.0000,132.7946,2.0600,0.4042,16.6641,16.6511,15.3010,0.0009,-1.0000
16.6711,1.0000,132.8114,1.3005,0.3264,16.6607,16.6767,15.4693,0.0011,-1.0000
16.6647,1.0000,132.8280,1.3662,0.4309,16.6752,16.6441,15.0195,0.0013,-1.0000
16.6667,1.0000,132.8447,1.5306,0.3242,16.6598,16.6583,15.3815,0.0010,-1.0000
16.6702,1.0000,132.8615,1.3493,0.3411,16.6582,16.6678,15.1886,0.0014,-1.0000
16.6624,1.0000,132.8780,1.2064,0.3625,16.6891,16.6399,14.9767,0.0013,-1.0000
16.6670,1.0000,132.8946,1.6234,0.3598,16.6535,16.6588,15.4060,0.0011,-1.0000
16.6688,1.0000,132.9114,1.2757,0.3968,16.6668,16.6688,15.5243,0.0010,-1.0000
16.6646,1.0000,132.9281,1.4778,0.3940,16.6792,16.6550,15.3543,0.0013,-1.0000
16.6685,1.0000,132.9448,1.6618,0.3161,16.6491,16.6642,15.2768,0.0010,-1.0000
16.6664,1.0000,132.9614,1.2515,0.3178,16.6659,16.6525,15.0088,0.0013,-1.0000
16.6668,1.0000,132.9781,1.1435,0.3405,16.6766,16.6585,15.3362,0.0011,-1.0000
16.6658,1.0000,132.9946,1.2994,0.3756,16.6625,16.6537,15.2568,0.0014,-1.0000
16.6683,1.0000,133.0114,1.3864,0.3869,16.6725,16.6634,15.3394,0.0011,-1.0000
16.6653,1.0000,133.0280,1.6424,0.3813,16.6612,16.6497,15.3675,0.0011,-1.0000
16.6689,1.0000,133.0447,1.3210,0.3211,16.6676,16.6715,15.3576,0.0012,-1.0000
16.6658,1.0000,133.0614,1.3956,0.3334,16.6628,16.6527,15.1579,0.0012,-1.0000
16.6671,1.0000,133.0780,1.3228,0.3517,16.6719,16.6564,15.3856,0.0012,-1.0000
16.6675,1.0000,133.0947,1.2809,0.2975,16.6578,16.6627,15.3902,0.0011,-1.0000
16.6656,1.0000,133.1113,1.3123,0.3701,16.6807,16.6509,15.2207,0.0011,-1.0000
16.6663,1.0000,133.1281,1.4935,0.2969,16.6623,16.6570,15.3937,0.0012,-1.0000
16.6677,1.0000,133.1450,1.2695,0.2946,16.6660,16.6612,15.3012,0.0010,-1.0000
16.6665,1.0000,133.1613,1.2714,0.3384,16.6733,16.6577,14.8487,0.0016,-1.0000
16.6659,1.0000,133.1780,1.4291,0.2643,16.6600,16.6542,15.3417,0.0014,-1.0000
16.6684,1.0000,133.1947,1.2620,0.2840,16.6652,16.6652,15.4111,0.0011,-1.0000
16.6663,1.0000,133.2113,1.3589,0.3119,16.6701,16.6546,15.2538,0.0012,-1.0000
16.6648,1.0000,133.2280,1.8073,0.3088,16.6657,16.6505,15.3994,0.0011,-1.0000
16.6676,1.0000,133.2447,1.3109,0.2732,16.6619,16.6625,15.4323,0.0011,-1.0000
16.6688,1.0000,133.2615,1.2529,0.3325,16.6744,16.6660,15.0448,0.0012,-1.0000
16.6642,1.0000,133.2780,1.3995,0.2921,16.6634,16.6446,15.1706,0.0013,-1.0000
16.6697,1.0000,133.2947,1.2501,0.2726,16.6587,16.6706,15.2424,0.0011,-1.0000
16.6659,1.0000,133.3114,1.2287,0.3407,16.6715,16.6492,15.1194,0.0014,-1.0000
16.6661,1.0000,133.3280,1.6200,0.2897,16.6776,16.6553,15.2707,0.0011,-1.0000
16.6680,1.0000,133.3447,1.4726,0.2873,16.6553,16.6649,15.4342,0.0012,-1.0000
16.6655,1.0000,133.3613,1.4267,0.3622,16.6799,16.6464,15.1782,0.0012,-1.0000
16.6641,1.0000,133.3780,1.5283,0.3200,16.6599,16.6508,15.4515,0.0013,-1.0000
16.6717,1.0000,133.3947,1.3835,0.2811,16.6646,16.6794,15.3503,0.0010,-1.0000
16.6648,1.0000,133.4114,1.2291,0.3010,16.6751,16.6449,15.0956,0.0018,-1.0000
16.6654,1.0000,133.4282,1.4666,0.2817,16.6565,16.6562,15.2085,0.0013,-1.0000
16.6698,1.0000,133.4454,1.1985,0.3561,16.6581,16.6655,15.1508,0.0011,-1.0000
16.6652,1.0000,133.4613,1.3276,0.3327,16.6886,16.6489,14.5181,0.0014,-1.0000
16.6652,1.0000,133.4780,1.5481,0.3298,16.6553,16.6517,15.4753,0.0013,-1.0000
16.7256,1.0000,133.4947,1.4462,0.3043,16.6643,16.7507,15.4970,0.0012,-1.0000
16.6667,1.0000,133.5115,1.5137,0.3103,16.6759,16.6346,15.3128,0.0012,-1.0000
16.6645,1.0000,133.5281,2.1293,0.2812,16.6593,16.6498,15.2707,0.0014,-1.0000
16.6689,1.0000,133.5448,1.1752,0.2495,16.6597,16.7273,15.3715,0.0012,-1.0000
16.6650,1.0000,133.5615,1.2526,0.3338,16.7591,16.5664,15.0416,0.0012,-1.0000
16.6651,1.0000,133.5780,1.3204,0.3764,16.6455,16.6558,15.3500,0.0011,-1.0000
16.6686,1.0000,133.5947,1.3776,0.3798,16.6588,16.6661,15.4410,0.0009,-1.0000
16.6665,1.0000,133.6114,1.3543,0.3396,16.7564,16.6568,15.2769,0.0012,-1.0000
16.6667,1.0000,133.6281,1.5235,0.2693,16.5747,16.6582,15.3881,0.0012,-1.0000
16.6680,1.0000,133.6449,1.3047,0.3256,16.6633,16.6650,15.4438,0.0012,-1.0000
16.6649,1.0000,133.6614,1.2241,0.3618,16.6737,16.6500,14.8700,0.0014,-1.0000
16.6666,1.0000,133.6781,1.3784,0.2874,16.6653,16.6553,15.3104,0.0008,-1.0000
16.6677,1.0000,133.6949,1.2684,0.2825,16.6661,16.6621,15.2151,0.0009,-1.0000
16.6651,1.0000,133.7114,1.2199,0.3875,16.6751,16.6473,15.1659,0.0012,-1.0000
16.6694,1.0000,133.7283,1.7786,0.2926,16.6599,16.6695,15.4836,0.0014,-1.0000
16.6674,1.0000,133.7449,1.3437,0.3063,16.6650,16.6565,15.0745,0.0012,-1.0000
16.6648,1.0000,133.7614,1.4459,0.3388,16.6728,16.6497,15.0111,0.0015,-1.0000
16.6680,1.0000,133.7784,1.4802,0.2791,16.6568,16.6608,15.3262,0.0011,-1.0000
16.6664,1.0000,133.7946,1.1842,0.3395,16.6788,16.6590,15.0139,0.0012,-1.0000
16.6644,1.0000,133.8114,1.5807,0.3414,16.6669,16.6496,15.5041,0.0008,-1.0000
16.6678,1.0000,133.8281,1.6374,0.3251,16.6593,16.6640,15.4242,0.0011,-1.0000
16.6680,1.0000,133.8448,1.3334,0.3184,16.6693,16.6599,15.1662,0.0016,-1.0000
16.6650,1.0000,133.8614,1.6438,0.2847,16.6678,16.6522,15.2794,0.0013,-1.0000
16.6687,1.0000,133.8782,1.1445,0.2785,16.6578,16.6665,15.4759,0.0013,-1.0000
16.6661,1.0000,133.8947,1.2383,0.3713,16.6722,16.6571,14.8863,0.0012,-1.0000
16.6659,1.0000,133.9114,1.4923,0.3398,16.6686,16.6538,15.2840,0.0016,-1.0000
16.6665,1.0000,133.9285,1.3713,0.2671,16.6598,16.6609,15.3771,0.0015,-1.0000
16.6680,1.0000,133.9448,1.1895,0.3519,16.6753,16.7585,14.7738,0.0011,-1.0000
16.6663,1.0000,133.9614,1.7701,0.4226,16.6658,16.5555,15.2764,0.0011,-1.0000
16.6686,1.0000,133.9781,1.3683,0.2940,16.6624,16.6640,15.3550,0.0013,-1.0000
16.6657,1.0000,133.9946,1.2825,0.3265,16.6686,16.6567,15.2656,0.0012,-1.0000
16.6652,1.0000,134.0114,1.9839,0.2969,16.7668,16.6517,15.5268,0.0011,-1.0000
16.6672,1.0000,134.0281,1.2783,0.3499,16.5648,16.6654,15.4606,0.0008,-1.0000
16.6685,1.0000,134.0448,1.3076,0.3166,16.6728,16.6596,15.0767,0.0012,-1.0000
16.6660,1.0000,134.0615,1.3897,0.3112,16.6653,16.6544,15.4228,0.0013,-1.0000
