frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6653,1.0000,316.9193,1.2602,0.3252,16.6726,16.6570,15.2897,0.0013,-1.0000
16.6657,1.0000,316.9360,1.5545,0.2813,16.6638,16.6546,15.3637,0.0010,-1.0000
16.6698,1.0000,316.9527,1.1983,0.2550,16.6624,16.6676,15.3226,0.0012,-1.0000
16.6658,1.0000,316.9693,1.1829,0.3241,16.6728,16.6621,15.1203,0.0012,-1.0000
16.6650,1.0000,316.9859,1.3666,0.2868,16.6658,16.6460,15.3199,0.0013,-1.0000
16.6701,1.0000,317.0025,1.2897,0.2582,16.6627,16.6677,15.4220,0.0011,-1.0000
16.6616,1.0000,317.0192,1.3438,0.3475,16.6774,16.6367,15.3902,0.0011,-1.0000
16.6693,1.0000,317.0359,1.5406,0.2672,16.6722,16.6716,15.3097,0.0012,-1.0000
16.6676,1.0000,317.0526,1.3248,0.2575,16.6536,16.6667,15.2517,0.0011,-1.0000
16.6648,1.0000,317.0692,1.2444,0.2684,16.6776,16.6437,15.3658,0.0010,-1.0000
16.6683,1.0000,317.0860,1.2456,0.3656,16.6444,16.6656,15.4811,0.0009,-1.0000
16.6668,1.0000,317.1025,1.3605,0.3285,16.6782,16.6574,15.1332,0.0012,-1.0000
16.6647,1.0000,317.1192,1.4138,0.2636,16.6761,16.6626,15.5158,0.0012,-1.0000
16.6691,1.0000,317.1360,1.2773,0.2626,16.6531,16.6593,15.4658,0.0012,-1.0000
16.6661,1.0000,317.1526,1.1835,0.3070,16.6741,16.6511,15.1918,0.0013,-1.0000
16.6663,1.0000,317.1693,1.5229,0.2683,16.6664,16.6529,15.2599,0.0011,-1.0000
16.6673,1.0000,317.1859,1.1455,0.2438,16.6701,16.6653,15.4607,0.0010,-1.0000
16.6669,1.0000,317.2025,1.1922,0.2996,16.6687,16.6567,15.2334,0.0011,-1.0000
16.6647,1.0000,317.2192,1.4579,0.2754,16.6608,16.6488,15.4413,0.0012,-1.0000
16.6668,1.0000,317.2361,1.3920,0.2669,16.6621,16.6608,15.4177,0.0012,-1.0000
16.6686,1.0000,317.2526,1.2036,0.2827,16.6736,16.6654,14.9946,0.0010,-1.0000
16.6658,1.0000,317.2692,1.4222,0.2832,16.6656,16.6535,15.3746,0.0012,-1.0000
16.6684,1.0000,317.2860,1.2062,0.2728,16.6574,16.6656,15.4913,0.0009,-1.0000
16.6667,1.0000,317.3025,1.2421,0.3041,16.6691,16.6511,15.1479,0.0011,-1.0000
16.6654,1.0000,317.3192,1.6701,0.3082,16.6738,16.6546,15.4126,0.0010,-1.0000
16.6688,1.0000,317.3359,1.2777,0.2515,16.6623,16.6682,15.4418,0.0010,-1.0000
16.6654,1.0000,317.3527,1.1734,0.3374,16.6754,16.7292,15.3096,0.0012,-1.0000
16.6658,1.0000,317.3692,1.5022,0.3091,16.6613,16.5744,15.3464,0.0014,-1.0000
16.6690,1.0000,317.3861,1.2409,0.2858,16.6628,16.6673,15.3874,0.0009,-1.0000
16.6654,1.0000,317.4026,1.2250,0.3062,16.6777,16.6534,15.1953,0.0012,-1.0000
16.6663,1.0000,317.4193,1.4184,0.2742,16.7399,16.6560,15.3449,0.0011,-1.0000
16.6680,1.0000,317.4359,1.2267,0.2683,16.5823,16.6570,15.2521,0.0011,-1.0000
16.6656,1.0000,317.4526,1.2787,0.2960,16.6761,16.6543,15.2914,0.0011,-1.0000
16.6659,1.0000,317.4692,1.4571,0.2740,16.6645,16.6540,15.4360,0.0011,-1.0000
16.6696,1.0000,317.4861,1.3097,0.2643,16.6658,16.6685,15.4523,0.0010,-1.0000
16.6648,1.0000,317.5025,1.4037,0.2987,16.6664,16.6484,15.1031,0.0011,-1.0000
16.6668,1.0000,317.5193,1.3618,0.2841,16.6644,16.6580,15.4715,0.0010,-1.0000
16.6682,1.0000,317.5360,1.2168,0.2650,16.6620,16.6605,15.3467,0.0012,-1.0000
16.6659,1.0000,317.5526,1.2152,0.3255,16.6786,16.6556,15.2446,0.0012,-1.0000
16.6649,1.0000,317.5693,1.5441,0.2685,16.6584,16.6482,15.4231,0.0012,-1.0000
16.6689,1.0000,317.5860,1.1852,0.2852,16.6671,16.6703,15.3186,0.0012,-1.0000
16.6666,1.0000,317.6025,1.3124,0.2798,16.6693,16.6567,15.2485,0.0013,-1.0000
16.6661,1.0000,317.6193,1.4097,0.2763,16.6651,16.6566,15.3321,0.0012,-1.0000
16.6668,1.0000,317.6360,1.2239,0.2628,16.6571,16.6601,15.3362,0.0012,-1.0000
16.6669,1.0000,317.6526,1.3503,0.2648,16.6787,16.6553,15.2854,0.0011,-1.0000
16.6660,1.0000,317.6692,1.4068,0.3014,16.6657,16.6528,15.2708,0.0011,-1.0000
16.6692,1.0000,317.6860,1.3233,0.3352,16.6656,16.6719,15.4682,0.0011,-1.0000
16.6664,1.0000,317.7025,1.3230,0.2847,16.6688,16.6516,15.2247,0.0012,-1.0000
16.6644,1.0000,317.7192,1.3689,0.3286,16.6639,16.6506,15.5425,0.0008,-1.0000
16.6698,1.0000,317.7359,1.3806,0.2389,16.6603,16.6665,15.4874,0.0011,-1.0000
16.6648,1.0000,317.7526,1.2023,0.3620,16.6822,16.6533,15.3038,0.0010,-1.0000
16.6656,1.0000,317.7692,1.4256,0.2751,16.6613,16.6562,15.4207,0.0013,-1.0000
16.6691,1.0000,317.7859,1.1074,0.2463,16.6589,16.6666,15.4258,0.0009,-1.0000
16.6663,1.0000,317.8025,1.1778,0.2755,16.6751,16.6549,15.3942,0.0012,-1.0000
16.6666,1.0000,317.8192,1.3483,0.2771,16.6618,16.6570,15.4375,0.0012,-1.0000
16.6675,1.0000,317.8360,1.2343,0.2670,16.6640,16.6606,15.3763,0.0011,-1.0000
16.6659,1.0000,317.8526,1.2397,0.3250,16.6757,16.6559,15.2003,0.0011,-1.0000
16.6670,1.0000,317.8694,1.2594,0.2935,16.6642,16.6587,15.3921,0.0012,-1.0000
16.6664,1.0000,317.8860,1.2183,0.3073,16.6662,16.6536,15.1051,0.0012,-1.0000
16.6668,1.0000,317.9025,1.2826,0.3904,16.6693,16.6567,15.0509,0.0014,-1.0000
16.6666,1.0000,317.9193,1.4545,0.2480,16.6657,16.6615,15.4422,0.0012,-1.0000
16.6680,1.0000,317.9359,1.2653,0.2625,16.6692,16.6560,15.1770,0.0011,-1.0000
16.6654,1.0000,317.9526,1.5471,0.3420,16.6626,16.6551,15.3625,0.0012,-1.0000
16.6685,1.0000,317.9693,1.6043,0.2630,16.6658,16.6604,15.3045,0.0010,-1.0000
16.6658,1.0000,317.9859,1.2177,0.2930,16.6712,16.6541,15.2457,0.0011,-1.0000
16.6639,1.0000,318.0024,1.4777,0.2769,16.6649,16.6529,15.4019,0.0011,-1.0000
16.6705,1.0000,318.0193,1.2917,0.2907,16.6650,16.6728,15.5200,0.0011,-1.0000
16.6657,1.0000,318.0359,1.3548,0.3049,16.6695,16.6483,15.2446,0.0011,-1.0000
16.6662,1.0000,318.0526,1.4072,0.2639,16.6636,16.6567,15.3125,0.0012,-1.0000
16.6673,1.0000,318.0693,1.2497,0.2783,16.6604,16.6606,15.3169,0.0012,-1.0000
16.6663,1.0000,318.0859,1.1517,0.3136,16.6834,16.6533,15.2076,0.0016,-1.0000
16.6660,1.0000,318.1025,1.4023,0.3069,16.6577,16.6544,15.3934,0.0012,-1.0000
16.6701,1.0000,318.1194,1.3430,0.2573,16.6665,16.6729,15.5499,0.0009,-1.0000
16.6643,1.0000,318.1360,1.3427,0.3132,16.6712,16.6451,15.0354,0.0015,-1.0000
16.6674,1.0000,318.1526,1.4439,0.2678,16.6621,16.6541,15.2292,0.0012,-1.0000
16.6669,1.0000,318.1693,1.2598,0.2552,16.6622,16.6637,15.3612,0.0010,-1.0000
16.6666,1.0000,318.1859,1.1221,0.3313,16.6839,16.6546,15.2217,0.0011,-1.0000
16.6651,1.0000,318.2025,1.6084,0.3023,16.6562,16.6501,15.4241,0.0013,-1.0000
16.6686,1.0000,318.2193,1.4233,0.2785,16.6625,16.6674,15.5776,0.0009,-1.0000
16.6661,1.0000,318.2359,1.3011,0.3147,16.6738,16.6519,15.3683,0.0014,-1.0000
16.6666,1.0000,318.2526,1.4315,0.2733,16.6644,16.6578,15.3870,0.0011,-1.0000
16.6686,1.0000,318.2695,1.2242,0.2588,16.6583,16.6653,15.3998,0.0015,-1.0000
16.6647,1.0000,318.2859,1.0884,0.2959,16.6765,16.6488,14.9359,0.0014,-1.0000
16.6671,1.0000,318.3025,1.2823,0.2655,16.6608,16.6612,15.3392,0.0011,-1.0000
16.6685,1.0000,318.3195,1.2698,0.2708,16.6665,16.6637,15.4371,0.0011,-1.0000
16.6632,1.0000,318.3359,1.2639,0.3088,16.6751,16.6427,14.9529,0.0012,-1.0000
16.6661,1.0000,318.3531,1.7113,0.2940,16.6575,16.6582,15.5331,0.0011,-1.0000
16.6687,1.0000,318.3692,1.3207,0.2815,16.6702,16.6661,14.8088,0.0008,-1.0000
16.6667,1.0000,318.3859,1.2252,0.2791,16.6747,16.6573,15.4184,0.0015,-1.0000
16.6696,1.0000,318.4027,1.6884,0.2562,16.6512,16.6732,15.4090,0.0011,-1.0000
16.6642,1.0000,318.4193,1.1240,0.2872,16.6657,16.6396,14.8992,0.0012,-1.0000
16.6649,1.0000,318.4360,1.8566,0.2973,16.6731,16.6532,15.4207,0.0012,-1.0000
16.6679,1.0000,318.4526,1.2375,0.2608,16.6652,16.6650,15.4312,0.0010,-1.0000
16.6681,1.0000,318.4693,1.2630,0.3453,16.6856,16.6571,15.4271,0.0009,-1.0000
16.6657,1.0000,318.4859,1.7396,0.2728,16.6505,16.6515,15.3336,0.0013,-1.0000
16.6684,1.0000,318.5025,1.2316,0.2475,16.6619,16.6677,15.2948,0.0011,-1.0000
16.6656,1.0000,318.5193,1.2328,0.2625,16.6748,16.6529,15.3306,0.0013,-1.0000
16.6655,1.0000,318.5359,1.2287,0.2698,16.6661,16.6537,15.3548,0.0010,-1.0000
16.6671,1.0000,318.5527,1.3162,0.3165,16.6599,16.6653,15.5108,0.0010,-1.0000
16.6686,1.0000,318.5693,1.3718,0.3246,16.6761,16.6573,15.1514,0.0012,-1.0000
16.6646,1.0000,318.5859,1.3210,0.2665,16.6618,16.6504,15.3163,0.0013,-1.0000
16.6691,1.0000,318.6026,1.2972,0.2682,16.6620,16.6728,15.3610,0.0012,-1.0000
16.6666,1.0000,318.6193,1.1537,0.4681,16.6748,16.6464,14.7744,0.0013,-1.0000
16.6659,1.0000,318.6359,1.5043,0.2801,16.6667,16.6584,15.2638,0.0011,-1.0000
16.6675,1.0000,318.6527,1.3324,0.2814,16.6587,16.6599,15.2976,0.0011,-1.0000
16.6663,1.0000,318.6693,1.3106,0.3467,16.6841,16.6537,15.1738,0.0010,-1.0000
16.6651,1.0000,318.6859,1.8705,0.2791,16.6571,16.6483,15.2974,0.0010,-1.0000
16.6687,1.0000,318.7025,1.3932,0.2817,16.6665,16.7338,15.4463,0.0013,-1.0000
16.6657,1.0000,318.7192,1.3609,0.2955,16.6707,16.5880,15.3727,0.0011,-1.0000
16.6674,1.0000,318.7361,1.4786,0.2668,16.6641,16.6621,15.3557,0.0012,-1.0000
16.6669,1.0000,318.7528,1.3499,0.2995,16.6564,16.6539,15.0192,0.0013,-1.0000
16.6662,1.0000,318.7693,1.2860,0.2747,16.7429,16.6548,15.1548,0.0012,-1.0000
16.6671,1.0000,318.7859,1.2142,0.2704,16.5969,16.6579,15.3155,0.0013,-1.0000
16.6681,1.0000,318.8025,1.3052,0.2718,16.6722,16.6609,15.4575,0.0011,-1.0000
16.6656,1.0000,318.8193,1.6334,0.3064,16.6634,16.6531,15.3094,0.0011,-1.0000
16.6648,1.0000,318.8359,1.4989,0.2876,16.6656,16.6535,15.2809,0.0011,-1.0000
16.7093,1.0000,318.8527,1.3410,0.2523,16.6671,16.7371,15.4620,0.0010,-1.0000
16.6660,1.0000,318.8693,1.2022,0.4613,16.6707,16.6236,15.1759,0.0010,-1.0000
16.6664,1.0000,318.8860,1.3422,0.2655,16.6623,16.6536,15.4374,0.0012,-1.0000
16.6678,1.0000,318.9027,1.3714,0.2987,16.6613,16.6635,15.3622,0.0011,-1.0000
16.6652,1.0000,318.9193,1.2742,0.3018,16.7465,16.6514,15.0504,0.0015,-1.0000
16.6676,1.0000,318.9360,1.4463,0.2586,16.6338,16.6599,15.3321,0.0011,-1.0000
16.6679,1.0000,318.9527,1.2149,0.3642,16.6626,16.6644,15.1007,0.0014,-1.0000
16.6655,1.0000,318.9693,1.3001,0.2939,16.6734,16.6504,15.0665,0.0013,-1.0000
16.6673,1.0000,318.9860,1.5994,0.2964,16.6601,16.6579,15.4051,0.0012,-1.0000
16.6672,1.0000,319.0026,1.3266,0.3206,16.6678,16.6582,15.2327,0.0014,-1.0000
16.6647,1.0000,319.0193,1.5624,0.3342,16.6758,16.6564,14.9416,0.0013,-1.0000
16.6662,1.0000,319.0361,1.5826,0.2686,16.6604,16.6582,15.3525,0.0012,-1.0000
16.6709,1.0000,319.0528,1.2514,0.2988,16.6670,16.6694,15.2487,0.0012,-1.0000
16.6628,1.0000,319.0693,1.4240,0.5452,16.6669,16.6417,15.0021,0.0014,-1.0000
16.6677,1.0000,319.0860,1.7135,0.2545,16.6640,16.6636,15.4618,0.0011,-1.0000
16.6677,1.0000,319.1025,1.3045,0.2737,16.6658,16.6626,15.4134,0.0013,-1.0000
16.6668,1.0000,319.1193,1.4196,0.2742,16.6784,16.6563,15.3788,0.0009,-1.0000
16.6653,1.0000,319.1360,1.6381,0.2515,16.6511,16.6538,15.4035,0.0012,-1.0000
16.6684,1.0000,319.1526,1.2007,0.2897,16.6707,16.6633,15.2844,0.0014,-1.0000
16.6651,1.0000,319.1693,1.2477,0.3203,16.6708,16.6513,15.4329,0.0011,-1.0000
16.6692,1.0000,319.1861,1.2763,0.2667,16.6666,16.6720,15.4659,0.0013,-1.0000
16.6656,1.0000,319.2025,1.2490,0.3233,16.6624,16.6473,15.1775,0.0011,-1.0000
16.6666,1.0000,319.2193,1.3776,0.2606,16.6721,16.6561,15.4062,0.0011,-1.0000
16.6660,1.0000,319.2361,1.2172,0.2952,16.6591,16.6566,15.3966,0.0012,-1.0000
16.6673,1.0000,319.2526,1.2046,0.3048,16.6830,16.6627,15.3084,0.0010,-1.0000
16.6671,1.0000,319.2693,1.4686,0.2848,16.6566,16.6567,15.4461,0.0011,-1.0000
16.6667,1.0000,319.2861,1.2487,0.2905,16.6654,16.6593,15.4535,0.0010,-1.0000
16.6668,1.0000,319.3025,1.2591,0.2714,16.6652,16.6574,15.2533,0.0012,-1.0000
16.6653,1.0000,319.3193,1.3531,0.2630,16.6703,16.6520,15.3990,0.0011,-1.0000
16.6691,1.0000,319.3360,1.2096,0.2408,16.6660,16.6687,15.3818,0.0011,-1.0000
16.6662,1.0000,319.3526,1.2047,0.2960,16.6677,16.6568,15.3110,0.0012,-1.0000
16.6654,1.0000,319.3693,1.4028,0.2837,16.6655,16.6495,15.4434,0.0011,-1.0000
16.6683,1.0000,319.3860,1.2522,0.2653,16.6604,16.6671,15.4682,0.0010,-1.0000
16.6663,1.0000,319.4026,1.2857,0.3300,16.6767,16.6535,15.3153,0.0011,-1.0000
16.6659,1.0000,319.4193,1.3446,0.2652,16.6662,16.6552,15.4810,0.0015,-1.0000
16.6675,1.0000,319.4363,1.2052,0.2585,16.6581,16.6653,15.4776,0.0011,-1.0000
16.6675,1.0000,319.4527,1.1978,0.3346,16.6755,16.6539,14.2912,0.0012,-1.0000
16.6652,1.0000,319.4693,1.3370,0.2656,16.6619,16.6528,15.3896,0.0011,-1.0000
16.6684,1.0000,319.4861,1.1726,0.2569,16.6635,16.6683,15.4764,0.0010,-1.0000
16.6661,1.0000,319.5026,1.1866,0.3135,16.6751,16.6526,15.2028,0.0012,-1.0000
16.6653,1.0000,319.5194,2.3618,0.2739,16.6641,16.6532,15.5210,0.0014,-1.0000
16.7318,1.0000,319.5362,1.2619,0.2575,16.6612,16.7575,15.3773,0.0011,-1.0000
16.6664,1.0000,319.5528,1.1903,0.3349,16.6782,16.6248,15.0463,0.0014,-1.0000
16.6636,1.0000,319.5694,1.4483,0.2830,16.6615,16.6428,15.1534,0.0010,-1.0000
16.6712,1.0000,319.5862,1.1307,0.2874,16.6621,16.6741,15.4522,0.0009,-1.0000
16.6649,1.0000,319.6027,1.3788,0.3446,16.7685,16.6484,14.7870,0.0013,-1.0000
