frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6665,1.0000,291.6833,1.4819,0.2747,16.6608,16.6578,15.4706,0.0012,-1.0000
16.8997,1.0000,291.7004,1.2450,0.2743,16.6686,16.9002,15.6278,0.0010,-1.0000
16.6621,1.0000,291.7168,1.3071,0.3456,16.6691,16.6366,15.0493,0.0013,-1.0000
16.6688,1.0000,291.7335,1.3615,0.2934,16.6623,16.6665,15.4089,0.0011,-1.0000
16.6688,1.0000,291.7502,1.1859,0.2843,16.6656,16.6674,15.4371,0.0010,-1.0000
16.6615,1.0000,291.7666,1.2714,0.2483,16.9113,16.6351,15.1677,0.0010,-1.0000
16.6694,1.0000,291.7835,1.5858,0.2795,16.6460,16.6739,15.7211,0.0008,-1.0000
16.6694,1.0000,291.8003,1.2564,0.2948,16.6734,16.6648,15.3085,0.0010,-1.0000
16.6645,1.0000,291.8168,1.2293,0.2839,16.6784,16.6466,15.1374,0.0009,-1.0000
16.6668,1.0000,291.8335,1.4664,0.2382,16.6430,16.6605,15.4469,0.0012,-1.0000
16.6691,1.0000,291.8502,0.9518,0.3065,16.6807,16.6636,15.2748,0.0014,-1.0000
16.6652,1.0000,291.8667,1.3554,0.2762,16.6743,16.6543,15.2441,0.0011,-1.0000
16.6660,1.0000,291.8835,1.5081,0.2425,16.6559,16.6568,15.4797,0.0011,-1.0000
16.6702,1.0000,291.9003,1.2123,0.2855,16.6686,16.6683,15.4151,0.0009,-1.0000
16.6636,1.0000,291.9168,1.3871,0.5016,16.6726,16.6428,15.0939,0.0012,-1.0000
16.6674,1.0000,291.9335,1.4094,0.2803,16.6628,16.6632,15.4142,0.0011,-1.0000
16.6698,1.0000,291.9503,1.1760,0.2698,16.6654,16.6690,15.1998,0.0010,-1.0000
16.6615,1.0000,291.9666,1.2521,0.2882,16.6776,16.6361,14.9816,0.0014,-1.0000
16.6679,1.0000,291.9835,1.5476,0.2744,16.6523,16.6633,15.6266,0.0008,-1.0000
16.6687,1.0000,292.0003,1.2481,0.3477,16.6710,16.6695,15.4629,0.0010,-1.0000
16.6649,1.0000,292.0168,1.4682,0.3205,16.6802,16.6503,15.1384,0.0013,-1.0000
16.6676,1.0000,292.0338,1.6531,0.2489,16.6452,16.6687,15.4407,0.0011,-1.0000
16.6680,1.0000,292.0501,1.0357,0.2713,16.6694,16.6565,14.9882,0.0015,-1.0000
16.6628,1.0000,292.0667,1.2056,0.2774,16.6769,16.6431,15.3797,0.0010,-1.0000
16.6693,1.0000,292.0838,1.5106,0.2795,16.6578,16.6706,15.5609,0.0009,-1.0000
16.6686,1.0000,292.1002,1.2267,0.2625,16.6771,16.6626,14.6158,0.0011,-1.0000
16.6651,1.0000,292.1168,1.6671,0.2722,16.6657,16.6527,15.4033,0.0011,-1.0000
16.6669,1.0000,292.1336,1.2625,0.2454,16.6514,16.6606,15.3470,0.0013,-1.0000
16.6675,1.0000,292.1501,1.1087,0.2820,16.6788,16.6578,15.2269,0.0013,-1.0000
16.6654,1.0000,292.1667,2.0458,0.2721,16.6713,16.6527,15.3472,0.0012,-1.0000
16.6675,1.0000,292.1838,1.2484,0.2823,16.6611,16.6637,15.4959,0.0011,-1.0000
16.6670,1.0000,292.2002,1.3122,0.3223,16.6694,16.6572,14.8674,0.0011,-1.0000
16.6660,1.0000,292.2169,1.4297,0.2739,16.6668,16.6533,15.4357,0.0011,-1.0000
16.6890,1.0000,292.2336,1.3043,0.2544,16.6608,16.7069,15.2829,0.0011,-1.0000
16.6664,1.0000,292.2502,1.1665,0.3053,16.6727,16.6312,15.4210,0.0010,-1.0000
16.6668,1.0000,292.2668,1.7885,0.2669,16.6669,16.6570,15.2754,0.0011,-1.0000
16.6673,1.0000,292.2837,1.2169,0.2868,16.6635,16.6590,15.3459,0.0012,-1.0000
16.6663,1.0000,292.3002,1.4227,0.3066,16.7177,16.6539,15.2233,0.0012,-1.0000
16.6658,1.0000,292.3168,1.2088,0.2945,16.6407,16.6534,15.4027,0.0011,-1.0000
16.6677,1.0000,292.3336,1.3801,0.2615,16.6671,16.6636,15.3761,0.0010,-1.0000
16.6665,1.0000,292.3502,1.3117,0.2499,16.6688,16.6571,15.2073,0.0009,-1.0000
16.6660,1.0000,292.3667,1.4291,0.2875,16.6637,16.6551,15.3869,0.0010,-1.0000
16.6680,1.0000,292.3836,1.2494,0.2588,16.6624,16.6700,15.5364,0.0009,-1.0000
16.6663,1.0000,292.4002,1.2863,0.2997,16.6724,16.6481,15.2355,0.0013,-1.0000
16.6661,1.0000,292.4168,1.4483,0.2609,16.6651,16.6554,15.4240,0.0010,-1.0000
16.7353,1.0000,292.4338,1.2673,0.2970,16.6637,16.7547,15.3425,0.0011,-1.0000
16.6657,1.0000,292.4503,1.1326,0.3040,16.6789,16.6265,14.7635,0.0015,-1.0000
16.6659,1.0000,292.4668,1.4113,0.2777,16.6565,16.6544,15.2108,0.0015,-1.0000
16.6682,1.0000,292.4837,1.2303,0.2850,16.6636,16.6646,15.3907,0.0010,-1.0000
16.6659,1.0000,292.5003,1.4110,0.3527,16.7676,16.6499,15.0085,0.0011,-1.0000
16.6647,1.0000,292.5169,1.8617,0.2820,16.6382,16.6474,15.2859,0.0015,-1.0000
16.6691,1.0000,292.5336,1.4421,0.2713,16.6653,16.6679,15.4856,0.0010,-1.0000
16.6658,1.0000,292.5502,1.2727,0.4094,16.6753,16.6562,15.2810,0.0011,-1.0000
16.6663,1.0000,292.5668,1.6405,0.2806,16.6608,16.6568,15.3464,0.0013,-1.0000
16.6683,1.0000,292.5836,1.3599,0.2500,16.6548,16.6637,15.4493,0.0011,-1.0000
16.6658,1.0000,292.6003,1.1813,0.3357,16.6747,16.6541,15.1891,0.0011,-1.0000
16.6664,1.0000,292.6169,1.3740,0.3193,16.6653,16.6558,15.3135,0.0011,-1.0000
16.6682,1.0000,292.6336,1.3089,0.2907,16.6649,16.6648,15.4753,0.0009,-1.0000
16.6668,1.0000,292.6503,1.2135,0.2805,16.6730,16.6576,15.2802,0.0011,-1.0000
16.6650,1.0000,292.6668,1.4639,0.2752,16.6627,16.6501,15.2352,0.0011,-1.0000
16.6692,1.0000,292.6837,1.3409,0.2683,16.6632,16.6645,15.4448,0.0011,-1.0000
16.6648,1.0000,292.7003,1.1882,0.3428,16.6747,16.6468,15.0148,0.0011,-1.0000
16.6665,1.0000,292.7169,1.3760,0.2626,16.6695,16.6617,15.3580,0.0013,-1.0000
16.6995,1.0000,292.7338,1.4139,0.3011,16.6596,16.7177,15.4170,0.0013,-1.0000
16.6671,1.0000,292.7503,1.2185,0.3240,16.6754,16.6307,15.1195,0.0010,-1.0000
16.6660,1.0000,292.7668,1.6309,0.2469,16.6555,16.6546,15.3323,0.0016,-1.0000
16.6685,1.0000,292.7838,1.3022,0.2680,16.6695,16.6648,15.2944,0.0013,-1.0000
16.6642,1.0000,292.8002,1.2994,0.3312,16.7264,16.6489,15.0244,0.0011,-1.0000
16.6672,1.0000,292.8169,1.5102,0.2859,16.6404,16.6593,15.4154,0.0011,-1.0000
16.6686,1.0000,292.8337,1.3207,0.3556,16.6635,16.6687,15.3819,0.0012,-1.0000
16.6634,1.0000,292.8502,1.3691,0.2884,16.6748,16.6418,15.2308,0.0012,-1.0000
16.6691,1.0000,292.8669,1.6232,0.2619,16.6575,16.6697,15.5405,0.0009,-1.0000
16.6670,1.0000,292.8836,1.2427,0.3064,16.6665,16.6594,15.1289,0.0015,-1.0000
16.6666,1.0000,292.9003,1.2851,0.2726,16.6778,16.6567,15.3355,0.0011,-1.0000
16.6692,1.0000,292.9171,1.4098,0.2458,16.6496,16.6674,15.2391,0.0016,-1.0000
16.6648,1.0000,292.9336,1.1284,0.3583,16.6770,16.6457,15.0966,0.0011,-1.0000
16.6647,1.0000,292.9502,1.5289,0.2768,16.6682,16.6502,15.3892,0.0009,-1.0000
16.6677,1.0000,292.9668,1.3199,0.3144,16.6660,16.6659,15.5081,0.0011,-1.0000
16.6671,1.0000,292.9836,1.4267,0.2704,16.6789,16.6587,15.3941,0.0014,-1.0000
16.6669,1.0000,293.0003,1.5481,0.2817,16.6555,16.6601,15.4326,0.0010,-1.0000
16.6678,1.0000,293.0170,1.2598,0.2563,16.6583,16.6598,15.3377,0.0010,-1.0000
16.6662,1.0000,293.0336,1.1567,0.3434,16.6731,16.6589,15.2288,0.0011,-1.0000
16.6669,1.0000,293.0503,1.2632,0.2800,16.6662,16.6565,15.4352,0.0011,-1.0000
16.6662,1.0000,293.0669,1.2260,0.3055,16.6683,16.6602,15.2840,0.0011,-1.0000
16.6678,1.0000,293.0836,1.3207,0.2717,16.6680,16.6586,15.3750,0.0011,-1.0000
16.6656,1.0000,293.1003,1.4287,0.2986,16.6674,16.6567,15.3419,0.0014,-1.0000
16.6695,1.0000,293.1171,1.2198,0.2666,16.6651,16.6635,15.2905,0.0010,-1.0000
16.6651,1.0000,293.1337,1.3750,0.3418,16.6681,16.6534,15.0679,0.0015,-1.0000
16.6657,1.0000,293.1503,1.2822,0.2730,16.6672,16.6494,15.3511,0.0010,-1.0000
16.6685,1.0000,293.1670,1.3134,0.2736,16.6655,16.6707,15.4074,0.0012,-1.0000
16.6662,1.0000,293.1837,1.3720,0.3297,16.6755,16.6462,14.9942,0.0010,-1.0000
16.6648,1.0000,293.2003,1.5842,0.2945,16.6637,16.6515,15.2689,0.0010,-1.0000
16.6684,1.0000,293.2170,1.2971,0.2700,16.6576,16.6641,15.4797,0.0009,-1.0000
16.6667,1.0000,293.2336,1.2624,0.3278,16.6826,16.6576,15.2349,0.0009,-1.0000
16.6667,1.0000,293.2503,1.6509,0.2666,16.6563,16.6578,15.2770,0.0010,-1.0000
16.6686,1.0000,293.2669,1.3814,0.2480,16.6603,16.6606,15.3729,0.0012,-1.0000
16.6648,1.0000,293.2836,1.1833,0.3411,16.6723,16.6512,15.2893,0.0010,-1.0000
16.6645,1.0000,293.3003,1.4216,0.2794,16.6671,16.6520,15.4475,0.0012,-1.0000
16.6707,1.0000,293.3172,1.3799,0.2728,16.6675,16.9151,15.3835,0.0010,-1.0000
16.6641,1.0000,293.3336,1.2860,0.3407,16.6711,16.4005,15.1012,0.0014,-1.0000
16.6674,1.0000,293.3503,1.3607,0.2628,16.6605,16.6644,15.3501,0.0013,-1.0000
16.6683,1.0000,293.3669,1.2034,0.2606,16.6601,16.6641,15.2648,0.0015,-1.0000
16.6646,1.0000,293.3836,1.5305,0.2925,16.9249,16.6454,15.3181,0.0011,-1.0000
16.6681,1.0000,293.4003,1.2978,0.2870,16.4105,16.6664,15.3628,0.0013,-1.0000
16.6660,1.0000,293.4169,1.3128,0.2880,16.6729,16.6493,15.0514,0.0013,-1.0000
16.6651,1.0000,293.4336,1.3977,0.2898,16.6750,16.6526,15.4160,0.0011,-1.0000
16.6701,1.0000,293.4509,1.3262,0.3010,16.6546,17.0499,15.3223,0.0010,-1.0000
16.6661,1.0000,293.4668,1.3021,0.3291,16.6753,16.2331,14.6523,0.0012,-1.0000
16.6664,1.0000,293.4836,1.5969,0.2562,16.6589,16.6579,15.5241,0.0012,-1.0000
16.6662,1.0000,293.5004,1.2356,0.3220,16.6603,16.6618,15.2872,0.0011,-1.0000
16.6673,1.0000,293.5169,1.7266,0.3361,17.1005,16.6523,14.7996,0.0012,-1.0000
16.6658,1.0000,293.5336,1.5797,0.2678,16.2426,16.6523,15.3612,0.0011,-1.0000
16.6682,1.0000,293.5503,1.1324,0.3153,16.6667,16.6665,15.5204,0.0012,-1.0000
16.6667,1.0000,293.5668,1.3732,0.3136,16.6714,16.6547,15.3319,0.0011,-1.0000
