frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6658,1.0000,71.1060,1.2758,0.2987,16.6684,16.6558,15.4802,0.0011,-1.0000
16.6685,1.0000,71.1227,1.0871,0.2959,16.6617,16.6668,15.4516,0.0010,-1.0000
16.6656,1.0000,71.1392,1.2496,0.4095,16.6779,16.6491,15.4603,0.0011,-1.0000
16.6657,1.0000,71.1559,1.9250,0.2976,16.6574,16.6562,15.6262,0.0010,-1.0000
16.6682,1.0000,71.1727,1.1744,0.2659,16.6643,16.6676,15.5169,0.0011,-1.0000
16.6656,1.0000,71.1893,1.2139,0.3158,16.6763,16.6508,15.4722,0.0011,-1.0000
16.6660,1.0000,71.2059,1.1880,0.2850,16.6583,16.6531,15.5096,0.0010,-1.0000
16.6685,1.0000,71.2227,1.0290,0.3204,16.6642,16.6673,15.5703,0.0010,-1.0000
16.6659,1.0000,71.2392,1.1493,0.2855,16.6766,16.6530,15.4163,0.0011,-1.0000
16.6648,1.0000,71.2559,1.1774,0.2563,16.6601,16.6499,15.6460,0.0011,-1.0000
16.6696,1.0000,71.2727,1.1423,0.2982,16.6614,16.6701,15.5298,0.0011,-1.0000
16.6663,1.0000,71.2893,1.0958,0.3118,16.6767,16.6543,15.3869,0.0012,-1.0000
16.6646,1.0000,71.3059,1.2355,0.2858,16.6618,16.6549,15.4620,0.0012,-1.0000
16.6709,1.0000,71.3227,1.0029,0.3099,16.6593,16.6689,15.5258,0.0009,-1.0000
16.6639,1.0000,71.3392,1.1393,0.3265,16.6783,16.6447,14.9540,0.0009,-1.0000
16.6683,1.0000,71.3560,1.2660,0.2879,16.6635,16.6620,15.5867,0.0016,-1.0000
16.6675,1.0000,71.3728,1.1914,0.2553,16.6631,16.6643,14.4592,0.0010,-1.0000
16.6641,1.0000,71.3893,1.1422,0.3598,16.6799,16.6452,15.2111,0.0011,-1.0000
16.6656,1.0000,71.4060,1.6896,0.2693,16.6539,16.6548,15.5895,0.0011,-1.0000
16.6695,1.0000,71.4227,1.0737,0.4249,16.6701,16.6688,15.2352,0.0010,-1.0000
16.6653,1.0000,71.4392,2.2039,0.3167,16.6740,16.6546,15.4708,0.0012,-1.0000
16.6697,1.0000,71.4561,1.4330,0.3140,16.6542,16.6686,15.5287,0.0011,-1.0000
16.6666,1.0000,71.4727,1.0643,0.3574,16.6630,16.6554,15.3987,0.0014,-1.0000
16.6652,1.0000,71.4893,1.4326,0.2744,16.6772,16.6457,15.3310,0.0013,-1.0000
16.6667,1.0000,71.5060,1.1827,0.3371,16.6633,16.6580,15.5458,0.0010,-1.0000
16.6679,1.0000,71.5226,1.1387,0.2626,16.6799,16.6604,15.3434,0.0010,-1.0000
16.6659,1.0000,71.5392,1.2552,0.2972,16.6679,16.6522,15.3777,0.0010,-1.0000
16.6678,1.0000,71.5560,1.3133,0.3159,16.6553,16.6652,15.4941,0.0015,-1.0000
16.6668,1.0000,71.5726,1.1109,0.2669,16.6666,16.6505,15.4115,0.0013,-1.0000
16.6660,1.0000,71.5893,1.3157,0.2933,16.6697,16.6540,15.4458,0.0011,-1.0000
16.6670,1.0000,71.6060,1.2737,0.2698,16.6620,16.6631,15.5495,0.0010,-1.0000
16.6670,1.0000,71.6226,1.1691,0.2775,16.6752,16.6574,15.4062,0.0009,-1.0000
16.6643,1.0000,71.6392,1.2374,0.3060,16.6614,16.6495,15.5398,0.0012,-1.0000
16.6664,1.0000,71.6559,1.2067,0.2897,16.6627,16.6636,15.6757,0.0011,-1.0000
16.6686,1.0000,71.6727,1.1127,0.2987,16.6718,16.6623,15.4968,0.0014,-1.0000
16.6671,1.0000,71.6893,1.2501,0.2759,16.6661,16.6584,15.5242,0.0014,-1.0000
16.6670,1.0000,71.7060,1.1084,0.2560,16.6575,16.6594,15.4954,0.0010,-1.0000
16.6666,1.0000,71.7226,0.9869,0.3339,16.6713,16.6539,14.9083,0.0012,-1.0000
16.6666,1.0000,71.7392,1.1640,0.2718,16.6706,16.6560,15.5026,0.0010,-1.0000
16.6682,1.0000,71.7565,1.1328,0.2773,16.6687,16.6670,15.6298,0.0010,-1.0000
16.6660,1.0000,71.7726,1.1628,0.5613,16.6697,16.6488,14.8628,0.0011,-1.0000
16.6652,1.0000,71.7893,1.7444,0.2849,16.6626,16.6550,15.2066,0.0013,-1.0000
16.6694,1.0000,71.8060,1.1521,0.2906,16.6643,16.6667,15.4646,0.0011,-1.0000
16.6657,1.0000,71.8227,1.0361,0.2777,16.6777,16.6513,15.3644,0.0012,-1.0000
16.6649,1.0000,71.8392,1.7851,0.3688,16.6590,16.6464,15.3310,0.0012,-1.0000
16.6691,1.0000,71.8560,1.4469,0.2549,16.6634,16.6693,15.6405,0.0011,-1.0000
16.6658,1.0000,71.8726,1.2010,0.2795,16.6767,16.6501,15.4066,0.0009,-1.0000
16.6658,1.0000,71.8893,1.2855,0.3529,16.6634,16.6551,15.4685,0.0011,-1.0000
16.6848,1.0000,71.9060,1.3144,0.2823,16.6549,16.6796,15.4391,0.0012,-1.0000
16.6662,1.0000,71.9227,1.0277,0.2695,16.6795,16.6564,15.4685,0.0012,-1.0000
16.6671,1.0000,71.9392,1.2424,0.2888,16.6602,16.6582,15.4437,0.0013,-1.0000
16.6670,1.0000,71.9560,1.1854,0.2825,16.6636,16.6605,15.6171,0.0011,-1.0000
16.6645,1.0000,71.9727,1.2395,0.2918,16.6885,16.6492,15.1886,0.0012,-1.0000
16.6673,1.0000,71.9893,1.1866,0.2930,16.6652,16.6588,15.4158,0.0011,-1.0000
16.6691,1.0000,72.0060,1.2130,0.2948,16.6667,16.6668,15.5013,0.0012,-1.0000
16.6646,1.0000,72.0226,1.0420,0.3527,16.6706,16.6522,15.3441,0.0011,-1.0000
16.6671,1.0000,72.0393,1.4594,0.2794,16.6577,16.6607,15.5330,0.0012,-1.0000
16.6677,1.0000,72.0560,1.2422,0.2910,16.6665,16.6604,15.3776,0.0014,-1.0000
16.6639,1.0000,72.0726,1.1637,0.2853,16.6753,16.6474,15.4766,0.0012,-1.0000
16.6691,1.0000,72.0893,1.3069,0.2782,16.6609,16.6714,15.5491,0.0012,-1.0000
16.6672,1.0000,72.1060,1.1262,0.3488,16.6688,16.6586,15.3514,0.0012,-1.0000
16.6654,1.0000,72.1226,1.2813,0.2657,16.6685,16.6519,15.5280,0.0010,-1.0000
16.6683,1.0000,72.1393,1.1696,0.2869,16.6550,16.6677,15.5737,0.0012,-1.0000
16.6669,1.0000,72.1560,1.1210,0.3139,16.6793,16.6549,15.3385,0.0013,-1.0000
16.6641,1.0000,72.1726,1.3057,0.2829,16.6671,16.6477,15.4120,0.0014,-1.0000
16.6682,1.0000,72.1893,1.1227,0.3235,16.6603,16.6648,15.5895,0.0011,-1.0000
16.6672,1.0000,72.2060,1.0925,0.3132,16.6777,16.6586,15.4448,0.0011,-1.0000
16.6668,1.0000,72.2227,1.3147,0.2848,16.6642,16.6585,15.5590,0.0011,-1.0000
16.6686,1.0000,72.2393,1.2344,0.2647,16.6564,16.6626,15.4981,0.0013,-1.0000
16.6651,1.0000,72.2560,1.0740,0.3067,16.6727,16.6556,15.2638,0.0015,-1.0000
16.6653,1.0000,72.2727,1.2125,0.2850,16.6671,16.6489,15.4073,0.0014,-1.0000
16.6663,1.0000,72.2893,1.0984,0.2953,16.6669,16.6544,15.4197,0.0012,-1.0000
16.6685,1.0000,72.3060,1.1626,0.3445,16.6730,16.6641,15.5622,0.0010,-1.0000
16.6646,1.0000,72.3226,1.3902,0.2755,16.6667,16.6529,15.5082,0.0010,-1.0000
16.6698,1.0000,72.3393,1.2402,0.2821,16.6580,16.6703,15.5915,0.0010,-1.0000
16.6656,1.0000,72.3560,1.2337,0.3243,16.6625,16.6533,15.3845,0.0011,-1.0000
16.6661,1.0000,72.3731,1.1004,0.2664,16.6722,16.6531,15.4947,0.0010,-1.0000
16.6675,1.0000,72.3893,1.1437,0.2597,16.6605,16.6658,15.0545,0.0010,-1.0000
16.6667,1.0000,72.4060,1.0773,0.3328,16.6795,16.6538,15.4129,0.0013,-1.0000
16.6654,1.0000,72.4226,1.2678,0.3204,16.6627,16.6509,15.4597,0.0011,-1.0000
16.6690,1.0000,72.4393,1.1573,0.2776,16.6609,16.6722,15.5748,0.0011,-1.0000
16.6656,1.0000,72.4560,1.6102,0.3114,16.6756,16.6470,15.0705,0.0011,-1.0000
16.6666,1.0000,72.4726,1.2395,0.2722,16.6644,16.6553,15.5144,0.0011,-1.0000
16.6696,1.0000,72.4894,1.1901,0.2657,16.6596,16.6669,15.5501,0.0011,-1.0000
16.6644,1.0000,72.5060,1.0964,0.3978,16.6830,16.6504,15.0882,0.0013,-1.0000
16.6654,1.0000,72.5226,1.5757,0.2885,16.6579,16.6477,15.4548,0.0012,-1.0000
16.6697,1.0000,72.5392,1.1397,0.3123,16.6637,16.6686,15.6261,0.0011,-1.0000
16.6652,1.0000,72.5560,1.1154,0.3535,16.6769,16.6555,15.5258,0.0008,-1.0000
16.6665,1.0000,72.5727,1.5609,0.3151,16.6624,16.6542,15.5036,0.0012,-1.0000
