frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6668,1.0000,440.5645,7.1339,0.3177,16.6860,16.6574,9.0732,0.0008,-1.0000
16.6654,1.0000,440.5811,1.1516,4.5184,16.6517,16.6508,15.3587,0.0011,-1.0000
16.6678,1.0000,440.5976,6.6173,0.3077,16.6620,16.6618,10.0080,0.0012,-1.0000
16.6680,1.0000,440.6144,1.2585,5.6449,16.6768,16.6629,15.4485,0.0012,-1.0000
16.6639,1.0000,440.6311,7.5833,0.3036,16.6670,16.6478,9.7353,0.0010,-1.0000
16.6686,1.0000,440.6478,1.2909,4.5146,16.6590,16.6685,15.3784,0.0014,-1.0000
16.6676,1.0000,440.6645,6.6530,0.3694,16.6707,16.6617,6.9983,0.0010,-1.0000
16.6645,1.0000,440.6811,1.2134,4.4801,16.6714,16.6435,15.3442,0.0010,-1.0000
16.6682,1.0000,440.6977,6.9114,0.3179,16.6554,16.6672,9.9067,0.0014,-1.0000
16.6696,1.0000,440.7145,1.2887,5.5465,16.6757,16.6656,15.3738,0.0012,-1.0000
16.6642,1.0000,440.7311,9.6627,0.3565,16.6722,16.6444,9.4823,0.0011,-1.0000
16.6675,1.0000,440.7478,1.2981,4.4140,16.6518,16.6613,15.2680,0.0013,-1.0000
16.6677,1.0000,440.7644,6.7591,0.3788,16.6768,16.6587,9.5500,0.0013,-1.0000
16.6647,1.0000,440.7811,1.2903,5.4627,16.6773,16.6498,15.2277,0.0012,-1.0000
16.6659,1.0000,440.7976,7.1614,0.3619,16.6548,16.6587,9.7512,0.0010,-1.0000
16.6683,1.0000,440.8145,1.3920,4.5579,16.6702,16.6680,15.3993,0.0015,-1.0000
16.6646,1.0000,440.8311,7.1073,0.3199,16.6678,16.6468,8.5776,0.0012,-1.0000
16.6678,1.0000,440.8477,1.4210,4.3661,16.6598,16.6631,15.4008,0.0010,-1.0000
16.6693,1.0000,440.8645,6.9064,0.3357,16.6660,16.6674,9.7707,0.0011,-1.0000
16.6684,1.0000,440.8811,1.2665,6.1430,16.6756,16.6536,15.0284,0.0011,-1.0000
16.6626,1.0000,440.8977,8.0687,0.3271,16.6555,16.6508,9.8708,0.0010,-1.0000
16.6682,1.0000,440.9146,1.2613,4.5795,16.6705,16.6681,15.3844,0.0015,-1.0000
