frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6673,1.0000,182.5705,1.3636,0.2746,16.7260,16.6966,15.4115,0.0011,-1.0000
16.6675,1.0000,182.5872,1.3064,0.3171,16.7032,16.6236,15.1078,0.0011,-1.0000
16.6641,1.0000,182.6037,2.4659,0.2504,16.6413,16.6303,15.3460,0.0013,-1.0000
16.6675,1.0000,182.6205,1.2155,0.2778,16.6569,16.7191,15.5481,0.0011,-1.0000
16.6688,1.0000,182.6371,1.2841,0.4050,16.7043,16.5852,15.4331,0.0009,-1.0000
16.6662,1.0000,182.6537,1.5147,0.2818,16.6331,16.6523,15.1456,0.0011,-1.0000
16.6672,1.0000,182.6704,1.2828,0.2571,16.6375,16.6614,15.4014,0.0012,-1.0000
16.6665,1.0000,182.6870,1.1701,0.2644,16.7264,16.6588,15.3196,0.0014,-1.0000
16.6664,1.0000,182.7037,1.1511,0.3448,16.5928,16.6568,15.3097,0.0015,-1.0000
16.6657,1.0000,182.7204,1.5053,0.2938,16.6608,16.6525,15.4128,0.0011,-1.0000
16.6691,1.0000,182.7371,1.2590,0.3301,16.6701,16.7149,15.3301,0.0009,-1.0000
16.6648,1.0000,182.7537,1.3378,0.3213,16.6687,16.6066,15.2601,0.0010,-1.0000
16.6688,1.0000,182.7704,1.3454,0.2790,16.6658,16.6601,15.4236,0.0011,-1.0000
16.6673,1.0000,182.7870,1.2384,0.3210,16.6600,16.6656,15.1337,0.0011,-1.0000
16.6655,1.0000,182.8038,1.3839,0.2733,16.7231,16.6390,15.3604,0.0015,-1.0000
16.6667,1.0000,182.8204,1.3455,0.2793,16.6154,16.6798,15.3636,0.0011,-1.0000
16.6687,1.0000,182.8371,1.2353,0.2748,16.6705,16.6547,15.2718,0.0011,-1.0000
16.6648,1.0000,182.8537,1.5307,0.2710,16.6757,16.6422,15.3198,0.0011,-1.0000
16.6688,1.0000,182.8704,1.2766,0.2858,16.6477,16.6669,15.3675,0.0011,-1.0000
16.6653,1.0000,182.8872,1.3149,0.2683,16.6896,16.6521,15.3469,0.0011,-1.0000
16.6663,1.0000,182.9037,1.3815,0.2678,16.6660,16.6492,15.3336,0.0013,-1.0000
16.6663,1.0000,182.9204,1.3212,0.2657,16.6524,16.6624,15.4979,0.0011,-1.0000
16.6676,1.0000,182.9371,1.2982,0.2650,16.6777,16.6577,15.4181,0.0010,-1.0000
