frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6666,1.0000,94.9150,1.1270,0.2550,16.6524,16.6589,10.3837,0.0013,-1.0000
16.6685,1.0000,94.9317,1.0483,0.2852,16.6818,16.6705,15.2523,0.0011,-1.0000
16.6645,1.0000,94.9483,1.4658,0.2655,16.6634,16.6410,15.3163,0.0011,-1.0000
16.6652,1.0000,94.9650,1.2070,0.5899,16.6667,16.6543,15.4039,0.0010,-1.0000
16.6699,1.0000,94.9817,6.2738,0.3906,16.6669,16.6681,15.3886,0.0011,-1.0000
16.6662,1.0000,94.9983,1.4165,0.3061,16.6808,16.6545,15.2983,0.0010,-1.0000
16.6677,1.0000,95.0150,1.3232,0.4355,16.6499,16.6650,15.4230,0.0014,-1.0000
16.6659,1.0000,95.0316,1.2495,0.3480,16.6624,16.6533,15.1572,0.0013,-1.0000
16.6666,1.0000,95.0483,1.2781,0.3314,16.6763,16.6544,15.3229,0.0012,-1.0000
16.6678,1.0000,95.0650,1.3549,0.3274,16.6630,16.6626,15.3584,0.0009,-1.0000
16.6661,1.0000,95.0817,1.2408,0.5619,16.6758,16.6567,15.0800,0.0012,-1.0000
16.6662,1.0000,95.0983,1.4946,0.3468,16.6626,16.6534,15.3457,0.0012,-1.0000
16.6705,1.0000,95.1149,1.3304,0.3271,16.6634,16.6650,15.3552,0.0011,-1.0000
16.6638,1.0000,95.1317,1.3032,0.5468,16.6711,16.6562,15.3123,0.0011,-1.0000
16.6662,1.0000,95.1484,1.5754,0.3346,16.6655,16.6522,15.2433,0.0012,-1.0000
16.6680,1.0000,95.1652,1.3066,0.3143,16.6624,16.6651,15.1738,0.0012,-1.0000
16.6658,1.0000,95.1817,1.3080,0.3446,16.6735,16.6466,14.8751,0.0017,-1.0000
16.6660,1.0000,95.1983,1.3425,0.3627,16.6661,16.6571,15.2812,0.0013,-1.0000
16.6685,1.0000,95.2157,1.4076,0.4666,16.6628,16.6686,15.3633,0.0015,-1.0000
16.6665,1.0000,95.2317,1.4901,1.0549,16.6767,16.6484,14.1539,0.0014,-1.0000
16.6661,1.0000,95.2483,1.7695,0.4754,16.6560,16.6538,15.2357,0.0012,-1.0000
16.6681,1.0000,95.2651,1.3746,0.3200,16.6653,16.6640,15.3959,0.0012,-1.0000
16.6654,1.0000,95.2817,1.3037,0.4496,16.6799,16.6522,14.8027,0.0013,-1.0000
16.6663,1.0000,95.2983,2.4928,0.3441,16.6579,16.6554,15.2854,0.0012,-1.0000
16.6677,1.0000,95.3149,1.4169,0.3118,16.6627,16.6626,15.4157,0.0013,-1.0000
16.6668,1.0000,95.3316,1.2668,0.4021,16.6733,16.6575,15.3749,0.0011,-1.0000
16.6662,1.0000,95.3484,1.8480,0.3054,16.6616,16.6591,15.3799,0.0011,-1.0000
16.6677,1.0000,95.3650,1.3687,0.3100,16.6641,16.6565,15.2984,0.0012,-1.0000
16.6657,1.0000,95.3816,1.2456,0.4319,16.6700,16.6534,15.2121,0.0015,-1.0000
16.6661,1.0000,95.3983,1.2813,0.3138,16.6672,16.6559,15.3600,0.0011,-1.0000
16.6677,1.0000,95.4149,1.2782,0.3090,16.6695,16.6638,15.3686,0.0012,-1.0000
16.6667,1.0000,95.4316,1.3566,0.4137,16.6658,16.6555,15.2699,0.0011,-1.0000
16.6664,1.0000,95.4483,1.4397,0.3153,16.6624,16.6596,15.2862,0.0011,-1.0000
16.6676,1.0000,95.4651,1.2947,0.3215,16.6639,16.6622,15.4349,0.0011,-1.0000
16.6663,1.0000,95.4816,1.2939,0.3612,16.6714,16.6535,15.1273,0.0014,-1.0000
16.6663,1.0000,95.4983,1.3845,0.3032,16.6642,16.6585,15.3446,0.0012,-1.0000
16.6675,1.0000,95.5149,1.3719,0.2678,16.6678,16.6599,15.3355,0.0010,-1.0000
16.6663,1.0000,95.5316,1.2258,0.3103,16.6709,16.6556,15.2575,0.0013,-1.0000
16.6655,1.0000,95.5482,1.5247,0.2723,16.6627,16.6548,15.3845,0.0011,-1.0000
16.6686,1.0000,95.5650,1.3127,0.3398,16.6668,16.6653,15.3966,0.0009,-1.0000
16.6657,1.0000,95.5816,1.3233,0.2578,16.6682,16.6533,15.2014,0.0010,-1.0000
16.6667,1.0000,95.5984,1.3967,0.2740,16.6651,16.6609,15.4289,0.0009,-1.0000
16.6675,1.0000,95.6149,1.2692,0.2952,16.6631,16.6591,15.3026,0.0010,-1.0000
16.6647,1.0000,95.6316,1.2678,0.3087,16.6742,16.6494,15.1348,0.0012,-1.0000
16.6681,1.0000,95.6483,1.4508,0.2755,16.6620,16.6616,15.5046,0.0011,-1.0000
16.6675,1.0000,95.6650,1.2309,0.3248,16.6701,16.6652,15.4041,0.0010,-1.0000
16.6641,1.0000,95.6816,1.3550,0.3214,16.6696,16.6450,15.2346,0.0010,-1.0000
16.6683,1.0000,95.6983,1.5131,0.2560,16.6573,16.6656,15.5023,0.0009,-1.0000
16.6690,1.0000,95.7149,1.1556,0.2776,16.6693,16.6642,15.3941,0.0009,-1.0000
16.6623,1.0000,95.7316,1.2600,0.2788,16.6752,16.6395,15.4066,0.0012,-1.0000
16.6689,1.0000,95.7487,1.4094,0.2541,16.6539,16.6698,15.4899,0.0011,-1.0000
16.6680,1.0000,95.7650,1.1619,0.3311,16.6741,16.6575,14.9202,0.0011,-1.0000
16.6650,1.0000,95.7816,1.2689,0.2901,16.6750,16.6533,15.3406,0.0012,-1.0000
16.6692,1.0000,95.7983,1.2319,0.2558,16.6483,16.6681,15.3884,0.0011,-1.0000
16.6656,1.0000,95.8151,1.1786,0.3021,16.6787,16.6492,15.2726,0.0012,-1.0000
16.6660,1.0000,95.8316,1.7358,0.2551,16.6664,16.6570,15.3206,0.0011,-1.0000
16.6678,1.0000,95.8483,1.3113,0.2997,16.6620,16.6604,15.3961,0.0010,-1.0000
16.6661,1.0000,95.8650,1.2785,0.2888,16.6795,16.6556,15.3550,0.0011,-1.0000
16.6654,1.0000,95.8816,1.3754,0.2626,16.6585,16.6525,15.2844,0.0010,-1.0000
16.6682,1.0000,95.8983,1.3351,0.2799,16.6653,16.6668,15.5313,0.0011,-1.0000
16.6671,1.0000,95.9149,1.2630,0.3103,16.6701,16.6549,15.2406,0.0011,-1.0000
16.6665,1.0000,95.9317,1.2997,0.3038,16.6650,16.6576,15.4140,0.0014,-1.0000
16.6667,1.0000,95.9483,1.3669,0.2514,16.6604,16.6516,15.4856,0.0010,-1.0000
16.6670,1.0000,95.9649,1.1343,0.4075,16.6763,16.6571,15.3775,0.0012,-1.0000
16.6653,1.0000,95.9816,1.4130,0.2643,16.6645,16.6565,15.4209,0.0012,-1.0000
16.6696,1.0000,95.9984,1.2420,0.2946,16.6704,16.6715,15.4411,0.0012,-1.0000
16.6652,1.0000,96.0149,1.1650,0.3017,16.6616,16.6448,15.0971,0.0012,-1.0000
16.6657,1.0000,96.0316,1.2783,0.2547,16.6655,16.6564,15.5548,0.0012,-1.0000
16.6680,1.0000,96.0485,1.2342,0.2525,16.6644,16.6698,15.4192,0.0010,-1.0000
16.6667,1.0000,96.0650,1.2291,0.4014,16.6829,16.6160,15.0409,0.0017,-1.0000
16.6649,1.0000,96.0816,1.5463,0.2647,16.6541,16.6483,15.3652,0.0013,-1.0000
16.6689,1.0000,96.0983,1.1002,0.2787,16.6656,16.6663,15.4379,0.0011,-1.0000
16.6661,1.0000,96.1150,1.2495,0.3080,16.7109,16.6537,15.3083,0.0011,-1.0000
16.6662,1.0000,96.1316,1.5731,0.2762,16.6268,16.6578,15.3510,0.0012,-1.0000
