frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6676,1.0000,382.1141,1.3251,0.4744,16.8737,16.6581,15.1137,0.0013,-1.0000
16.6647,1.0000,382.1309,1.4065,0.2856,16.5425,16.6517,15.3932,0.0012,-1.0000
16.7019,1.0000,382.1477,1.1956,0.2991,16.6648,16.6990,15.3640,0.0011,-1.0000
16.6450,1.0000,382.1640,1.3685,0.4064,16.6686,16.6362,15.0333,0.0010,-1.0000
16.6650,1.0000,382.1808,1.5428,0.2837,16.6670,16.6529,15.4973,0.0010,-1.0000
16.6680,1.0000,382.1975,1.2571,0.2737,16.6593,16.6657,15.4065,0.0012,-1.0000
16.6685,1.0000,382.2142,1.3339,0.3017,16.7072,16.6586,15.2625,0.0014,-1.0000
16.6654,1.0000,382.2308,1.6017,0.2775,16.6448,16.6560,15.3143,0.0011,-1.0000
16.6666,1.0000,382.2475,1.1544,0.2735,16.6620,16.6565,15.2491,0.0011,-1.0000
16.6662,1.0000,382.2640,1.2579,0.3069,16.6736,16.6559,15.2587,0.0011,-1.0000
16.6665,1.0000,382.2808,1.3942,0.2759,16.6685,16.6715,15.4430,0.0012,-1.0000
16.6666,1.0000,382.2975,1.3406,0.2831,16.6652,16.6472,15.3104,0.0012,-1.0000
16.6670,1.0000,382.3141,1.4059,0.2826,16.6666,16.6560,15.3346,0.0010,-1.0000
16.6677,1.0000,382.3308,1.3958,0.2634,16.6648,16.6578,15.3335,0.0012,-1.0000
16.6670,1.0000,382.3476,1.2275,0.2722,16.6799,16.6625,15.3149,0.0012,-1.0000
16.6662,1.0000,382.3640,1.3354,0.7455,16.6551,16.6534,15.1214,0.0011,-1.0000
16.6655,1.0000,382.3808,1.3202,0.3397,16.6643,16.6530,15.4318,0.0015,-1.0000
16.7278,1.0000,382.3977,1.3227,0.3092,16.6662,16.7895,15.5426,0.0010,-1.0000
16.6662,1.0000,382.4143,1.3463,0.3138,16.6732,16.5908,14.9867,0.0013,-1.0000
16.6657,1.0000,382.4310,1.5309,0.2840,16.6623,16.6509,15.2043,0.0016,-1.0000
16.6686,1.0000,382.4476,1.2198,0.2616,16.6605,16.6839,15.1945,0.0013,-1.0000
16.6651,1.0000,382.4641,1.2456,0.4240,16.7994,16.6359,15.3001,0.0013,-1.0000
16.6653,1.0000,382.4808,1.6026,0.3353,16.6019,16.6511,15.5008,0.0011,-1.0000
16.6683,1.0000,382.4976,1.4450,0.3374,16.6599,16.6648,15.5154,0.0012,-1.0000
16.6660,1.0000,382.5142,1.4881,0.4600,16.6930,16.6554,15.3554,0.0011,-1.0000
16.6666,1.0000,382.5309,1.3345,0.2754,16.6458,16.6591,15.2824,0.0010,-1.0000
16.6689,1.0000,382.5475,1.1491,0.3118,16.6590,16.6644,15.3378,0.0009,-1.0000
16.6650,1.0000,382.5641,1.1481,0.2888,16.6733,16.6483,15.1306,0.0012,-1.0000
16.6667,1.0000,382.5808,1.2988,0.3141,16.6639,16.6602,15.4984,0.0012,-1.0000
16.6671,1.0000,382.5976,1.3754,0.3207,16.6673,16.6581,15.3982,0.0012,-1.0000
16.6659,1.0000,382.6142,1.3256,0.3963,16.6757,16.6548,15.2426,0.0011,-1.0000
16.6655,1.0000,382.6309,1.5163,0.2726,16.6576,16.6554,15.3855,0.0011,-1.0000
16.6692,1.0000,382.6476,1.1605,0.3170,16.6687,16.6654,15.2658,0.0016,-1.0000
16.6664,1.0000,382.6641,1.2589,0.3606,16.6670,16.6587,15.1935,0.0012,-1.0000
16.6670,1.0000,382.6809,1.4112,0.3059,16.6631,16.6579,15.4673,0.0010,-1.0000
16.6670,1.0000,382.6975,1.2687,0.3450,16.6631,16.6558,15.2806,0.0009,-1.0000
16.6659,1.0000,382.7142,1.3980,0.3448,16.6728,16.6583,15.3285,0.0011,-1.0000
16.6660,1.0000,382.7309,1.4635,0.2738,16.6690,16.6548,15.3460,0.0010,-1.0000
16.7069,1.0000,382.7480,1.1893,0.2954,16.6671,16.7074,15.3948,0.0011,-1.0000
16.6266,1.0000,382.7641,1.3742,0.3439,16.6643,16.6030,14.7919,0.0014,-1.0000
16.6666,1.0000,382.7809,1.3284,0.2810,16.6668,16.6600,15.5177,0.0012,-1.0000
16.6688,1.0000,382.7979,1.3077,0.2749,16.6629,16.6684,15.2234,0.0012,-1.0000
16.6657,1.0000,382.8142,1.3115,0.3261,16.7189,16.6491,14.9315,0.0013,-1.0000
16.6650,1.0000,382.8309,1.8096,0.3197,16.6122,16.6543,15.4524,0.0010,-1.0000
16.6699,1.0000,382.8476,1.1409,0.3596,16.6678,16.6691,15.3505,0.0010,-1.0000
16.6647,1.0000,382.8640,1.4436,0.3075,16.6789,16.6492,15.3381,0.0011,-1.0000
16.6683,1.0000,382.8810,1.7162,0.2641,16.6588,16.6684,15.5391,0.0009,-1.0000
16.6661,1.0000,382.8975,1.2007,0.2828,16.6623,16.6497,15.0576,0.0012,-1.0000
16.6644,1.0000,382.9141,1.3171,0.2706,16.6776,16.6491,15.4781,0.0011,-1.0000
16.6673,1.0000,382.9309,1.3101,0.2730,16.6570,16.6634,15.5360,0.0011,-1.0000
16.6677,1.0000,382.9475,1.1281,0.5065,16.6789,16.6655,15.2004,0.0012,-1.0000
16.6667,1.0000,382.9641,1.5910,0.2686,16.6608,16.6549,15.4695,0.0011,-1.0000
16.6679,1.0000,382.9809,1.1699,0.2500,16.6564,16.6595,15.4264,0.0011,-1.0000
16.6666,1.0000,382.9975,1.1262,0.3193,16.6707,16.6562,15.3132,0.0011,-1.0000
16.6661,1.0000,383.0142,1.4639,0.2683,16.6741,16.6578,15.4331,0.0009,-1.0000
16.6669,1.0000,383.0309,1.1843,0.3687,16.6639,16.6608,15.3357,0.0013,-1.0000
16.6670,1.0000,383.0475,1.2322,0.2938,16.6680,16.6553,15.2706,0.0014,-1.0000
16.6644,1.0000,383.0641,1.3419,0.3175,16.6648,16.6477,15.3913,0.0015,-1.0000
16.6697,1.0000,383.0810,1.2236,0.2794,16.6663,16.6737,15.5090,0.0010,-1.0000
16.6662,1.0000,383.0976,1.3235,0.4169,16.6706,16.6501,15.1011,0.0012,-1.0000
16.6659,1.0000,383.1142,1.3837,0.2812,16.6649,16.6549,15.2262,0.0012,-1.0000
16.6682,1.0000,383.1309,1.2549,0.2973,16.6558,16.6666,15.4359,0.0010,-1.0000
16.6659,1.0000,383.1475,1.1636,0.2969,16.6834,16.6560,15.3143,0.0014,-1.0000
16.6655,1.0000,383.1641,1.5478,0.3017,16.6601,16.6517,15.4157,0.0014,-1.0000
16.6672,1.0000,383.1809,1.4274,0.3002,16.6622,16.6654,15.4798,0.0011,-1.0000
16.6675,1.0000,383.1975,1.2294,0.2891,16.6745,16.6585,14.8593,0.0011,-1.0000
16.6655,1.0000,383.2142,1.3406,0.3389,16.6642,16.6541,15.3069,0.0010,-1.0000
16.6682,1.0000,383.2309,1.2344,0.2744,16.6595,16.6638,15.4335,0.0014,-1.0000
16.6666,1.0000,383.2475,1.1843,0.2866,16.6729,16.6568,15.3628,0.0013,-1.0000
16.6664,1.0000,383.2641,1.7980,0.3213,16.6663,16.6570,15.4016,0.0015,-1.0000
16.6663,1.0000,383.2808,1.3462,0.3562,16.6627,16.6604,15.4278,0.0012,-1.0000
16.6677,1.0000,383.2975,1.2288,0.3375,16.6725,16.6553,15.2909,0.0011,-1.0000
16.6674,1.0000,383.3143,1.2927,0.2815,16.6655,16.6616,15.3101,0.0014,-1.0000
16.7033,1.0000,383.3310,1.2538,0.2784,16.6655,16.6892,15.3245,0.0016,-1.0000
16.6667,1.0000,383.3476,1.2312,0.3386,16.6686,16.6564,15.2678,0.0011,-1.0000
16.6661,1.0000,383.3641,1.3630,0.2918,16.6667,16.6574,15.3584,0.0009,-1.0000
16.6680,1.0000,383.3809,1.3504,0.2822,16.6727,16.6626,15.5086,0.0011,-1.0000
16.6660,1.0000,383.3976,1.3631,0.4360,16.7000,16.6522,15.4011,0.0011,-1.0000
16.6658,1.0000,383.4142,1.3874,0.2792,16.6651,16.6538,15.4389,0.0011,-1.0000
16.6691,1.0000,383.4311,1.2979,0.3100,16.6657,16.6665,15.4335,0.0014,-1.0000
16.6650,1.0000,383.4476,1.1532,0.2925,16.6740,16.6505,14.0789,0.0015,-1.0000
16.6667,1.0000,383.4641,1.2499,0.2855,16.6612,16.6552,15.3283,0.0010,-1.0000
16.6687,1.0000,383.4810,1.2136,0.2712,16.6625,16.6716,15.5559,0.0014,-1.0000
16.6658,1.0000,383.4976,1.2314,0.5030,16.6766,16.6429,14.3708,0.0013,-1.0000
16.6645,1.0000,383.5142,2.5701,0.2853,16.6595,16.6526,15.2859,0.0012,-1.0000
16.6686,1.0000,383.5309,1.3258,0.2735,16.6641,16.6643,15.4511,0.0010,-1.0000
16.6667,1.0000,383.5475,1.1140,0.3215,16.6828,16.6598,15.3354,0.0012,-1.0000
16.6659,1.0000,383.5641,2.2714,0.2864,16.6532,16.6557,15.4519,0.0011,-1.0000
16.6690,1.0000,383.5809,1.3654,0.2697,16.6607,16.6643,15.5062,0.0010,-1.0000
16.6654,1.0000,383.5976,1.2121,0.2560,16.6716,16.6901,15.2864,0.0013,-1.0000
16.6658,1.0000,383.6142,1.3232,0.3015,16.6686,16.6197,15.3130,0.0013,-1.0000
16.6683,1.0000,383.6311,1.2025,0.2984,16.6637,16.6676,15.4478,0.0015,-1.0000
16.6636,1.0000,383.6475,1.1571,0.3147,16.6742,16.6368,15.1102,0.0017,-1.0000
16.6684,1.0000,383.6641,1.4024,0.3165,16.6993,16.6673,15.5171,0.0012,-1.0000
16.6687,1.0000,383.6809,1.3056,0.2673,16.6281,16.6637,15.4574,0.0014,-1.0000
16.6647,1.0000,383.6975,1.2183,0.2742,16.6796,16.6530,15.2969,0.0012,-1.0000
16.6667,1.0000,383.7142,1.5250,0.2556,16.6461,16.6580,15.4579,0.0010,-1.0000
16.6682,1.0000,383.7309,1.1488,0.2836,16.6742,16.6627,15.4308,0.0010,-1.0000
16.6633,1.0000,383.7475,1.2049,0.2842,16.6723,16.6442,15.3879,0.0012,-1.0000
16.6674,1.0000,383.7641,1.3548,0.3328,16.6621,16.6624,15.5622,0.0009,-1.0000
16.6689,1.0000,383.7809,1.1992,0.3003,16.6661,16.6674,15.4431,0.0011,-1.0000
16.6664,1.0000,383.7976,1.2309,0.2741,16.6724,16.6586,15.3279,0.0011,-1.0000
16.6663,1.0000,383.8143,1.2551,0.2559,16.6523,16.6588,15.3558,0.0011,-1.0000
16.6701,1.0000,383.8309,1.0992,0.2767,16.6689,16.6633,15.1773,0.0010,-1.0000
16.6640,1.0000,383.8476,1.2231,0.2587,16.6746,16.6488,15.2978,0.0013,-1.0000
16.6647,1.0000,383.8641,1.3292,0.2690,16.6673,16.6549,15.3916,0.0011,-1.0000
16.6695,1.0000,383.8810,1.3018,0.3403,16.6693,16.6645,15.5514,0.0007,-1.0000
16.6662,1.0000,383.8976,1.4848,0.3201,16.6722,16.6539,15.2254,0.0013,-1.0000
16.6659,1.0000,383.9142,1.3498,0.2826,16.6584,16.6583,15.4384,0.0011,-1.0000
16.6694,1.0000,383.9310,1.2618,0.2829,16.6630,16.6641,15.3886,0.0012,-1.0000
16.6651,1.0000,383.9476,1.1119,0.2848,16.6737,16.6506,15.1363,0.0011,-1.0000
16.6644,1.0000,383.9641,1.4274,0.2701,16.6628,16.6540,15.4099,0.0011,-1.0000
16.6694,1.0000,383.9810,1.2189,0.3378,16.6676,16.6659,15.5370,0.0008,-1.0000
16.6656,1.0000,383.9976,1.2741,0.2731,16.6743,16.6505,15.0103,0.0015,-1.0000
16.6676,1.0000,384.0143,1.5134,0.2852,16.6600,16.6626,15.3815,0.0009,-1.0000
16.6675,1.0000,384.0309,1.2430,0.2452,16.6619,16.6640,15.2901,0.0013,-1.0000
16.6640,1.0000,384.0475,1.1278,0.3372,16.6741,16.6412,15.1840,0.0012,-1.0000
16.6678,1.0000,384.0642,1.6385,0.2741,16.6608,16.6659,15.4661,0.0011,-1.0000
16.6681,1.0000,384.0809,1.2798,1.0154,16.6705,16.6589,15.4417,0.0009,-1.0000
16.6651,1.0000,384.0976,1.3725,0.3165,16.6757,16.6529,15.4821,0.0010,-1.0000
16.6680,1.0000,384.1144,1.4559,0.2699,16.6501,16.6602,15.3180,0.0012,-1.0000
16.6658,1.0000,384.1309,1.1986,0.2761,16.6748,16.6566,15.2045,0.0011,-1.0000
16.6665,1.0000,384.1476,1.2162,0.2952,16.6672,16.6566,15.2140,0.0016,-1.0000
16.6670,1.0000,384.1642,1.1696,0.3181,16.6629,16.6622,15.4481,0.0011,-1.0000
16.6677,1.0000,384.1809,1.3407,0.3598,16.6691,16.6594,15.2459,0.0010,-1.0000
16.6655,1.0000,384.1975,1.4507,0.3161,16.6646,16.6552,15.3366,0.0014,-1.0000
