frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.7094,1.0000,409.1425,1.4147,4.3233,16.6603,16.7037,15.2324,0.0010,-1.0000
16.6666,1.0000,409.1593,6.6718,0.2657,16.6766,16.6603,9.4388,0.0007,-1.0000
16.6668,1.0000,409.1757,1.3970,4.2185,16.6601,16.6530,15.2414,0.0013,-1.0000
16.6674,1.0000,409.1926,6.5826,0.2618,16.6633,16.6628,9.9157,0.0012,-1.0000
16.6662,1.0000,409.2091,1.4701,5.0576,16.7116,16.6515,15.0845,0.0013,-1.0000
16.6668,1.0000,409.2257,7.2211,0.2564,16.6690,16.6586,9.3860,0.0011,-1.0000
16.6677,1.0000,409.2424,1.4101,4.3040,16.6618,16.6658,15.3420,0.0012,-1.0000
16.6659,1.0000,409.2591,6.7458,0.3618,16.6731,16.6509,8.2308,0.0011,-1.0000
16.6639,1.0000,409.2757,1.5659,5.2757,16.6609,16.6461,15.3774,0.0014,-1.0000
16.6701,1.0000,409.2924,7.2715,0.2760,16.6668,16.6716,10.2353,0.0010,-1.0000
16.6679,1.0000,409.3091,1.3223,4.8980,16.6765,16.6629,15.1869,0.0011,-1.0000
16.6633,1.0000,409.3257,8.4191,0.2679,16.6604,16.6493,9.7710,0.0010,-1.0000
16.6686,1.0000,409.3423,1.2675,4.0264,16.6526,16.6648,15.4986,0.0009,-1.0000
16.6665,1.0000,409.3592,6.4353,0.3092,16.6789,16.6598,10.0914,0.0012,-1.0000
16.6673,1.0000,409.3758,1.4747,4.8133,16.6728,16.6541,15.2214,0.0012,-1.0000
16.6649,1.0000,409.3924,6.8775,0.2790,16.6578,16.6528,9.9826,0.0013,-1.0000
16.6694,1.0000,409.4091,1.1651,4.3618,16.6724,16.6712,15.3522,0.0015,-1.0000
16.6638,1.0000,409.4257,6.5676,0.5716,16.6696,16.6430,8.4219,0.0012,-1.0000
16.6667,1.0000,409.4423,1.4314,4.1198,16.6640,16.6562,15.2874,0.0011,-1.0000
16.6689,1.0000,409.4593,6.6691,0.2708,16.6604,16.6706,10.0861,0.0011,-1.0000
16.6659,1.0000,409.4757,1.3174,5.1132,16.6803,16.6512,15.0148,0.0015,-1.0000
16.6648,1.0000,409.4924,8.2200,0.2690,16.6533,16.6523,10.0319,0.0010,-1.0000
16.8293,1.0000,409.5093,1.3675,4.4672,16.6628,16.8267,15.5168,0.0015,-1.0000
16.6673,1.0000,409.5259,6.5833,0.3045,16.6812,16.6630,7.5114,0.0011,-1.0000
16.6646,1.0000,409.5425,1.6344,4.2914,16.6608,16.6450,15.2062,0.0011,-1.0000
16.6672,1.0000,409.5594,6.6194,0.2703,16.6605,16.6651,10.2922,0.0009,-1.0000
16.6681,1.0000,409.5759,1.3080,5.0445,16.8345,16.6645,15.0920,0.0013,-1.0000
16.6647,1.0000,409.5926,9.1502,0.3211,16.6718,16.6466,10.0977,0.0014,-1.0000
16.6671,1.0000,409.6093,1.4377,4.2486,16.6533,16.6626,15.4163,0.0012,-1.0000
16.6695,1.0000,409.6261,6.3726,0.2888,16.6732,16.6678,9.1367,0.0012,-1.0000
16.6639,1.0000,409.6425,1.5713,4.3633,16.6731,16.6453,15.0899,0.0014,-1.0000
16.6670,1.0000,409.6592,6.5479,0.2883,16.6548,16.6585,10.1286,0.0011,-1.0000
16.6696,1.0000,409.6761,1.2453,4.7971,16.6692,16.6814,15.2809,0.0012,-1.0000
16.6643,1.0000,409.6926,7.5302,0.2521,16.6780,16.6349,9.7362,0.0014,-1.0000
16.6656,1.0000,409.7092,1.5536,4.7603,16.6547,16.6513,15.2915,0.0011,-1.0000
16.6710,1.0000,409.7260,6.5291,0.3243,16.6667,16.6733,9.7640,0.0009,-1.0000
16.6623,1.0000,409.7424,1.3994,4.3775,16.6925,16.6413,14.9876,0.0014,-1.0000
16.6694,1.0000,409.7593,6.8972,0.2719,16.6453,16.6680,10.4822,0.0010,-1.0000
16.6668,1.0000,409.7759,1.3589,5.2788,16.6596,16.6585,15.3156,0.0012,-1.0000
