frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6690,1.0000,266.7439,1.2880,0.2912,16.6601,16.6702,15.4087,0.0010,-1.0000
16.6659,1.0000,266.7606,1.2692,0.3350,16.6760,16.6487,15.0233,0.0012,-1.0000
16.6664,1.0000,266.7771,1.5359,0.2975,16.6627,16.6580,15.1829,0.0013,-1.0000
16.6688,1.0000,266.7938,1.2803,0.2736,16.6631,16.6642,15.4142,0.0010,-1.0000
16.6649,1.0000,266.8105,1.2600,0.3435,16.6795,16.6542,15.1218,0.0011,-1.0000
16.6646,1.0000,266.8271,1.6237,0.2911,16.6579,16.6457,15.3763,0.0010,-1.0000
16.6695,1.0000,266.8438,1.4740,0.2812,16.6669,16.7773,15.4717,0.0008,-1.0000
16.6660,1.0000,266.8604,1.2482,0.3487,16.6736,16.5437,15.1482,0.0015,-1.0000
16.6660,1.0000,266.8771,1.5311,0.2799,16.6652,16.6556,15.4002,0.0012,-1.0000
16.6692,1.0000,266.8938,1.2682,0.2847,16.6540,16.6645,15.4836,0.0010,-1.0000
16.6649,1.0000,266.9104,1.3048,0.3355,16.7870,16.6531,15.2368,0.0011,-1.0000
16.6657,1.0000,266.9271,1.3942,0.3207,16.5528,16.6582,15.3905,0.0011,-1.0000
16.6681,1.0000,266.9437,1.2542,0.2737,16.6638,16.6588,15.4576,0.0013,-1.0000
16.6661,1.0000,266.9604,1.1796,0.2946,16.6740,16.6601,15.4157,0.0011,-1.0000
16.6661,1.0000,266.9771,1.4151,0.3146,16.6622,16.6511,15.3899,0.0015,-1.0000
16.6681,1.0000,266.9938,1.2664,0.2731,16.6666,16.6642,15.4508,0.0010,-1.0000
16.6664,1.0000,267.0104,1.1997,0.3215,16.6673,16.6561,15.1095,0.0011,-1.0000
16.6668,1.0000,267.0271,1.2431,0.2788,16.6702,16.6606,15.4290,0.0012,-1.0000
16.6673,1.0000,267.0437,1.2591,0.2751,16.6594,16.6587,15.3108,0.0012,-1.0000
16.6657,1.0000,267.0606,1.2121,0.3234,16.6718,16.6535,15.4278,0.0013,-1.0000
16.6666,1.0000,267.0771,1.5453,0.2824,16.6648,16.6583,15.1430,0.0010,-1.0000
16.6684,1.0000,267.0938,1.2302,0.3126,16.6686,16.6673,15.3985,0.0012,-1.0000
16.6657,1.0000,267.1104,1.3468,0.3170,16.6677,16.6494,15.1522,0.0015,-1.0000
16.6677,1.0000,267.1272,1.2244,0.2865,16.6625,16.6637,15.3030,0.0013,-1.0000
16.6669,1.0000,267.1437,1.5142,0.2942,16.6665,16.6543,15.2670,0.0012,-1.0000
16.6657,1.0000,267.1604,1.2677,0.4759,16.6773,16.6499,15.1909,0.0012,-1.0000
16.6656,1.0000,267.1771,1.4955,0.2976,16.6584,16.6544,15.3918,0.0011,-1.0000
16.6689,1.0000,267.1939,1.3595,0.3120,16.6751,16.6706,15.4289,0.0012,-1.0000
16.6657,1.0000,267.2104,1.3860,0.3485,16.6649,16.6447,15.1561,0.0013,-1.0000
16.6654,1.0000,267.2271,1.4576,0.2865,16.6597,16.6610,15.3350,0.0013,-1.0000
