frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6668,1.0000,230.4939,1.3538,0.3706,16.6799,16.6570,15.2345,0.0012,-1.0000
16.6655,1.0000,230.5106,1.5367,0.2991,16.6697,16.6503,15.1874,0.0010,-1.0000
16.6699,1.0000,230.5271,1.3986,0.3049,16.6469,16.6642,15.2279,0.0012,-1.0000
16.6643,1.0000,230.5438,1.2747,0.2952,16.6779,16.6483,15.4282,0.0012,-1.0000
16.6642,1.0000,230.5604,1.4213,0.3179,16.6679,16.6489,15.4381,0.0011,-1.0000
16.6696,1.0000,230.5772,1.4618,0.2661,16.6613,16.6701,15.5628,0.0013,-1.0000
16.6658,1.0000,230.5938,1.4350,0.2651,16.6750,16.6542,15.1404,0.0012,-1.0000
16.6669,1.0000,230.6105,1.2188,0.2756,16.6585,16.6603,15.4257,0.0011,-1.0000
16.6681,1.0000,230.6271,1.2097,0.2623,16.6564,16.6589,15.2789,0.0011,-1.0000
16.6656,1.0000,230.6438,1.1057,0.2695,16.6784,16.6540,15.3317,0.0010,-1.0000
16.6658,1.0000,230.6605,1.5125,0.2699,16.6629,16.6573,15.3561,0.0010,-1.0000
16.6683,1.0000,230.6772,1.2334,0.3247,16.6700,16.6598,15.3101,0.0013,-1.0000
16.6663,1.0000,230.6938,1.3786,0.2549,16.6685,16.6556,15.3037,0.0014,-1.0000
16.6654,1.0000,230.7105,1.3215,0.2659,16.6637,16.6597,15.3380,0.0012,-1.0000
16.6686,1.0000,230.7270,1.3000,0.3002,16.6658,16.6575,15.2954,0.0014,-1.0000
16.6664,1.0000,230.7438,1.3482,0.2888,16.6678,16.6568,15.3979,0.0009,-1.0000
16.6669,1.0000,230.7605,1.3506,0.2836,16.6657,16.6614,15.3792,0.0011,-1.0000
16.6673,1.0000,230.7772,1.3205,0.2818,16.6686,16.6571,15.3983,0.0011,-1.0000
16.6658,1.0000,230.7938,1.3605,0.3193,16.6659,16.6531,15.2690,0.0010,-1.0000
16.6644,1.0000,230.8106,1.2578,0.2669,16.6659,16.6521,15.4950,0.0012,-1.0000
16.6719,1.0000,230.8272,1.2809,0.2920,16.6704,16.6769,15.2776,0.0016,-1.0000
16.6636,1.0000,230.8438,1.2576,0.2971,16.6664,16.6410,15.2509,0.0015,-1.0000
16.6670,1.0000,230.8604,1.3830,0.2805,16.6621,16.6640,15.5789,0.0009,-1.0000
16.6676,1.0000,230.8773,1.1558,0.3486,16.6601,16.6611,15.3920,0.0010,-1.0000
16.6643,1.0000,230.8938,1.3974,0.3019,16.6878,16.6464,15.0483,0.0013,-1.0000
16.6668,1.0000,230.9105,1.3884,0.3082,16.6505,16.6606,15.5083,0.0010,-1.0000
16.6700,1.0000,230.9271,1.0843,0.2916,16.6714,16.6693,14.4589,0.0012,-1.0000
16.6645,1.0000,230.9438,1.2679,0.3503,16.6708,16.6454,15.3807,0.0012,-1.0000
16.6658,1.0000,230.9605,1.5967,0.2609,16.6550,16.6580,15.4719,0.0011,-1.0000
16.6696,1.0000,230.9773,1.1513,0.2635,16.6678,16.6664,15.4225,0.0011,-1.0000
16.6641,1.0000,230.9938,2.2088,0.2894,16.6804,16.6492,15.1124,0.0017,-1.0000
16.6672,1.0000,231.0106,1.2635,0.2722,16.6543,16.6677,15.4810,0.0012,-1.0000
16.6686,1.0000,231.0271,1.1849,0.2507,16.6657,16.6566,15.2986,0.0010,-1.0000
16.6650,1.0000,231.0438,1.2425,0.2686,16.6749,16.6497,15.3069,0.0019,-1.0000
16.6681,1.0000,231.0605,1.5359,0.2703,16.6573,16.6646,15.3505,0.0015,-1.0000
16.6673,1.0000,231.0772,1.1853,0.2739,16.6780,16.6572,15.2225,0.0012,-1.0000
16.6647,1.0000,231.0938,1.3568,0.2723,16.6659,16.6502,15.2090,0.0012,-1.0000
16.6749,1.0000,231.1105,1.3410,0.3488,16.6591,16.6708,15.5010,0.0012,-1.0000
16.6680,1.0000,231.1270,1.3126,0.2853,16.6733,16.6607,15.4607,0.0009,-1.0000
