frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6676,1.0000,159.6892,1.2131,0.2782,16.6566,16.6625,14.6223,0.0013,-1.0000
16.6666,1.0000,159.7059,1.2002,0.3399,16.6764,16.6547,15.2535,0.0011,-1.0000
16.6634,1.0000,159.7225,1.5121,0.2877,16.6634,16.6485,15.3794,0.0012,-1.0000
16.6702,1.0000,159.7393,1.1684,0.4133,16.6646,16.6737,15.4901,0.0011,-1.0000
16.6661,1.0000,159.7559,2.0386,0.3127,16.6724,16.6532,15.0942,0.0013,-1.0000
16.6666,1.0000,159.7726,1.3996,0.3437,16.6643,16.6572,15.3247,0.0012,-1.0000
16.6681,1.0000,159.7892,1.2679,0.2855,16.6557,16.6621,15.2345,0.0011,-1.0000
16.6656,1.0000,159.8059,1.1823,0.3591,16.6836,16.6509,15.2494,0.0013,-1.0000
16.6655,1.0000,159.8225,1.5578,0.3059,16.6627,16.6503,15.3879,0.0010,-1.0000
16.6680,1.0000,159.8393,1.3312,0.3354,16.6659,16.6679,15.4524,0.0012,-1.0000
16.6672,1.0000,159.8559,1.4259,0.3629,16.6723,16.6593,15.1622,0.0013,-1.0000
16.6664,1.0000,159.8726,1.4001,0.3296,16.6600,16.6559,15.2611,0.0015,-1.0000
16.6684,1.0000,159.8898,1.2612,0.2850,16.6576,16.6693,15.3674,0.0013,-1.0000
16.6656,1.0000,159.9059,1.2141,0.3957,16.6761,16.6478,14.1910,0.0014,-1.0000
16.6650,1.0000,159.9226,1.4961,0.3424,16.6674,16.6515,15.2906,0.0015,-1.0000
16.6688,1.0000,159.9393,1.3935,0.2951,16.6647,16.6653,15.3393,0.0010,-1.0000
16.6667,1.0000,159.9559,1.3006,0.3534,16.6788,16.6539,15.1890,0.0012,-1.0000
16.6653,1.0000,159.9725,2.4555,0.3424,16.6569,16.6554,15.3443,0.0015,-1.0000
16.6692,1.0000,159.9894,1.3590,0.2889,16.6611,16.6684,15.4148,0.0012,-1.0000
16.6666,1.0000,160.0060,1.3250,0.3015,16.6741,16.6510,14.5597,0.0311,-1.0000
