frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6660,1.0000,5.0514,1.0936,0.3909,16.6752,16.6568,15.4950,0.0010,-1.0000
16.6664,1.0000,5.0676,1.2399,0.3948,16.6713,16.6598,14.9199,0.0011,-1.0000
16.6667,1.0000,5.0843,1.2153,0.4672,16.6604,16.6610,15.5601,0.0012,-1.0000
16.6659,1.0000,5.1009,1.2344,0.3159,16.6672,16.6560,15.6136,0.0010,-1.0000
16.6690,1.0000,5.1176,1.1607,0.3000,16.6628,16.6697,15.5658,0.0013,-1.0000
16.6658,1.0000,5.1343,1.7387,0.3765,16.6661,16.6596,15.5542,0.0011,-1.0000
16.6684,1.0000,5.1509,1.0995,0.2951,16.6674,16.6608,15.5934,0.0012,-1.0000
16.6670,1.0000,5.1678,1.0415,0.2795,16.6616,16.6622,15.6050,0.0009,-1.0000
16.6641,1.0000,5.1843,1.1026,0.3161,16.6750,16.6504,15.3046,0.0010,-1.0000
16.6673,1.0000,5.2009,1.1042,0.3164,16.6670,16.6634,15.5553,0.0008,-1.0000
16.6698,1.0000,5.2177,1.0662,0.3080,16.6675,16.6690,15.4981,0.0011,-1.0000
16.6656,1.0000,5.2343,1.0561,0.3095,16.6701,16.6526,15.2606,0.0017,-1.0000
16.6671,1.0000,5.2509,1.3449,0.2994,16.6567,16.6621,15.3521,0.0008,-1.0000
16.6686,1.0000,5.2677,1.1073,0.3212,16.6696,16.6636,15.3786,0.0011,-1.0000
16.6647,1.0000,5.2843,1.1698,0.3998,16.6769,16.6515,15.1875,0.0014,-1.0000
16.6670,1.0000,5.3010,1.3901,0.3694,16.6606,16.6580,15.4484,0.0011,-1.0000
16.6674,1.0000,5.3178,1.3091,0.3715,16.6697,16.6608,15.4144,0.0010,-1.0000
16.6670,1.0000,5.3344,1.2839,0.4104,16.6728,16.6591,15.0998,0.0011,-1.0000
16.6655,1.0000,5.3509,1.4626,0.4554,16.6599,16.6552,15.1953,0.0013,-1.0000
16.6671,1.0000,5.3676,1.2086,0.5898,16.6661,16.6583,15.4437,0.0010,-1.0000
16.6676,1.0000,5.3844,1.2453,0.4670,16.6692,16.6701,15.5170,0.0009,-1.0000
16.6667,1.0000,5.4010,1.5579,0.5065,16.6678,16.6486,15.1807,0.0011,-1.0000
16.6676,1.0000,5.4177,1.4586,0.3982,16.6639,16.6621,15.4706,0.0009,-1.0000
16.6655,1.0000,5.4343,1.2132,0.3589,16.6658,16.6547,15.4023,0.0010,-1.0000
16.6670,1.0000,5.4509,1.1520,0.4586,16.6790,16.6584,15.4047,0.0011,-1.0000
16.6667,1.0000,5.4678,1.4667,0.3398,16.6571,16.6582,15.4442,0.0011,-1.0000
16.6668,1.0000,5.4843,1.1901,0.3439,16.6706,16.6594,15.1915,0.0011,-1.0000
16.6664,1.0000,5.5010,1.2510,0.3327,16.6625,16.6564,15.3511,0.0011,-1.0000
16.6677,1.0000,5.5178,1.2524,0.3550,16.6675,16.6671,15.4489,0.0011,-1.0000
16.6659,1.0000,5.5343,1.2128,0.3596,16.6667,16.6495,14.9916,0.0015,-1.0000
16.6659,1.0000,5.5509,1.4668,0.5421,16.6679,16.6562,15.2343,0.0012,-1.0000
16.6682,1.0000,5.5677,1.3042,0.3332,16.6648,16.6612,15.5488,0.0011,-1.0000
16.6651,1.0000,5.5843,1.2171,0.3691,16.6767,16.6541,15.4069,0.0012,-1.0000
16.6665,1.0000,5.6009,1.6565,0.3354,16.6579,16.6589,15.5125,0.0011,-1.0000
16.6654,1.0000,5.6176,1.4208,0.5136,16.6639,16.6563,15.5282,0.0009,-1.0000
16.6671,1.0000,5.6342,1.1112,0.5335,16.6694,16.6621,15.6420,0.0010,-1.0000
16.6677,1.0000,5.6509,1.2460,0.3433,16.6617,16.6640,15.6861,0.0008,-1.0000
16.6669,1.0000,5.6676,1.1453,0.3549,16.6657,16.6609,15.6490,0.0008,-1.0000
16.6652,1.0000,5.6842,1.1272,0.3101,16.6627,16.6544,15.5688,0.0009,-1.0000
16.6669,1.0000,5.7009,1.0189,0.3068,16.6675,16.6618,15.6495,0.0010,-1.0000
16.6665,1.0000,5.7175,0.9771,0.3176,16.6698,16.6629,15.7257,0.0008,-1.0000
16.6694,1.0000,5.7344,1.0109,0.3077,16.6671,16.6728,15.7357,0.0008,-1.0000
16.6666,1.0000,5.7509,1.0848,0.2775,16.6604,16.6590,15.3673,0.0013,-1.0000
16.6669,1.0000,5.7677,1.0112,0.3070,16.6659,16.6560,15.4264,0.0010,-1.0000
16.6641,1.0000,5.7842,0.9367,0.3388,16.6680,16.6500,15.3013,0.0010,-1.0000
16.6665,1.0000,5.8009,0.9364,0.3571,16.6797,16.6614,15.6296,0.0010,-1.0000
16.6703,1.0000,5.8177,1.2905,0.4511,16.6680,16.6705,15.7197,0.0009,-1.0000
16.6655,1.0000,5.8343,1.2287,0.3559,16.6646,16.6547,15.2055,0.0011,-1.0000
16.6649,1.0000,5.8509,1.3477,0.2934,16.6570,16.6543,15.2507,0.0011,-1.0000
16.6676,1.0000,5.8676,1.0309,0.2815,16.6667,16.6596,15.6278,0.0010,-1.0000
16.6676,1.0000,5.8843,0.9501,0.4760,16.6777,16.6641,15.5029,0.0009,-1.0000
16.6672,1.0000,5.9010,1.4482,0.3567,16.6625,16.6600,15.4698,0.0010,-1.0000
16.6650,1.0000,5.9176,1.4027,0.3292,16.6618,16.6521,15.5233,0.0010,-1.0000
16.6690,1.0000,5.9344,1.0308,0.4165,16.6671,16.6690,15.5900,0.0013,-1.0000
16.6660,1.0000,5.9509,1.1602,0.3356,16.6716,16.6525,15.3501,0.0012,-1.0000
16.6653,1.0000,5.9676,1.1893,0.3091,16.6679,16.6546,15.6046,0.0008,-1.0000
16.6673,1.0000,5.9843,1.1278,0.2829,16.6595,16.6609,15.6371,0.0010,-1.0000
16.6662,1.0000,6.0010,1.0773,0.3197,16.6785,16.6628,15.5812,0.0007,-1.0000
16.6673,1.0000,6.0178,1.3011,0.2972,16.6607,16.8176,15.5118,0.0010,-1.0000
16.6677,1.0000,6.0343,1.0492,0.2810,16.6610,16.5053,15.2114,0.0014,-1.0000
16.6926,1.0000,6.0509,1.0228,0.2916,16.6668,16.6813,15.4983,0.0011,-1.0000
16.6676,1.0000,6.0677,1.0808,0.3063,16.6694,16.6610,15.6203,0.0011,-1.0000
16.6660,1.0000,6.0843,1.3048,0.3595,16.8255,16.6595,15.5127,0.0010,-1.0000
16.6666,1.0000,6.1010,1.2924,0.3251,16.5132,16.6582,15.6033,0.0010,-1.0000
16.6669,1.0000,6.1177,1.1819,0.3036,16.6887,16.6608,15.5547,0.0010,-1.0000
16.6649,1.0000,6.1342,1.0396,0.2980,16.6680,16.6530,14.6042,0.0013,-1.0000
16.6667,1.0000,6.1508,1.1456,0.2838,16.6667,16.6623,15.8109,0.0007,-1.0000
16.6667,1.0000,6.1675,1.0541,0.3131,16.6653,16.6607,15.8633,0.0010,-1.0000
