frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6679,1.0000,5.0085,1.0455,0.2441,16.6639,16.6051,15.5555,0.0009,-1.0000
16.6655,1.0000,5.0247,0.7915,0.2658,16.6733,16.6562,15.1685,0.0009,-1.0000
16.6686,1.0000,5.0415,1.0602,0.2831,16.6386,16.7084,15.8248,0.0008,-1.0000
16.6657,1.0000,5.0580,0.9543,0.2471,16.7352,16.5990,15.5486,0.0011,-1.0000
16.6659,1.0000,5.0747,1.0487,0.3247,16.6096,16.6817,15.7312,0.0010,-1.0000
16.6676,1.0000,5.0913,1.4868,0.2589,16.6594,16.6802,15.8568,0.0008,-1.0000
16.6660,1.0000,5.1079,0.8824,0.2646,16.7133,16.6387,15.7954,0.0008,-1.0000
16.6671,1.0000,5.1247,1.0494,0.3417,16.6038,16.6681,15.9465,0.0009,-1.0000
16.6663,1.0000,5.1413,0.9496,0.2017,16.6855,16.6565,15.7684,0.0012,-1.0000
16.6665,1.0000,5.1580,0.8227,0.2619,16.6840,16.6608,15.8145,0.0010,-1.0000
16.6683,1.0000,5.1748,0.8425,0.2801,16.6419,16.7249,15.9092,0.0007,-1.0000
16.6653,1.0000,5.1913,0.7208,0.2180,16.6719,16.5964,15.5780,0.0011,-1.0000
16.6678,1.0000,5.2080,0.8871,0.3049,16.6600,16.6773,15.8733,0.0009,-1.0000
16.6658,1.0000,5.2248,0.8454,0.2258,16.6635,16.7509,15.7318,0.0008,-1.0000
16.6687,1.0000,5.2414,0.8150,0.2145,16.7288,16.5785,15.6626,0.0009,-1.0000
16.6659,1.0000,5.2581,1.0173,0.2189,16.6000,16.6650,15.5356,0.0009,-1.0000
16.6657,1.0000,5.2746,0.8032,0.2158,16.6819,16.6292,15.5707,0.0010,-1.0000
16.6680,1.0000,5.2916,1.0181,0.3245,16.7547,16.6625,15.9076,0.0010,-1.0000
16.6656,1.0000,5.3079,0.9151,0.2418,16.5839,16.6526,15.4422,0.0011,-1.0000
16.6665,1.0000,5.3247,1.1281,0.2620,16.6704,16.6587,15.9283,0.0009,-1.0000
16.6677,1.0000,5.3414,1.0577,0.2508,16.6328,16.6711,15.6370,0.0013,-1.0000
16.6661,1.0000,5.3579,0.7539,0.2485,16.6682,16.6517,15.6647,0.0009,-1.0000
16.6677,1.0000,5.3748,1.2094,0.2274,16.6575,16.6733,15.9324,0.0009,-1.0000
16.6661,1.0000,5.3914,0.7295,0.2270,16.6631,16.6833,15.4609,0.0010,-1.0000
16.6666,1.0000,5.4080,1.0328,0.2434,16.6761,16.6836,15.7625,0.0011,-1.0000
16.6674,1.0000,5.4248,0.9860,0.2206,16.6551,16.6556,15.6791,0.0012,-1.0000
16.6659,1.0000,5.4413,0.7400,0.2675,16.6788,16.6454,15.6647,0.0008,-1.0000
16.6672,1.0000,5.4581,1.2216,0.2225,16.6875,16.6884,15.9036,0.0010,-1.0000
16.6664,1.0000,5.4747,0.9200,0.2179,16.6878,16.6674,15.6816,0.0008,-1.0000
16.6671,1.0000,5.4915,0.9751,0.2571,16.6601,16.6943,15.8231,0.0011,-1.0000
16.6664,1.0000,5.5080,0.9798,0.1983,16.6486,16.6277,15.5613,0.0011,-1.0000
16.6660,1.0000,5.5247,0.7839,0.2268,16.6927,16.6688,15.7688,0.0009,-1.0000
16.6677,1.0000,5.5414,0.9851,0.2462,16.6707,16.6096,15.7646,0.0008,-1.0000
16.6676,1.0000,5.5592,0.8702,0.2297,16.6986,17.2793,15.6463,0.0008,-1.0000
16.6680,1.0000,5.5748,1.0653,0.2374,16.6325,16.0677,14.4528,0.0013,-1.0000
16.6677,1.0000,5.5915,0.8993,0.2098,16.6723,16.6700,15.3412,0.0013,-1.0000
16.6638,1.0000,5.6084,0.8443,0.2506,16.6144,17.1429,15.3609,0.0010,-1.0000
16.6700,1.0000,5.6248,1.6322,0.2679,17.2858,16.1896,15.3638,0.0010,-1.0000
16.6672,1.0000,5.6952,1.6136,0.3259,16.0731,70.3158,15.3180,0.0010,-1.0000
55.3794,1.0000,5.6976,1.3276,0.3141,16.6761,2.4647,0.0019,0.0015,-1.0000
16.2409,1.0000,5.7132,1.7811,0.2643,17.1469,15.7993,14.3581,0.0009,-1.0000
16.6698,1.0000,5.7298,0.8248,0.3165,16.1965,16.3467,15.5178,0.0009,-1.0000
16.6667,1.0000,5.7463,54.9968,0.3055,70.3239,16.6562,15.2661,0.0015,-1.0000
16.6636,1.0000,5.7630,2.4615,0.2159,2.4702,16.6411,15.5133,0.0012,-1.0000
16.6688,1.0000,5.7797,1.4403,0.2040,15.8025,16.6721,15.7526,0.0011,-1.0000
16.6692,1.0000,5.7965,0.8280,0.2780,16.3526,16.6760,15.3668,0.0011,-1.0000
16.6633,1.0000,5.8131,1.3885,0.2833,16.6640,16.6402,15.3544,0.0011,-1.0000
16.6670,1.0000,5.8297,1.1268,0.2299,16.6458,16.6627,15.6078,0.0012,-1.0000
16.6676,1.0000,5.8463,0.9182,0.3101,16.6763,16.6492,15.6366,0.0010,-1.0000
16.6659,1.0000,5.8631,1.3078,0.2957,16.6836,16.6594,15.5729,0.0008,-1.0000
16.6664,1.0000,5.8797,1.2846,0.2579,16.6466,16.6764,15.4753,0.0012,-1.0000
16.6705,1.0000,5.8969,1.0537,0.2844,16.6673,17.1548,15.7126,0.0010,-1.0000
16.6637,1.0000,5.9131,1.0116,0.2716,16.6550,16.1631,14.9415,0.0009,-1.0000
16.6659,1.0000,5.9297,1.0855,0.2520,16.6647,16.6655,15.5171,0.0011,-1.0000
16.6700,1.0000,5.9464,1.2000,0.2847,16.6804,16.7049,15.6276,0.0013,-1.0000
16.6646,1.0000,5.9630,1.4412,0.2883,17.1610,16.6190,15.2145,0.0008,-1.0000
16.6660,1.0000,5.9796,1.2205,0.2565,16.1695,16.6573,15.5797,0.0010,-1.0000
16.6691,1.0000,6.0067,1.1474,0.3015,16.6696,26.9560,15.8198,0.0009,-1.0000
16.6644,1.0000,6.0133,1.0760,0.2913,16.7109,6.6780,5.0219,0.0013,-1.0000
16.6673,1.0000,6.0298,1.4037,0.2718,16.6248,16.4420,15.5100,0.0009,-1.0000
16.6686,1.0000,6.0649,1.0767,0.2312,16.6616,35.0896,15.4705,0.0011,-1.0000
20.1700,1.0000,6.0668,11.1353,0.3118,26.9625,1.9532,0.0019,0.0017,-1.0000
16.2365,1.0000,6.0827,1.6549,0.2216,6.6835,15.9257,14.9952,0.0010,-1.0000
16.6687,1.0000,6.0997,0.9313,0.2391,16.4457,16.8954,15.8382,0.0009,-1.0000
16.6679,1.0000,6.1162,19.6181,0.2981,35.0975,16.4829,15.3143,0.0009,-1.0000
16.6823,1.0000,6.1327,1.9500,0.2444,1.9584,16.6383,15.2528,0.0012,-1.0000
16.6673,1.0000,6.1495,0.9295,0.2547,15.9280,16.6766,15.8137,0.0012,-1.0000
16.6676,1.0000,6.1661,1.0563,0.2711,16.9001,16.7081,15.6394,0.0008,-1.0000
16.6651,1.0000,6.1828,1.1676,0.2764,16.4896,16.6008,15.5147,0.0012,-1.0000
16.6666,1.0000,6.1995,1.3845,0.2403,16.6426,16.6615,15.6973,0.0013,-1.0000
16.6695,1.0000,6.2163,0.8615,0.2445,16.6816,16.7974,15.6313,0.0009,-1.0000
16.6644,1.0000,6.2331,1.0677,0.2536,16.7142,16.5214,15.3344,0.0010,-1.0000
16.6668,1.0000,6.2495,1.0851,0.2479,16.6058,16.6826,15.4151,0.0010,-1.0000
16.6675,1.0000,6.2661,0.9631,0.2507,16.6660,16.7107,15.5530,0.0010,-1.0000
16.6666,1.0000,6.2828,1.1653,0.2826,16.8037,16.5726,15.5743,0.0008,-1.0000
16.6684,1.0000,6.2995,1.1862,0.2392,16.5259,16.7052,15.5209,0.0012,-1.0000
16.6655,1.0000,6.3162,1.2666,0.2571,16.6867,16.6752,15.3198,0.0010,-1.0000
16.6653,1.0000,6.3327,1.1566,0.2433,16.7155,16.6414,15.5139,0.0012,-1.0000
16.6691,1.0000,6.3496,0.9975,0.2696,16.5778,16.6899,15.7497,0.0009,-1.0000
16.6651,1.0000,6.3661,1.1831,0.2850,16.7112,16.6287,15.3919,0.0009,-1.0000
16.6679,1.0000,6.3828,1.3544,0.2652,16.6811,16.7234,15.7228,0.0011,-1.0000
16.6687,1.0000,6.3996,1.1264,0.2667,16.6460,16.6526,15.5840,0.0010,-1.0000
16.6633,1.0000,6.4160,0.9390,0.2598,16.6952,16.5932,15.4042,0.0009,-1.0000
16.6678,1.0000,6.4328,1.2359,0.2281,16.6338,16.6863,15.8594,0.0010,-1.0000
