frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
33.1546,0.0000,364.7368,1.2689,0.3078,16.6650,33.1441,31.8989,0.0012,-1.0000
16.6664,0.0000,364.7533,1.2334,0.3439,16.6682,16.6531,15.0976,0.0011,-1.0000
16.6681,0.0000,364.7701,1.4501,0.3101,16.6647,16.6646,15.3700,0.0011,-1.0000
16.6672,0.0000,364.7867,1.2525,0.3421,16.6694,16.6545,15.1232,0.0013,-1.0000
16.6654,0.0000,364.8033,1.2435,0.4217,33.1555,16.6548,15.0462,0.0011,-1.0000
16.6669,0.0000,364.8200,1.5545,0.3585,16.6628,16.6555,15.3740,0.0011,-1.0000
16.6661,0.0000,364.8367,1.2932,0.3488,16.6736,16.6594,15.4429,0.0011,-1.0000
16.6669,0.0000,364.8534,1.5301,0.3001,16.6653,16.6567,15.3524,0.0013,-1.0000
16.6684,0.0000,364.8701,1.6073,0.3005,16.6647,16.6628,15.2406,0.0011,-1.0000
16.6657,0.0000,364.8866,1.2802,0.2977,16.6647,16.6517,15.2157,0.0011,-1.0000
16.6667,0.0000,364.9033,1.2155,0.3192,16.6681,16.6575,15.4267,0.0011,-1.0000
16.6669,0.0000,364.9200,1.3028,0.3717,16.6657,16.6586,15.3783,0.0011,-1.0000
16.6665,0.0000,364.9367,1.4212,0.3576,16.6734,16.6555,15.3894,0.0012,-1.0000
16.6673,0.0000,364.9534,1.4347,0.3253,16.6612,16.6616,15.3255,0.0012,-1.0000
16.6665,0.0000,364.9700,1.2296,0.3512,16.6655,16.6546,15.2795,0.0012,-1.0000
16.6693,0.0000,364.9867,1.2789,0.3577,16.6686,16.6645,15.4136,0.0011,-1.0000
16.6629,0.0000,365.0033,1.2648,0.3854,16.6643,16.6400,15.1664,0.0012,-1.0000
16.6663,0.0000,365.0200,1.3347,0.3228,16.6717,16.6583,15.3655,0.0014,-1.0000
16.6673,0.0000,365.0367,1.3736,0.3093,16.6647,16.6592,15.2971,0.0012,-1.0000
16.6657,0.0000,365.0533,1.2495,0.3948,16.6786,16.6575,15.2985,0.0013,-1.0000
16.6670,0.0000,365.0699,1.4726,0.3380,16.6494,16.6591,15.4448,0.0009,-1.0000
16.6654,0.0000,365.0865,1.2911,0.3355,16.6656,16.6572,15.4433,0.0011,-1.0000
16.6672,0.0000,365.1032,1.3608,0.2915,16.6666,16.6612,15.6694,0.0010,-1.0000
16.6690,0.0000,365.1200,1.3579,0.3242,16.6649,16.6705,15.5062,0.0011,-1.0000
16.6660,0.0000,365.1378,1.2132,0.3212,16.6658,16.6535,15.2574,0.0013,-1.0000
16.6676,0.0000,365.1533,1.2128,0.2995,16.6630,16.6638,14.0366,0.0013,-1.0000
16.6654,0.0000,365.1700,0.9905,0.3241,16.6668,16.6538,15.3497,0.0011,-1.0000
16.6681,0.0000,365.1865,1.1626,0.3030,16.6781,16.6606,15.4781,0.0010,-1.0000
16.6693,0.0000,365.2034,1.3946,0.4983,16.6613,16.6676,15.4459,0.0013,-1.0000
16.6651,0.0000,365.2200,2.6258,0.3608,16.6716,16.6520,14.9026,0.0012,-1.0000
30.0540,0.0000,365.2503,1.3030,0.4114,16.6608,30.0480,28.7498,0.0013,-1.0000
16.6660,0.0000,365.2666,1.1812,0.3459,16.6686,16.6515,14.6746,0.0013,-1.0000
16.6664,0.0000,365.2834,1.2202,0.4203,16.6765,16.6566,15.2723,0.0015,-1.0000
16.6666,0.0000,365.3001,1.7482,0.3543,16.6611,16.6561,15.0433,0.0014,-1.0000
16.6683,0.0000,365.3167,1.2965,0.6019,30.0589,16.6621,15.3204,0.0010,-1.0000
16.6666,0.0000,365.3334,1.9757,0.3843,16.6623,16.6589,15.3258,0.0012,-1.0000
16.6657,0.0000,365.3500,1.3826,0.4102,16.6663,16.6520,15.2373,0.0011,-1.0000
16.6665,0.0000,365.3666,1.6115,0.3936,16.6638,16.6578,15.3203,0.0011,-1.0000
16.6667,0.0000,365.3834,1.3403,0.3480,16.6714,16.6592,15.3400,0.0013,-1.0000
16.6669,0.0000,365.4001,1.3318,0.4879,16.6689,16.6598,15.4165,0.0012,-1.0000
16.6673,0.0000,365.4167,1.4134,0.3424,16.6617,16.6613,15.3625,0.0012,-1.0000
16.6659,0.0000,365.4334,1.3362,0.3738,16.6664,16.6534,15.3884,0.0011,-1.0000
16.6684,0.0000,365.4502,1.3178,0.3415,16.6670,16.6616,15.2073,0.0010,-1.0000
16.6662,0.0000,365.4666,1.2418,0.3292,16.6686,16.6539,14.9165,0.0013,-1.0000
16.6663,0.0000,365.4834,1.2973,0.3389,16.6706,16.6596,15.4311,0.0010,-1.0000
16.6672,0.0000,365.5001,1.2639,0.4976,16.6618,16.6573,15.3557,0.0014,-1.0000
17.0589,0.0000,365.5172,1.4532,0.4222,16.6710,17.0516,15.6667,0.0013,-1.0000
16.6664,0.0000,365.5339,1.7360,0.3105,16.6633,16.6526,14.9649,0.0011,-1.0000
16.6660,0.0000,365.5504,1.2273,0.3479,16.6679,16.6543,14.9679,0.0012,-1.0000
16.6676,0.0000,365.5670,1.3002,0.4467,16.6660,16.6624,15.3474,0.0011,-1.0000
16.6671,0.0000,365.5838,1.3833,0.5140,17.0622,16.6575,15.3044,0.0009,-1.0000
16.6663,0.0000,365.6005,1.6868,0.3275,16.6640,16.6550,15.2973,0.0013,-1.0000
16.6675,0.0000,365.6172,1.6851,0.3394,16.6627,16.6600,15.3902,0.0015,-1.0000
16.6748,0.0000,365.6339,1.3138,0.3985,16.6723,16.6856,15.0756,0.0016,-1.0000
16.6574,0.0000,365.6504,1.3522,0.3545,16.6681,16.6188,15.1415,0.0025,-1.0000
16.6639,0.0000,365.6669,1.3563,0.3048,16.6641,16.6473,15.4664,0.0011,-1.0000
16.6682,0.0000,365.6837,1.2682,0.3123,16.6695,16.6658,15.7181,0.0011,-1.0000
16.6653,0.0000,365.7005,1.6085,0.2947,16.6982,16.6558,15.6516,0.0013,-1.0000
16.6675,0.0000,365.7170,1.4748,0.2829,16.6318,16.6654,15.3065,0.0013,-1.0000
16.6670,0.0000,365.7337,1.1799,0.3102,16.6539,16.6614,15.6538,0.0010,-1.0000
16.6684,0.0000,365.7504,0.9464,0.2470,16.6707,16.6675,15.6579,0.0009,-1.0000
16.6652,0.0000,365.7669,1.0030,0.3232,16.6607,16.6547,15.4730,0.0009,-1.0000
16.6662,0.0000,365.7837,1.3578,0.2454,16.6710,16.6584,15.6943,0.0008,-1.0000
16.6666,0.0000,365.8003,1.0067,0.2549,16.6663,16.6602,15.4646,0.0010,-1.0000
16.6669,0.0000,365.8170,1.0087,0.3284,16.6739,16.6613,15.7040,0.0011,-1.0000
16.6674,0.0000,365.8336,1.1809,0.2849,16.6608,16.6654,15.7255,0.0009,-1.0000
16.6661,0.0000,365.8503,0.9634,0.2828,16.6642,16.6603,15.6274,0.0007,-1.0000
16.6668,0.0000,365.8669,1.1950,0.2405,16.6656,16.6622,15.6788,0.0010,-1.0000
16.6668,0.0000,365.8837,0.9563,0.2389,16.6653,16.6613,15.4167,0.0008,-1.0000
16.6672,0.0000,365.9004,0.9391,0.2679,16.6701,16.6628,15.6340,0.0009,-1.0000
16.6660,0.0000,365.9170,1.0324,0.2417,16.6664,16.6595,15.5074,0.0011,-1.0000
16.6666,0.0000,365.9336,0.9825,0.2761,16.6675,16.6611,15.6985,0.0009,-1.0000
