frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6673,1.0000,114.1058,0.8596,0.2063,16.6461,16.6338,15.6498,0.0009,-1.0000
16.6661,1.0000,114.1221,0.9287,0.2276,16.6687,16.6560,15.5174,0.0013,-1.0000
16.6674,1.0000,114.1390,1.0772,0.2153,16.6833,16.7115,15.7730,0.0012,-1.0000
16.6665,1.0000,114.1555,0.9820,0.2322,16.6774,16.5788,15.5068,0.0009,-1.0000
16.6662,1.0000,114.1722,0.9831,0.2171,16.6386,16.6600,15.7355,0.0008,-1.0000
16.6667,1.0000,114.1889,1.1375,0.2161,16.6612,16.6622,15.6890,0.0008,-1.0000
16.6673,1.0000,114.2055,0.9374,0.2309,16.7180,16.6668,15.7664,0.0010,-1.0000
16.6673,1.0000,114.2221,1.0711,0.2177,16.5840,16.6604,15.7143,0.0010,-1.0000
16.6654,1.0000,114.2389,0.9236,0.2239,16.6649,16.6583,15.6991,0.0010,-1.0000
16.6678,1.0000,114.2556,0.9724,0.2199,16.6673,16.7014,15.7394,0.0009,-1.0000
16.6664,1.0000,114.2722,0.8993,0.2215,16.6727,16.6240,15.4162,0.0010,-1.0000
16.6668,1.0000,114.2889,0.9452,0.2277,16.6663,16.6595,15.7156,0.0011,-1.0000
16.6675,1.0000,114.3056,0.9583,0.2221,16.6638,16.6641,15.7488,0.0010,-1.0000
16.6655,1.0000,114.3221,0.9611,0.2658,16.7069,16.6540,15.6441,0.0011,-1.0000
16.6666,1.0000,114.3389,1.2068,0.2164,16.6294,16.6591,15.8355,0.0008,-1.0000
16.6672,1.0000,114.3555,0.9428,0.2258,16.6644,16.6673,15.7335,0.0010,-1.0000
16.6678,1.0000,114.3722,0.9145,0.2235,16.6704,16.6701,15.7698,0.0009,-1.0000
16.6666,1.0000,114.3889,1.0091,0.2191,16.6592,16.6584,15.7103,0.0009,-1.0000
16.6648,1.0000,114.4057,0.8229,0.2254,16.6639,16.6514,15.6183,0.0010,-1.0000
16.6669,1.0000,114.4221,0.9328,0.2167,16.6718,16.6652,15.6092,0.0010,-1.0000
16.6668,1.0000,114.4389,0.8995,0.2587,16.6750,16.6606,15.7050,0.0011,-1.0000
16.6670,1.0000,114.4555,0.9471,0.2296,16.6643,16.6653,15.7714,0.0008,-1.0000
16.6670,1.0000,114.4722,1.0320,0.2152,16.6563,16.6615,15.7653,0.0009,-1.0000
16.6671,1.0000,114.4889,1.0551,0.2664,16.6700,16.6661,15.6741,0.0009,-1.0000
16.6675,1.0000,114.5056,0.9546,0.2141,16.6652,16.6618,15.7467,0.0012,-1.0000
16.6664,1.0000,114.5221,0.8931,0.2162,16.6704,16.6605,15.4797,0.0013,-1.0000
16.6669,1.0000,114.5389,0.8954,0.2201,16.6664,16.7042,15.7894,0.0008,-1.0000
16.6658,1.0000,114.5556,0.9913,0.2181,16.6714,16.6136,15.6001,0.0009,-1.0000
16.6661,1.0000,114.5722,0.9141,0.2453,16.6676,16.6589,15.6529,0.0010,-1.0000
16.6665,1.0000,114.5890,1.1795,0.2270,16.6663,16.7021,15.7963,0.0009,-1.0000
16.6675,1.0000,114.6055,0.9142,0.2405,16.7101,16.6230,15.3844,0.0014,-1.0000
16.6672,1.0000,114.6221,1.0128,0.2237,16.6193,16.6642,15.7864,0.0010,-1.0000
16.6665,1.0000,114.6389,1.0054,0.2067,16.6634,16.7003,15.8161,0.0011,-1.0000
16.6665,1.0000,114.6555,0.9050,0.2531,16.7070,16.6180,15.5956,0.0010,-1.0000
16.6674,1.0000,114.6723,1.2371,0.2131,16.6282,16.6679,15.8037,0.0009,-1.0000
16.6674,1.0000,114.6889,0.8769,0.2059,16.6690,16.6631,15.6260,0.0012,-1.0000
16.6667,1.0000,114.7056,0.8833,0.2196,16.7059,16.6953,15.7030,0.0009,-1.0000
16.6662,1.0000,114.7222,1.0215,0.2654,16.6222,16.6626,15.7003,0.0010,-1.0000
16.6665,1.0000,114.7389,0.8632,0.2233,16.6727,16.6562,15.6273,0.0012,-1.0000
16.6668,1.0000,114.7556,1.0358,0.2231,16.6680,16.6700,15.7778,0.0009,-1.0000
16.6664,1.0000,114.7722,0.9915,0.2121,16.7004,16.6868,15.5877,0.0010,-1.0000
16.6673,1.0000,114.7889,0.9612,0.2353,16.6674,16.6316,15.6833,0.0009,-1.0000
16.6669,1.0000,114.8056,1.0281,0.2514,16.6606,16.6559,15.7697,0.0009,-1.0000
16.6667,1.0000,114.8223,0.8913,0.2245,16.6745,16.7604,15.5247,0.0009,-1.0000
16.6666,1.0000,114.8389,1.0981,0.2196,16.6921,16.5703,15.6131,0.0011,-1.0000
16.6680,1.0000,114.8556,0.9477,0.3086,16.6361,16.6653,15.6065,0.0011,-1.0000
16.6659,1.0000,114.8723,0.8853,0.2254,16.6605,16.6903,15.6127,0.0009,-1.0000
