frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6680,1.0000,210.3467,1.0497,0.2358,16.6586,16.6678,15.6159,0.0009,-1.0000
16.6671,1.0000,210.3632,1.0772,0.2295,16.6705,16.6575,15.3125,0.0010,-1.0000
16.6653,1.0000,210.3798,1.1578,0.2277,16.6622,16.6566,15.5449,0.0013,-1.0000
16.6676,1.0000,210.3965,0.9228,0.2426,16.6676,16.6634,15.6099,0.0010,-1.0000
16.6651,1.0000,210.4130,1.0510,0.2678,16.6747,16.6517,15.6359,0.0011,-1.0000
16.6678,1.0000,210.4298,1.3440,0.2459,16.6650,16.6687,15.7905,0.0007,-1.0000
16.6660,1.0000,210.4465,1.1106,0.2413,16.6621,16.6590,15.6976,0.0009,-1.0000
16.6665,1.0000,210.4631,1.0526,0.2400,16.6692,16.6592,15.6352,0.0010,-1.0000
16.6666,1.0000,210.4798,1.0146,0.2239,16.6576,16.6581,15.6537,0.0010,-1.0000
16.6675,1.0000,210.4965,0.8776,0.2326,16.6733,16.7147,15.7878,0.0008,-1.0000
16.6665,1.0000,210.5130,0.9605,0.2409,16.6649,16.6113,15.5235,0.0010,-1.0000
16.6671,1.0000,210.5299,1.0230,0.2660,16.6644,16.6713,15.8041,0.0008,-1.0000
16.6661,1.0000,210.5465,1.0035,0.2222,16.6631,16.7009,15.5530,0.0009,-1.0000
16.6666,1.0000,210.5631,0.9260,0.2546,16.7200,16.6106,15.5558,0.0009,-1.0000
16.6671,1.0000,210.5798,1.0868,0.2276,16.6164,16.6676,15.7349,0.0009,-1.0000
16.6664,1.0000,210.5965,0.8664,0.2401,16.6766,16.6961,15.6613,0.0008,-1.0000
16.6669,1.0000,210.6131,1.1470,0.2418,16.7063,16.6283,15.6507,0.0011,-1.0000
16.6671,1.0000,210.6298,1.0539,0.2370,16.6152,16.6560,15.7058,0.0008,-1.0000
16.6671,1.0000,210.6466,0.9318,0.2272,16.6729,16.6673,15.6557,0.0009,-1.0000
16.6672,1.0000,210.6632,1.0341,0.2351,16.7004,16.6982,15.5627,0.0013,-1.0000
16.6661,1.0000,210.6798,0.9767,0.2229,16.6339,16.6577,15.5849,0.0009,-1.0000
16.6668,1.0000,210.6965,0.9497,0.2258,16.6616,16.6653,15.7200,0.0009,-1.0000
16.6664,1.0000,210.7131,1.0107,0.2612,16.6725,16.6612,15.6962,0.0008,-1.0000
16.6675,1.0000,210.7299,1.1344,0.2711,16.7031,16.6971,15.7671,0.0007,-1.0000
16.6666,1.0000,210.7465,1.0719,0.2209,16.6625,16.6192,15.5771,0.0016,-1.0000
16.6666,1.0000,210.7631,0.9444,0.2289,16.6704,16.6544,15.7102,0.0010,-1.0000
16.6673,1.0000,210.7799,0.9639,0.2205,16.6662,16.7677,15.7585,0.0009,-1.0000
16.6658,1.0000,210.7965,0.9290,0.2552,16.7021,16.5608,15.4452,0.0010,-1.0000
16.6677,1.0000,210.8131,1.0405,0.2277,16.6241,16.6881,15.6247,0.0012,-1.0000
16.6662,1.0000,210.8299,0.9434,0.2162,16.6591,16.6734,15.6556,0.0011,-1.0000
16.6669,1.0000,210.8465,1.0083,0.2379,16.7739,16.5950,15.5895,0.0010,-1.0000
16.6669,1.0000,210.8632,1.1147,0.2443,16.5655,16.7396,15.6759,0.0008,-1.0000
16.6668,1.0000,210.8799,1.0620,0.2761,16.6931,16.6271,15.5602,0.0011,-1.0000
16.6667,1.0000,210.8965,1.0168,0.2333,16.6796,16.6483,15.5724,0.0011,-1.0000
16.6662,1.0000,210.9131,1.0046,0.2315,16.5997,16.6755,15.6748,0.0011,-1.0000
16.6664,1.0000,210.9298,1.0631,0.2423,16.7449,16.6484,15.7599,0.0010,-1.0000
16.6671,1.0000,210.9466,1.0658,0.2540,16.6325,16.6658,15.7522,0.0009,-1.0000
16.6665,1.0000,210.9632,1.0750,0.2334,16.6540,16.6435,15.5729,0.0014,-1.0000
16.6671,1.0000,210.9798,0.9997,0.2267,16.6811,16.7060,15.5820,0.0008,-1.0000
16.6671,1.0000,210.9965,0.8875,0.2232,16.6532,16.6386,15.6813,0.0009,-1.0000
16.6666,1.0000,211.0131,0.9126,0.2274,16.6706,16.6503,15.6439,0.0012,-1.0000
16.6668,1.0000,211.0300,1.0692,0.2485,16.6486,16.7737,15.7679,0.0010,-1.0000
16.6665,1.0000,211.0465,1.1231,0.2563,16.7107,16.5427,15.4759,0.0008,-1.0000
16.6665,1.0000,211.0632,0.9569,0.2360,16.6442,16.6636,15.5720,0.0011,-1.0000
16.6667,1.0000,211.0798,1.0053,0.2338,16.6549,16.6562,15.4403,0.0011,-1.0000
16.6670,1.0000,211.0964,1.0048,0.2399,16.7792,16.6388,15.7092,0.0009,-1.0000
16.6673,1.0000,211.1131,1.0659,0.2259,16.5482,16.6686,15.7774,0.0009,-1.0000
16.6669,1.0000,211.1299,1.0908,0.2886,16.6687,16.6584,15.6764,0.0011,-1.0000
16.6659,1.0000,211.1464,1.2146,0.2329,16.6615,16.6556,15.4913,0.0014,-1.0000
16.6672,1.0000,211.1631,0.9289,0.2264,16.6435,16.6622,15.7448,0.0010,-1.0000
16.6666,1.0000,211.1798,0.8904,0.2292,16.6752,16.6635,15.6895,0.0010,-1.0000
16.6669,1.0000,211.1965,0.9809,0.2629,16.6643,16.6868,15.7316,0.0008,-1.0000
16.6661,1.0000,211.2131,1.1632,0.2589,16.6613,16.6905,15.6129,0.0009,-1.0000
16.6668,1.0000,211.2298,0.9165,0.2376,16.6673,16.6424,15.6606,0.0009,-1.0000
