frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6678,1.0000,134.0905,0.9222,0.2569,16.6653,16.6682,15.7716,0.0008,-1.0000
16.6660,1.0000,134.1072,0.9469,0.3074,16.6746,16.6561,15.7373,0.0013,-1.0000
16.6665,1.0000,134.1239,1.1373,0.2549,16.6613,16.6648,15.7401,0.0008,-1.0000
16.6665,1.0000,134.1406,0.9898,0.2360,16.6613,16.6595,15.5709,0.0009,-1.0000
16.6674,1.0000,134.1572,0.8958,0.2495,16.6732,16.6660,15.6997,0.0008,-1.0000
16.6670,1.0000,134.1739,0.9176,0.2425,16.6608,16.6587,15.7356,0.0010,-1.0000
16.6677,1.0000,134.1906,0.9239,0.3070,16.6698,16.6741,15.6330,0.0011,-1.0000
16.6655,1.0000,134.2074,1.0879,0.2409,16.6646,16.6918,15.5664,0.0012,-1.0000
16.6669,1.0000,134.2239,0.9654,0.2411,16.6716,16.6215,15.3552,0.0013,-1.0000
16.6677,1.0000,134.2406,0.9224,0.2508,16.6640,16.6634,15.6483,0.0013,-1.0000
16.6658,1.0000,134.2573,1.0401,0.2983,16.6800,16.7044,15.5810,0.0011,-1.0000
16.6664,1.0000,134.2739,1.1244,0.2911,16.6978,16.6141,15.4902,0.0012,-1.0000
16.6672,1.0000,134.2905,1.2652,0.2511,16.6267,16.6621,15.6808,0.0010,-1.0000
16.6670,1.0000,134.3073,1.0139,0.2464,16.6692,16.7050,15.5995,0.0009,-1.0000
16.6659,1.0000,134.3239,1.1224,0.3071,16.7100,16.6133,15.4552,0.0008,-1.0000
16.6677,1.0000,134.3406,1.1230,0.2439,16.6185,16.6709,15.7404,0.0012,-1.0000
16.6674,1.0000,134.3573,0.9803,0.2916,16.6675,16.6636,15.5796,0.0010,-1.0000
16.6651,1.0000,134.3740,1.1044,0.2779,16.7104,16.6965,15.5671,0.0008,-1.0000
16.6673,1.0000,134.3906,1.1571,0.2718,16.6186,16.6669,15.4641,0.0009,-1.0000
16.6667,1.0000,134.4073,0.9292,0.2662,16.6760,16.6513,15.5736,0.0015,-1.0000
16.6674,1.0000,134.4239,1.0828,0.2650,16.6699,16.6631,15.6106,0.0010,-1.0000
16.6653,1.0000,134.4417,1.1287,0.2720,16.7032,16.6817,15.6417,0.0011,-1.0000
16.6667,1.0000,134.4573,1.2017,0.2586,16.6726,16.6276,14.5150,0.0010,-1.0000
16.6667,1.0000,134.4739,1.0764,0.2460,16.6567,16.6617,15.4143,0.0009,-1.0000
16.6672,1.0000,134.4906,1.0516,0.2595,16.6690,16.7497,15.6575,0.0009,-1.0000
16.6677,1.0000,134.5073,1.0390,0.4170,16.6864,16.5877,15.6477,0.0009,-1.0000
16.6669,1.0000,134.5240,2.1116,0.2986,16.6327,16.6666,15.5335,0.0010,-1.0000
16.6667,1.0000,134.5407,1.2462,0.4015,16.6665,16.7023,15.6160,0.0010,-1.0000
16.6652,1.0000,134.5572,1.0913,0.3109,16.7543,16.5691,15.3453,0.0011,-1.0000
