frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6654,0.0000,326.7527,1.1769,0.2864,16.6673,16.6511,15.4787,0.0010,-1.0000
16.6669,0.0000,326.7692,1.2552,0.2995,16.6880,16.6607,15.1830,0.0013,-1.0000
16.6673,0.0000,326.7858,1.3462,0.3483,16.6437,16.6561,15.3694,0.0011,-1.0000
16.6666,0.0000,326.8026,1.2429,0.3130,16.6749,16.6572,15.3380,0.0013,-1.0000
16.6671,0.0000,326.8192,1.1714,0.3366,16.6600,16.6588,15.1805,0.0012,-1.0000
16.6667,0.0000,326.8358,1.4764,0.3518,16.6707,16.6550,15.4263,0.0015,-1.0000
16.6667,0.0000,326.8526,1.2856,0.3322,16.6650,16.6631,15.5239,0.0011,-1.0000
16.6674,0.0000,326.8692,1.3178,0.3550,16.6666,16.6552,15.2504,0.0011,-1.0000
16.6657,0.0000,326.8858,1.4770,0.3456,16.6678,16.6550,15.3082,0.0010,-1.0000
16.6673,0.0000,326.9025,1.2275,0.3164,16.6640,16.6605,15.4310,0.0012,-1.0000
16.6721,0.0000,326.9192,1.1380,0.3161,16.6717,16.6804,15.2463,0.0013,-1.0000
16.6615,0.0000,326.9358,1.4035,0.2901,16.6656,16.6245,15.4162,0.0010,-1.0000
16.6671,0.0000,326.9526,1.3455,0.2660,16.6641,16.6531,15.2101,0.0012,-1.0000
16.6658,0.0000,326.9691,1.2283,0.3471,16.6699,16.6569,15.2080,0.0014,-1.0000
16.6669,0.0000,326.9858,1.4319,0.2851,16.6977,16.6573,15.4232,0.0012,-1.0000
16.6664,0.0000,327.0024,1.2072,0.3900,16.6377,16.6578,15.3823,0.0012,-1.0000
16.6664,0.0000,327.0191,1.4419,0.3023,16.6622,16.6721,15.5658,0.0010,-1.0000
16.6664,0.0000,327.0357,1.4474,0.3000,16.6656,16.6471,15.4786,0.0012,-1.0000
