frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6688,0.0000,301.1144,1.9159,0.3639,16.6674,16.6655,14.9622,0.0012,-1.0000
16.6692,0.0000,301.1306,1.3883,0.3338,16.6655,16.6650,14.2956,0.0024,-1.0000
16.6659,0.0000,301.1470,1.5953,0.4172,16.7678,16.6410,14.6889,0.0016,-1.0000
16.6657,0.0000,301.1643,2.6527,0.3022,16.6393,16.6552,15.0575,0.0011,-1.0000
16.6653,0.0000,301.1804,1.7022,0.5349,16.6781,16.2466,14.4721,0.0013,-1.0000
16.6668,0.0000,301.1971,2.3674,0.3848,16.6788,16.6545,15.3060,0.0012,-1.0000
16.6674,0.0000,301.2143,1.9503,0.3830,16.6547,16.6725,15.1288,0.0014,-1.0000
16.6663,0.0000,301.2305,1.5965,0.3718,17.0674,16.6403,14.5862,0.0016,-1.0000
16.6677,0.0000,301.2470,1.7731,0.3296,16.2594,16.6562,15.1075,0.0016,-1.0000
16.6654,0.0000,301.2638,1.3468,0.3872,16.6639,16.6526,15.1331,0.0019,-1.0000
16.6683,0.0000,301.2806,1.5420,0.3949,16.6832,16.6538,14.6040,0.0013,-1.0000
16.6663,0.0000,301.2971,2.0529,0.3305,16.6539,16.6564,14.6076,0.0024,-1.0000
16.6670,0.0000,301.3138,1.5468,0.3361,16.6682,16.6676,15.0707,0.0015,-1.0000
16.6656,0.0000,301.3305,1.5176,0.3839,16.6649,16.6430,15.0118,0.0016,-1.0000
16.6688,0.0000,301.3470,2.0485,0.4340,16.6655,16.6644,15.0395,0.0015,-1.0000
16.6680,0.0000,301.3639,2.0465,0.3351,16.6656,16.6606,15.2313,0.0026,-1.0000
16.6651,0.0000,301.3804,1.5959,0.4218,16.6786,16.6486,15.1049,0.0014,-1.0000
16.6663,0.0000,301.3976,1.6296,0.3598,16.6527,16.6493,15.1200,0.0011,-1.0000
16.6670,0.0000,301.4139,1.6234,0.3219,16.6745,16.6630,14.1016,0.0016,-1.0000
16.6655,0.0000,301.4304,1.4265,0.3447,16.6729,16.6487,15.1237,0.0017,-1.0000
16.6674,0.0000,301.4469,1.5421,0.3210,16.6627,16.6566,15.3278,0.0017,-1.0000
16.6671,0.0000,301.4637,1.5285,0.5141,16.6594,16.6630,15.4638,0.0011,-1.0000
16.6667,0.0000,301.4804,2.5599,0.3140,16.6731,16.6526,15.2148,0.0012,-1.0000
16.6660,0.0000,301.4971,1.5234,0.3008,16.6583,16.6616,15.2184,0.0015,-1.0000
16.6712,0.0000,301.5140,1.3272,0.2752,16.6657,16.6726,15.1884,0.0015,-1.0000
16.6612,0.0000,301.5304,1.1979,0.3166,16.6724,16.6313,14.9338,0.0012,-1.0000
16.6681,0.0000,301.5469,1.4365,0.3387,16.6617,16.6619,15.3285,0.0011,-1.0000
16.6678,0.0000,301.5638,1.4416,0.3590,16.6723,16.6728,15.3434,0.0013,-1.0000
16.6681,0.0000,301.5806,1.4824,0.3370,16.6847,16.6494,15.1472,0.0014,-1.0000
16.6644,0.0000,301.5971,1.6965,0.2730,16.6411,16.6482,14.8449,0.0012,-1.0000
16.6668,0.0000,301.6138,1.3321,0.3118,16.6705,16.6638,15.0222,0.0016,-1.0000
16.6673,0.0000,301.6304,1.3279,0.3428,16.6825,16.6487,15.1597,0.0013,-1.0000
16.6651,0.0000,301.6470,1.5006,0.3831,16.6602,16.6503,15.3032,0.0013,-1.0000
16.6673,0.0000,301.6638,1.8021,0.4459,16.6594,16.6615,15.3628,0.0014,-1.0000
16.6658,0.0000,301.6804,1.6399,0.3130,16.6753,16.6549,15.1219,0.0012,-1.0000
16.6715,0.0000,301.6971,1.4876,0.3024,16.6597,16.6689,15.2935,0.0012,-1.0000
16.6647,0.0000,301.7138,1.3459,0.2851,16.6601,16.6536,14.9203,0.0021,-1.0000
16.6657,0.0000,301.7304,1.2977,0.3320,16.6707,16.6386,15.0864,0.0012,-1.0000
16.6669,0.0000,301.7470,1.5321,0.2809,16.6641,16.6568,15.0963,0.0012,-1.0000
16.6691,0.0000,301.7641,1.3733,0.3956,16.6798,16.6733,15.0490,0.0011,-1.0000
16.6651,0.0000,301.7805,1.7312,0.4472,16.6709,16.6298,14.1291,0.0015,-1.0000
16.6665,0.0000,301.7971,1.5508,0.3944,16.6533,16.6532,15.1369,0.0010,-1.0000
16.6695,0.0000,301.8140,1.5591,0.4402,16.6666,16.6679,15.3212,0.0016,-1.0000
16.6642,0.0000,301.8305,1.6233,0.5881,16.6890,16.6405,14.6887,0.0014,-1.0000
16.6683,0.0000,301.8470,2.4993,0.4125,16.6472,16.6606,14.7734,0.0016,-1.0000
16.6646,0.0000,301.8638,1.5151,0.3155,16.6637,16.6477,15.0259,0.0015,-1.0000
16.6670,0.0000,301.8804,1.3451,0.3957,16.6830,16.6584,15.1960,0.0014,-1.0000
16.6672,0.0000,301.8971,1.9503,0.4737,16.6527,16.6579,15.2309,0.0012,-1.0000
16.6664,0.0000,301.9139,1.8854,0.4176,16.6718,16.6634,15.2180,0.0014,-1.0000
16.6676,0.0000,301.9305,1.6207,0.3984,16.6582,16.6505,15.0857,0.0011,-1.0000
16.6658,0.0000,301.9470,1.4613,0.3906,16.6678,16.6536,14.8038,0.0031,-1.0000
16.6842,0.0000,301.9639,1.4259,0.3690,16.6669,16.6802,14.9112,0.0022,-1.0000
16.6676,0.0000,301.9809,1.4438,0.4004,16.6736,16.6701,14.8394,0.0024,-1.0000
