frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6667,1.0000,70.9472,0.9450,0.2579,16.6507,16.6914,15.7104,0.0010,-1.0000
16.6671,1.0000,70.9639,1.3964,0.2721,16.6564,16.6302,15.7463,0.0010,-1.0000
16.6680,1.0000,70.9806,0.8410,0.2593,16.7025,16.6763,15.7088,0.0009,-1.0000
16.6680,1.0000,70.9972,0.9278,0.2661,16.6092,16.6568,15.5454,0.0011,-1.0000
16.6663,1.0000,71.0139,0.9799,0.2459,16.6971,16.6645,15.4980,0.0011,-1.0000
16.6663,1.0000,71.0306,0.8829,0.2393,16.6361,16.7023,15.5636,0.0010,-1.0000
16.6661,1.0000,71.0472,0.9665,0.2841,16.6823,16.6080,15.4777,0.0011,-1.0000
16.6671,1.0000,71.0640,1.1099,0.2926,16.6650,16.6669,15.6196,0.0011,-1.0000
16.6664,1.0000,71.0806,1.1653,0.2764,16.6723,16.6579,15.5078,0.0013,-1.0000
16.6671,1.0000,71.0972,1.1375,0.4942,16.7093,16.6584,15.4246,0.0012,-1.0000
16.6668,1.0000,71.1139,1.1293,0.2730,16.6155,16.6613,15.6306,0.0008,-1.0000
16.6671,1.0000,71.1306,1.0460,0.3125,16.6746,16.6606,15.5361,0.0036,-1.0000
16.6671,1.0000,71.1474,1.1488,0.2772,16.6657,16.6576,15.5128,0.0011,-1.0000
16.6672,1.0000,71.1639,1.2325,0.2801,16.6650,16.6604,15.4125,0.0012,-1.0000
16.6668,1.0000,71.1808,1.0299,0.3156,16.6683,16.6530,15.4700,0.0012,-1.0000
16.6665,1.0000,71.1972,1.1211,0.2940,16.6681,16.6592,15.3524,0.0012,-1.0000
16.6668,1.0000,71.2139,1.1438,0.2883,16.6662,16.6581,15.6286,0.0012,-1.0000
16.6662,1.0000,71.2306,1.2466,0.2921,16.6683,16.6669,15.5620,0.0009,-1.0000
16.6676,1.0000,71.2473,1.1816,0.2925,16.6610,16.6548,15.4697,0.0011,-1.0000
16.6663,1.0000,71.2639,1.3059,0.2980,16.6672,16.6590,15.5115,0.0011,-1.0000
16.6664,1.0000,71.2806,1.0282,0.2747,16.6654,16.6556,15.5613,0.0013,-1.0000
