frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6666,1.0000,86.6565,0.8940,0.3513,16.7165,16.6412,15.3016,0.0009,-1.0000
16.6655,1.0000,86.6730,1.1130,0.3653,16.6345,16.6436,15.4380,0.0010,-1.0000
16.6670,1.0000,86.6897,1.3021,0.3446,16.6528,16.7515,15.6778,0.0010,-1.0000
16.6683,1.0000,86.7065,0.9238,0.3501,16.7076,16.5739,15.6484,0.0009,-1.0000
16.6649,1.0000,86.7230,1.3387,0.3264,16.6458,16.6418,15.1765,0.0011,-1.0000
16.6686,1.0000,86.7399,1.2047,0.3001,16.6467,16.6882,15.7191,0.0008,-1.0000
16.6691,1.0000,86.7565,1.0729,0.3054,16.7554,16.6335,15.1650,0.0012,-1.0000
16.6630,1.0000,86.7729,0.9247,0.5757,16.5788,16.6456,15.2825,0.0009,-1.0000
16.6684,1.0000,86.7896,1.4643,0.3715,16.6457,16.6695,15.8266,0.0011,-1.0000
16.6656,1.0000,86.8064,0.9683,0.4362,16.6931,16.6574,15.6585,0.0010,-1.0000
16.6667,1.0000,86.8231,1.4674,0.4139,16.6406,16.6606,15.5558,0.0010,-1.0000
16.6703,1.0000,86.8399,1.3623,0.3634,16.6510,16.7019,15.6078,0.0010,-1.0000
16.6654,1.0000,86.8565,0.8419,0.4398,16.6746,16.6568,15.1797,0.0011,-1.0000
16.6670,1.0000,86.8732,0.9979,0.3581,16.6629,16.7108,15.3708,0.0011,-1.0000
16.6655,1.0000,86.8897,1.1039,0.3323,16.6649,16.6250,15.3196,0.0012,-1.0000
16.6670,1.0000,86.9065,1.0931,0.4219,16.7084,16.6554,15.5626,0.0010,-1.0000
16.6667,1.0000,86.9232,1.4758,0.4029,16.6643,16.6697,15.3349,0.0011,-1.0000
16.6660,1.0000,86.9398,1.3390,0.4828,16.7179,16.6931,15.2246,0.0012,-1.0000
16.6676,1.0000,86.9566,1.3040,0.4055,16.6316,16.6249,15.4357,0.0013,-1.0000
16.6676,1.0000,86.9732,1.0917,0.3863,16.6610,16.6554,15.2236,0.0012,-1.0000
16.6656,1.0000,86.9898,1.3339,0.4998,16.6764,16.7088,15.3015,0.0010,-1.0000
16.6687,1.0000,87.0065,1.4676,0.3717,16.6988,16.5714,15.5214,0.0011,-1.0000
16.6663,1.0000,87.0232,1.1879,0.4554,16.6325,16.6667,15.2787,0.0012,-1.0000
16.6651,1.0000,87.0398,1.4307,0.4217,16.6629,16.6428,15.2835,0.0010,-1.0000
16.6671,1.0000,87.0564,1.4062,0.3809,16.7149,16.6709,15.3857,0.0011,-1.0000
16.6696,1.0000,87.0732,1.0490,0.3919,16.5790,16.6746,15.4793,0.0012,-1.0000
16.6634,1.0000,87.0897,1.3867,0.4270,16.6745,16.6342,15.2332,0.0012,-1.0000
16.6671,1.0000,87.1065,1.3584,0.4383,16.6496,16.7106,15.5232,0.0011,-1.0000
16.6678,1.0000,87.1231,1.2841,0.3790,16.6763,16.6243,15.3412,0.0012,-1.0000
16.6656,1.0000,87.1398,1.1939,0.4236,16.6823,16.6554,15.4009,0.0011,-1.0000
16.6669,1.0000,87.1564,1.3998,0.4040,16.6409,16.6584,15.4424,0.0011,-1.0000
16.6680,1.0000,87.1732,1.1865,0.4026,16.7160,16.6662,15.4129,0.0010,-1.0000
16.6655,1.0000,87.1897,1.2819,0.4095,16.6311,16.6580,15.3022,0.0011,-1.0000
16.6672,1.0000,87.2065,1.2536,0.3761,16.6620,16.6630,15.5332,0.0012,-1.0000
16.6675,1.0000,87.2232,1.2150,0.4796,16.6642,16.7115,15.3947,0.0013,-1.0000
16.6668,1.0000,87.2398,1.2523,0.3893,16.6727,16.6121,15.3141,0.0011,-1.0000
16.6668,1.0000,87.2565,1.3548,0.4141,16.6638,16.6551,15.4257,0.0014,-1.0000
16.6670,1.0000,87.2731,1.1285,0.4525,16.6690,16.6629,15.3070,0.0012,-1.0000
16.6665,1.0000,87.2897,1.3155,0.3694,16.7183,16.6559,15.4116,0.0014,-1.0000
16.6658,1.0000,87.3064,1.2970,0.3825,16.6178,16.6644,15.4468,0.0010,-1.0000
16.6675,1.0000,87.3231,1.2281,0.4035,16.6611,16.6597,15.5086,0.0012,-1.0000
16.6689,1.0000,87.3399,1.3546,0.3582,16.6685,16.6703,15.4663,0.0010,-1.0000
16.6667,1.0000,87.3565,1.2430,0.3827,16.6624,16.6581,15.2486,0.0013,-1.0000
16.6654,1.0000,87.3731,1.2166,0.3697,16.6707,16.6561,15.3563,0.0011,-1.0000
16.6657,1.0000,87.3897,1.1499,0.4092,16.6649,16.6945,15.4177,0.0013,-1.0000
16.6698,1.0000,87.4065,1.2029,0.4044,16.6785,16.6384,15.4985,0.0011,-1.0000
16.6649,1.0000,87.4232,1.4081,0.3743,16.6661,16.6393,15.2790,0.0012,-1.0000
16.6671,1.0000,87.4398,1.2989,0.3847,16.6633,16.7099,15.3677,0.0010,-1.0000
16.6659,1.0000,87.4565,1.2759,0.4264,16.7007,16.6102,15.3311,0.0010,-1.0000
