frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6661,1.0000,185.6630,0.9130,0.5000,16.6607,16.6571,15.5476,0.0010,-1.0000
16.6666,1.0000,185.6796,0.9263,0.2602,16.7136,16.6603,15.7208,0.0010,-1.0000
16.6672,1.0000,185.6963,1.0629,0.2279,16.6265,16.6692,15.7936,0.0011,-1.0000
16.6682,1.0000,185.7130,0.8832,0.2327,16.6661,16.6657,15.6923,0.0009,-1.0000
16.6649,1.0000,185.7299,1.1085,0.2182,16.6625,16.6540,15.5435,0.0012,-1.0000
16.6672,1.0000,185.7462,0.9384,0.2073,16.6649,16.6630,15.3220,0.0012,-1.0000
16.6661,1.0000,185.7629,0.8746,0.2279,16.6745,16.6578,15.7439,0.0011,-1.0000
16.6671,1.0000,185.7796,0.9724,0.2467,16.6713,16.6628,15.8197,0.0009,-1.0000
16.6667,1.0000,185.7963,1.1093,0.2313,16.6593,16.6639,15.7216,0.0008,-1.0000
16.6667,1.0000,185.8130,1.3400,0.2333,16.6676,16.6599,15.8029,0.0008,-1.0000
16.6662,1.0000,185.8296,0.9130,0.2089,16.6622,16.6645,15.5791,0.0014,-1.0000
16.6686,1.0000,185.8462,0.8424,0.2155,16.6667,16.6682,15.7659,0.0009,-1.0000
16.6654,1.0000,185.8630,0.9412,0.2146,16.6683,16.6553,15.7518,0.0008,-1.0000
16.6684,1.0000,185.8797,0.8561,0.2291,16.6642,16.6768,15.4954,0.0013,-1.0000
16.6659,1.0000,185.8963,1.0841,0.2197,16.6693,16.6864,15.5776,0.0010,-1.0000
16.6662,1.0000,185.9130,0.9011,0.2443,16.6735,16.6277,15.5318,0.0009,-1.0000
16.6669,1.0000,185.9296,0.9030,0.2343,16.6607,16.6559,15.5192,0.0015,-1.0000
16.6667,1.0000,185.9465,1.1802,0.2328,16.6828,16.7071,15.7176,0.0010,-1.0000
16.6666,1.0000,185.9630,1.1079,0.2459,16.6920,16.6142,15.3898,0.0010,-1.0000
16.6677,1.0000,185.9797,1.0950,0.2358,16.6322,16.6724,15.7753,0.0009,-1.0000
16.6679,1.0000,185.9965,1.1353,0.2177,16.6607,16.7004,15.4794,0.0013,-1.0000
16.6644,1.0000,186.0130,0.9889,0.2382,16.7123,16.6172,15.3685,0.0014,-1.0000
16.6680,1.0000,186.0297,1.2234,0.2226,16.6190,16.6579,15.6519,0.0008,-1.0000
16.6662,1.0000,186.0462,0.8961,0.3056,16.6780,16.6591,15.6185,0.0011,-1.0000
16.6665,1.0000,186.0630,1.2197,0.2570,16.7082,16.6951,15.8201,0.0009,-1.0000
16.6660,1.0000,186.0796,1.2473,0.2208,16.6231,16.6632,15.6448,0.0008,-1.0000
16.6667,1.0000,186.0963,1.0053,0.2331,16.6639,16.6632,15.7210,0.0008,-1.0000
16.6671,1.0000,186.1130,1.0396,0.2412,16.6641,16.6663,15.7173,0.0010,-1.0000
16.6665,1.0000,186.1297,0.8742,0.2255,16.7005,16.6818,15.5973,0.0012,-1.0000
16.6672,1.0000,186.1462,1.0177,0.2210,16.6680,16.6294,15.6843,0.0009,-1.0000
16.6666,1.0000,186.1630,0.9414,0.2199,16.6680,16.6559,15.7473,0.0010,-1.0000
16.6671,1.0000,186.1797,0.9481,0.2250,16.6713,16.7624,15.6686,0.0012,-1.0000
16.6682,1.0000,186.1964,1.0837,0.2271,16.6870,16.5903,15.6858,0.0010,-1.0000
16.6650,1.0000,186.2130,0.9444,0.2276,16.6347,16.6634,15.4998,0.0014,-1.0000
16.6677,1.0000,186.2297,0.9080,0.2229,16.6615,16.6812,15.6568,0.0011,-1.0000
16.6668,1.0000,186.2463,1.0926,0.2173,16.7677,16.5913,15.5606,0.0009,-1.0000
16.6666,1.0000,186.2630,0.9034,0.2331,16.5958,16.7114,15.7402,0.0013,-1.0000
16.6671,1.0000,186.2797,1.1626,0.2202,16.6687,16.6626,15.6644,0.0010,-1.0000
16.6664,1.0000,186.2963,1.0232,0.2600,16.6863,16.6304,15.5667,0.0014,-1.0000
16.6669,1.0000,186.3130,1.0298,0.2347,16.5962,16.6835,15.6421,0.0009,-1.0000
16.6658,1.0000,186.3297,0.9704,0.2190,16.7170,16.6479,15.6191,0.0008,-1.0000
16.6679,1.0000,186.3463,0.9976,0.2412,16.6685,16.6645,15.7057,0.0009,-1.0000
16.6674,1.0000,186.3631,1.0625,0.2651,16.6359,16.6716,15.7258,0.0010,-1.0000
16.6669,1.0000,186.3798,1.0405,0.2376,16.6887,16.7019,15.4321,0.0013,-1.0000
16.6646,1.0000,186.3964,1.0281,0.2789,16.6530,16.6072,15.5146,0.0011,-1.0000
16.6674,1.0000,186.4130,0.9580,0.2408,16.6700,16.6573,15.5677,0.0014,-1.0000
16.6662,1.0000,186.4297,0.9449,0.2487,16.6771,16.7494,15.6532,0.0009,-1.0000
16.6683,1.0000,186.4463,1.2687,0.2444,16.7079,16.5683,15.6326,0.0009,-1.0000
16.6657,1.0000,186.4630,1.0916,0.3681,16.6124,16.6631,15.6354,0.0011,-1.0000
16.6675,1.0000,186.4797,1.0885,0.2469,16.6622,16.6570,15.7044,0.0010,-1.0000
16.6671,1.0000,186.4963,1.0955,0.2304,16.7542,16.6438,15.5834,0.0012,-1.0000
16.6653,1.0000,186.5130,0.9348,0.2431,16.5741,16.6530,15.6483,0.0010,-1.0000
16.6679,1.0000,186.5297,1.0264,0.2231,16.6683,16.6690,15.7443,0.0010,-1.0000
16.6658,1.0000,186.5463,0.9514,0.2493,16.6620,16.6599,15.5609,0.0011,-1.0000
16.6660,1.0000,186.5629,1.0594,0.2499,16.6500,16.6506,15.6590,0.0012,-1.0000
16.6676,1.0000,186.5796,1.0038,0.2291,16.6575,16.6676,15.7516,0.0009,-1.0000
16.6664,1.0000,186.5963,0.9243,0.2405,16.6750,16.6827,15.6975,0.0009,-1.0000
16.6672,1.0000,186.6130,1.0980,0.2389,16.6653,16.6963,15.7675,0.0010,-1.0000
16.6663,1.0000,186.6297,0.9905,0.2386,16.6553,16.6419,15.6253,0.0010,-1.0000
16.6670,1.0000,186.6463,0.9153,0.2365,16.6730,16.6649,15.7298,0.0009,-1.0000
16.6668,1.0000,186.6630,0.9845,0.2237,16.6874,16.6724,15.7833,0.0012,-1.0000
16.6659,1.0000,186.6797,0.9281,0.2326,16.7015,16.6817,15.6083,0.0009,-1.0000
16.6676,1.0000,186.6964,1.0155,0.2368,16.6474,16.6238,15.6748,0.0010,-1.0000
16.6662,1.0000,186.7130,0.9341,0.2436,16.6697,16.6562,15.6095,0.0016,-1.0000
16.6666,1.0000,186.7297,0.8878,0.2430,16.6779,16.7044,15.7725,0.0010,-1.0000
