frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6672,1.0000,94.8393,0.8381,0.2620,16.6625,16.6174,15.5581,0.0012,-1.0000
16.6659,1.0000,94.8558,0.9048,0.2791,16.6724,16.6608,15.5647,0.0011,-1.0000
16.6676,1.0000,94.8727,1.9667,0.2777,16.6611,16.7060,15.7837,0.0008,-1.0000
16.6681,1.0000,94.8893,2.4066,0.2389,16.7179,16.6448,15.2416,0.0012,-1.0000
16.6654,1.0000,94.9059,1.0584,0.2468,16.6224,16.6337,15.4824,0.0012,-1.0000
16.6660,1.0000,94.9226,1.0951,0.2657,16.6657,16.7015,15.6812,0.0010,-1.0000
16.6661,1.0000,94.9392,0.9216,0.2725,16.7125,16.6150,15.5607,0.0013,-1.0000
16.6670,1.0000,94.9558,1.4022,0.2625,16.6520,16.6580,15.7405,0.0008,-1.0000
16.6669,1.0000,94.9725,1.1501,0.2284,16.6397,16.6644,15.6954,0.0009,-1.0000
16.6669,1.0000,94.9892,1.0194,0.2436,16.7072,16.6971,15.7023,0.0010,-1.0000
16.6674,1.0000,95.0059,1.0532,0.2314,16.6198,16.6685,15.7294,0.0010,-1.0000
16.6661,1.0000,95.0226,0.9166,0.3331,16.6628,16.6587,15.6269,0.0008,-1.0000
16.6667,1.0000,95.0392,0.9683,0.2297,16.6699,16.6612,15.6816,0.0011,-1.0000
16.6676,1.0000,95.0559,0.9940,0.2210,16.7018,16.7045,15.4979,0.0009,-1.0000
16.6667,1.0000,95.0726,0.9383,0.2412,16.6732,16.6112,15.6003,0.0010,-1.0000
16.6675,1.0000,95.0894,1.0310,0.2396,16.6634,16.6666,15.5536,0.0012,-1.0000
16.6655,1.0000,95.1060,0.9789,0.3156,16.6665,16.7337,15.4755,0.0010,-1.0000
16.6678,1.0000,95.1226,1.2058,0.2997,16.7101,16.5925,15.6155,0.0009,-1.0000
