frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6663,0.0000,394.7185,1.2064,0.2974,16.6666,16.6555,15.2199,0.0012,-1.0000
16.6670,0.0000,394.7351,1.1747,0.2933,16.6662,16.6580,15.4258,0.0012,-1.0000
16.6673,0.0000,394.7519,1.3520,0.3805,16.6657,16.6582,15.4295,0.0011,-1.0000
16.6670,0.0000,394.7686,1.2527,0.2980,16.6700,16.6589,15.3839,0.0011,-1.0000
16.6656,0.0000,394.7852,1.4344,0.3023,16.6644,16.6519,15.3687,0.0013,-1.0000
16.6654,0.0000,394.8018,1.2309,0.3618,16.6671,16.6543,15.4212,0.0011,-1.0000
16.6687,0.0000,394.8185,1.2275,0.3317,16.6678,16.6681,15.6062,0.0010,-1.0000
16.6656,0.0000,394.8351,1.2738,0.3775,16.6701,16.6517,15.4531,0.0012,-1.0000
16.6660,0.0000,394.8518,1.2816,0.3555,16.6605,16.6680,15.5794,0.0011,-1.0000
16.6681,0.0000,394.8685,1.2320,0.3330,16.6605,16.6552,15.5069,0.0010,-1.0000
16.6663,0.0000,394.8852,1.0606,0.4094,16.6761,16.6580,15.4531,0.0010,-1.0000
16.6669,0.0000,394.9018,1.1971,0.2994,16.6592,16.6644,15.4637,0.0011,-1.0000
16.6672,0.0000,394.9186,1.0874,0.3030,16.6741,16.6559,15.4911,0.0014,-1.0000
16.6658,0.0000,394.9351,1.1473,0.3657,16.6628,16.6576,15.3158,0.0012,-1.0000
16.6668,0.0000,394.9518,1.2037,0.3180,16.6653,16.6593,15.6215,0.0010,-1.0000
16.6664,0.0000,394.9685,1.1996,0.2950,16.6709,16.6583,15.4540,0.0012,-1.0000
16.6673,0.0000,394.9851,1.1635,0.3525,16.6635,16.6613,15.5203,0.0009,-1.0000
16.6670,0.0000,395.0020,1.3408,0.2973,16.6657,16.6576,15.5108,0.0011,-1.0000
16.6665,0.0000,395.0185,1.0368,0.3287,16.6675,16.6613,15.2932,0.0013,-1.0000
16.6664,0.0000,395.0350,1.2030,0.2899,16.6652,16.6594,15.5210,0.0011,-1.0000
16.6669,0.0000,395.0518,1.1397,0.2983,16.6683,16.6583,15.5895,0.0011,-1.0000
16.6671,0.0000,395.0685,1.1457,0.3807,16.6648,16.6624,15.4833,0.0010,-1.0000
16.6668,0.0000,395.0851,1.3669,0.2946,16.6682,16.6567,15.4887,0.0012,-1.0000
16.6649,0.0000,395.1017,1.1372,0.2924,16.6670,16.6555,15.4800,0.0010,-1.0000
16.6689,0.0000,395.1185,1.0677,0.2815,16.6653,16.6661,15.6498,0.0012,-1.0000
16.6675,0.0000,395.1350,1.1781,0.3255,16.6685,16.6628,15.4892,0.0013,-1.0000
16.6656,0.0000,395.1518,1.1668,0.3052,16.6648,16.6568,15.5964,0.0010,-1.0000
16.6682,0.0000,395.1685,1.1746,0.2757,16.6618,16.6617,15.5112,0.0010,-1.0000
16.6652,0.0000,395.1852,1.0152,0.2927,16.6723,16.6565,15.4094,0.0016,-1.0000
16.6676,0.0000,395.2019,1.1720,0.3156,16.6699,16.6594,15.5465,0.0014,-1.0000
16.6660,0.0000,395.2185,1.0593,0.3491,16.6645,16.6589,15.4075,0.0012,-1.0000
16.6679,0.0000,395.2350,1.1494,0.2814,16.6697,16.6614,15.5577,0.0011,-1.0000
16.6672,0.0000,395.2518,1.2454,0.2768,16.6643,16.6618,15.6344,0.0009,-1.0000
16.6660,0.0000,395.2685,1.1114,0.2854,16.6666,16.6579,15.4278,0.0011,-1.0000
16.6675,0.0000,395.2852,1.2501,0.2867,16.6660,16.6612,15.4674,0.0010,-1.0000
16.6670,0.0000,395.3019,1.1025,0.2774,16.6686,16.6577,15.4420,0.0015,-1.0000
16.6652,0.0000,395.3185,1.0262,0.2895,16.6692,16.6562,15.4108,0.0014,-1.0000
16.6684,0.0000,395.3351,1.2290,0.2944,16.6652,16.6626,15.5234,0.0013,-1.0000
16.6671,0.0000,395.3519,1.1926,0.2913,16.6687,16.6622,15.3778,0.0012,-1.0000
