frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6679,0.0000,425.0364,1.0116,0.2148,16.6675,16.6660,15.6535,0.0011,-1.0000
16.6654,0.0000,425.0530,1.0399,0.2733,16.6617,16.6569,15.6715,0.0008,-1.0000
16.6682,0.0000,425.0697,0.9713,0.2305,16.6735,16.6671,15.7712,0.0007,-1.0000
16.6671,0.0000,425.0864,1.0141,0.2170,16.6610,16.6626,15.6219,0.0008,-1.0000
16.6661,0.0000,425.1030,1.0115,0.2235,16.6714,16.6539,15.5857,0.0009,-1.0000
16.6662,0.0000,425.1196,0.9846,0.2077,16.6619,16.6592,15.7011,0.0008,-1.0000
16.6679,0.0000,425.1364,0.8951,0.2375,16.6725,16.6657,15.7511,0.0008,-1.0000
16.6660,0.0000,425.1530,1.0400,0.2285,16.6699,16.6582,15.6567,0.0010,-1.0000
16.6680,0.0000,425.1697,1.0674,0.2239,16.6599,16.6683,15.6664,0.0008,-1.0000
16.6646,0.0000,425.1863,0.9570,0.2190,16.6648,16.6530,15.5965,0.0009,-1.0000
16.6670,0.0000,425.2030,0.9138,0.2194,16.6714,16.6624,15.7643,0.0009,-1.0000
16.6668,0.0000,425.2196,1.0005,0.2222,16.6633,16.6634,15.7515,0.0009,-1.0000
16.6671,0.0000,425.2364,1.0010,0.2403,16.6737,16.6634,15.8153,0.0009,-1.0000
16.6690,0.0000,425.2531,1.0555,0.2149,16.6586,16.6669,15.6223,0.0008,-1.0000
16.6658,0.0000,425.2698,0.8973,0.2176,16.6667,16.6593,15.4834,0.0011,-1.0000
16.6675,0.0000,425.2864,0.9113,0.2187,16.6681,16.6596,15.4628,0.0015,-1.0000
16.6661,0.0000,425.3031,0.8473,0.2297,16.6686,16.6557,15.3458,0.0009,-1.0000
16.6664,0.0000,425.3198,1.0436,0.2618,16.6727,16.6592,15.5386,0.0013,-1.0000
