frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6666,0.0000,273.3170,1.2445,0.2851,16.6668,16.6571,15.2548,0.0010,-1.0000
16.6668,0.0000,273.3336,1.1538,0.3214,16.6648,16.6597,15.4916,0.0013,-1.0000
16.6672,0.0000,273.3503,1.2114,0.2879,16.6688,16.6598,15.3837,0.0010,-1.0000
16.6670,0.0000,273.3669,1.1518,0.2736,16.6669,16.6585,15.3379,0.0012,-1.0000
16.6668,0.0000,273.3837,1.4011,0.2671,16.6646,16.6607,15.5503,0.0010,-1.0000
16.6677,0.0000,273.4004,1.1668,0.2931,16.6675,16.6588,15.3793,0.0011,-1.0000
16.6651,0.0000,273.4170,1.2748,0.2961,16.6671,16.6566,15.4264,0.0011,-1.0000
16.6674,0.0000,273.4337,1.3194,0.2854,16.6661,16.6590,15.5370,0.0010,-1.0000
16.6669,0.0000,273.4503,1.1096,0.3472,16.6696,16.6579,15.2780,0.0013,-1.0000
16.6657,0.0000,273.4669,1.2782,0.2805,16.6676,16.6572,15.5101,0.0012,-1.0000
16.6689,0.0000,273.4837,1.2290,0.3311,16.6651,16.6639,15.6253,0.0009,-1.0000
16.6650,0.0000,273.5003,1.1209,0.3372,16.6668,16.6551,15.4259,0.0011,-1.0000
16.6664,0.0000,273.5170,1.3785,0.3095,16.6664,16.6570,15.5153,0.0010,-1.0000
16.6697,0.0000,273.5338,1.1459,0.3315,16.6651,16.6688,15.3230,0.0011,-1.0000
16.6648,0.0000,273.5503,1.0376,0.3254,16.6713,16.6512,15.2991,0.0010,-1.0000
16.6668,0.0000,273.5669,1.2280,0.3355,16.6631,16.6579,15.4680,0.0012,-1.0000
16.6668,0.0000,273.5836,1.1405,0.2884,16.6637,16.6568,15.6216,0.0010,-1.0000
16.6665,0.0000,273.6005,1.3445,0.3372,16.6785,16.6605,15.5348,0.0009,-1.0000
16.6680,0.0000,273.6170,1.3510,0.2922,16.6607,16.6593,15.2436,0.0015,-1.0000
16.6665,0.0000,273.6337,1.1886,0.2859,16.6664,16.6588,15.4685,0.0010,-1.0000
16.6676,0.0000,273.6503,1.0342,0.3017,16.6650,16.6606,15.5747,0.0010,-1.0000
16.6662,0.0000,273.6669,1.1248,0.2962,16.6688,16.6565,15.4728,0.0010,-1.0000
16.6665,0.0000,273.6837,1.4138,0.2792,16.6672,16.6592,15.5344,0.0010,-1.0000
16.6669,0.0000,273.7004,1.1893,0.3047,16.6669,16.6552,15.3730,0.0013,-1.0000
16.6664,0.0000,273.7170,1.0848,0.3234,16.6692,16.6592,15.4074,0.0013,-1.0000
16.6671,0.0000,273.7337,1.1830,0.3443,16.6653,16.6574,15.4077,0.0011,-1.0000
16.6662,0.0000,273.7503,1.1237,0.3236,16.6681,16.6573,15.4568,0.0010,-1.0000
16.6671,0.0000,273.7669,1.2808,0.3152,16.6641,16.6565,15.4826,0.0009,-1.0000
16.6670,0.0000,273.7837,1.2503,0.2984,16.6679,16.6604,15.3973,0.0013,-1.0000
16.6656,0.0000,273.8004,1.2485,0.3186,16.6661,16.6539,15.4757,0.0010,-1.0000
16.6674,0.0000,273.8170,1.1994,0.2942,16.6669,16.6630,15.4679,0.0010,-1.0000
16.6670,0.0000,273.8337,1.1726,0.3010,16.6647,16.6584,15.4802,0.0010,-1.0000
